reward_max	reward_mean	time
-240.14424958891422	-542.899821267571	10.638164043426514
-246.9420745212533	-559.5969846335232	15.05900263786316
-173.75610446910463	-556.4520879700341	19.792267322540283
-264.4666335343826	-624.5201720918279	24.410748958587646
-228.17505090010664	-516.138235232265	28.972179651260376
-256.24543910013165	-562.5936777127921	33.783520460128784
-183.39205198305712	-599.0804252207565	39.266640186309814
-264.57774988727954	-548.33588963278	45.01529288291931
-231.22985576181986	-561.5391935536207	51.45404624938965
-211.57621147928694	-585.6654151057263	57.90794324874878
-228.1593021243666	-596.3734289300015	64.03150868415833
-190.03112045513413	-563.3140183528063	70.29566526412964
-163.1321423111706	-523.2921858012954	76.24742698669434
-194.8808639303704	-656.7000779280694	84.183034658432
-205.87786934782193	-573.6026490632881	90.24897336959839
-264.1451185680336	-594.8861167922252	95.74768304824829
-201.8367339427	-648.4978265259227	102.85539174079895
-273.5425652546644	-628.5598427733112	109.01676893234253
-204.2517103930815	-559.0568419539	114.52204751968384
-212.96687275021463	-571.066331146336	119.06789660453796
-273.01135337975353	-559.9668412166369	124.59910893440247
-299.5193453918997	-565.1233862231448	130.60933327674866
-274.9999816868003	-575.2662069112403	136.06118512153625
-231.98533161132434	-637.573778265511	142.48154997825623
-260.9616456620918	-636.6893525141006	149.00792336463928
-282.1035336332492	-593.8414599693003	154.83464694023132
-231.17728825297718	-555.7299419133022	160.1146960258484
-273.6650571498549	-559.9281844004302	166.0664210319519
-185.40773233148366	-635.4025368423224	172.97977352142334
-208.57410510804294	-567.8478501472631	179.06175065040588
-194.22447396155752	-545.7667423069066	183.9512255191803
-256.1185019070955	-597.7134071947195	189.4343183040619
-192.57102835647208	-541.3323265587328	194.40189909934998
-166.04509204939387	-561.0034679204426	199.61942601203918
-194.90400177855798	-562.2520595085316	204.86819696426392
-254.51920560661148	-570.6253758182121	210.32232880592346
-206.22784218126182	-559.6191323862781	215.78979802131653
-181.1890318145628	-552.2443665261234	221.81960248947144
-221.90949516376378	-559.4559693550452	227.10773158073425
-216.32186378107252	-555.1097222109632	232.2054922580719
-216.12292307275175	-580.6008746904498	237.75563788414001
-218.94646548080527	-580.8297934708393	243.59900403022766
-216.26879003156586	-607.0511390716173	249.37893223762512
-213.15614972675925	-667.6273444139217	255.9242718219757
-219.25857857503468	-651.211089271498	262.31339836120605
-183.9263525116881	-633.7248971018652	268.1557786464691
-214.05708438529976	-744.4987086818323	275.7459964752197
-283.3058240901323	-713.0313141213842	282.41630697250366
-229.8005261050516	-625.6155063239273	288.8603539466858
-206.99931114167777	-667.520143978494	294.8120288848877
-226.7781801163419	-615.4576588630482	300.4030079841614
-228.05316768780636	-629.8655966716685	306.4383566379547
-216.65850227120222	-574.4702420836757	311.65591406822205
-201.05828019533766	-581.1459839825379	317.48267436027527
-215.85703251689938	-580.3575478884628	322.77827548980713
-210.42552639561052	-653.3885218405238	329.15181255340576
-228.018118034047	-591.0484616889427	334.5654273033142
-235.7977897699528	-631.3949515158616	340.6108844280243
-212.58733492511675	-512.210405717472	344.9379949569702
-180.01085270119387	-617.4876178678356	350.65253019332886
-205.96078440643993	-622.4952399087878	356.61988139152527
-224.94764615514936	-634.0899016255677	362.1811046600342
-237.4728979298998	-616.1620524941868	367.26460361480713
