reward_max	reward_mean	time
-246.4560759187219	-566.1090618393158	11.5285165309906
-263.6104646933949	-500.0895079321115	16.4336154460907
-280.1035427216789	-591.9596269114468	22.322860956192017
-274.86824501054923	-536.8558335074416	27.14985466003418
-215.80704500020607	-572.7655425875746	32.97399950027466
-248.73708676634686	-601.3093899919838	38.696348905563354
-284.6502820309172	-562.1979846010195	44.02322840690613
-266.08242420578665	-587.3659010264163	49.303237199783325
-256.4720854441524	-602.6053320446025	55.75485014915466
-273.7370007088949	-574.1485643209317	61.58308029174805
-240.86828938178826	-557.5061320114363	66.62880301475525
-240.6071279236065	-529.8707555548758	71.40893268585205
-297.8733375638775	-554.7522729805153	76.65770292282104
-238.59812915229227	-561.6132502891777	81.62525534629822
-273.0841726267678	-601.732688024811	87.1864845752716
-207.6378949537122	-626.7135955931645	93.472097158432
-287.364730623451	-630.4116082907155	99.75433230400085
-247.00562825784783	-583.7468383281636	105.1289632320404
-262.08798083503194	-597.0008081383467	110.53750658035278
-312.18393247945824	-583.3706382061025	115.69336462020874
-261.621394367215	-623.9412864753843	121.50450253486633
-246.78047376782592	-610.3516715476816	127.5741696357727
-276.5222337323486	-525.8852618376498	132.4792742729187
-263.55267263733134	-537.3664138628286	137.38437008857727
-244.2892273585837	-583.4668132146516	142.8205964565277
-286.67497875733363	-552.0809361748334	148.14747142791748
-222.39600529778923	-596.2997185584096	153.87185907363892
-253.3370305304858	-622.1551175508063	159.32687211036682
-245.28954631747453	-578.3308743618422	164.5756425857544
-242.7758467793584	-598.0173333461784	170.05873084068298
-275.5467655857973	-548.5820552967269	174.99507474899292
-279.8549557168893	-549.7344895738031	179.82206916809082
-277.6086331871426	-554.0947597973782	185.23292326927185
-284.5830949985333	-597.6577814479816	190.21612977981567
-276.8229721360095	-624.9931163045196	195.1837158203125
-305.1766622380767	-660.2515081934068	201.07295656204224
-240.11782743772437	-614.5814464694267	206.52480554580688
-254.68275183009195	-565.8090855673386	212.04421949386597
-264.6035918163477	-532.1182860968333	216.31091213226318
-262.1870271517917	-594.1964916586141	221.6690332889557
-306.9550497874318	-573.0837256559975	226.33978414535522
-291.72007078844695	-610.2191967647545	232.55711579322815
-284.03443685953846	-636.1067271459572	238.63381385803223
-301.5333525750649	-614.7113602546356	243.55453634262085
-275.72388137995347	-591.0656247271307	248.7195930480957
-327.82476717528334	-613.5131461719567	253.51534509658813
-300.13945673115364	-602.4425862509889	258.6860091686249
-275.577400568123	-598.8602302042897	263.4036548137665
-275.4085346787391	-582.7057165152454	268.15254616737366
-290.18673038619374	-664.2952651015125	273.5900526046753
-241.07848051937697	-581.0420555222967	278.3882260322571
-281.97740988459736	-573.2102340946907	283.0867004394531
-275.7006240462811	-545.761770908945	287.51885080337524
-300.3684529811128	-519.9249881009099	292.1883718967438
-262.19113835566054	-583.0502529468796	297.40077781677246
-272.59856823887014	-569.5908855511498	302.2590157985687
-270.7459449937062	-621.1141953061107	308.4606890678406
-272.9833201811359	-552.063173098795	313.44348645210266
-290.9131431346591	-580.8686284134534	318.5516619682312
