reward_max	reward_mean	time
-200.0	-200.0	5.583983898162842
-200.0	-200.0	8.255245923995972
-200.0	-200.0	11.020201921463013
-200.0	-200.0	13.816434860229492
-200.0	-200.0	16.550211906433105
-200.0	-200.0	19.237094402313232
-200.0	-200.0	21.908355712890625
-199.0	-199.98901098901098	24.595237255096436
-200.0	-200.0	27.328984022140503
-198.0	-199.96703296703296	30.01586627960205
-200.0	-200.0	32.70274877548218
-200.0	-200.0	35.38963079452515
-200.0	-200.0	38.06181454658508
-200.0	-200.0	40.74869680404663
-200.0	-200.0	43.419957399368286
-200.0	-200.0	46.10683989524841
-200.0	-200.0	48.79372239112854
-200.0	-200.0	51.496225357055664
-200.0	-200.0	54.33408784866333
-200.0	-200.0	57.05390429496765
-200.0	-200.0	59.803271770477295
-200.0	-200.0	62.490154504776
-200.0	-200.0	65.1926577091217
-200.0	-200.0	67.90471911430359
-200.0	-200.0	70.62284421920776
-198.0	-199.97802197802199	73.3253481388092
-200.0	-200.0	76.04347252845764
-200.0	-200.0	78.76159906387329
-198.0	-199.97802197802199	81.55783033370972
-200.0	-200.0	84.26033353805542
-200.0	-200.0	86.96283721923828
-198.0	-199.97802197802199	89.64971899986267
-200.0	-200.0	92.3209798336029
-200.0	-200.0	95.00786209106445
-200.0	-200.0	97.76736545562744
-200.0	-200.0	100.54797768592834
-200.0	-200.0	103.34420847892761
-200.0	-200.0	106.14044070243835
-200.0	-200.0	108.93667268753052
-200.0	-200.0	111.74852585792542
-200.0	-200.0	114.69784426689148
-200.0	-200.0	117.4732882976532
-200.0	-200.0	120.25389909744263
-200.0	-200.0	122.98761296272278
-200.0	-200.0	125.73701286315918
-200.0	-200.0	128.47075986862183
-200.0	-200.0	131.23221039772034
-200.0	-200.0	133.93471455574036
-200.0	-200.0	136.63718223571777
-200.0	-200.0	139.37093019485474
-200.0	-200.0	142.1515393257141
-200.0	-200.0	144.93215012550354
-200.0	-200.0	147.72841382026672
-200.0	-200.0	150.49340343475342
-200.0	-200.0	153.25836181640625
-200.0	-200.0	156.007728099823
-200.0	-200.0	158.77275037765503
-199.0	-199.98901098901098	161.61533904075623
-200.0	-200.0	164.45846915245056
-200.0	-200.0	167.17655897140503
-200.0	-200.0	169.95720219612122
-200.0	-200.0	172.72770857810974
-200.0	-200.0	175.47936415672302
-198.0	-199.97802197802199	178.23401379585266
-200.0	-200.0	180.98866033554077
-198.0	-199.97802197802199	183.74330759048462
-172.0	-199.69230769230768	186.49795484542847
-88.0	-196.27472527472528	189.19195795059204
-93.0	-192.87912087912088	191.814284324646
-112.0	-194.69230769230768	194.4699251651764
-109.0	-196.1868131868132	197.1568088531494
-108.0	-194.0989010989011	199.76558208465576
-106.0	-190.28571428571428	202.3274917602539
-108.0	-192.97802197802199	204.93626713752747
-85.0	-192.03296703296704	207.52942323684692
-90.0	-188.0	210.07571053504944
-88.0	-191.69230769230768	212.6688642501831
-116.0	-196.9010989010989	215.32450342178345
-90.0	-188.13186813186815	217.87079310417175
-86.0	-187.5934065934066	220.3858404159546
-112.0	-193.0	223.01725387573242
-83.0	-183.8901098901099	225.54788947105408
-84.0	-187.75824175824175	228.12545728683472
-96.0	-187.03296703296704	230.65612602233887
-85.0	-190.82417582417582	233.37166666984558
-97.0	-190.30769230769232	236.0055410861969
-94.0	-186.4945054945055	238.59869384765625
-85.0	-191.35164835164835	241.17622923851013
-84.0	-188.87912087912088	243.75375986099243
-88.0	-191.43956043956044	246.37684655189514
-86.0	-182.78021978021977	248.87630414962769
-103.0	-192.2087912087912	251.46945762634277
-86.0	-190.78021978021977	254.04767417907715
-95.0	-189.42857142857142	256.6408293247223
-88.0	-192.30769230769232	259.29646730422974
-84.0	-194.5164835164835	261.9052426815033
-86.0	-189.98901098901098	264.4827768802643
-115.0	-194.34065934065933	267.12279510498047
-124.0	-192.32967032967034	269.71594619750977
-85.0	-192.98901098901098	272.3403434753418
-94.0	-190.9120879120879	274.90225481987
-87.0	-191.85714285714286	277.4954116344452
-86.0	-188.2087912087912	280.0260787010193
-84.0	-182.86813186813185	282.5255036354065
-99.0	-188.9120879120879	285.087632894516
-89.0	-189.2967032967033	287.6495440006256
-86.0	-190.86813186813185	290.2270784378052
-83.0	-189.94505494505495	292.8078782558441
-84.0	-191.25274725274724	295.44281244277954
-86.0	-189.3846153846154	298.05384254455566
-89.0	-192.24175824175825	300.7217218875885
-111.0	-186.17582417582418	303.2659640312195
-136.0	-189.74725274725276	305.89295387268066
-98.0	-188.4065934065934	308.49700140953064
-87.0	-191.6153846153846	311.12997555732727
-86.0	-192.65934065934067	313.7858862876892
-89.0	-195.86813186813185	316.49365639686584
-89.0	-194.0879120879121	319.11009979248047
-115.0	-189.57142857142858	321.6720116138458
-101.0	-195.28571428571428	324.29640793800354
-121.0	-194.04395604395606	326.9364261627197
-117.0	-189.53846153846155	329.49833726882935
-95.0	-192.2087912087912	332.09149146080017
-87.0	-192.53846153846155	334.70026659965515
-109.0	-193.93406593406593	337.32466173171997
-106.0	-185.64835164835165	339.83970880508423
-84.0	-185.95604395604394	342.4016218185425
-86.0	-183.3846153846154	344.9947409629822
-89.0	-186.1098901098901	347.5414719581604
-86.0	-184.85714285714286	350.08775663375854
-85.0	-176.07692307692307	352.5011649131775
-87.0	-184.27472527472528	355.25483798980713
-93.0	-188.45054945054946	357.8058204650879
-84.0	-190.2967032967033	360.3833484649658
-92.0	-188.53846153846155	362.9920916557312
-86.0	-188.3956043956044	365.6164388656616
-85.0	-189.05494505494505	368.2408344745636
