time_step	reward_avg	time
1000	-99.1556	0.9529
2000	-95.7045	1.937
3000	-91.4328	2.8274
4000	-26.74	3.796
5000	-75.868	4.7931
6000	-29.0736	5.7304
7000	-52.3318	6.7145
8000	-62.1772	7.6831
9000	-103.4308	8.6203
10000	-86.0289	9.5576
11000	-63.5037	10.5105
12000	-62.3482	11.4478
13000	-76.6904	12.3538
14000	-81.6967	13.3224
15000	-77.5265	14.2128
16000	-52.5051	15.2282
17000	-21.8219	16.1186
18000	-73.1218	17.1652
19000	-86.3286	18.1337
20000	-72.3377	19.0398
21000	-19.379	20.0239
22000	-59.6265	20.93
23000	-83.7875	21.9766
24000	-23.231	22.9764
25000	-61.7788	23.8824
26000	-47.518	24.8509
27000	-62.5688	25.8195
28000	-59.6715	26.8192
29000	-81.3902	27.7721
30000	-18.7088	28.6625
31000	-46.1346	29.5998
32000	-48.1488	30.5684
33000	-80.6734	31.5369
34000	-51.0001	32.4429
35000	-48.4794	33.3802
36000	-24.1592	34.3175
37000	-22.1482	35.4293
38000	-22.3107	36.3271
39000	-19.2541	37.3117
40000	-20.1997	38.2151
41000	-19.0727	39.168
42000	-18.1943	40.1521
43000	-18.5292	41.0738
44000	-22.3868	41.9955
45000	-22.1393	42.8859
46000	-49.9448	43.8388
47000	-24.1352	44.7604
48000	-25.937	45.7446
49000	-29.8611	46.6506
50000	-21.5949	47.6348
51000	-25.3691	48.5564
52000	-55.983	49.4937
53000	-20.9146	50.4466
54000	-19.5077	51.3995
55000	-18.3286	52.3524
56000	-25.1845	53.2897
57000	-18.9584	54.2895
58000	-22.4739	55.3361
59000	-20.0916	56.4452
60000	-24.9797	57.3981
61000	-21.0887	58.3823
62000	-20.5221	59.3664
63000	-17.0618	60.3193
64000	-50.5764	61.241
65000	-65.8432	62.1939
66000	-14.3263	63.1156
67000	-24.8977	64.0372
68000	-73.539	64.9433
69000	-111.6726	65.9118
70000	-88.361	66.8199
71000	-60.7255	67.7103
72000	-19.7126	68.6476
73000	-19.7962	69.5848
74000	-16.8484	70.5065
75000	-21.5992	71.3969
76000	-16.6358	72.3811
77000	-20.9459	73.2871
78000	-48.1127	74.1931
79000	-16.0975	75.1148
80000	-19.9658	76.1146
81000	-53.3036	77.13
82000	-18.0924	78.0829
83000	-20.3247	79.0514
84000	-19.3952	80.0199
85000	-23.7535	80.9572
86000	-23.5669	81.9257
87000	-18.3469	82.8161
88000	-66.8991	83.7534
89000	-15.9214	84.7219
90000	-15.17	85.6592
91000	-15.8107	86.5809
92000	-11.0968	87.5025
93000	-61.7815	88.393
94000	-49.9959	89.3459
95000	-12.246	90.2519
96000	-14.1986	91.1736
97000	-15.2072	92.1421
98000	-44.286	93.1262
99000	-45.4543	94.0323
100000	-14.5601	94.9641
101000	-87.9212	95.8717
102000	-77.3575	96.7364
103000	-12.1393	97.6081
104000	-14.7773	98.5057
105000	-65.6258	99.3325
106000	-78.5345	100.2251
107000	-64.1776	101.1227
108000	-62.2511	101.9714
109000	-18.3894	102.887
110000	-56.5548	103.7706
111000	-63.8966	104.5804
112000	-18.7535	105.3973
113000	-17.7006	106.3288
114000	-68.9115	107.2493
115000	-61.2975	108.1549
116000	-21.2757	109.0934
117000	-67.1676	109.9451
118000	-16.1265	110.8656
119000	-45.5966	111.7523
120000	-92.5769	112.6718
121000	-60.2334	113.5365
122000	-44.7378	114.4321
123000	-20.4583	115.3387
124000	-17.0128	116.2283
125000	-83.1753	117.1399
126000	-103.7444	118.0126
127000	-9.3812	118.9132
128000	-47.1962	119.7848
129000	-16.3826	120.6934
130000	-15.864	121.586
131000	-109.3381	122.4966
132000	-102.6423	123.447
133000	-71.4104	124.3359
134000	-76.5371	125.2576
135000	-18.349	126.2261
136000	-13.5427	127.1321
137000	-10.143	128.0538
138000	-9.9111	128.9802
139000	-86.1675	129.9019
140000	-17.2916	130.8079
141000	-59.7434	131.6827
142000	-88.3263	132.5887
143000	-17.3991	133.5417
144000	-10.3015	134.5102
145000	-13.8802	135.4475
146000	-13.931	136.3379
147000	-46.5682	137.3064
148000	-44.2682	138.2593
149000	-60.429	139.3216
150000	-11.3934	140.2589
151000	-12.1608	141.243
152000	-17.6145	142.2115
153000	-14.4208	143.1488
154000	-13.9348	144.0705
155000	-10.8183	145.039
156000	-12.964	145.9763
157000	-14.4503	146.9448
158000	-12.5139	147.8352
159000	-13.3575	148.7725
160000	-11.15	149.741
161000	-62.4205	150.6627
162000	-14.9017	151.6
163000	-44.1434	152.5997
164000	-15.1331	153.537
