time_step	reward_avg	time
1000	-70.029	0.9734
2000	-15.1138	1.875
3000	-12.9348	2.8035
4000	-97.5331	3.6931
5000	-90.3852	4.595
6000	-81.6361	5.5352
7000	-90.2035	6.535
8000	-79.5993	7.5972
9000	-64.9204	8.6282
10000	-62.0662	9.628
11000	-84.5545	10.534
12000	-49.506	11.4869
13000	-47.6837	12.5023
14000	-63.9066	13.4396
15000	-66.6973	14.3769
16000	-66.2725	15.3454
17000	-45.595	16.3296
18000	-20.5376	17.3137
19000	-49.209	18.251
20000	-26.1305	19.2664
21000	-19.2781	20.2818
22000	-20.1449	21.219
23000	-17.2619	22.1251
24000	-65.1432	23.078
25000	-63.6318	23.9996
26000	-25.1071	24.9525
27000	-23.3138	25.8586
28000	-19.8929	26.8115
29000	-23.8582	27.8269
30000	-57.423	28.7798
31000	-23.303	29.7171
32000	-25.2872	30.6387
33000	-23.6533	31.5604
34000	-19.5899	32.5445
35000	-20.1225	33.4818
36000	-50.3258	34.461
37000	-23.5839	35.5551
38000	-21.9532	36.5122
39000	-20.8981	37.4388
40000	-66.2877	38.3579
41000	-65.3696	39.2796
42000	-52.4144	40.295
43000	-63.0125	41.2635
44000	-23.1936	42.3258
45000	-85.8546	43.2474
46000	-25.243	44.1847
47000	-19.0888	45.1689
48000	-17.5953	46.153
49000	-20.9894	47.1528
50000	-65.5911	48.1057
51000	-27.2494	49.0586
52000	-17.6388	49.9959
53000	-22.7032	51.0425
54000	-19.3766	52.0423
55000	-19.5243	53.042
56000	-21.4658	53.9949
57000	-76.7965	54.9791
58000	-65.9987	55.8851
59000	-17.2317	56.8849
60000	-69.3897	57.9003
61000	-19.8584	58.8532
62000	-19.0707	59.8217
63000	-68.2213	60.7746
64000	-20.0	61.7431
65000	-21.7314	62.6804
66000	-61.9518	63.6645
67000	-80.2407	64.555
68000	-89.0014	65.4922
69000	-64.4147	66.4451
70000	-14.1948	67.398
71000	-59.658	68.297
72000	-70.5734	69.2187
73000	-95.8771	70.1091
74000	-16.9818	71.0464
75000	-77.8705	71.9368
76000	-71.2437	72.8741
77000	-73.4505	73.827
78000	-11.6916	74.8111
79000	-13.5711	75.8421
80000	-16.526	76.7482
81000	-14.8832	77.6386
82000	-13.2145	78.654
83000	-87.4025	79.7006
84000	-62.4175	80.6223
85000	-16.1621	81.5283
86000	-66.0974	82.45
87000	-9.5866	83.356
88000	-49.9222	84.3245
89000	-75.7035	85.1993
90000	-13.7684	86.1522
91000	-20.3729	87.152
92000	-11.4661	88.183
93000	-51.4146	89.1515
94000	-21.7636	90.1201
95000	-13.3177	91.0886
96000	-63.724	92.0259
97000	-23.2446	92.9006
98000	-20.1011	93.8379
99000	-17.4591	94.8008
