time_step	reward_avg	time
1000	-73.3948	0.9529
2000	-100.6792	1.8589
3000	-66.2492	2.8118
4000	-90.2556	3.7023
5000	-66.9276	4.6395
6000	-72.1849	5.6393
7000	-47.8512	6.5297
8000	-24.5488	7.4982
9000	-20.9691	8.4512
10000	-52.6928	9.4041
11000	-18.8894	10.3413
12000	-93.0749	11.2942
13000	-59.2638	12.2628
14000	-20.2426	13.2157
15000	-74.2617	14.1373
16000	-18.4296	15.0746
17000	-15.7448	16.0744
18000	-51.0156	17.0273
19000	-19.6629	17.9958
20000	-54.1786	18.9643
21000	-18.5843	19.8704
22000	-17.2871	20.7764
23000	-57.6057	21.7449
24000	-17.4086	22.6978
25000	-18.9074	23.7294
26000	-42.6713	24.6354
27000	-13.8268	25.5258
28000	-72.1157	26.4319
29000	-14.4652	27.3535
30000	-15.5103	28.2752
31000	-16.7856	29.2593
32000	-16.5541	30.2591
33000	-45.8957	31.1495
34000	-15.986	32.1024
35000	-18.0962	33.0397
36000	-68.3167	33.9926
37000	-14.7951	34.8774
38000	-49.3425	35.78
39000	-80.9768	36.6806
40000	-22.46	37.5453
41000	-20.9858	38.422
42000	-26.5032	39.3236
43000	-79.2763	40.2162
44000	-75.2547	41.1247
45000	-26.4057	42.0343
46000	-80.0714	42.9219
47000	-109.1841	43.8505
48000	-74.157	44.751
49000	-19.6454	45.6706
50000	-54.4654	46.5602
51000	-16.2241	47.4688
52000	-80.5202	48.3614
53000	-76.5224	49.2929
54000	-72.9673	50.1716
55000	-15.3271	51.0213
56000	-65.686	51.9049
57000	-70.4982	52.8115
58000	-109.825	53.6822
59000	-118.7196	54.5469
60000	-54.9614	55.4564
61000	-16.1164	56.368
62000	-22.1196	57.1988
63000	-19.6007	58.0914
64000	-77.9643	58.985
65000	-73.0406	59.9156
66000	-55.1048	60.7882
67000	-16.5546	61.6998
68000	-45.5685	62.6313
69000	-21.2787	63.5678
70000	-19.3629	64.5158
71000	-10.9506	65.4687
72000	-68.1235	66.4216
73000	-22.3657	67.3589
74000	-67.4597	68.2649
75000	-97.804	69.2334
76000	-14.3619	70.1083
77000	-114.9007	70.9987
78000	-78.874	71.9672
79000	-83.7018	72.8732
80000	-87.0194	73.7324
81000	-17.0281	74.7009
82000	-24.5772	75.6538
83000	-80.6548	76.5911
84000	-43.9928	77.544
85000	-46.2359	78.4813
86000	-113.7034	79.3717
87000	-58.7229	80.2777
88000	-89.3557	81.2463
89000	-71.5392	82.1992
90000	-22.69	83.1365
91000	-118.2779	84.0581
92000	-58.442	84.9954
93000	-32.4109	85.936
94000	-71.6501	86.842
95000	-64.5756	87.7949
96000	-19.7414	88.7166
97000	-24.7931	89.7007
98000	-118.3547	90.6693
99000	-20.1253	91.6222
100000	-28.8733	92.5907
101000	-22.2506	93.5436
102000	-26.277	94.6442
103000	-22.0945	95.6021
104000	-26.9984	96.5498
105000	-23.2628	97.432
106000	-53.0966	98.3849
107000	-68.5144	99.3378
108000	-55.7112	100.322
109000	-80.0451	101.3061
110000	-29.584	102.1965
111000	-27.4706	103.1338
112000	-22.9628	104.0867
113000	-30.8002	105.0553
114000	-83.0596	106.0238
115000	-17.6824	106.9298
116000	-19.3272	107.8983
117000	-28.9412	108.8044
118000	-67.7502	109.7416
119000	-89.8964	110.7102
120000	-25.8175	111.6787
121000	-22.2275	112.5691
122000	-35.6829	113.4908
123000	-25.9071	114.3656
124000	-50.6475	115.3497
125000	-18.2133	116.305
126000	-28.5902	117.2579
127000	-21.6174	118.1639
128000	-21.7167	119.0699
129000	-16.047	119.9916
130000	-20.0006	120.8976
131000	-14.8878	121.7881
132000	-20.1738	122.7722
133000	-20.8823	123.6939
134000	-61.3735	124.5843
135000	-24.4441	125.4591
136000	-46.2303	126.3964
137000	-112.7563	127.3493
138000	-24.1622	128.2553
139000	-48.1251	129.2238
140000	-30.9824	130.1611
141000	-49.5948	131.0828
142000	-22.1257	131.9419
143000	-21.2458	132.9417
144000	-27.4118	133.9727
145000	-25.2235	134.9569
146000	-65.3396	135.8629
147000	-25.0078	136.7846
148000	-17.3331	137.7375
149000	-20.4306	138.6435
150000	-21.4246	139.5808
151000	-20.2461	140.5024
152000	-17.7963	141.4397
153000	-57.3996	142.3614
154000	-20.5644	143.2362
155000	-74.1155	144.1422
156000	-49.174	145.0639
157000	-16.4943	146.0168
158000	-50.801	146.9541
159000	-61.7681	147.9194
160000	-74.4222	148.8254
161000	-87.2108	149.8096
162000	-43.914	150.7781
163000	-14.7524	151.731
164000	-59.9689	152.6527
165000	-24.8164	153.5743
166000	-48.6952	154.5378
167000	-51.1584	155.4978
168000	-15.9167	156.4719
169000	-13.6114	157.4054
170000	-60.7242	158.3115
171000	-17.9963	159.2488
172000	-21.487	160.2798
173000	-33.9044	161.2014
174000	-13.6245	162.17
175000	-49.1587	163.0916
176000	-27.3871	164.0289
177000	-27.7671	164.9818
178000	-58.1578	165.9191
179000	-46.9146	166.8407
180000	-56.1445	167.7624
181000	-25.9193	168.6841
182000	-18.9467	169.5276
183000	-21.3931	170.5118
184000	-87.0475	171.449
185000	-61.1476	172.4019
186000	-45.7477	173.3392
187000	-24.547	174.3234
188000	-28.5208	175.245
189000	-36.0076	176.2136
190000	-67.4703	177.1977
191000	-23.0687	178.1037
192000	-47.225	179.0549
193000	-23.9811	179.9922
194000	-18.2966	180.9139
195000	-14.9992	181.8199
196000	-13.6946	182.7884
197000	-17.3502	183.6945
198000	-69.2838	184.6161
199000	-16.8286	185.6003
200000	-15.1017	186.5376
201000	-11.7523	187.4592
202000	-25.9768	188.4121
203000	-13.9194	189.3182
204000	-17.2793	190.2711
205000	-11.4779	191.224
206000	-9.8913	192.1613
207000	-20.5666	193.0673
208000	-20.9276	194.0202
209000	-89.1951	194.9262
210000	-58.3505	195.8323
211000	-11.3215	196.7852
212000	-18.424	197.7381
213000	-9.9535	198.6597
214000	-14.9319	199.6283
215000	-15.221	200.5812
216000	-61.9338	201.5341
217000	-8.8758	202.487
218000	-16.8611	203.4243
219000	-61.2639	204.3459
220000	-43.0858	205.252
221000	-9.9374	206.158
222000	-55.5147	207.1265
223000	-14.851	208.0638
224000	-17.6108	208.9855
225000	-10.353	209.9663
226000	-12.6066	210.888
227000	-18.4679	211.9034
228000	-64.3342	212.8719
229000	-59.9329	213.7779
230000	-74.5154	214.8425
231000	-37.7479	215.7194
232000	-11.323	216.6431
233000	-76.5167	217.5617
234000	-86.2277	218.499
235000	-78.3165	219.3894
236000	-58.1877	220.3267
237000	-73.0502	221.2171
238000	-76.9005	222.2013
239000	-43.2222	223.0917
240000	-59.6714	224.0446
241000	-12.8958	224.9663
242000	-46.142	225.8254
243000	-10.483	226.7627
244000	-10.3441	227.6824
245000	-44.0404	228.6353
246000	-74.1302	229.5413
247000	-40.3171	230.4786
248000	-11.4386	231.4159
249000	-22.1062	232.4157
250000	-58.474	233.353
251000	-10.7547	234.259
252000	-12.6044	235.2119
253000	-11.2636	236.1492
254000	-41.1003	237.1646
