time_step	reward_avg	time
1000	-85.8362	0.8788
2000	-54.7601	1.8473
3000	-27.6479	2.7846
4000	-74.5868	3.6906
5000	-52.921	4.6435
6000	-18.0852	5.5808
7000	-76.787	6.5805
8000	-18.8288	7.5334
9000	-62.1983	8.4864
10000	-36.4651	9.3924
11000	-18.8816	10.3141
12000	-65.3404	11.1888
13000	-19.3512	12.1261
14000	-20.498	13.0946
15000	-17.8568	14.1257
16000	-23.499	15.1098
17000	-23.1122	16.0471
18000	-17.5923	17.0156
19000	-22.336	17.9842
20000	-19.3109	18.9527
21000	-17.4628	19.8743
22000	-50.9866	20.796
23000	-17.492	21.7957
24000	-61.3077	22.8111
25000	-48.4601	23.764
26000	-46.303	24.7169
27000	-17.795	25.6386
28000	-17.8074	26.6384
29000	-98.5621	27.56
30000	-50.4386	28.5285
31000	-21.2757	29.4346
32000	-60.3288	30.3719
33000	-16.3032	31.3404
34000	-41.5242	32.3774
35000	-20.491	33.3826
36000	-15.8286	34.4794
37000	-49.8721	35.4051
38000	-49.8568	36.342
39000	-17.3512	37.2515
40000	-20.4034	38.2044
41000	-19.3904	39.1261
42000	-17.7045	40.079
43000	-18.8442	41.0319
44000	-45.6139	42.016
45000	-18.0528	42.9065
46000	-58.3698	43.9375
47000	-14.8119	44.9314
48000	-64.4842	45.8374
49000	-43.5112	46.7747
50000	-16.1815	47.712
51000	-47.3608	48.6492
52000	-17.1586	49.6334
53000	-16.4878	50.555
54000	-13.716	51.5079
55000	-10.0983	52.4296
56000	-17.3735	53.3825
57000	-46.0247	54.3258
58000	-14.8591	55.2474
59000	-18.2561	56.2004
60000	-11.8248	57.122
61000	-41.6757	58.1062
62000	-13.2231	59.0747
63000	-15.0126	60.0588
64000	-12.9617	61.0273
65000	-17.3434	61.9959
66000	-13.5313	62.9305
67000	-75.1958	63.8834
68000	-12.9212	64.805
69000	-17.6707	65.8517
70000	-13.7012	66.7577
71000	-45.7687	67.7262
72000	-12.3725	68.6948
73000	-10.7957	69.5852
74000	-14.482	70.5225
75000	-13.6981	71.4597
76000	-46.1103	72.4126
77000	-14.1184	73.3968
78000	-47.1673	74.3653
79000	-12.1082	75.3495
80000	-8.9214	76.2867
81000	-10.9527	77.2396
82000	-6.0028	78.2238
83000	-17.4061	79.1454
84000	-12.1588	80.0983
85000	-47.6189	81.0981
86000	-12.6611	81.9729
87000	-12.9181	82.8789
88000	-13.0984	83.8006
89000	-14.3297	84.7366
90000	-12.5177	85.6426
91000	-43.6529	86.6111
92000	-16.122	87.4859
93000	-17.7351	88.5326
94000	-14.5429	89.4855
95000	-10.6853	90.4696
96000	-8.0804	91.3444
97000	-11.8535	92.2348
98000	-15.6707	93.1721
99000	-8.0626	94.0899
100000	-13.6256	94.9686
101000	-16.5567	95.8173
102000	-5.2415	96.685
103000	-7.9892	97.5367
104000	-21.989	98.3824
105000	-5.8548	99.2751
106000	-8.3647	100.1377
107000	-7.1179	101.0353
108000	-7.9485	101.9429
109000	-6.6583	102.8734
110000	-10.6693	103.7331
111000	-11.2837	104.6158
112000	-41.6434	105.4835
113000	-7.2636	106.3432
114000	-6.9152	107.2597
115000	-75.117	108.1015
116000	-6.7489	108.9891
117000	-9.7263	109.8538
118000	-4.8128	110.7643
119000	-37.2862	111.6679
120000	0.8261	112.5246
121000	-7.9068	113.4103
122000	-6.9612	114.251
123000	-10.8248	115.0948
