time_step	reward_avg	time
1000	-19.8111	0.8904
2000	-53.8833	1.8277
3000	-64.5601	2.8275
4000	-24.2798	3.7492
5000	-63.1361	4.6709
6000	-19.9082	5.6727
7000	-18.3758	6.61
8000	-18.0807	7.5941
9000	-18.6572	8.5471
10000	-86.5962	9.5937
11000	-15.5206	10.5935
12000	-18.7334	11.5933
13000	-48.9165	12.6087
14000	-48.3133	13.5304
15000	-15.4671	14.452
16000	-19.3545	15.4518
17000	-67.293	16.3735
18000	-55.5957	17.3576
19000	-79.4064	18.3106
20000	-51.3274	19.2947
21000	-84.7483	20.2945
22000	-47.105	21.1849
23000	-27.733	22.1066
24000	-25.0428	23.0595
25000	-54.947	24.0124
26000	-24.2498	24.9497
27000	-23.5483	25.8558
28000	-24.9029	26.9024
29000	-23.8653	27.8241
30000	-22.0528	28.8239
31000	-61.5992	29.8236
32000	-63.8818	30.7453
33000	-49.3252	31.6982
34000	-63.1396	32.6511
35000	-24.7138	33.7573
36000	-65.6951	34.6241
37000	-66.1783	35.7077
38000	-45.3915	36.7218
39000	-22.575	37.6591
40000	-47.8848	38.6433
41000	-15.4411	39.5493
42000	-59.4003	40.4866
43000	-64.5219	41.4708
44000	-47.8777	42.4393
45000	-27.6011	43.3922
46000	-65.0818	44.3295
47000	-41.8764	45.2824
48000	-77.3334	46.2041
49000	-18.6728	47.0945
50000	-18.8216	48.0631
51000	-20.673	49.016
52000	-22.1669	49.9845
53000	-17.2976	50.9062
54000	-20.0073	51.8435
55000	-67.555	52.8277
56000	-16.2728	53.7337
57000	-22.0801	54.671
58000	-15.7727	55.6239
59000	-26.009	56.5768
60000	-15.5213	57.5297
61000	-20.5094	58.4671
62000	-50.1971	59.4512
63000	-17.6516	60.3416
64000	-61.6793	61.3414
65000	-16.8342	62.2475
66000	-17.1201	63.2004
67000	-16.2494	64.1533
68000	-87.7257	65.0593
69000	-24.6295	65.9966
70000	-16.6465	66.9942
71000	-65.2212	67.9073
72000	-53.3311	68.7977
73000	-79.5415	69.735
74000	-21.9671	70.6723
75000	-54.7088	71.6409
76000	-20.603	72.6094
77000	-50.7794	73.5623
78000	-19.7347	74.5152
79000	-23.8005	75.4369
80000	-22.0057	76.3898
81000	-17.3864	77.3584
82000	-49.1199	78.28
83000	-31.1768	79.2486
84000	-19.3593	80.2171
85000	-22.1409	81.2169
86000	-28.9137	82.1854
87000	-20.4281	83.0915
88000	-17.1908	84.0131
89000	-30.6226	84.966
90000	-60.1144	85.919
91000	-61.5697	86.8875
92000	-19.0087	87.8248
93000	-19.9349	88.7621
94000	-20.2146	89.6525
95000	-23.2159	90.5586
96000	-21.9512	91.449
97000	-23.9845	92.3863
98000	-69.1035	93.2934
99000	-33.8992	94.191
100000	-24.2385	95.0996
101000	-30.6255	95.9942
102000	-16.8707	96.9028
103000	-17.7309	97.8124
104000	-20.8594	98.6482
105000	-19.7757	99.5179
106000	-17.5415	100.4454
107000	-20.3142	101.336
108000	-14.8269	102.2277
109000	-18.5223	103.1462
110000	-21.0909	104.0747
111000	-82.0909	104.9793
112000	-16.35	105.9039
113000	-15.8771	106.8265
114000	-18.139	107.755
115000	-66.6641	108.7024
116000	-23.2158	109.604
117000	-23.4321	110.5266
118000	-24.5557	111.4132
