time_step	reward_avg	time
1000	22.4773	0.3437
2000	28.4857	0.7342
3000	27.8333	1.1091
4000	31.9032	1.484
5000	35.2069	1.8433
6000	41.5833	2.2026
7000	40.75	2.5776
8000	52.0	2.9368
9000	53.6316	3.2961
10000	51.7895	3.6554
11000	56.0556	3.9991
12000	76.0	4.3584
13000	67.0	4.702
14000	64.5	5.0145
15000	84.9091	5.3582
16000	174.3333	5.6862
17000	121.0	6.0299
18000	133.1429	6.3891
19000	161.5	6.7172
20000	143.375	7.0765
21000	130.7143	7.3889
22000	261.75	7.7326
23000	157.5	8.0763
24000	248.5	8.4043
25000	199.6	8.748
26000	212.4	9.0761
27000	256.5	9.4041
28000	192.0	9.7478
29000	196.0	10.0914
30000	236.3333	10.4351
31000	271.0	10.7788
32000	317.6667	11.0953
33000	210.75	11.439
34000	330.0	11.7983
35000	322.3333	12.1107
36000	309.0	12.4231
37000	304.3333	12.7512
38000	241.75	13.0949
39000	217.4	13.4229
40000	474.0	13.7509
41000	500.0	14.0946
42000	367.6667	14.4383
43000	459.5	14.7819
44000	492.5	15.11
45000	418.0	15.4224
46000	415.3333	15.7505
47000	425.0	16.1098
48000	291.75	16.4378
49000	323.0	16.7815
50000	500.0	17.1095
51000	471.0	17.4376
52000	278.5	17.7812
53000	500.0	18.1249
54000	500.0	18.453
55000	500.0	18.8123
56000	487.5	19.1559
57000	500.0	19.5152
58000	500.0	19.8589
59000	379.3333	20.2026
60000	476.0	20.5306
61000	500.0	20.8743
62000	449.0	21.2023
63000	500.0	21.5616
64000	500.0	21.8897
65000	485.5	22.2177
66000	500.0	22.5458
67000	409.0	22.8738
68000	465.5	23.2175
69000	500.0	23.5612
70000	500.0	23.8892
71000	484.5	24.2329
72000	500.0	24.5609
73000	500.0	24.9046
74000	500.0	25.2326
75000	423.5	25.5607
76000	440.3333	25.8887
77000	500.0	26.2324
78000	338.0	26.5605
79000	335.0	26.8885
80000	500.0	27.2166
81000	500.0	27.5602
82000	500.0	27.8883
83000	368.3333	28.2319
84000	500.0	28.5756
85000	469.5	28.9037
86000	458.5	29.2317
87000	500.0	29.5754
88000	500.0	29.9034
