time_step	reward_avg	time
1000	21.1489	0.3437
2000	23.9756	0.7342
3000	28.5143	1.1091
4000	42.5833	1.4684
5000	39.48	1.8121
6000	45.1905	2.187
7000	56.0526	2.5619
8000	47.6667	2.9524
9000	54.7059	3.3274
10000	58.3333	3.6398
11000	106.4444	3.9835
12000	75.5833	4.3115
13000	125.25	4.6396
14000	123.2222	4.9988
15000	165.6667	5.3425
16000	157.0	5.6706
17000	137.5714	6.0299
18000	156.2857	6.3735
19000	159.3333	6.7016
20000	219.25	7.014
21000	202.4	7.3577
22000	160.5714	7.717
23000	252.25	8.0607
24000	180.4	8.4043
25000	236.25	8.7636
26000	314.3333	9.076
27000	255.6	9.4197
28000	225.5	9.7634
29000	234.5	10.2164
30000	212.8	10.5757
31000	297.3333	10.8881
32000	244.75	11.2474
33000	278.0	11.6067
34000	266.0	11.9347
35000	326.3333	12.2472
36000	242.3333	12.5928
37000	294.0	12.9365
38000	271.0	13.2489
39000	308.0	13.577
40000	303.0	13.905
41000	329.0	14.2643
42000	402.0	14.608
43000	500.0	14.9516
44000	500.0	15.2953
45000	500.0	15.6546
46000	353.0	15.9983
47000	247.0	16.3107
48000	388.3333	16.67
49000	276.6667	17.0137
50000	356.6667	17.3573
51000	500.0	17.6854
52000	407.6667	18.029
53000	500.0	18.3571
54000	500.0	18.6852
55000	470.0	19.0288
56000	406.0	19.3569
57000	306.25	19.6849
58000	438.0	20.0286
59000	327.3333	20.3879
60000	415.0	20.7315
61000	442.3333	21.0752
62000	500.0	21.4033
63000	500.0	21.7313
64000	287.6667	22.0594
65000	434.0	22.403
66000	500.0	22.7311
67000	337.0	23.0748
68000	491.0	23.4184
69000	500.0	23.7465
70000	391.3333	24.0745
71000	488.0	24.4182
72000	353.6667	24.7619
73000	362.6667	25.0899
74000	439.0	25.418
75000	389.5	25.7616
76000	443.5	26.0897
77000	500.0	26.4178
78000	500.0	26.7614
79000	481.0	27.1051
80000	500.0	27.4175
81000	500.0	27.7456
82000	500.0	28.1048
83000	474.0	28.4485
84000	500.0	28.7766
85000	249.25	29.1046
86000	500.0	29.417
87000	336.3333	29.7607
88000	328.0	30.0888
