time_step	reward_avg	time
1000	-194.8877	0.4374
2000	-147.2017	0.8748
3000	-195.8633	1.3434
4000	-176.1956	1.8277
5000	-114.2228	2.4838
6000	-158.4012	2.9525
7000	-137.1268	3.4054
8000	-140.5243	3.8741
9000	-112.1379	4.3271
10000	-174.564	4.8114
11000	-173.1401	5.2644
12000	-121.2719	5.733
13000	-110.1313	6.2017
14000	-100.7278	6.6859
15000	-129.4258	7.1546
16000	-106.4925	7.6545
17000	-120.7449	8.1116
18000	-113.6389	8.5803
19000	-84.2795	9.0646
20000	-88.1006	9.5488
21000	-175.6548	10.0175
22000	-121.5251	10.4705
23000	-112.8601	10.9547
24000	-89.2006	11.439
25000	-127.2692	11.9389
26000	-100.7394	12.3763
27000	-79.7668	12.8918
28000	-86.6698	13.3917
29000	-61.0924	14.0947
30000	-83.8982	14.5789
31000	-94.4369	15.0632
32000	-108.1534	15.5631
33000	-89.8458	16.063
34000	-103.0165	16.5628
35000	-72.6723	17.0315
36000	-99.5034	17.5001
37000	-93.3536	18.0
38000	-93.693	18.4999
39000	-74.8253	18.9685
40000	-62.8829	19.4684
41000	-70.599	19.9527
42000	-59.0192	20.4682
43000	-28.5333	21.1087
44000	-67.273	21.6242
45000	-45.4335	22.1241
46000	-93.6267	22.6552
47000	-28.464	23.405
48000	-34.7449	23.8893
49000	-23.249	24.4204
50000	-18.7476	25.1546
51000	-241.3776	26.0138
52000	-74.412	26.8573
53000	-106.4477	27.7009
54000	-63.6271	28.4249
55000	-17.2174	29.2307
56000	5.5028	29.9857
57000	11.2288	30.991
58000	-96.0933	31.768
59000	28.7505	32.7145
60000	-3.376	33.262
61000	-39.8248	34.0229
62000	-78.6882	34.6802
63000	-141.5741	35.5608
64000	-77.1293	36.3188
65000	-63.4581	37.1287
66000	-5.3509	37.9485
67000	55.6655	38.876
68000	13.7283	39.633
69000	-32.1414	40.5206
70000	51.3581	41.3574
71000	57.2261	42.2081
72000	22.2287	42.8883
73000	24.6005	43.6064
74000	66.8341	44.478
75000	52.5675	45.1871
76000	23.5006	46.0648
77000	40.4031	46.7779
78000	-17.9347	47.2995
79000	-7.037	47.9807
80000	54.0401	49.0209
81000	107.9656	49.8826
82000	32.0815	50.5229
83000	19.014	51.3018
84000	11.5406	51.8564
85000	42.1933	52.7589
86000	19.2806	53.4431
87000	32.1261	54.1642
88000	3.518	54.979
89000	73.7745	55.8936
90000	48.8023	56.6396
91000	-29.7325	57.4305
92000	41.9192	58.1825
93000	82.5902	59.0472
94000	-12.7203	59.6286
95000	38.5548	60.3447
96000	-5.8504	61.0789
97000	-10.7201	61.7038
98000	104.7617	62.6254
99000	-24.564	63.2347
100000	57.3988	64.1876
101000	104.0359	65.1561
102000	22.5584	65.781
103000	19.4916	66.562
104000	91.3355	67.3431
105000	13.5242	68.0461
106000	-29.6033	68.7178
107000	-34.8733	69.3427
108000	-15.5939	70.1786
109000	-7.2391	70.944
110000	38.9725	71.8032
111000	-19.456	72.553
112000	91.1405	73.4434
113000	-61.6592	74.2714
114000	25.7453	75.0212
115000	93.6157	75.9116
116000	6.9504	76.9114
117000	34.2104	77.7706
118000	64.7675	78.6454
119000	58.9327	79.4108
120000	-91.1261	80.2388
121000	21.7932	80.9417
122000	6.3172	81.7853
123000	105.5811	82.6288
124000	18.5092	83.4412
125000	47.9417	84.4253
126000	52.2645	85.2845
127000	105.7283	86.2374
128000	40.0385	87.0028
129000	123.9071	87.8886
130000	53.8371	88.8243
131000	74.6412	89.5786
132000	135.2031	90.4739
133000	72.0761	91.4749
134000	51.5043	92.2248
135000	44.0105	92.8965
136000	48.422	93.7557
137000	82.7435	94.6773
138000	64.9396	95.4271
139000	70.4979	96.2395
140000	34.7284	96.8956
141000	39.2744	97.5673
142000	31.171	98.4421
143000	58.64	99.1294
144000	37.9783	99.9105
145000	130.5299	100.7072
146000	41.5501	101.4982
147000	100.3189	102.4511
148000	30.1078	103.1385
149000	82.1241	103.8883
150000	47.0978	104.6225
151000	116.1451	105.4348
152000	126.014	106.3252
153000	138.3743	107.1845
154000	120.4958	108.4449
155000	111.6093	109.5141
156000	86.9612	110.4513
157000	94.5478	111.2973
158000	62.6301	112.09
159000	25.3796	112.7333
160000	58.0206	113.4394
161000	38.9185	114.1294
162000	18.1334	114.8628
163000	119.5861	115.722
164000	130.9309	116.6874
165000	48.2017	117.5042
166000	44.6042	118.5094
167000	95.8714	119.5012
168000	130.9968	120.3749
169000	137.9995	121.3014
170000	121.5539	122.1771
171000	137.5185	123.0548
172000	77.6052	123.9025
173000	46.363	124.6984
174000	7.8577	125.5312
175000	120.2884	126.3809
176000	91.2257	127.2835
177000	78.9833	128.1372
178000	133.2153	128.9381
179000	101.1222	129.7948
180000	104.6396	130.5348
181000	84.8585	131.3336
182000	77.5553	132.1019
183000	48.0646	132.9213
184000	110.5589	133.8509
185000	60.3878	134.54
186000	186.6944	135.4267
187000	122.6998	136.1258
188000	103.1669	136.9476
189000	102.5124	137.6727
190000	150.9801	138.5034
191000	157.0726	139.3582
192000	117.7961	140.1431
193000	165.1757	140.9888
194000	134.4482	141.9134
195000	97.6516	142.6006
196000	42.4162	143.3346
197000	160.8238	144.1864
198000	60.1631	145.1348
199000	162.4275	145.9437
200000	113.0024	146.7954
201000	106.3286	147.4896
202000	102.2837	148.2136
203000	137.8618	149.0574
204000	141.0088	150.0311
205000	89.1556	150.8517
206000	107.7909	151.6328
207000	142.425	152.5315
208000	98.0563	153.2118
209000	98.8901	154.0623
210000	63.4362	154.7196
211000	134.2384	155.5247
212000	77.6266	156.2473
213000	95.267	157.0571
214000	65.0853	157.7997
215000	167.9175	158.5916
216000	44.2596	159.1708
217000	183.6348	160.0436
218000	139.9607	160.8694
219000	59.309	161.6393
220000	122.1957	162.4643
221000	12.536	163.1295
222000	145.1321	163.9356
223000	77.576	164.5579
224000	108.2635	165.3837
225000	38.4658	166.0988
226000	99.6134	166.9256
227000	63.9961	167.7693
228000	119.3295	168.6031
229000	99.6508	169.377
230000	-38.4964	170.0084
231000	138.7448	170.7953
232000	119.065	171.63
233000	11.5372	172.1646
234000	0.3668	172.774
235000	19.2827	173.5818
236000	59.849	174.2231
237000	51.1981	174.9721
238000	103.8289	175.7281
239000	63.2932	176.4322
240000	72.3037	177.2401
241000	63.805	178.1127
242000	151.6788	178.9934
243000	148.7929	179.9299
244000	86.7005	180.7168
245000	131.9565	181.5845
246000	107.8784	182.3046
247000	161.5692	183.0895
248000	111.4052	183.9312
249000	137.8605	184.8158
250000	142.7661	185.6669
251000	120.0514	186.4275
252000	123.0155	187.2981
253000	32.7594	188.081
254000	57.9957	188.8809
255000	68.5828	189.6389
256000	166.5248	190.4288
257000	36.0586	191.091
258000	-14.8644	191.8789
259000	122.0381	192.6607
260000	106.3792	193.3982
261000	152.6119	194.1867
262000	104.4245	195.0019
263000	72.5285	195.9295
264000	154.1558	196.6914
265000	170.1107	197.4913
266000	147.9472	198.2892
267000	170.5252	199.0451
268000	116.3548	199.855
269000	152.0712	200.6648
270000	126.5704	201.4029
271000	62.2962	202.1828
272000	150.5567	203.0006
273000	117.2371	203.7266
274000	137.002	204.5923
275000	106.9568	205.4381
276000	104.4546	206.3078
277000	87.8935	207.0777
278000	115.791	207.7439
279000	72.3511	208.5169
280000	71.462	209.3137
281000	104.1003	210.2031
282000	64.9701	210.9449
283000	82.8049	211.6791
284000	103.062	212.477
285000	78.7059	213.1958
286000	116.0911	213.9334
287000	72.7429	214.5883
288000	44.883	215.1964
289000	162.451	215.925
290000	130.4456	216.7498
291000	97.2266	217.5098
292000	129.0599	218.352
293000	-0.2129	218.8706
294000	64.1443	219.5544
295000	79.1917	220.1391
296000	31.2005	220.8542
297000	45.2449	221.5024
298000	24.4313	222.1108
299000	159.6026	222.9047
300000	84.8428	223.5864
301000	64.8524	224.2885
302000	109.063	224.974
303000	140.5633	225.7082
304000	138.1525	226.4647
305000	77.9832	227.1649
306000	165.8212	227.9707
307000	57.556	228.6768
308000	113.8427	229.383
309000	38.0336	229.9983
310000	157.8057	230.7922
311000	82.6835	231.5242
312000	123.7872	232.3161
313000	94.7681	233.0043
314000	146.7772	233.7652
315000	71.2808	234.589
316000	9.8271	235.1984
317000	71.3031	235.9374
318000	90.3864	236.7383
319000	107.8179	237.4773
320000	98.2234	238.1655
321000	74.1701	238.8267
322000	84.2207	239.5468
323000	30.3698	240.1921
324000	116.4306	241.0219
325000	52.1291	241.6512
326000	58.9226	242.4411
327000	75.1464	243.1831
328000	35.2618	243.9321
329000	47.7805	244.7489
330000	118.4008	245.5378
331000	118.4492	246.3746
332000	70.048	247.0438
333000	-25.5737	247.8128
334000	79.9066	248.485
335000	92.6671	249.3277
336000	36.9509	250.0737
337000	129.4668	250.8546
338000	89.7398	251.6685
339000	36.6665	252.3626
340000	61.7781	253.1276
341000	57.5377	253.8157
342000	-35.8362	254.322
343000	75.9097	255.0851
344000	45.6217	255.7373
345000	120.9038	256.4685
346000	57.1849	257.1273
347000	91.9014	257.7746
348000	110.2969	258.5725
349000	23.1466	259.2676
350000	34.2735	259.9492
351000	61.711	260.6522
352000	99.8961	261.3944
353000	12.105	261.9509
354000	19.0934	262.64
355000	-6.6241	263.2853
356000	131.9929	263.9784
357000	65.2319	264.5858
358000	115.4241	265.283
359000	62.7727	266.0024
360000	94.9031	266.7095
361000	63.2456	267.4535
362000	70.657	268.1975
363000	33.9296	268.8897
364000	75.23	269.7272
365000	46.0519	270.329
366000	156.922	271.0611
367000	53.594	271.7404
368000	57.393	272.5233
369000	134.6801	273.3897
370000	127.9889	274.1596
371000	78.772	274.9643
372000	11.5087	275.671
373000	101.0799	276.4757
374000	122.4611	277.2338
375000	41.3527	277.9385
376000	88.1597	278.7247
377000	153.7337	279.5474
378000	71.6592	280.3195
379000	138.6744	281.1992
380000	81.8433	282.0608
381000	102.6881	282.8517
382000	17.518	283.5838
383000	60.1412	284.4804
384000	102.9475	285.3647
385000	75.3704	286.1587
386000	103.7018	286.9876
387000	122.4593	287.8903
388000	41.3265	288.5545
389000	33.3684	289.3304
390000	74.3267	290.1233
391000	130.6743	290.9202
392000	150.1338	291.7071
393000	92.7767	292.475
394000	57.8662	293.241
395000	48.1631	293.9381
396000	56.1289	294.77
397000	117.6525	295.6207
398000	131.2518	296.4963
399000	178.1984	297.2304
400000	17.5029	297.9525
401000	81.0351	298.7383
402000	159.0625	299.4434
403000	64.9242	300.2174
404000	46.1322	301.0053
405000	154.1712	301.7443
406000	135.2233	302.5222
407000	116.6526	303.3919
408000	112.5767	304.1619
409000	53.3835	304.8959
410000	97.3009	305.6609
411000	109.428	306.4199
412000	156.5361	307.2077
413000	117.676	307.9537
414000	67.6165	308.603
415000	109.8321	309.4567
416000	153.4159	310.2905
417000	97.2343	311.1472
418000	122.7601	311.9241
419000	128.3564	312.6961
420000	90.7875	313.4431
421000	57.7284	314.0973
422000	110.2289	314.8613
423000	147.3102	315.735
424000	84.9315	316.4565
425000	154.2065	317.2318
426000	108.8395	317.9703
427000	83.3579	318.7739
428000	108.9838	319.5529
429000	-8.5278	320.2031
430000	104.5832	320.9321
431000	145.5034	321.7889
432000	92.586	322.5738
433000	109.2397	323.258
434000	67.9632	323.999
435000	83.8311	324.8308
436000	-1.7294	325.5379
437000	144.4157	326.4165
438000	120.3466	327.2413
439000	96.9651	327.9894
440000	102.9511	328.8331
441000	77.6188	329.6589
442000	154.5881	330.5804
443000	178.3051	331.3681
444000	96.235	332.2023
445000	122.2957	333.1067
446000	110.6343	334.0053
447000	58.8623	334.7344
448000	111.1161	335.4804
449000	142.8734	336.2409
450000	126.1923	336.9311
451000	66.1608	337.6262
452000	99.941	338.3612
453000	18.5288	339.0165
454000	116.4485	339.7156
455000	150.2044	340.4035
456000	181.4945	341.1777
457000	159.5839	341.9626
458000	151.6105	342.6188
459000	153.4482	343.3549
460000	176.0718	344.0939
461000	54.5044	344.7512
462000	135.316	345.3914
463000	69.8798	346.1005
464000	183.9468	346.8745
465000	66.5154	347.6681
466000	53.9349	348.3708
467000	175.4972	349.0761
468000	195.3821	349.95
469000	71.3812	350.6979
470000	159.9989	351.433
471000	89.1549	352.3046
472000	114.194	353.0038
473000	90.4692	353.7937
474000	62.2063	354.6304
475000	126.8792	355.4622
476000	136.7382	356.2312
477000	114.6691	356.9233
478000	115.1616	357.6614
479000	70.7219	358.4592
480000	61.3736	359.1603
481000	157.9836	360.0051
482000	57.1076	360.7012
483000	54.3559	361.5081
484000	171.2685	362.2361
485000	202.2656	363.039
486000	128.497	363.9007
487000	76.788	364.6926
488000	104.0204	365.5244
489000	102.506	366.2594
490000	61.7642	366.9925
491000	119.0559	367.7694
492000	67.4415	368.657
493000	203.5437	369.3342
494000	136.6105	370.143
495000	104.99	370.9708
496000	112.8134	371.7557
497000	144.5189	372.6474
498000	124.3002	373.3904
499000	70.9126	374.1713
500000	161.3299	374.9233
501000	164.0842	375.7481
502000	132.3704	376.5449
503000	158.8033	377.4146
504000	164.2816	378.2989
505000	179.9197	379.0837
506000	105.5965	379.8513
507000	66.2299	380.6529
508000	177.1573	381.495
509000	171.1093	382.2937
510000	165.0184	383.0378
511000	147.6028	383.8366
512000	181.3339	384.6026
513000	138.7451	385.4703
514000	138.0759	386.4187
515000	164.1508	387.2395
516000	156.7154	388.0324
517000	98.5405	388.6997
518000	153.7831	389.4865
519000	131.4746	390.3113
520000	133.1386	391.1282
521000	179.1283	391.9932
522000	162.3725	392.8547
523000	110.8797	393.5733
524000	134.2938	394.3936
525000	170.1912	395.2769
526000	161.9648	396.1648
527000	103.7874	396.9257
528000	166.8264	397.7904
529000	57.5185	398.5623
530000	110.4689	399.3562
531000	181.5518	400.0751
532000	142.191	400.9229
533000	110.5778	401.6405
534000	166.7923	402.4495
535000	135.7734	403.2654
536000	158.9129	404.0213
537000	142.5936	404.9309
538000	76.2209	405.6919
539000	151.0479	406.5157
540000	173.3382	407.2666
541000	142.6853	407.9857
542000	171.1495	408.8442
543000	179.0966	409.4847
544000	166.3413	410.2345
545000	175.0248	411.0989
546000	126.8063	411.8175
547000	139.8511	412.6142
548000	162.631	413.3328
549000	158.4203	414.1607
550000	164.2824	415.0199
551000	159.3687	415.8634
552000	144.752	416.6757
553000	165.9304	417.4568
554000	91.5492	418.2691
555000	139.0244	419.0033
556000	161.8136	419.8
557000	142.3114	420.6905
558000	181.9809	421.3778
559000	180.9428	422.1901
560000	153.6786	423.0337
561000	61.9406	423.7991
562000	172.9271	424.5489
563000	101.4019	425.2363
564000	152.7245	426.0955
565000	136.6758	426.8609
566000	220.2729	427.6889
567000	170.3814	428.4543
568000	89.2983	429.126
569000	47.4414	429.7665
570000	93.6298	430.5632
571000	143.2928	431.2818
572000	156.7078	432.0316
573000	130.2451	432.7502
574000	202.0062	433.5
575000	144.1967	434.3904
576000	160.3807	435.1246
577000	153.3458	436.0151
578000	100.1401	436.7805
579000	134.3358	437.5147
580000	142.9712	438.3114
581000	51.2581	439.03
582000	82.0402	439.7798
583000	172.7834	440.4984
584000	167.4079	441.3732
585000	78.2768	442.1101
586000	144.4104	442.8131
587000	61.6186	443.5941
588000	93.4146	444.3283
589000	75.9008	445.125
590000	174.6047	445.7968
591000	159.9278	446.4997
592000	100.7754	447.2652
593000	143.4694	447.9398
594000	72.8077	448.6509
595000	197.2971	449.4149
596000	197.4841	450.1968
597000	153.7513	451.0256
598000	138.8938	451.8036
599000	165.9577	452.5066
600000	106.1606	453.3754
601000	190.2479	454.1513
602000	154.1651	455.0349
603000	119.454	455.7231
604000	101.5281	456.504
605000	147.2672	457.3747
606000	66.5336	458.0169
607000	149.4254	458.8218
608000	122.7291	459.5977
609000	167.1684	460.4235
610000	168.5554	461.2434
611000	99.8458	462.134
612000	174.6743	462.9238
613000	170.6219	463.6429
614000	122.1498	464.4548
615000	84.1845	465.2616
616000	101.9105	466.0535
617000	132.041	466.8065
618000	162.9408	467.6163
619000	94.6368	468.3853
620000	178.4607	469.1263
621000	161.5215	469.8743
622000	153.3419	470.7031
623000	109.5506	471.4481
624000	145.1024	472.2699
625000	147.7483	473.1565
626000	166.0034	473.9903
627000	103.7327	474.6945
628000	125.5677	475.4055
629000	152.635	476.2822
630000	168.3861	477.0412
631000	135.3925	477.7413
632000	182.6724	478.5342
633000	103.5945	479.2034
634000	145.6422	480.0359
635000	102.8543	480.8951
636000	151.8617	481.598
637000	102.3569	482.426
638000	179.9888	483.2383
639000	92.7323	483.9569
640000	172.5502	484.7536
641000	90.02	485.5034
642000	59.808	486.2063
643000	122.2639	487.0031
644000	45.4468	487.8153
645000	198.9937	488.5495
646000	103.293	489.3775
647000	62.2687	490.0336
648000	146.3427	490.9084
649000	173.515	491.7832
650000	138.4721	492.658
651000	98.2539	493.4078
652000	165.0122	494.2045
653000	154.5681	494.9543
654000	189.2953	495.6886
655000	65.0412	496.3759
656000	79.1371	497.1414
657000	159.9289	497.8755
658000	72.2597	498.5629
659000	141.5974	499.3439
660000	138.2401	500.1719
661000	124.2886	500.8905
662000	160.9454	501.734
663000	59.6623	502.4526
664000	102.4627	503.1243
665000	98.0982	503.8585
666000	75.8513	504.5269
667000	94.0348	505.2611
668000	129.5065	506.011
669000	81.7614	506.6983
670000	155.4892	507.5731
671000	208.6886	508.4199
672000	193.9323	509.2089
673000	234.373	509.9775
674000	102.7758	510.6492
675000	93.9209	511.3559
676000	84.8062	512.0433
677000	99.2195	512.84
678000	168.0457	513.5273
679000	165.1189	514.3396
680000	102.3698	515.0582
681000	159.6559	515.7924
682000	80.4031	516.4641
683000	102.6802	517.1827
684000	62.0481	517.8701
685000	76.0593	518.5418
686000	72.7721	519.2604
687000	104.498	519.9946
688000	109.1037	520.7131
689000	164.0357	521.4474
690000	62.3061	522.3065
691000	168.8244	523.1501
692000	131.7607	523.978
693000	105.4377	524.6341
694000	197.6987	525.4308
695000	145.0995	526.2119
696000	80.866	526.9461
697000	121.3661	527.7428
698000	99.9862	528.4614
699000	150.2564	529.1643
700000	69.2602	529.9923
701000	67.0122	530.6484
702000	127.955	531.4138
703000	160.202	532.1636
704000	148.1711	532.9604
705000	140.3192	533.757
706000	130.3206	534.5225
707000	159.7064	535.2898
708000	126.8922	536.0709
709000	152.33	536.9457
710000	159.2947	537.758
711000	122.4444	538.586
712000	132.6259	539.4295
713000	148.793	540.195
714000	74.52	540.9448
715000	97.9928	541.7259
716000	136.9232	542.6632
717000	150.2263	543.6317
718000	144.7275	544.5533
719000	146.9275	545.3501
720000	136.5932	546.2092
721000	106.0358	546.9278
722000	101.6637	547.8026
723000	112.0487	548.6618
724000	147.8417	549.521
725000	129.5508	550.3645
726000	147.1998	551.2081
727000	141.0816	552.0829
728000	137.6327	552.8952
729000	32.0495	553.5825
730000	136.3281	554.4573
731000	119.188	555.2228
732000	198.7762	555.957
733000	-8.073	556.9099
734000	145.7794	557.7378
735000	89.3531	558.472
736000	192.0297	559.2062
737000	107.9072	560.0029
738000	158.3063	560.8621
739000	94.4508	561.6276
740000	120.924	562.4711
741000	160.0481	563.3147
742000	94.1103	564.127
743000	62.1465	564.9237
744000	113.6618	565.6735
745000	139.4205	566.4467
746000	112.8666	567.2278
747000	140.1355	568.0938
748000	109.8209	568.959
749000	111.2532	569.6724
750000	154.1048	570.5372
751000	130.5255	571.3708
752000	144.3944	572.2925
753000	180.6629	573.0423
754000	76.9161	573.8078
755000	151.3184	574.5263
756000	156.9695	575.2918
757000	132.1754	576.0729
758000	145.4889	576.9164
759000	127.6145	577.6506
760000	62.8569	578.4942
761000	138.0288	579.2596
762000	100.3291	580.1032
763000	203.1843	580.7905
764000	101.6884	581.5247
765000	118.7194	582.3995
766000	142.2936	583.165
767000	122.111	584.0242
768000	61.9279	584.8521
769000	47.3141	585.6332
770000	89.884	586.2893
771000	126.903	587.1172
772000	130.8111	587.9139
773000	143.4549	588.7262
774000	136.6571	589.5229
775000	138.105	590.3509
776000	138.121	591.1163
777000	102.8222	591.913
778000	17.8677	592.6472
779000	79.5512	593.3658
780000	103.8402	594.0843
781000	121.4552	594.8342
782000	103.1916	595.5371
783000	193.2126	596.2401
784000	141.0475	596.9275
785000	108.8648	597.6394
786000	167.2756	598.3893
787000	105.9566	599.1547
788000	106.9296	599.9046
