time_step	reward_avg	time
1000	-176.1682	0.4374
2000	-150.2295	0.8904
3000	-172.7834	1.3747
4000	-168.3021	1.8902
5000	-140.3691	2.3901
6000	-229.6846	2.89
7000	-149.667	3.3743
8000	-154.5537	3.8585
9000	-151.4169	4.3428
10000	-163.4638	4.8583
11000	-166.4707	5.3582
12000	-81.7747	5.8424
13000	-132.4152	6.3423
14000	-141.892	6.8422
15000	-102.5113	7.3265
16000	-125.7731	7.8107
17000	-115.1884	8.2637
18000	-98.8944	8.7324
19000	-94.4798	9.2167
20000	-125.8672	9.7165
21000	-117.4464	10.2164
22000	-86.464	10.7007
23000	-110.5572	11.1537
24000	-170.0347	11.6536
25000	-103.2474	12.1691
26000	-71.445	12.669
27000	-56.1698	13.1689
28000	-77.1197	13.6687
29000	-34.449	14.153
30000	-199.7352	14.8091
31000	-142.5691	15.5121
32000	-53.7496	16.1369
33000	-3.4818	16.668
34000	-70.0432	17.2148
35000	-217.1982	17.8397
36000	-88.6159	18.652
37000	-122.4058	19.3081
38000	-77.4325	20.2766
39000	-58.4565	20.9796
40000	-36.6401	21.6357
41000	-64.077	22.2293
42000	-54.8877	22.7604
43000	9.0154	23.479
44000	-11.7154	23.9945
45000	-49.7195	24.635
46000	-46.7798	25.2598
47000	-165.9364	25.8691
48000	29.7562	26.7439
49000	-133.6529	27.3531
50000	-136.2796	27.9789
51000	-31.6266	28.6681
52000	-21.3375	29.4261
53000	-30.2011	30.1501
54000	-103.5389	30.7446
55000	-96.3638	31.6123
56000	-85.1321	32.3892
57000	-39.4032	33.0883
58000	-34.8354	33.6189
59000	7.7815	34.3449
60000	44.2701	35.2306
61000	-63.3971	35.9477
62000	-112.3024	36.6608
63000	21.2914	37.5205
64000	-25.9858	38.3283
65000	-28.2762	39.0793
66000	21.8872	39.7246
67000	15.0898	40.6022
68000	98.8223	41.5677
69000	6.8687	42.1043
70000	-2.2718	42.6827
71000	43.4915	43.4846
72000	-39.7076	44.3413
73000	92.7894	45.2489
74000	-63.9092	46.2023
75000	44.3207	47.0899
76000	36.6903	48.1152
77000	22.9265	48.7784
78000	8.9988	49.4127
79000	12.9965	50.1607
80000	-55.7304	50.7721
81000	125.6552	51.5799
82000	33.5161	52.4147
83000	11.8968	52.9224
84000	26.7803	53.5736
85000	-12.4021	54.0683
86000	-0.3245	54.571
87000	11.3772	55.2791
88000	-23.0883	55.8396
89000	-20.9131	56.426
90000	-2.962	57.1421
91000	-47.9105	57.8901
92000	-3.7928	58.7977
93000	47.7244	59.5169
94000	-24.9844	60.4229
95000	-5.8363	61.079
96000	27.8626	61.8601
97000	37.5636	62.6411
98000	6.4208	63.2504
99000	-17.7631	63.8909
100000	42.5863	64.7032
101000	-0.4538	65.5155
102000	-12.171	66.2497
103000	-74.3634	67.1401
104000	-41.8074	67.7494
105000	75.269	68.5773
106000	15.3427	69.3583
107000	91.2616	70.3581
108000	118.7921	71.2329
109000	31.5413	72.0452
110000	54.8235	72.842
111000	29.756	73.7636
112000	54.1987	74.5759
113000	71.8106	75.4507
114000	67.0466	76.3411
115000	52.7828	77.2784
116000	87.4807	78.1844
117000	72.465	79.028
118000	72.6755	79.7778
119000	66.7487	80.6526
120000	128.9801	81.6524
121000	3.2514	82.4491
122000	38.1241	83.2302
123000	116.6983	84.2143
124000	138.0792	85.1204
125000	-21.5222	85.8389
126000	17.6843	86.5575
127000	64.3768	87.4323
128000	-9.8539	88.3612
129000	68.3445	89.2774
130000	88.5649	90.2168
131000	104.4951	91.0292
132000	26.0203	91.7478
133000	48.406	92.5289
134000	94.077	93.4193
135000	46.6237	94.1536
136000	107.7108	95.0596
137000	53.6068	95.9812
138000	33.6517	96.6842
139000	76.6092	97.5902
140000	23.2675	98.5119
141000	49.2947	99.1368
142000	16.1533	99.8241
143000	148.4658	100.7614
144000	21.2023	101.4487
145000	55.2311	102.1673
146000	125.8854	103.0577
147000	60.0641	103.87
148000	-6.9394	104.573
149000	-17.022	105.4009
150000	83.6737	106.2289
151000	79.9441	107.0568
152000	104.5944	107.9785
153000	87.7116	108.8533
154000	38.3251	109.6031
155000	90.0194	110.4154
156000	2.1795	111.1965
157000	103.7118	112.1181
158000	66.7915	113.0242
159000	98.1922	113.9459
160000	128.4501	114.8363
161000	129.0633	115.6798
162000	113.734	116.5234
163000	155.5509	117.3357
164000	57.939	118.2261
165000	-8.9997	118.9916
166000	72.4636	119.8976
167000	75.1486	120.84
168000	96.2269	121.8241
169000	142.9094	122.6208
170000	63.0853	123.4331
171000	133.9262	124.3392
172000	121.8809	125.3234
173000	77.4007	126.1357
174000	140.3877	127.0417
175000	34.7389	127.7603
176000	51.925	128.5413
177000	88.4965	129.4161
178000	128.3948	130.3066
179000	84.0086	131.2126
180000	3.6158	131.7594
181000	53.3775	132.3842
182000	51.0979	133.134
183000	139.8693	134.0245
184000	149.016	134.8368
185000	110.8443	135.696
186000	101.9041	136.4771
