time_step	reward_avg	time
1000	-203.6401	0.4374
2000	-172.9916	0.8748
3000	-120.7431	1.3591
4000	-169.0664	1.8433
5000	-165.7424	2.3119
6000	-148.0521	2.7806
7000	-128.0006	3.2648
8000	-131.019	3.7491
9000	-151.6219	4.2178
10000	-113.0152	4.702
11000	-113.1669	5.1707
12000	-162.2892	5.6549
13000	-102.6998	6.1236
14000	-94.7076	6.6235
15000	-142.7836	7.0765
16000	-105.9374	7.5451
17000	-98.0238	8.0137
18000	-138.8532	8.4668
19000	-126.2291	8.9354
20000	-104.1511	9.4353
21000	-149.5888	9.9196
22000	-147.2735	10.4038
23000	-129.9347	10.8881
24000	-87.2576	11.4192
25000	-97.8104	11.8879
26000	-92.6457	12.4034
27000	-106.2509	12.9032
28000	-135.518	13.4188
29000	-133.8005	13.9499
30000	-143.0965	14.4498
31000	-112.0494	14.9496
32000	-112.2152	15.4651
33000	-58.159	15.965
34000	-86.0247	16.4557
35000	-61.6075	16.9555
36000	-84.9616	17.471
37000	-64.3167	18.0022
38000	-31.1242	18.5333
39000	-56.2487	19.0332
40000	-48.8218	19.5799
41000	-61.2465	20.1579
42000	-26.8764	20.8765
43000	-68.0566	21.392
44000	-61.1099	21.97
45000	1.329	22.5011
46000	-0.8255	23.0166
47000	-33.4928	23.5321
48000	-2.3151	24.032
49000	-8.7208	24.6412
50000	15.0684	25.3442
51000	2.6507	26.219
52000	-22.9943	26.8907
53000	52.788	27.8256
54000	15.2265	28.5728
55000	-21.4211	29.104
56000	3.7423	29.8254
57000	52.6516	30.599
58000	62.3563	31.3176
59000	-28.501	31.833
60000	30.5103	32.5204
61000	8.7377	33.0515
62000	14.1103	33.5826
63000	9.062	34.3168
64000	38.6497	35.2073
65000	15.2251	35.9102
66000	57.821	36.8163
67000	-10.2751	37.3943
68000	43.8424	38.1597
69000	33.1887	38.9564
70000	0.0226	39.8156
71000	28.3937	40.5498
72000	-19.3426	41.3621
73000	78.132	42.2369
74000	10.7867	42.8462
75000	13.4653	43.5178
76000	-0.2679	44.2052
77000	28.0393	44.8925
78000	4.1633	45.6892
79000	110.4417	46.5484
80000	5.6273	47.3138
81000	23.8059	48.0161
82000	-22.4779	48.5317
83000	45.1032	49.2502
84000	56.5736	50.2031
85000	-23.4877	50.8436
86000	103.4234	51.7341
87000	-15.9263	52.6244
88000	61.1198	53.5149
89000	57.0838	54.4053
90000	75.8453	55.3426
91000	17.315	56.0924
92000	36.6227	56.9047
93000	3.2074	57.717
94000	28.375	58.6231
95000	3.9501	59.1698
96000	54.4264	59.904
97000	-11.3889	60.6539
98000	27.1754	61.3568
99000	82.988	62.216
100000	19.8141	62.919
101000	17.2758	63.7937
102000	-74.3662	64.5436
103000	103.5189	65.4027
104000	-0.5191	66.2307
105000	-48.9325	66.9961
106000	22.096	67.8553
107000	22.3952	68.5895
108000	34.1758	69.3549
109000	59.5605	70.2922
110000	-15.9269	71.0577
111000	114.7875	71.8544
112000	123.4487	72.6979
113000	12.7908	73.3384
114000	31.5671	74.0883
115000	32.2406	74.76
116000	-2.5088	75.416
117000	107.7144	76.244
118000	55.5773	77.025
119000	-30.8284	77.8374
120000	27.4396	78.7807
121000	-5.3154	79.5305
122000	4.8399	80.4053
123000	-19.4798	81.2489
124000	64.3109	82.0768
125000	42.9715	82.8735
126000	109.4406	83.9514
127000	77.7339	84.9042
128000	102.1199	85.8571
129000	17.6553	86.482
130000	87.5121	87.2363
131000	54.165	87.9185
132000	32.6754	88.6017
133000	7.3914	89.3996
134000	94.0998	90.0997
135000	44.8594	90.8308
136000	132.6976	91.7234
137000	59.5845	92.4753
138000	78.499	93.1805
139000	37.5642	93.8806
140000	109.5422	94.8261
141000	56.3732	95.6259
142000	125.7417	96.3649
143000	128.3449	97.3284
144000	121.6529	98.1153
145000	44.6082	99.0159
146000	86.5615	100.0072
147000	15.8158	100.7971
148000	136.2151	101.7645
149000	107.7523	102.6781
150000	63.9138	103.45
151000	10.9796	104.1721
152000	129.3274	105.0747
153000	131.3175	105.8735
154000	15.7247	106.6954
155000	149.0162	107.5351
156000	102.541	108.3749
157000	130.6073	109.1727
158000	139.3466	110.0973
159000	53.9771	110.9889
160000	61.047	111.7419
161000	67.386	112.5208
162000	70.6395	113.2937
163000	70.6112	114.0537
164000	11.9073	114.6481
165000	89.3434	115.449
166000	22.9193	116.0603
167000	19.972	116.565
168000	-3.8506	117.2003
169000	19.546	118.0331
170000	147.1459	118.8958
171000	6.0848	119.4676
172000	89.6592	120.28
173000	51.9558	120.9829
174000	-7.2853	121.7015
175000	83.2489	122.5138
176000	23.4533	123.1074
177000	-1.088	123.7948
178000	-35.878	124.5446
179000	-30.5852	125.2007
180000	139.1116	126.013
181000	51.9139	126.6222
182000	14.4912	127.3252
183000	92.0764	128.1688
184000	84.1009	128.903
185000	182.2489	129.7309
186000	104.7759	130.6057
187000	124.8059	131.3868
188000	139.7776	132.1522
189000	83.0481	132.9333
190000	179.2033	133.73
191000	63.3587	134.5423
192000	116.7076	135.3077
193000	77.5158	136.0576
194000	109.011	136.9636
195000	106.9143	137.9634
196000	102.8322	138.8382
197000	45.1992	139.713
198000	150.7806	140.4468
199000	103.7228	141.1654
200000	136.4979	142.0558
201000	15.5808	142.9462
202000	107.9662	143.6805
203000	99.1756	144.4771
204000	146.5597	145.2426
205000	106.4019	146.133
206000	83.257	146.9453
207000	101.1315	147.8865
208000	148.0451	148.7665
209000	83.9487	149.5052
210000	104.0217	150.1769
211000	125.9573	151.0094
212000	80.6878	151.7592
213000	82.5298	152.4934
214000	66.9558	153.212
215000	119.8004	154.1649
216000	55.6765	154.8054
217000	151.7898	155.6021
218000	106.9238	156.4613
219000	160.9291	157.3205
220000	94.1317	158.1015
221000	66.4246	158.8982
222000	-71.5776	159.6324
223000	70.2009	160.3041
