time_step	reward_avg	time
1000	-167.6995	0.4374
2000	-193.8999	0.9217
3000	-212.8608	1.4059
4000	-194.5291	1.8746
5000	-212.1286	2.3745
6000	-219.7666	2.8743
7000	-143.9698	3.3742
8000	-121.126	3.8585
9000	-170.9156	4.3584
10000	-120.2452	4.827
11000	-136.8405	5.2957
12000	-103.9665	5.7643
13000	-144.2998	6.2486
14000	-142.0882	6.7328
15000	-180.2936	7.2327
16000	-155.5384	7.7482
17000	-132.3531	8.2637
18000	-131.9859	8.7324
19000	-117.2221	9.2166
20000	-162.2832	9.6957
21000	-96.2498	10.18
22000	-142.7046	10.6799
23000	-127.4352	11.1485
24000	-93.8315	11.6484
25000	-102.3874	12.1171
26000	-87.2718	12.6325
27000	-108.9847	13.1324
28000	-78.0376	13.6167
29000	-95.6554	14.1009
30000	-74.8447	14.5852
31000	-59.1303	15.2257
32000	-159.2666	15.7256
33000	-82.0149	16.2411
34000	-83.8884	16.7566
35000	-88.909	17.2877
36000	-143.2256	17.8345
37000	-106.0114	18.3812
38000	-76.6553	18.9592
39000	-83.506	19.5372
40000	-134.11	20.0996
41000	-196.8117	20.6307
42000	-102.9853	21.1618
43000	-159.7292	21.6929
44000	-85.5573	22.2397
45000	-70.4389	22.7864
46000	-27.153	23.302
47000	-65.4532	23.8643
48000	-64.5456	24.4579
49000	-51.5031	24.9891
50000	-10.614	25.5202
51000	-17.1171	26.1607
52000	83.641	27.1018
53000	-29.7592	27.8655
54000	7.1933	28.4587
55000	-5.9343	28.9586
56000	-22.4774	29.5141
57000	-105.7478	30.3458
58000	-111.6021	31.33
59000	-63.5042	32.1267
60000	8.3141	32.7984
61000	6.1842	33.5326
62000	-38.1737	34.2355
63000	75.7536	35.1728
64000	-32.336	35.6884
65000	-31.3543	36.2976
66000	-56.4013	37.0162
67000	-38.6102	37.6254
68000	3.2466	38.1565
69000	34.1746	39.0938
70000	35.5941	39.8749
71000	5.8052	40.7101
72000	1.1614	41.4131
73000	-35.9172	42.0848
74000	26.857	42.8346
75000	-17.4167	43.5845
76000	26.3375	44.3968
77000	53.0178	45.4434
78000	44.7016	46.1307
79000	-77.4064	46.9587
80000	-48.5866	47.6616
81000	-6.3252	48.3958
82000	4.8667	49.0207
83000	-39.5713	49.9267
84000	76.1267	50.739
85000	42.0808	51.5982
86000	81.4249	52.4574
87000	51.5825	53.2072
88000	29.5489	54.1601
89000	78.0758	55.1911
90000	35.7664	55.9253
91000	-170.0624	56.8158
92000	36.8976	57.5812
93000	14.9886	58.3154
94000	0.3005	59.0496
95000	63.7944	59.8931
96000	42.0745	60.7055
97000	-21.6428	61.3772
98000	34.7996	62.2051
99000	0.33	62.8925
100000	-12.8161	63.408
101000	-21.4274	63.9079
102000	-19.1769	64.6265
103000	47.1809	65.47
104000	57.9649	66.3761
105000	23.145	67.0946
106000	12.0418	67.8757
107000	54.7343	68.6724
108000	39.7416	69.5315
109000	-56.2605	70.2814
110000	87.2804	71.3099
111000	40.4568	72.1222
112000	-17.867	72.6689
113000	17.7902	73.575
114000	48.0368	74.4342
115000	68.3897	75.2777
116000	31.9548	76.2462
117000	-9.7541	77.1367
118000	77.0123	78.0271
119000	89.629	78.8707
120000	75.989	79.683
121000	18.4966	80.464
122000	78.3562	81.292
123000	-17.2208	81.9637
124000	7.4539	82.651
125000	24.496	83.229
126000	17.0296	83.8538
127000	42.8373	84.6662
128000	28.5495	85.6659
129000	128.9642	86.4939
130000	48.1637	87.2537
131000	71.7838	88.2405
132000	16.22	88.9601
133000	130.4829	89.8975
134000	-25.7392	90.54
135000	29.0506	91.2273
136000	61.4155	91.821
137000	26.742	92.4771
138000	1.5976	93.1801
139000	94.8673	93.9455
140000	33.8292	94.8359
141000	101.1052	95.8513
142000	64.3375	96.7261
143000	51.0477	97.5384
144000	41.0817	98.2726
145000	32.0146	99.0537
146000	134.0499	99.8816
147000	26.4594	100.5221
148000	139.7693	101.4281
149000	-119.4095	102.2092
150000	70.7694	103.0163
151000	11.1458	103.5474
152000	34.683	104.2348
153000	74.4627	105.1408
154000	-5.3788	105.9375
155000	149.2163	106.7498
156000	29.0487	107.5465
157000	91.7921	108.4213
158000	-32.4434	109.2492
159000	-30.3724	110.0459
160000	102.2923	110.8738
161000	59.8282	111.5456
162000	52.648	112.2173
163000	47.6987	112.9202
164000	113.1846	113.7794
165000	-20.6816	114.6386
166000	149.4205	115.404
167000	139.9043	116.232
168000	84.153	117.0131
169000	24.1188	117.6848
170000	37.5283	118.2628
171000	55.9397	118.9501
172000	69.8166	119.7156
173000	47.4604	120.481
174000	71.2235	121.2152
175000	65.8407	121.9494
176000	74.9446	122.8554
177000	56.1331	123.574
178000	127.1793	124.4489
179000	76.1664	125.1518
180000	10.7027	125.9329
181000	127.9215	126.7452
182000	41.6067	127.37
183000	102.6082	128.1043
184000	127.6228	128.9166
185000	159.87	129.6664
186000	71.8535	130.4318
187000	105.1447	131.1816
188000	137.7209	131.9471
189000	114.7631	132.7125
190000	-24.6504	133.3745
191000	71.7718	134.0618
192000	148.7623	134.8586
193000	111.2361	135.6084
194000	162.5711	136.4676
195000	106.1988	137.3111
196000	84.5977	138.0921
197000	84.6213	138.8108
198000	103.7361	139.7012
199000	77.3563	140.5447
200000	120.3195	141.4352
201000	1.8686	142.2474
202000	66.9434	143.2316
203000	-4.7803	144.122
204000	94.5154	145.028
205000	111.4416	145.9654
206000	95.967	146.8089
207000	95.1576	147.765
208000	169.2833	148.6576
209000	162.3417	149.6444
210000	82.6125	150.4393
211000	136.1341	151.3297
212000	104.2931	152.2045
213000	-2.3417	152.8606
214000	84.3737	153.6729
215000	117.2152	154.5789
216000	48.8042	155.485
217000	79.414	156.5004
218000	132.7628	157.4689
219000	117.5911	158.4062
220000	144.3415	159.2497
221000	113.8303	159.9527
222000	45.2708	160.6557
223000	103.7009	161.6711
224000	104.4968	162.5146
225000	92.0042	163.5457
226000	121.9139	164.4711
227000	134.7868	165.2834
228000	164.9789	166.2519
229000	84.6286	167.0955
230000	125.578	168.0015
231000	111.108	168.9388
232000	105.4546	169.8292
233000	163.6198	170.6728
234000	127.211	171.5476
235000	70.7902	172.3443
236000	137.406	173.2347
237000	131.5391	174.0783
238000	139.3087	175.1092
239000	147.9722	175.9997
240000	94.8315	176.7026
241000	97.7962	177.4681
242000	96.2494	178.1398
243000	69.4497	178.8115
244000	85.9785	179.7176
245000	128.0188	180.6392
246000	183.0909	181.4671
247000	125.3106	182.3576
248000	144.8767	183.3574
249000	113.264	184.3571
250000	125.7644	185.2319
251000	144.8425	186.0598
252000	126.0291	186.9659
253000	148.835	187.9969
254000	135.2257	188.8717
255000	122.1776	189.809
256000	155.5899	190.6682
257000	139.8776	191.6054
258000	123.7386	192.4334
259000	63.1326	193.1676
260000	152.8124	194.0424
261000	118.3463	195.0109
262000	150.237	195.9908
263000	128.2797	196.7875
264000	197.9143	197.7092
265000	119.024	198.5371
266000	125.2422	199.5213
267000	153.2527	200.5054
268000	113.6122	201.3958
269000	134.3002	202.2393
270000	109.6443	203.1298
271000	86.8579	203.9421
272000	24.3861	204.6294
273000	182.5674	205.4417
274000	15.8263	206.0822
275000	49.1521	206.7852
276000	164.1407	207.5055
277000	171.2929	208.3503
278000	127.5155	209.2159
279000	87.9433	209.9829
280000	132.6546	210.9184
281000	166.7424	211.7971
282000	141.4715	212.7166
283000	167.9419	213.5453
284000	103.5478	214.3672
285000	92.6556	215.3525
286000	130.4265	216.281
287000	157.7408	217.1777
288000	158.3795	217.9725
289000	168.2904	218.7724
290000	151.5382	219.689
291000	123.0226	220.6414
292000	87.1423	221.5939
293000	163.6783	222.3868
294000	115.9771	223.1527
295000	138.1207	224.0214
296000	93.0412	224.7793
297000	167.0017	225.6002
298000	160.6137	226.5147
299000	146.6571	227.3285
300000	121.4144	228.1862
301000	123.1949	229.042
302000	109.5489	229.9077
303000	148.2354	230.7584
304000	155.8637	231.6131
305000	96.632	232.4608
306000	166.1697	233.3644
307000	130.3142	234.2471
308000	76.0101	235.028
309000	136.4441	235.8987
310000	90.4864	236.7604
311000	102.2896	237.5861
312000	129.0141	238.5017
313000	147.3213	239.3598
314000	151.263	240.2815
315000	115.7361	240.9688
316000	160.5817	241.7499
317000	179.6033	242.656
318000	14.0586	243.3589
319000	66.9851	244.1712
320000	147.5699	245.046
321000	163.7564	245.9052
322000	94.1018	246.6707
323000	144.2124	247.4517
324000	78.2726	248.2484
325000	136.5609	248.9826
326000	86.7162	249.6856
