time_step	reward_avg	time
1000	-193.8481	0.453
2000	-261.1668	0.9529
3000	-141.914	1.4371
4000	-151.288	1.937
5000	-117.4815	2.4057
6000	-108.2086	2.9055
7000	-157.6325	3.3742
8000	-172.9082	3.8741
9000	-177.5719	4.3896
10000	-152.9671	4.9051
11000	-145.0073	5.3894
12000	-162.3965	5.8892
13000	-95.979	6.3891
14000	-89.9827	6.889
15000	-96.822	7.342
16000	-106.0727	7.8419
17000	-137.093	8.3262
18000	-101.2905	8.7948
19000	-112.5132	9.2791
20000	-93.274	9.779
21000	-139.9816	10.2632
22000	-95.2999	10.7631
23000	-94.2538	11.2474
24000	-114.9002	11.716
25000	-88.6332	12.2159
26000	-115.346	12.7314
27000	-105.3858	13.2001
28000	-114.5302	13.6999
29000	-89.9552	14.1998
30000	-63.5203	14.6997
31000	-83.9909	15.2152
32000	-61.8658	15.7307
33000	-128.1403	16.2774
34000	-52.0526	16.793
35000	-44.2841	17.3085
36000	-45.3051	17.9646
37000	-51.7868	18.8081
38000	-89.7367	19.4642
39000	-109.8414	20.0266
40000	-34.9264	20.7139
41000	-41.0226	21.245
42000	-30.3766	21.7606
43000	-3.7983	22.4791
44000	-9.1439	23.1977
45000	-33.2649	23.8851
46000	-53.9981	24.5724
47000	10.1979	25.3223
48000	18.0456	25.9939
49000	-11.8353	26.5407
50000	-9.0996	27.0618
51000	12.8648	27.7001
52000	-10.7707	28.22
53000	21.3623	28.8761
54000	10.5464	29.7992
55000	-11.9221	30.4162
56000	10.3889	31.1504
57000	10.235	31.8377
58000	-3.2705	32.5876
59000	60.8406	33.4936
60000	33.2173	34.3527
61000	-35.5714	35.1182
62000	-50.9646	35.9305
63000	54.4127	36.821
64000	16.9239	37.5551
65000	1.9724	38.4299
66000	81.0843	39.3516
67000	39.6701	40.1483
68000	62.7597	40.8981
69000	17.3308	41.4605
70000	15.8562	42.2103
71000	36.5054	43.1007
72000	38.3229	43.8037
73000	20.645	44.5848
74000	32.0848	45.3971
75000	-2.645	46.1313
76000	64.9125	46.9904
77000	30.9645	47.8028
78000	89.2578	48.8963
79000	21.3734	49.7242
80000	58.7432	50.7083
81000	33.1631	51.4738
82000	16.5174	52.2705
83000	49.9863	53.0047
84000	48.5763	53.9263
85000	102.873	54.8324
86000	30.4649	55.7853
87000	80.0538	56.6913
88000	58.4706	57.5818
89000	81.9325	58.5347
90000	69.4333	59.5188
91000	66.9742	60.4504
92000	47.9895	61.4033
93000	68.4288	62.5593
94000	65.3022	63.4341
95000	65.7789	64.3713
96000	34.4469	64.9025
97000	32.9833	65.7304
98000	46.3515	66.5896
99000	95.0753	67.5581
100000	51.031	68.0736
101000	48.7124	68.7766
102000	12.283	69.339
103000	79.2149	70.2294
104000	97.2658	71.1042
105000	89.6148	72.0727
106000	67.8904	72.8381
107000	83.1731	73.6973
108000	71.9937	74.5565
109000	102.4452	75.525
110000	19.2462	76.3529
111000	100.9874	77.134
112000	97.2564	78.0713
113000	-2.4737	78.7586
114000	37.1772	79.321
115000	23.2857	80.0083
116000	119.6868	80.8675
117000	12.491	81.6173
118000	82.3276	82.414
119000	130.8817	83.2888
120000	-43.1797	83.9918
121000	92.2657	84.9291
122000	41.4387	85.6945
123000	48.2866	86.6006
124000	97.3891	87.5798
125000	133.9616	88.4813
126000	58.2734	89.1495
127000	118.3243	90.0342
128000	31.8251	90.6655
129000	73.0173	91.3886
130000	73.4281	92.2144
131000	69.6484	93.0182
132000	114.1603	93.7503
133000	123.5405	94.6818
134000	112.1984	95.5524
135000	51.8481	96.1548
136000	7.1299	96.6864
137000	158.1462	97.5162
138000	151.2534	98.2562
139000	78.4662	99.0521
140000	98.7204	99.8709
141000	53.3327	100.6339
142000	48.8445	101.355
143000	123.9182	102.2226
144000	100.4778	103.0315
145000	85.0077	103.7865
146000	148.7154	104.6631
147000	40.9385	105.3094
148000	50.3173	106.0235
149000	33.1276	106.7097
150000	32.6175	107.3749
151000	70.6974	108.0581
152000	61.7755	108.8459
153000	36.4841	109.581
154000	64.7476	110.2382
155000	5.9388	110.8905
156000	56.7202	111.6455
157000	151.7893	112.4912
158000	129.478	113.2921
159000	45.3561	114.0092
160000	96.0259	114.7133
161000	149.8098	115.5461
162000	53.6287	116.2592
163000	179.2969	117.0481
164000	69.3129	117.8928
165000	49.3791	118.6139
166000	62.7593	119.3178
167000	57.7959	120.0989
168000	19.0845	120.6925
169000	133.0423	121.5204
170000	77.909	122.3095
171000	56.3353	123.0593
172000	110.3833	123.8404
173000	71.3289	124.6371
174000	79.7163	125.3088
175000	35.2698	125.9805
176000	172.6777	126.8085
177000	104.1933	127.5427
178000	73.5293	128.2456
179000	51.304	128.933
180000	22.7562	129.6359
181000	149.2775	130.4795
182000	142.3289	131.2918
183000	72.6582	132.1197
184000	111.8119	132.9477
185000	132.5908	133.8537
186000	80.6689	134.6973
187000	90.1403	135.4783
188000	108.3373	136.1501
189000	162.594	136.9624
190000	88.6737	137.7122
191000	150.9428	138.5245
192000	10.6675	139.04
193000	47.5972	139.6649
194000	26.7049	140.196
195000	25.0168	140.7115
196000	56.883	141.3832
197000	46.6471	142.0862
198000	21.944	142.6329
199000	96.1096	143.4453
200000	31.8052	144.0545
201000	162.2384	144.8199
202000	75.2352	145.5073
203000	167.9084	146.3196
204000	87.2115	147.1333
205000	166.4123	148.1126
206000	134.588	148.8593
207000	165.3983	149.6874
208000	123.3364	150.6199
