time_step	reward_avg	time
1000	-121.561	0.453
2000	-165.1884	0.9216
3000	-183.5564	1.3903
4000	-122.0256	1.8433
5000	-115.1911	2.312
6000	-113.7925	2.7962
7000	-111.9642	3.2648
8000	-64.1969	3.8272
9000	-82.5703	4.3115
10000	-155.7149	4.7958
11000	-126.5213	5.2956
12000	-161.6734	5.7799
13000	-123.32	6.2798
14000	-152.1832	6.7484
15000	-143.9364	7.2639
16000	-123.4938	7.7169
17000	-117.9096	8.17
18000	-102.0115	8.6386
19000	-99.3498	9.1072
20000	-87.8667	9.5759
21000	-131.3508	10.0445
22000	-93.6055	10.5444
23000	-71.4914	11.0287
24000	-83.185	11.5442
25000	-111.0458	12.0441
26000	-85.0224	12.5439
27000	-90.1867	13.0594
28000	-125.9143	13.5594
29000	-100.9734	14.0124
30000	-79.3313	14.481
31000	-84.1736	14.9497
32000	-65.1173	15.4651
33000	-56.5455	16.09
34000	-56.7144	16.5899
35000	-56.0542	17.1054
36000	-21.0127	17.6209
37000	-59.3278	18.1074
38000	-35.5366	18.6073
39000	-27.6951	19.2165
40000	16.6462	19.857
41000	-29.2826	20.56
42000	-7.7534	21.0755
43000	-37.81	21.6066
44000	-30.8253	22.1065
45000	-47.4346	22.622
46000	14.5896	23.3093
47000	4.2561	23.981
48000	-11.9732	24.559
49000	-2.1362	25.2776
50000	-20.4233	25.9025
51000	10.8969	26.4648
52000	-7.498	26.9994
53000	31.6643	27.8692
54000	-38.184	28.5733
55000	74.3401	29.536
56000	-8.4179	30.2364
57000	-4.4731	30.7519
58000	0.7579	31.2831
59000	2.407	31.7673
60000	1.2006	32.2828
61000	7.3551	32.7671
62000	42.3139	33.4701
63000	39.106	34.1731
64000	62.1291	35.1259
65000	32.8289	35.7039
66000	17.6596	36.6412
67000	13.4884	37.5317
68000	54.1454	38.5158
69000	-38.9552	39.2969
70000	-0.9189	39.9061
71000	45.4029	40.6715
72000	1.589	41.187
73000	8.3481	41.7182
74000	8.4587	42.343
75000	87.0795	43.1553
76000	14.0176	43.7646
77000	90.3175	44.5612
78000	-53.8698	45.5142
79000	22.8484	46.4202
80000	45.3692	47.2481
81000	23.62	47.8886
82000	-60.4316	48.5603
83000	85.9304	49.5511
84000	26.2257	50.2853
85000	11.5813	51.2226
86000	16.6977	52.0037
87000	-19.0522	52.8941
88000	84.6019	53.722
89000	19.8854	54.3781
90000	51.7766	55.1748
91000	-40.0239	55.9715
92000	159.1559	56.7994
93000	15.8371	57.4712
94000	-22.1993	58.1585
95000	-9.2382	58.8146
96000	67.9198	59.5801
97000	79.1101	60.6111
98000	117.0578	61.5171
99000	60.0095	62.5013
100000	-14.7616	63.1574
101000	61.1345	64.0009
102000	9.1874	64.7351
103000	-13.6833	65.2975
104000	20.3953	66.1567
105000	91.7001	67.0002
106000	62.9735	67.7344
107000	35.5635	68.6717
108000	37.711	69.5153
109000	-56.1257	70.2807
110000	6.5963	71.1711
111000	-102.0156	72.0615
112000	-44.1334	72.9832
113000	-12.7794	73.6393
114000	42.4228	74.4985
115000	-23.1829	75.2327
116000	-3.8422	75.9825
117000	148.1193	76.8573
118000	138.128	77.6228
119000	49.5425	78.4351
120000	80.4299	79.1693
121000	-27.5549	79.8566
122000	189.664	80.5767
123000	-29.6371	81.4827
124000	57.1707	82.2951
125000	75.6293	83.123
126000	134.8474	83.9353
127000	49.6165	84.5914
128000	33.1822	85.3725
129000	58.5592	86.1535
130000	97.9133	86.9332
131000	93.4285	87.9826
132000	75.3263	88.7491
133000	135.6342	89.5365
134000	91.5266	90.4521
135000	146.9099	91.3738
136000	93.105	92.1549
137000	142.8759	93.0453
138000	90.8539	93.842
139000	96.6896	94.6231
140000	98.1895	95.4354
141000	89.8505	96.2321
142000	51.6107	97.0444
143000	128.5717	97.9816
144000	84.4193	98.6534
145000	55.917	99.5125
146000	37.9605	100.1999
147000	64.6745	100.9185
148000	3.7797	101.7151
149000	71.7867	102.4806
150000	151.1342	103.3398
151000	147.161	104.1989
152000	52.7102	105.105
153000	124.2443	105.9329
154000	47.0197	106.4953
155000	62.4825	107.1358
156000	17.1805	107.8544
157000	60.4266	108.6042
158000	122.7698	109.4321
159000	84.6092	110.1976
160000	25.607	110.6974
161000	136.0706	111.5761
162000	88.2535	112.2791
163000	62.284	112.982
164000	50.3417	113.8256
165000	127.2777	114.7004
166000	13.2459	115.2159
167000	95.1016	116.1063
168000	34.9359	116.7311
169000	9.0823	117.4185
170000	57.0056	118.0902
171000	86.3519	118.8713
172000	43.6025	119.668
173000	140.5204	120.5271
174000	146.0176	121.3707
175000	43.5943	122.0268
176000	134.7156	122.886
177000	55.9744	123.589
178000	27.6974	124.3388
179000	24.5927	125.073
180000	62.6515	125.8853
181000	145.5152	126.8226
182000	107.4716	127.8223
183000	26.8994	128.4472
184000	49.7583	129.0721
185000	94.7579	129.8844
186000	65.2622	130.5248
187000	90.4993	131.2903
188000	46.7994	132.0401
189000	28.9944	133.0242
190000	99.6999	133.9772
191000	66.5463	134.9301
192000	100.9301	135.8361
193000	136.3328	136.8827
194000	146.485	137.7731
195000	108.602	138.6323
196000	71.4566	139.3197
197000	166.1971	140.1007
198000	45.1921	140.7881
199000	43.0101	141.4754
200000	91.7979	142.1922
201000	125.2325	143.1138
202000	100.0717	143.9261
203000	89.1883	144.7385
204000	117.9754	145.4883
205000	114.8034	146.3162
206000	62.0169	147.0683
207000	130.4051	148.0808
208000	53.0259	148.8824
209000	131.1596	149.8978
210000	42.4282	150.8038
211000	107.9752	151.6786
212000	68.722	152.5378
213000	90.9632	153.397
214000	125.9989	154.303
215000	143.6474	155.2091
216000	74.1774	155.8964
217000	155.7606	156.7712
218000	146.997	157.7866
219000	141.0317	158.6458
220000	97.306	159.505
221000	40.0777	160.3485
222000	112.3045	161.3327
223000	158.9627	162.1762
224000	101.718	163.1135
225000	88.7002	163.9727
226000	74.146	164.7225
227000	92.174	165.4567
228000	152.9935	166.2221
229000	156.512	167.2375
230000	144.1113	167.9717
231000	136.7508	168.9247
232000	132.8862	169.8307
233000	108.4846	170.7836
234000	67.3023	171.5178
235000	123.4251	172.5019
236000	150.8408	173.3501
237000	152.2063	174.2718
238000	160.9586	175.1154
239000	152.9341	176.037
240000	110.3222	176.8181
241000	75.0153	177.5054
242000	123.4671	178.4427
243000	78.796	179.1925
244000	102.891	180.0361
245000	102.9725	180.739
246000	120.9628	181.567
247000	136.4782	182.4887
248000	161.0957	183.3166
249000	153.2739	184.2226
250000	67.8231	184.9568
251000	129.9929	185.8004
252000	71.5186	186.6752
253000	83.2118	187.4406
254000	118.7518	188.3154
255000	57.3011	189.0028
256000	127.889	189.8932
257000	-0.9619	190.4399
258000	82.3887	191.1585
259000	79.488	191.8302
260000	66.8698	192.5332
261000	156.3527	193.2986
262000	128.1977	194.0953
263000	37.6987	194.7514
264000	20.8918	195.3919
265000	61.9052	196.0324
266000	48.8699	196.7666
267000	35.5125	197.3446
268000	69.3306	198.0475
269000	186.4484	198.8599
270000	154.6101	199.7034
271000	8.2303	200.3751
272000	114.2	201.1719
273000	11.8208	201.8904
274000	101.4025	202.6559
275000	91.6714	203.3432
276000	-4.5516	203.8899
277000	123.382	204.7504
278000	120.7456	205.6408
279000	26.3242	206.3282
280000	146.618	207.2631
281000	66.1072	208.1328
282000	124.2996	209.1072
283000	142.1989	210.0187
284000	144.0156	210.8894
285000	182.5275	211.7152
286000	159.9792	212.527
