time_step	reward_avg	time
1000	-238.8024	0.453
2000	-170.4573	0.9373
3000	-169.3494	1.4215
4000	-251.0179	1.9058
5000	-150.5033	2.4057
6000	-141.0575	2.89
7000	-235.8636	3.3742
8000	-144.4911	3.8429
9000	-115.9284	4.3271
10000	-157.3289	4.827
11000	-148.8804	5.3113
12000	-113.3352	5.8112
13000	-191.0611	6.3267
14000	-151.0509	6.8265
15000	-111.7346	7.2853
16000	-200.0224	7.832
17000	-224.5947	8.3163
18000	-165.5075	8.8318
19000	-154.1559	9.3004
20000	-139.253	9.7847
21000	-105.6756	10.269
22000	-116.8641	10.9407
23000	-170.147	11.4093
24000	-127.8552	11.878
25000	-92.562	12.3154
26000	-79.7112	12.7684
27000	-90.0014	13.237
28000	-100.1747	13.6901
29000	-76.4823	14.1275
30000	-59.3953	14.5961
31000	-107.2528	15.0491
32000	-65.0846	15.5021
33000	-75.951	15.9864
34000	-101.172	16.4551
35000	-79.6946	16.9237
36000	-123.493	17.4079
37000	-80.0677	17.8922
38000	-108.2606	18.3609
39000	-121.9546	18.8451
40000	-70.2347	19.2981
41000	-68.417	19.7824
42000	-74.4314	20.3916
43000	-88.7793	20.9228
44000	-42.2199	21.5945
45000	-84.2974	22.1256
46000	-115.7708	22.7036
47000	-40.3645	23.3597
48000	-63.1803	24.0158
49000	-8.4661	24.8281
50000	1.1846	25.4686
51000	17.0827	26.1559
52000	-98.7986	26.6714
53000	-71.0799	27.5155
54000	14.2789	28.3231
55000	-31.1809	28.8227
56000	-0.2885	29.3539
57000	-21.0229	29.9036
58000	23.3543	30.6416
59000	-57.2793	31.4383
60000	35.5384	32.2662
61000	-60.2939	33.0473
62000	9.4915	33.7815
63000	10.472	34.422
64000	39.83	35.1874
65000	37.9921	35.9216
66000	8.3529	36.6402
67000	-48.057	37.4525
68000	-149.5877	38.4034
69000	-87.2627	39.2939
70000	-56.7396	39.8094
71000	-20.2997	40.3561
72000	-1.9567	41.1528
73000	52.7023	41.9807
74000	28.3757	42.6837
75000	-10.7582	43.2929
76000	40.1978	44.2302
77000	-95.4661	45.0269
78000	28.4925	45.8548
79000	-100.6853	46.6047
80000	40.8575	47.4482
81000	-23.9649	48.2137
82000	83.7971	49.1197
83000	25.6207	49.6508
84000	81.2555	50.4631
85000	-24.6797	51.2755
86000	57.7639	52.2127
87000	35.4393	53.1344
88000	78.3671	53.978
89000	-12.9338	54.8528
90000	63.2613	55.587
91000	-57.8203	56.4305
92000	94.9024	57.4147
93000	115.2299	58.3832
94000	66.3774	59.3361
95000	69.5999	60.2734
96000	60.5241	60.9138
97000	9.219	61.5543
98000	59.5784	62.3354
99000	38.4517	63.1477
100000	67.1313	63.8975
101000	7.2288	64.6317
102000	7.7502	65.3347
103000	62.447	66.1783
104000	98.3562	67.0687
105000	93.151	68.006
106000	108.3517	68.9741
107000	-11.6466	69.8489
108000	92.6951	70.7549
109000	65.1032	71.7547
110000	8.4053	72.5983
111000	40.1019	73.3168
112000	59.1381	74.1604
113000	24.6128	74.8321
114000	9.956	75.5819
115000	36.2579	76.5036
116000	29.5699	77.3159
117000	78.4447	78.2532
118000	34.7257	79.2061
119000	55.1456	80.1746
120000	53.0739	81.19
121000	-23.1305	81.9555
122000	-13.0643	82.8772
123000	43.8722	83.5645
124000	10.9587	84.1425
125000	39.4457	85.0797
126000	20.2838	86.0171
127000	67.1713	87.0005
128000	48.4879	88.0776
129000	76.1599	88.9771
130000	95.6138	89.7959
131000	20.0701	90.5487
132000	42.4414	91.361
133000	9.7132	92.2514
134000	62.4704	93.1262
135000	38.0406	93.9386
136000	47.8033	94.9227
137000	66.0038	95.86
138000	105.7368	96.7347
139000	84.8202	97.6877
140000	72.4741	98.6249
141000	67.1189	99.5466
142000	18.7352	100.3344
143000	97.2463	101.1936
144000	106.9777	102.1777
145000	103.8593	103.0369
146000	132.9578	103.9429
147000	103.8874	104.8958
148000	96.1177	105.755
149000	64.3679	106.5517
150000	31.3072	107.2546
151000	100.5041	108.1138
152000	5.9456	108.8168
153000	74.6965	109.5666
154000	113.4777	110.2852
155000	80.1973	111.1444
156000	19.0798	111.8317
157000	63.2233	112.5191
158000	60.2789	113.1751
159000	41.359	113.8781
160000	99.0307	114.706
161000	116.6919	115.4715
162000	116.9684	116.1744
163000	98.7922	116.8149
164000	44.1043	117.5491
165000	11.6634	118.1271
166000	100.0586	118.8301
167000	77.6756	119.6112
168000	130.2531	120.486
169000	121.187	121.4076
170000	-83.8195	122.2043
171000	81.2434	122.9073
172000	-130.3622	123.5634
173000	80.9685	124.1726
174000	197.1459	124.8756
175000	175.8524	125.6722
176000	104.4187	126.4221
177000	-16.7783	127.0157
178000	-6.2048	127.7811
179000	168.2065	128.5778
180000	20.0029	129.312
181000	20.2864	129.9369
182000	55.2251	130.7648
183000	-36.4323	131.608
184000	-45.1416	132.2797
185000	125.0262	133.1858
186000	54.4538	134.0293
187000	62.4108	134.9041
188000	101.3191	135.7633
189000	101.1918	136.4975
190000	179.6422	137.3723
191000	33.4528	138.2002
192000	94.918	139.1531
193000	58.4501	140.1216
194000	4.5701	140.8715
195000	164.4958	141.6525
