time_step	reward_avg	time
1000	-293.3446	0.735
2000	-305.7648	1.497
3000	-336.2744	2.257
4000	-230.5234	3.0339
5000	-340.1805	3.7278
6000	-163.9574	4.5089
7000	-208.1807	5.29
8000	-153.6875	6.1492
9000	-111.5249	6.899
10000	-147.4572	7.6645
11000	-120.9705	8.4299
12000	-141.0995	9.2579
13000	-135.7918	10.0702
14000	-111.2734	10.945
15000	-189.234	11.7812
16000	-104.97	12.8435
17000	-163.1868	13.6558
18000	-115.3563	14.4525
19000	-109.9182	15.2492
20000	-83.5165	16.0459
21000	-85.9112	16.8426
22000	-169.6014	17.8111
23000	-103.3881	18.6703
24000	-105.8856	19.6388
25000	-72.8207	20.4199
26000	-92.432	21.2947
27000	-132.5749	22.1227
28000	-106.5799	22.9818
29000	-125.8265	23.8566
30000	-95.3665	25.3251
31000	-122.9239	26.153
32000	-45.802	26.981
33000	-114.368	27.887
34000	-105.9028	28.8087
35000	-118.2445	29.8397
36000	-66.6198	30.7614
37000	-41.4188	31.7143
38000	-182.9457	32.6699
39000	-48.4504	33.7049
40000	-76.4771	34.6364
41000	-123.2262	35.6269
42000	-140.5453	36.5347
43000	-104.6235	37.4876
44000	-150.7412	38.503
45000	-135.4764	39.659
46000	-84.681	40.6744
47000	-43.9196	41.9398
48000	-35.582	43.3026
49000	-131.7843	44.9117
50000	-156.7794	46.5363
51000	-71.4978	47.7548
52000	-222.9465	49.3482
53000	-159.4678	50.676
54000	-14.1071	52.1288
55000	-39.1119	53.2692
56000	27.2393	54.9251
57000	29.1126	56.3779
58000	-76.2391	58.0181
59000	-85.8329	59.7209
60000	30.2153	61.1112
61000	34.4515	63.1108
62000	19.143	64.5323
63000	27.1391	66.2194
64000	-52.0245	67.4223
65000	55.967	69.0157
66000	-2.4324	70.4216
67000	-12.4331	71.9838
68000	28.7881	73.5147
69000	50.3687	75.2826
70000	54.4262	77.001
71000	59.9126	78.8287
72000	30.6946	80.4846
73000	41.0714	81.8125
74000	91.2942	83.6402
75000	34.2905	84.9836
76000	52.9971	86.6551
77000	68.9259	88.0298
78000	-16.0698	89.6701
79000	55.2783	91.3572
80000	53.2015	93.109
81000	63.8576	94.9924
82000	18.1569	96.6919
83000	80.6536	98.176
84000	71.2156	99.9881
85000	81.272	101.9876
86000	21.8021	103.4873
87000	89.6654	105.2608
88000	106.3272	106.8386
89000	96.6152	108.5882
90000	49.3334	110.1816
91000	73.1082	111.6969
92000	24.8712	113.6496
93000	105.4521	115.5242
94000	130.7494	117.4612
95000	94.7658	119.5233
96000	52.5617	121.1479
97000	-32.4252	122.9756
98000	33.8137	124.7096
99000	57.8091	126.3187
100000	90.9247	128.1464
101000	103.7709	130.021
102000	113.7486	132.0674
103000	38.1241	133.7858
104000	68.078	135.3792
105000	94.8095	137.3991
106000	58.6322	138.7113
107000	-46.6026	140.3359
108000	123.3856	141.9293
109000	42.4216	142.9135
110000	47.3147	143.9758
111000	103.7022	145.7566
112000	92.9368	147.3968
113000	67.1365	149.2089
114000	37.4451	150.8961
115000	90.4623	152.6209
116000	87.1648	154.5702
117000	50.235	156.0902
118000	60.6678	158.0272
119000	62.1642	159.3707
120000	95.1251	161.2921
121000	99.1526	162.9324
122000	62.1937	164.4477
123000	73.3227	166.2442
124000	75.5775	167.9895
125000	148.1829	169.6923
126000	135.3602	171.5512
127000	161.8468	173.3009
128000	79.5509	174.7693
129000	139.1233	176.2846
130000	101.3173	177.7374
131000	108.7502	179.487
132000	98.081	180.768
133000	142.273	182.2989
134000	73.0025	183.986
135000	105.0609	185.1889
136000	85.1673	186.6729
137000	80.795	188.2507
138000	120.3669	189.7972
139000	140.1219	191.4062
140000	96.7484	192.8278
141000	116.0143	194.2806
142000	3.703	195.624
143000	57.8702	196.8582
144000	103.5564	198.3406
145000	151.2757	199.9496
146000	83.042	201.6836
147000	71.4558	203.1052
148000	72.0392	204.2299
149000	65.3423	205.9952
150000	94.1713	207.3542
151000	32.1707	208.8383
152000	-7.8779	210.0411
153000	39.053	211.3533
154000	6.4969	212.73
155000	109.0455	214.3756
156000	113.0215	216.1309
157000	22.37	217.6359
158000	77.2242	218.9345
159000	100.581	220.4395
160000	58.3602	221.7171
