time_step	reward_avg	time
1000	-515.9805	0.8748
2000	-419.463	1.7496
3000	-306.3516	2.5307
4000	-189.2982	3.3118
5000	-310.1914	4.1397
6000	-277.8958	4.9677
7000	-204.9032	5.7956
8000	-223.3476	6.7173
9000	-160.7064	7.9357
10000	-283.5874	8.7481
11000	-270.4692	9.6541
12000	-202.9802	10.4508
13000	-156.9621	11.31
14000	-121.7121	12.1379
15000	-110.1248	12.9346
16000	-106.2816	13.6845
17000	-130.0317	14.5124
18000	-116.7401	15.3091
19000	-108.9547	16.1683
20000	-151.5897	17.0118
21000	-144.2468	17.8241
22000	-82.7717	18.5896
23000	-116.1494	19.3863
24000	-52.1876	20.183
25000	-69.4429	21.0734
26000	-87.4063	21.9638
27000	-71.983	22.7911
28000	-61.9004	23.6346
29000	16.4387	25.6029
30000	-59.6502	26.7433
31000	-27.2939	27.5556
32000	-125.5085	28.4148
33000	-76.4239	29.2583
34000	-104.3591	30.2894
35000	-43.5404	31.7017
36000	-69.7799	32.7092
37000	-72.5351	33.8354
38000	3.2056	35.692
39000	-71.642	36.7386
40000	-180.6751	38.004
41000	-33.525	39.3006
42000	-91.6576	40.2066
43000	-83.0637	41.1283
44000	-10.8731	42.4092
45000	-31.1395	43.3934
46000	-53.1678	44.7056
47000	-96.109	45.6429
48000	-124.1237	46.9238
49000	21.2416	48.7047
50000	-61.7877	49.8451
51000	-80.4409	51.3447
52000	-25.782	52.2664
53000	-96.343	53.188
54000	18.5262	54.4846
55000	-68.3772	55.6875
56000	22.5086	57.1871
57000	39.5614	58.515
58000	-38.2024	59.6241
59000	-76.1636	60.7801
60000	0.0647	62.1312
61000	27.287	63.3965
62000	81.6613	64.9743
63000	20.2597	66.5676
64000	3.142	67.8017
65000	11.0122	68.6609
66000	-42.5457	69.5826
67000	134.5681	71.176
68000	93.7151	72.9568
69000	59.0417	74.3628
70000	-30.2549	75.3
71000	55.931	76.6123
72000	27.026	78.0182
73000	81.2079	79.5178
74000	74.2201	81.5018
75000	-14.1717	83.0639
76000	30.7674	84.9385
77000	94.9645	86.61
78000	12.2516	88.0472
79000	-17.2816	89.4375
80000	31.9941	91.0933
81000	91.8484	92.7766
82000	20.5444	94.0931
83000	54.6225	95.3368
84000	123.2618	97.3983
85000	109.4638	99.1237
86000	83.5368	100.3474
87000	16.8363	101.9042
88000	85.4896	103.106
89000	53.0963	104.8644
90000	-2.8314	106.2975
91000	120.4905	107.9023
92000	96.3615	109.2836
93000	109.1801	111.1187
94000	127.5033	112.7364
95000	103.2249	114.4338
96000	126.5693	115.9468
97000	112.2614	117.6413
98000	52.4915	119.0106
99000	54.694	120.7111
100000	85.1102	122.5043
101000	124.3844	124.3343
102000	67.9004	125.584
103000	26.4521	126.8806
104000	150.3595	128.3646
105000	-72.7495	129.7549
106000	147.0727	131.4108
107000	88.3777	132.6761
108000	166.0418	134.2852
109000	106.8542	136.1128
110000	36.9441	137.3313
111000	58.9326	138.6279
112000	102.1065	140.1119
113000	86.3462	141.4554
114000	40.6769	142.6114
115000	61.1376	143.7986
116000	80.8929	145.267
117000	69.9747	146.4074
118000	82.7446	148.1101
119000	103.2385	149.8285
120000	112.9908	151.4375
121000	128.681	153.2383
122000	91.7903	154.6487
123000	46.8511	155.7319
124000	43.898	157.1222
125000	109.0506	158.7937
126000	99.4101	160.4027
127000	-13.9586	161.8555
128000	99.1452	163.4489
129000	91.7701	164.6205
130000	122.4812	166.2139
131000	211.0827	167.5573
132000	-148.1079	169.0413
133000	117.4013	170.3692
134000	63.5203	171.8376
135000	23.1666	173.1967
136000	-43.7262	174.6651
137000	31.2552	176.0085
138000	178.0852	177.3207
139000	101.4704	178.8985
140000	110.0286	180.6012
141000	75.117	182.4289
142000	62.1869	183.7724
143000	113.6862	185.4751
144000	114.077	187.2108
145000	57.2164	189.0698
146000	130.7744	190.6006
147000	-3.5381	192.3971
148000	82.8824	194.381
149000	79.666	196.2244
150000	140.8785	197.9271
151000	167.2395	199.3486
152000	173.8756	200.7077
153000	111.1288	201.9262
154000	83.9576	203.4415
155000	159.1981	205.0973
156000	137.0485	206.8782
157000	131.8184	208.659
158000	170.1804	210.3149
159000	78.9858	211.6793
160000	76.2743	213.1122
161000	146.5773	214.766
162000	99.3737	216.138
163000	65.9324	218.0077
164000	140.5742	219.4918
165000	145.0482	221.0539
166000	149.431	222.6629
167000	122.1824	223.8814
168000	159.241	225.4729
169000	123.7526	227.1131
170000	151.78	228.6597
171000	97.171	230.05
172000	89.3121	231.3778
173000	48.6754	232.7369
174000	125.5962	234.549
175000	130.0126	236.3142
176000	160.801	237.7357
177000	106.8183	239.2823
178000	175.8368	240.6257
179000	147.0625	242.2191
180000	87.7335	243.6719
181000	109.0416	245.2809
182000	144.9897	247.1086
183000	129.9594	249.1101
184000	141.1706	250.6812
185000	185.9271	252.0658
186000	23.9688	253.366
187000	98.8204	254.9282
188000	14.5868	256.1154
189000	154.2044	257.7869
190000	56.3796	259.2709
191000	42.3859	260.5675
192000	73.1014	261.7547
193000	62.5168	263.0513
194000	159.4977	264.3791
195000	86.4674	265.6445
196000	82.5673	267.0973
197000	96.0595	268.3626
198000	78.9697	269.5498
199000	142.7926	271.2994
200000	88.1282	272.9993
201000	166.9913	274.5423
202000	156.5271	276.2169
203000	139.2141	277.9977
204000	127.675	279.8504
205000	81.0306	281.35
206000	119.3828	282.631
207000	162.2024	284.0525
208000	152.3915	285.521
209000	129.2292	287.1456
210000	104.4757	288.489
211000	127.6235	290.0824
212000	147.5415	291.6446
213000	132.713	292.988
214000	168.9356	294.6751
215000	154.162	296.1592
216000	114.6297	297.5026
217000	166.9188	299.1273
218000	95.3527	300.7519
219000	143.2225	302.4546
220000	93.2593	303.9387
221000	142.6822	305.6883
222000	93.5042	307.1567
223000	75.0313	308.9375
224000	142.6566	310.4444
225000	107.8828	311.7253
226000	120.4671	313.1781
227000	60.2751	314.6309
228000	77.8759	315.8806
229000	122.7558	317.6146
230000	118.1643	319.1143
231000	125.5316	320.9732
232000	120.8986	322.2073
233000	-22.7835	323.4727
234000	54.352	324.9098
235000	40.2331	326.4251
236000	73.0615	327.7061
237000	84.1064	329.2995
238000	64.7066	330.9553
239000	132.7792	332.6754
240000	4.8121	334.0877
241000	133.3158	335.5468
242000	105.1485	336.8034
243000	126.5888	338.452
244000	144.3683	340.0936
245000	90.791	341.6186
246000	146.3089	343.0119
247000	92.0831	344.3084
248000	141.0641	345.9221
249000	93.0564	347.3254
250000	77.4882	349.0996
251000	152.3094	350.5976
252000	149.4408	352.0109
253000	183.8205	353.3762
254000	121.8321	354.7675
255000	162.2476	356.3044
256000	168.5797	357.9062
257000	69.6189	359.1189
258000	171.1045	360.4863
259000	141.4808	362.107
260000	112.997	363.471
261000	156.638	365.0487
262000	151.3223	366.5328
263000	107.559	367.9699
264000	45.3661	369.2978
265000	156.8534	370.7818
266000	148.8909	372.3357
267000	158.9339	373.8509
268000	78.2929	375.2256
269000	156.2656	377.069
270000	146.224	378.6623
271000	127.6421	380.0683
272000	84.9918	381.6617
273000	149.5843	383.2238
274000	116.6119	384.5985
275000	150.5686	386.0982
276000	155.431	387.6134
277000	145.3171	389.3474
278000	166.0267	390.9096
279000	163.3905	392.4514
280000	83.3761	393.7604
281000	161.2417	395.13
282000	131.7247	396.7703
283000	149.5735	398.4105
284000	151.8203	400.2226
285000	160.7358	401.9098
286000	147.705	403.7052
287000	144.9002	405.2361
288000	168.2979	406.6108
289000	118.3277	408.048
290000	140.9443	409.7195
291000	193.9791	411.2972
292000	159.3506	412.9375
293000	173.0015	414.4215
294000	160.9841	416.0462
295000	133.8287	417.7476
296000	116.4086	419.4034
297000	135.8317	421.1843
298000	133.9723	422.9964
299000	172.0025	424.496
300000	162.1427	426.0894
301000	159.8025	427.6672
302000	153.8605	429.3387
303000	138.2582	431.1664
304000	71.3723	432.588
305000	113.345	433.8533
306000	134.4419	435.7399
307000	172.0232	437.4739
308000	124.0852	439.3329
309000	145.7066	440.7544
310000	105.9453	441.9885
311000	139.1635	443.6132
312000	153.7476	445.2378
313000	158.1537	446.5812
314000	147.0369	448.0653
315000	170.4002	449.4868
316000	107.7673	451.1583
317000	150.0742	452.8609
318000	135.9105	454.5245
319000	90.2376	456.3519
320000	107.5815	457.7734
321000	116.7812	459.1169
322000	144.7372	460.5853
323000	167.2929	462.0537
324000	158.6362	463.6627
325000	164.6196	465.0502
326000	172.7205	466.6748
327000	136.7126	468.3151
328000	123.7167	470.0178
329000	153.9272	471.4081
330000	49.5605	472.8765
331000	25.9437	474.2669
332000	115.1376	475.8602
333000	15.6632	477.1412
334000	171.1786	478.6877
335000	69.6835	480.3436
336000	77.6122	482.0463
337000	64.7474	483.7647
338000	108.0567	485.608
339000	146.0919	487.0452
340000	93.3583	488.3887
341000	109.8483	489.8883
342000	124.4977	491.966
343000	133.8509	493.8874
344000	163.9556	495.2621
345000	153.2091	496.9418
346000	157.5833	498.4258
347000	140.4388	500.3629
348000	141.1149	502.2531
349000	145.5744	503.8777
350000	142.0423	505.4711
351000	155.2348	507.1114
352000	112.7563	508.6266
353000	106.6406	510.4544
354000	164.3789	512.3998
355000	147.7395	513.9665
356000	144.1818	515.3731
357000	161.45	516.9665
358000	160.0101	518.3881
359000	141.908	519.9815
360000	173.6652	521.5124
361000	167.0368	523.2151
362000	157.1664	524.8241
363000	141.3509	526.6831
364000	170.631	528.2797
365000	70.6881	529.9669
366000	148.9906	531.5602
367000	136.5907	533.388
368000	146.167	535.0126
369000	134.1288	536.7934
370000	156.7197	538.4493
371000	142.4895	540.2145
372000	166.1293	541.9329
373000	95.7928	543.495
374000	81.1614	544.8854
375000	4.8231	546.635
376000	56.912	548.0253
377000	136.1166	549.7436
378000	91.6361	551.5401
379000	109.0974	553.3522
380000	161.7907	554.8518
381000	163.9947	556.3203
382000	79.477	557.8999
383000	102.6583	559.6807
384000	92.5737	561.1179
385000	1.991	562.7269
386000	89.8486	564.5234
387000	186.9646	566.023
388000	158.2573	567.9289
389000	150.6558	569.8034
390000	76.8068	571.4281
391000	119.1167	573.4127
392000	125.5759	575.2797
393000	161.8652	576.675
394000	146.5619	578.164
395000	76.1576	579.678
396000	88.6984	580.9745
397000	141.7545	582.5603
398000	175.1645	583.814
399000	167.3622	585.0806
400000	118.061	586.6065
401000	147.0871	588.1015
402000	160.5805	589.8439
403000	100.7197	591.1384
404000	164.3679	592.6075
405000	153.9148	594.3489
406000	106.902	596.0384
407000	33.9959	597.321
408000	111.8084	598.7741
409000	180.4596	600.1444
