time_step	reward_avg	time
1000	-267.7831	0.7879
2000	-266.8065	1.5628
3000	-194.542	2.3248
4000	-115.4572	3.1033
5000	-191.4537	3.8375
6000	-101.99	4.6342
7000	-119.4755	5.4309
8000	-117.5612	6.2432
9000	-149.6043	7.0555
10000	-99.412	7.8366
11000	-110.3715	8.6021
12000	-195.1039	9.4456
13000	-186.5846	10.2267
14000	-152.4609	11.0078
15000	-123.9465	11.7889
16000	-119.701	12.5855
17000	-121.6087	13.4135
18000	-180.9825	14.2102
19000	-158.8877	15.0069
20000	-59.4124	15.866
21000	-102.0938	16.7096
22000	-105.9605	17.5376
23000	-125.3361	18.428
24000	-70.8407	19.3359
25000	-60.4995	20.5387
26000	-43.2603	21.7728
27000	-37.3187	22.8038
28000	-31.2381	24.0535
29000	4.8931	25.4282
30000	-27.9012	26.428
31000	-122.2751	27.584
32000	-53.6832	28.9431
33000	-252.6496	30.2553
34000	-68.768	31.5769
35000	-95.0613	33.0332
36000	36.2463	34.794
37000	-14.0001	36.0906
38000	18.7107	37.684
39000	2.1216	39.168
40000	-17.0745	40.6208
41000	74.9331	42.4385
42000	7.8167	43.8288
43000	45.2543	45.469
44000	-62.1791	47.328
45000	-43.3042	48.6089
46000	-234.7028	50.093
47000	-106.5686	51.775
48000	21.2553	53.453
49000	2.4723	55.3745
50000	-7.964	56.6398
51000	0.9425	57.8583
52000	56.3181	59.7172
53000	-105.2065	61.2481
54000	38.5903	62.9821
55000	51.5594	64.8411
56000	-17.171	66.4814
57000	-33.6021	67.4967
58000	-120.4971	68.887
59000	5.8194	69.8556
60000	43.2754	71.199
61000	55.4584	72.8236
62000	98.6916	74.4483
63000	36.867	76.3853
64000	35.7436	77.7288
65000	51.3516	79.166
66000	100.3169	81.2124
67000	50.5369	82.62
68000	-31.0384	84.4009
69000	-8.379	86.0568
70000	96.1852	87.6345
71000	51.7335	89.1654
72000	32.499	90.6182
73000	37.7005	92.2429
74000	-1.7278	93.7402
75000	38.1482	95.6175
76000	37.8045	96.9766
77000	53.1278	98.773
78000	16.8918	99.7728
79000	29.2357	101.2725
80000	88.0444	102.8815
81000	58.8181	104.6936
82000	63.0173	106.3963
83000	29.5717	108.2084
84000	87.2041	109.8955
85000	98.6861	111.7076
86000	28.9851	113.1025
87000	152.7642	114.8834
88000	132.0084	116.5236
89000	49.9419	118.3201
90000	126.4509	120.0385
91000	89.7002	121.2882
92000	79.9977	122.7722
93000	94.1576	124.4125
94000	45.5965	126.0215
95000	134.8084	127.7086
96000	108.3523	129.2707
97000	75.8743	131.036
98000	65.8612	132.4888
99000	100.1983	133.8478
100000	2.5376	135.3944
101000	39.7723	137.1752
102000	134.9422	138.8936
103000	127.2497	140.3776
104000	119.4973	141.7991
105000	131.9086	143.4799
106000	130.3576	145.2451
107000	115.6154	146.8072
108000	145.3396	148.2913
109000	97.1738	149.7128
110000	105.965	151.2728
111000	171.3254	152.8937
112000	160.5764	154.4608
113000	-69.9755	156.0854
114000	128.7939	157.9131
115000	162.1287	159.6315
116000	153.5003	161.1624
117000	122.6556	162.5683
118000	117.5938	164.4273
119000	138.8332	166.1456
120000	137.8342	167.8328
121000	77.3316	169.473
122000	63.7514	171.1133
123000	140.6883	172.816
124000	48.3888	174.1282
125000	67.6351	175.736
126000	89.4221	177.1419
127000	130.8918	178.829
128000	153.9189	180.3131
129000	90.3647	181.8127
130000	101.2301	183.3124
131000	146.0291	184.812
132000	56.6817	186.3117
133000	105.1274	188.0613
134000	136.9413	189.764
135000	55.8637	191.5293
136000	78.9182	193.1851
137000	130.1473	194.8254
138000	45.2868	196.6218
139000	110.682	198.4183
140000	155.0999	200.4179
141000	129.6942	202.1518
142000	155.7528	203.6671
143000	81.5169	205.2449
144000	100.3284	207.0812
145000	109.125	208.5652
146000	153.8316	210.1898
147000	97.2958	211.799
148000	120.8942	213.8031
149000	99.5297	215.7489
150000	134.9299	217.5142
151000	130.0296	219.1075
152000	159.8812	220.7478
153000	106.747	222.1381
154000	160.4973	223.5284
155000	138.4275	225.1667
156000	164.2184	226.6663
157000	67.079	227.8067
158000	115.671	229.2751
159000	-0.4267	230.5405
160000	150.3593	232.1339
161000	154.2735	233.6804
162000	180.6226	235.4612
163000	150.6575	237.3709
164000	92.1183	238.7925
165000	141.1458	240.7608
166000	129.4792	242.5729
167000	164.2078	243.9788
168000	94.1603	245.5253
169000	149.0309	247.353
170000	159.0099	249.1495
171000	98.7359	250.5867
172000	165.2686	251.977
173000	118.601	253.7266
174000	129.3232	255.4762
175000	141.4594	257.3039
176000	151.3806	259.0535
177000	121.1028	260.4282
178000	144.1391	261.8966
179000	124.8224	263.6931
180000	84.5383	265.1459
181000	137.5921	266.7549
182000	156.5198	268.5418
183000	172.3745	269.9009
184000	120.5107	271.3423
185000	90.6845	272.9819
186000	144.9805	274.455
187000	141.2519	275.952
188000	93.4516	277.082
189000	160.2911	278.7117
190000	142.0868	280.2077
191000	98.8303	281.579
192000	61.477	282.9394
193000	103.1305	284.7276
194000	39.864	286.2037
195000	109.3004	287.9939
196000	127.8959	289.5597
197000	118.9039	291.2233
198000	181.665	292.8659
199000	152.2236	294.4238
200000	157.1365	295.9956
201000	-46.1187	297.5225
202000	91.5896	298.9727
203000	156.6976	300.4557
204000	56.8308	301.6146
205000	216.0908	303.2455
206000	161.1869	304.7452
207000	141.6182	306.4323
208000	158.8536	307.9944
209000	156.4414	309.6816
210000	109.3422	311.3218
211000	168.006	312.7434
212000	164.4754	314.3992
213000	149.6086	316.1488
214000	102.6733	317.7735
215000	143.6436	319.2888
216000	126.1208	320.7103
217000	166.0165	322.4599
218000	123.0285	323.8971
219000	124.9417	325.5061
220000	172.6827	326.912
221000	168.5442	328.6148
222000	159.4856	330.0793
223000	24.993	331.2991
224000	156.6703	332.9239
225000	132.5833	334.3116
226000	152.2891	336.1664
227000	158.0247	337.9941
228000	162.9548	339.6187
229000	123.4215	341.0247
230000	72.8066	342.5087
231000	172.1795	344.2114
232000	186.4201	345.758
233000	146.7769	347.2108
234000	155.4493	348.6948
235000	100.9157	349.9758
236000	136.2272	351.6316
237000	155.6952	353.3344
238000	165.5747	354.7872
239000	176.2647	356.1619
240000	186.2532	357.5366
241000	158.6605	358.9581
242000	115.4997	360.3589
243000	93.4424	361.7336
244000	93.9403	363.1239
245000	138.5741	364.4673
246000	146.5024	365.8732
247000	138.8055	367.123
248000	180.2654	368.4352
249000	162.1721	369.7942
250000	162.9246	371.0752
251000	116.5449	372.5436
252000	150.0698	374.0433
253000	120.4703	375.3867
254000	164.7037	376.7614
255000	155.3611	378.3079
256000	157.3678	379.995
257000	176.8117	381.4947
258000	175.5399	382.9319
259000	-43.948	384.2128
260000	140.8498	385.6188
261000	124.2764	386.9778
262000	169.3675	388.4462
263000	178.8746	390.024
264000	157.6932	391.574
265000	149.0351	392.9214
266000	176.8024	394.2699
267000	143.307	395.6153
268000	86.5315	397.1791
269000	91.801	398.6731
270000	142.4307	400.1203
271000	178.6459	401.5764
272000	105.2506	403.1951
273000	59.0434	405.1928
274000	162.105	406.5601
275000	136.3181	407.8756
276000	147.1597	409.3995
277000	78.104	410.8028
278000	152.7094	412.2011
279000	170.5097	413.8467
280000	159.779	415.3148
281000	115.9342	416.5724
282000	154.9606	417.9816
283000	144.7692	419.4866
284000	171.3986	420.851
285000	165.8078	422.2513
286000	181.1847	423.5779
287000	154.2814	425.1088
288000	183.1627	426.2492
289000	168.8503	427.5457
290000	162.0747	428.7486
291000	184.3859	429.9202
292000	130.9984	431.0449
293000	182.0673	432.404
294000	139.0645	433.8724
295000	148.6034	435.2784
296000	187.3672	436.6062
297000	141.1243	438.0434
298000	154.4096	439.5899
299000	81.0135	440.9958
300000	151.2093	442.5267
301000	152.2686	443.917
302000	180.9759	445.2449
303000	149.6313	446.8226
304000	100.4458	448.1192
305000	77.4929	449.3533
306000	158.158	450.7124
307000	145.6466	452.0527
308000	160.5726	453.4368
309000	169.8886	455.002
310000	141.351	456.4391
311000	146.9911	457.7513
312000	84.9013	459.0479
313000	60.8781	460.4851
314000	149.8953	462.0316
315000	99.0194	463.1564
316000	144.9795	464.453
317000	163.5697	465.7964
318000	169.0329	467.1398
319000	173.2209	468.5614
320000	155.3672	469.8267
321000	148.5335	471.3576
322000	183.1299	472.6855
323000	173.9986	474.0758
324000	118.2027	475.0912
325000	178.4204	476.4971
326000	181.4197	477.8562
327000	154.4702	479.2621
328000	122.7753	480.7305
329000	170.8037	482.0271
330000	181.3033	483.4955
331000	164.5501	484.9148
332000	168.8845	486.4926
333000	147.9755	487.8673
334000	156.4089	489.3513
335000	179.8137	490.851
336000	108.1051	492.1476
337000	101.6721	493.4598
338000	167.1357	494.9282
339000	170.5863	496.256
340000	166.2502	497.74
341000	163.2793	499.0522
342000	178.041	500.2707
343000	167.5317	501.7079
344000	152.4862	503.2076
345000	89.1503	504.5979
346000	145.9389	505.9569
347000	192.1463	507.2067
348000	181.1806	508.5345
349000	172.9689	509.9092
350000	157.1861	511.6869
351000	93.2389	513.0831
352000	151.4421	514.5298
353000	160.8841	516.1272
354000	169.1066	517.6738
355000	156.2691	519.2515
356000	121.0712	520.5013
357000	176.2408	522.0322
358000	161.7302	523.2662
359000	173.6229	524.5628
360000	189.3494	525.8907
361000	168.7076	527.281
362000	152.8665	528.5775
363000	173.4307	529.921
364000	103.0635	531.6081
365000	165.3504	532.8891
366000	176.6981	534.4044
367000	168.5192	535.9196
368000	167.7678	537.2787
369000	158.6267	538.7315
370000	154.404	540.0906
371000	164.4284	541.6527
372000	150.3747	543.0743
373000	116.493	544.3709
