time_step	reward_avg	time
1000	-240.9123	0.8123
2000	-227.5445	1.7027
3000	-168.7074	2.5307
4000	-87.0037	3.3586
5000	-117.1668	4.5771
6000	-154.9856	5.3738
7000	-232.824	6.1861
8000	-204.9111	7.0453
9000	-292.8469	7.9047
10000	-301.2966	8.6702
11000	-272.5264	9.5137
12000	-244.2826	10.2948
13000	-131.6875	11.1071
14000	-121.4294	11.9038
15000	-106.5999	12.7317
16000	-128.3658	13.5753
17000	-232.4197	14.4188
18000	-83.0517	15.2312
19000	-79.5473	16.4028
20000	-135.2636	17.1995
21000	-61.5229	17.9649
22000	-89.3881	18.7616
23000	-90.1444	19.5896
24000	-63.7137	20.4019
25000	-78.0946	21.2767
26000	-86.4108	22.1827
27000	-1.5569	23.6824
28000	-89.3835	24.6353
29000	-100.1761	25.6194
30000	-87.9532	26.6817
31000	-129.8774	27.5409
32000	-83.879	28.9156
33000	-68.0645	29.8997
34000	11.0827	31.3211
35000	-133.8884	32.657
36000	-204.7635	33.6321
37000	-81.6683	34.7337
38000	-84.4384	36.1553
39000	-209.9334	37.2488
40000	-282.3286	38.4516
41000	-224.7405	39.4613
42000	-397.7139	40.4767
43000	-243.2633	41.6015
44000	-289.8085	42.7575
45000	-320.1804	44.2259
46000	-153.6282	45.2725
47000	-191.4322	46.5222
48000	-169.4041	47.6626
49000	-2.1265	49.256
50000	-22.1147	50.6307
51000	-14.6536	51.9273
52000	-10.8843	52.927
53000	-49.0904	54.6142
54000	-97.4723	55.7701
55000	-48.4778	57.3948
56000	-57.0461	59.285
57000	-38.6115	60.8003
58000	6.5475	62.4249
59000	4.7512	63.6902
60000	9.7492	65.0962
61000	21.5329	66.4552
62000	10.4949	67.7362
63000	80.1485	69.6781
64000	17.5444	71.3027
65000	-152.0584	72.7087
66000	34.8922	74.6457
67000	-15.3191	76.5359
68000	8.362	78.3636
69000	37.5864	80.1913
70000	10.1801	81.8472
71000	66.0469	83.4719
72000	31.036	84.7216
73000	89.6952	86.3774
74000	40.5445	88.1583
75000	41.6747	90.0172
76000	24.9379	91.6177
77000	65.7487	93.4847
78000	17.1286	95.1572
79000	50.2301	96.9355
80000	-107.1141	98.3767
81000	-20.1258	100.0811
82000	73.9352	101.6868
83000	36.3552	103.3205
84000	58.8999	105.3132
85000	95.0914	106.882
86000	33.2332	108.2214
87000	31.5396	109.7274
88000	44.1844	111.1706
89000	90.5745	112.8132
90000	-1.3293	114.2065
91000	99.4641	115.895
92000	31.6169	117.5057
93000	85.5264	119.2171
94000	67.9608	120.743
95000	65.4459	122.3015
96000	61.7556	124.1605
97000	-52.7892	125.8632
98000	97.8026	127.7847
99000	53.0712	129.5655
100000	53.4855	131.1589
101000	62.8462	132.8769
102000	82.8796	134.4078
103000	22.0268	135.6576
104000	-22.6829	137.0322
105000	20.7186	138.3757
106000	25.3142	139.9066
107000	73.0931	141.9686
108000	64.3819	143.5308
109000	32.1945	145.0304
110000	2.4203	146.7176
111000	-27.5545	148.4047
112000	75.7333	149.9512
113000	33.1788	151.8456
114000	39.7036	153.3473
115000	-12.3273	155.0402
116000	-26.7395	156.2743
117000	68.1434	157.8209
118000	-24.2599	159.3049
119000	18.2953	161.0545
120000	46.636	162.5566
121000	23.6095	163.8376
122000	46.7548	165.306
123000	28.7498	166.4932
124000	2.382	167.7273
125000	62.0845	169.2738
126000	50.4767	171.0234
127000	89.6298	172.9449
128000	-12.2227	174.7101
129000	75.4815	176.5222
130000	79.7348	178.3968
131000	-74.3006	180.0839
132000	-70.6267	181.8023
133000	43.4287	183.2863
134000	38.2002	184.5829
135000	-13.9885	186.3325
136000	61.0256	188.0508
137000	45.4222	189.9723
138000	82.2222	191.5813
139000	108.2211	193.5887
140000	90.0206	195.4008
141000	96.3022	196.9785
142000	87.7721	198.9156
143000	39.0355	200.4465
144000	89.5009	202.6491
145000	68.2487	204.2269
146000	64.7553	206.0233
147000	118.6755	207.773
148000	45.7905	209.4601
149000	48.2088	211.3206
150000	46.723	212.8405
151000	40.4307	214.7062
152000	31.6579	216.4558
153000	4.4759	218.2679
154000	108.8975	219.9082
155000	85.1083	221.4547
156000	23.8085	223.0168
157000	109.9233	224.9036
158000	43.6794	226.7781
159000	110.7085	228.7308
160000	33.9325	229.9024
161000	37.5816	231.3552
162000	97.2167	233.1517
163000	46.4258	234.6982
164000	101.6247	236.6353
165000	42.4915	238.0881
166000	2.3713	239.9158
167000	-120.5025	241.6498
168000	41.9164	243.1963
169000	-36.569	244.6803
170000	111.8147	246.5237
171000	60.9466	248.3514
172000	64.5204	250.1635
173000	49.906	252.0068
174000	17.7768	253.772
175000	-101.0379	255.4748
176000	69.1989	257.1917
177000	86.3233	259.1288
178000	74.3791	260.9409
179000	78.5879	263.0029
180000	33.5003	264.9087
181000	128.1138	266.7833
182000	64.055	268.7204
183000	83.0577	270.6051
184000	23.9388	271.8917
185000	87.9574	273.7128
186000	35.8949	275.141
187000	61.1	276.7886
188000	75.5213	278.5779
189000	80.3431	280.2554
190000	72.8888	281.519
191000	101.9876	283.2145
192000	94.0765	285.3219
193000	93.348	287.0812
194000	112.8286	289.0131
195000	76.467	290.3654
196000	44.4449	292.043
197000	77.6764	293.7135
198000	115.2825	295.3382
199000	130.8118	297.1274
200000	54.3431	298.7232
201000	111.7912	300.3149
202000	74.8581	301.9323
203000	103.8099	303.7444
204000	105.656	305.5409
205000	82.4661	307.0249
206000	110.5579	308.6183
207000	79.5698	310.6179
208000	39.4883	312.1332
209000	78.6216	313.8359
210000	108.3331	315.773
211000	69.6502	317.4132
212000	97.9672	319.0889
213000	49.6032	320.8697
214000	73.9747	322.5568
215000	80.9016	324.4782
216000	63.9613	326.0872
217000	103.5106	327.7587
218000	14.2096	329.4615
219000	108.5518	331.5537
220000	97.5092	333.2822
221000	106.8258	335.109
222000	88.1238	336.9523
223000	92.8495	338.6238
224000	65.867	340.3578
225000	96.9833	342.1543
226000	-15.5301	343.982
227000	110.6289	345.6535
228000	96.3912	347.2156
229000	81.7513	349.1151
230000	-2.0472	350.521
231000	97.5497	351.9894
232000	132.5734	353.7703
233000	70.2831	355.5043
234000	105.881	357.3789
235000	61.4693	359.394
236000	138.1568	361.2842
237000	48.3405	362.8932
238000	77.8826	364.4398
239000	-2.3355	366.1894
240000	84.8283	368.142
241000	91.0685	370.4696
242000	53.3964	372.4536
243000	87.6958	374.2969
244000	91.2926	376.1715
245000	60.7598	377.9367
246000	69.7917	379.8576
247000	-14.5907	381.6228
248000	88.5385	383.263
249000	73.6349	385.0439
250000	102.2294	386.9341
251000	75.5916	388.5431
252000	108.2336	390.3733
253000	51.5567	392.1076
254000	40.8819	393.6695
255000	62.8491	395.3098
256000	62.4776	397.0906
257000	59.4972	398.7153
258000	72.5979	400.2618
259000	53.3455	402.027
260000	155.2827	403.7766
261000	92.164	405.6668
262000	95.3439	407.1509
263000	55.3863	408.9161
264000	60.2457	410.605
265000	46.396	412.339
266000	92.852	414.3073
267000	84.1696	415.9476
268000	77.4646	417.9784
269000	111.01	419.8998
270000	81.8795	421.8056
271000	94.5682	423.399
272000	68.4087	425.1486
273000	56.4537	426.9451
274000	91.2236	428.7103
275000	108.7129	430.4599
276000	68.435	431.9283
277000	49.3366	433.6935
278000	75.9216	435.2401
279000	81.4269	437.2084
280000	101.2154	439.1298
281000	88.3378	441.1606
282000	45.5491	442.6965
283000	63.3332	444.4617
284000	78.4555	445.9926
285000	130.1395	447.9922
286000	97.6443	449.7574
287000	46.4326	451.3004
288000	129.8899	453.1494
289000	107.9553	454.9537
290000	124.1764	456.6302
291000	87.0407	458.197
292000	115.8363	460.1179
293000	132.7538	461.8243
294000	109.0126	463.4729
295000	62.0015	465.0727
296000	104.6639	466.8739
297000	50.406	468.5903
298000	57.3641	470.18
299000	46.1304	471.5424
300000	52.4237	473.4025
301000	110.954	475.0471
302000	77.6628	477.0049
303000	112.5837	478.6545
304000	98.6096	480.4078
305000	66.78	481.9484
306000	123.5919	483.823
307000	126.8517	485.8069
308000	127.3217	487.6346
309000	111.743	489.4779
310000	106.1532	491.4931
311000	103.0489	493.352
312000	108.7862	494.8986
313000	112.1396	496.6482
314000	101.3787	498.2728
315000	138.4159	499.9599
316000	96.8642	501.7876
317000	73.3587	503.685
318000	76.0483	505.3409
319000	102.8629	507.153
320000	102.0672	508.887
321000	103.2584	510.4811
322000	142.3069	512.2271
323000	114.3923	514.1241
324000	107.1258	515.5144
325000	91.1943	516.9516
326000	51.5158	518.5606
327000	112.6907	520.2321
328000	94.4349	521.8255
329000	107.4461	523.5126
330000	76.3159	525.0279
331000	98.8532	526.8556
332000	133.7184	528.574
333000	40.0967	529.933
334000	97.8251	531.6983
335000	131.8137	533.6666
336000	78.9225	535.3654
337000	111.7623	537.24
338000	118.9897	538.6303
339000	102.8594	540.3486
340000	55.5742	542.0045
341000	49.0933	543.6916
342000	145.1725	545.285
343000	62.892	547.1128
344000	100.826	548.7061
345000	81.1624	550.6276
346000	26.8873	551.6898
347000	122.3848	553.4551
348000	89.5577	555.1734
349000	130.8332	556.9543
350000	118.8135	558.7039
351000	94.1959	560.7503
352000	109.0658	562.5936
353000	89.7522	564.7181
354000	124.385	566.6548
355000	150.4759	568.5606
356000	73.8879	570.7639
357000	59.8958	572.3269
358000	107.4942	574.0784
359000	3.4032	575.7811
360000	74.6408	577.6401
361000	34.9645	579.3897
362000	51.1179	581.0768
363000	43.4039	582.7639
364000	118.3361	584.7166
365000	28.5181	586.2475
366000	59.1883	587.8097
367000	135.5802	589.6842
368000	128.8688	591.4338
369000	13.7155	592.7929
370000	94.5608	594.5737
371000	123.9775	596.3233
372000	135.7125	597.9345
373000	57.701	599.731
