time_step	reward_avg	time
1000	-304.6268	0.766
2000	-212.0034	1.5
3000	-281.4138	2.3038
4000	-160.3957	3.1005
5000	-211.2876	3.8972
6000	-158.885	4.6314
7000	-171.0243	5.4125
8000	-93.4499	6.131
9000	-137.3359	6.9902
10000	-107.3289	7.7557
11000	-153.1982	8.4899
12000	-145.5161	9.2085
13000	-109.3554	9.9739
14000	-112.433	10.8019
15000	-134.9711	11.5986
16000	-126.4285	12.364
17000	-111.9398	13.2076
18000	-83.3048	13.9418
19000	-133.1636	14.7072
20000	-126.0515	15.582
21000	-75.4366	16.4393
22000	-94.0222	17.236
23000	-58.0199	18.1108
24000	-41.3533	18.9543
25000	-24.2278	19.876
26000	-63.0975	20.7196
27000	-16.7122	21.5944
28000	-10.7692	22.7191
29000	-194.9791	24.125
30000	-158.1541	25.2654
31000	-99.7324	26.7338
32000	-69.5542	27.8586
33000	-58.2294	29.1551
34000	6.2147	30.2982
35000	-11.7963	32.1833
36000	16.4158	33.4441
37000	-45.4565	34.4595
38000	20.7296	36.2247
39000	-68.9144	37.865
40000	-106.8668	39.2241
41000	26.7425	40.8331
42000	11.2299	42.4577
43000	0.1798	44.0042
44000	-49.1596	45.707
45000	33.0562	47.5486
46000	64.5363	49.595
47000	-32.2884	51.2352
48000	23.7989	52.938
49000	23.1492	54.6251
50000	9.8183	56.1872
51000	26.0023	58.015
52000	5.2081	60.0614
53000	68.746	61.7329
54000	39.4969	63.6543
55000	80.9228	65.607
56000	11.8459	67.1847
57000	27.2371	69.0125
58000	18.0489	70.8089
59000	86.2078	72.5117
60000	72.9493	74.2925
61000	66.4897	75.9484
62000	61.1962	77.573
63000	101.9562	79.293
64000	75.3219	81.1207
65000	39.0138	82.9485
66000	54.7971	84.6043
67000	35.0801	86.0259
68000	48.0469	87.8067
69000	102.064	89.4782
70000	71.4682	91.103
71000	42.4615	92.2788
72000	118.6699	93.9274
73000	49.3043	95.3377
74000	58.8233	97.0252
75000	103.3424	98.6798
76000	89.926	100.5079
77000	23.6381	101.9989
78000	69.1812	103.4869
79000	46.7852	105.2363
80000	58.1855	106.9208
81000	96.3379	108.5036
82000	108.8773	110.1013
83000	90.0859	111.7489
84000	80.0606	113.3536
85000	117.9105	114.8427
86000	33.0399	116.1322
87000	57.7295	117.8696
88000	97.8695	119.6199
89000	117.1808	121.2725
90000	102.6334	123.1563
91000	10.2517	124.2342
92000	36.7462	125.562
93000	46.5016	126.9835
94000	23.0934	128.6238
95000	127.187	130.4515
96000	36.6531	131.6387
97000	36.067	133.1696
98000	19.3836	134.3412
99000	60.9224	135.6222
100000	49.0213	137.1843
101000	24.2182	138.4965
102000	53.956	140.0743
103000	107.4906	141.7814
104000	61.8761	143.1874
105000	118.6225	145.0151
106000	41.4794	146.2023
107000	32.5314	147.6239
108000	48.8227	149.0923
109000	-17.0088	149.9046
110000	-22.9637	150.9003
111000	-62.0569	152.041
112000	-11.8127	153.2407
113000	-12.6755	154.3996
114000	-14.5386	155.4618
115000	-56.6773	156.5241
116000	51.6781	158.1331
117000	115.8698	159.7265
118000	5.5962	161.2574
119000	-1.4565	162.6321
120000	73.6056	164.3504
121000	-3.9303	165.6002
122000	-0.3675	166.8811
123000	35.3267	168.0683
124000	71.0884	169.5993
125000	120.0518	171.0052
126000	80.3409	172.3647
127000	92.6064	173.88
128000	14.9613	175.3484
129000	107.4512	176.9262
130000	79.8639	178.3477
131000	86.0996	179.8786
132000	121.1359	181.4408
133000	75.8952	183.0966
134000	98.053	184.7213
135000	56.2232	186.1741
136000	133.1939	187.6737
137000	-43.5842	189.0953
138000	136.0269	190.7512
139000	105.498	192.1415
140000	138.658	193.7661
141000	73.0109	195.2345
142000	42.7671	196.3749
143000	-3.71	197.7339
144000	149.5951	199.3742
145000	93.399	200.6708
146000	109.0765	202.1236
147000	74.4443	203.5358
148000	135.0295	205.0042
149000	82.3015	206.5351
150000	69.6946	207.8474
151000	25.429	209.4407
152000	-19.0573	210.7767
153000	95.01	212.4822
154000	-32.0247	213.9772
155000	149.2563	215.5679
156000	56.7257	216.9702
157000	75.0424	218.5679
158000	-25.6621	220.039
159000	42.8527	221.3705
160000	112.8904	223.0021
161000	135.2717	224.5809
162000	106.1557	226.1108
163000	149.2713	227.5211
164000	106.4939	229.1707
165000	-18.8417	230.8043
166000	115.7873	232.3143
167000	64.4744	234.2451
168000	107.7822	236.0653
169000	79.8763	237.7797
170000	123.7501	239.3336
171000	-3.2722	240.3369
172000	128.7714	241.8333
173000	159.2184	243.1611
174000	-33.1153	244.4889
175000	136.1809	245.8793
176000	110.7598	247.3164
177000	68.5653	248.6286
178000	94.3231	250.2064
179000	155.7983	251.4561
180000	36.4103	252.6277
181000	23.4824	253.7212
182000	81.4701	255.174
183000	70.2299	256.4706
184000	59.4692	257.4704
185000	71.1641	259.0481
186000	99.4944	260.501
187000	37.6212	261.7038
188000	87.8399	263.2347
189000	135.4965	264.6672
190000	105.9151	266.3543
191000	133.7938	267.7134
192000	45.4172	268.9943
193000	73.0462	270.3516
194000	147.9219	271.8219
195000	33.1362	273.1105
196000	48.0611	274.2553
197000	140.3885	276.0139
198000	102.5368	277.7792
199000	75.955	279.5287
200000	80.569	281.4033
201000	127.9299	283.1685
202000	177.293	284.7775
203000	22.8098	285.996
204000	88.0536	287.5269
205000	130.9368	289.1203
206000	89.141	290.5887
207000	129.1482	292.557
208000	27.5954	293.963
209000	70.9707	295.4559
210000	116.0831	296.9243
211000	95.8919	298.3458
212000	131.1986	300.2673
213000	84.5451	302.2043
214000	140.091	303.7509
215000	137.8874	305.2037
216000	162.0842	306.9845
217000	146.8096	308.7185
218000	117.1412	310.3431
219000	50.4791	312.0146
220000	214.3514	313.6549
221000	121.6527	314.9983
222000	154.4207	316.6542
223000	135.4836	318.1226
224000	120.5483	319.9503
225000	94.6584	321.6687
226000	143.3004	323.2152
227000	-31.1361	324.6211
228000	68.8791	326.1677
229000	147.8541	327.7201
230000	134.5554	329.2198
231000	143.5552	330.9926
232000	151.4215	332.4856
233000	164.101	334.0554
234000	144.2918	335.8363
235000	170.6894	337.5547
236000	131.3678	339.1793
237000	87.9895	340.4446
238000	154.0338	341.7412
239000	122.1909	343.1628
240000	105.5031	344.928
241000	71.9205	346.4276
242000	145.0237	348.1304
243000	132.3257	349.6925
244000	115.2446	351.1297
245000	151.12	352.52
246000	158.8166	354.0822
247000	68.2668	355.5974
248000	128.6029	357.0502
249000	86.4372	358.3671
250000	153.7236	360.226
251000	113.4234	361.5539
252000	152.0577	363.0848
253000	136.9316	364.6157
254000	74.2198	365.6779
255000	152.0708	367.2245
256000	89.0885	368.6929
257000	150.1688	370.1613
258000	114.5796	371.864
259000	116.9525	373.2387
260000	176.7584	374.7228
261000	96.8452	376.363
262000	54.2861	377.519
263000	76.5699	378.9718
264000	84.3262	380.2059
