time_step	reward_avg	time
1000	-206.7119	0.893
2000	-139.1044	1.7365
3000	-164.5519	2.5957
4000	-133.828	3.4861
5000	-164.4796	4.5015
6000	-133.33	5.5638
7000	-79.3412	6.6729
8000	-118.2653	7.7039
9000	-110.288	8.6412
10000	-75.5093	9.5629
11000	-59.6548	10.6564
12000	-127.7716	11.828
13000	-99.5878	13.1714
14000	-51.3502	14.3587
15000	-86.2801	15.3116
16000	-72.5331	16.1864
17000	-54.0744	17.0612
18000	-121.472	17.9516
19000	-70.5407	18.8732
20000	-55.1093	19.8262
21000	-23.8173	20.7478
22000	-65.9263	21.6539
23000	-77.6094	22.5506
24000	-60.9376	23.5347
25000	-45.4999	24.5345
26000	-29.1058	25.4874
27000	-31.287	26.5496
28000	12.7648	28.0962
29000	-142.7198	29.7298
30000	-61.5646	31.1631
31000	-141.293	32.8604
32000	-42.5938	34.7818
33000	-158.4431	36.3596
34000	-137.6776	38.2498
35000	41.6567	40.3118
36000	49.1977	42.1708
37000	-160.858	43.9047
38000	41.775	45.5919
39000	22.5016	47.3571
40000	-14.6671	48.8099
41000	-9.9226	50.497
42000	59.4108	52.3872
43000	40.4872	53.6117
44000	55.2073	55.33
45000	15.9704	57.189
46000	-58.708	58.7511
47000	1.6111	60.6413
48000	48.8635	62.469
49000	28.4045	63.9218
50000	-30.9928	65.7026
51000	99.5862	67.8271
52000	55.5388	69.7486
53000	16.802	71.3888
54000	77.0827	73.2478
55000	34.5104	74.9349
56000	52.2017	76.5283
57000	50.4305	78.4185
58000	74.9297	80.4805
59000	99.3091	82.2145
60000	33.3719	83.6985
61000	104.1059	85.7101
62000	-5.3247	87.3504
63000	61.398	89.0443
64000	95.5923	90.7518
65000	36.3983	92.0044
66000	40.8008	94.0879
67000	53.0456	96.1633
68000	70.341	97.9765
69000	76.9846	99.9492
70000	74.253	101.6118
71000	33.5412	103.5087
72000	110.7615	105.4336
73000	87.2916	107.3574
74000	-50.9154	109.0778
75000	10.6238	110.3644
76000	68.094	112.1676
77000	63.1233	113.888
78000	56.2856	115.4897
79000	83.3207	117.8654
80000	60.5384	120.0785
81000	130.611	122.5948
82000	60.5567	124.8755
83000	32.9951	126.4064
84000	26.5375	127.8748
85000	86.5154	130.2493
86000	74.9304	132.7487
87000	75.1669	135.4043
88000	112.1289	137.8256
89000	54.7395	140.6063
90000	82.651	143.1369
91000	37.5142	145.4489
92000	71.2503	147.6131
93000	77.8523	150.0404
94000	82.3689	152.5291
95000	45.1679	154.7038
96000	56.2785	157.1095
97000	69.9549	159.1403
98000	39.4355	161.4054
99000	39.3407	163.28
100000	77.9075	165.8731
101000	53.2255	168.1538
102000	75.761	174.4024
103000	93.3869	176.6831
104000	57.2864	179.1741
105000	83.8466	181.7829
106000	97.4078	184.0167
107000	84.2409	186.1412
108000	97.3638	188.1095
109000	38.5478	189.9216
110000	113.184	191.7181
111000	95.7029	193.7176
112000	75.57	195.2642
113000	109.9102	196.9513
114000	76.3362	198.7009
115000	42.9308	200.4973
116000	67.3157	201.9032
117000	61.9732	203.731
118000	74.2941	205.7461
119000	77.0455	207.5582
120000	112.9434	209.3018
121000	77.353	211.103
122000	94.6627	212.8145
123000	101.3743	214.6615
124000	82.7771	216.3191
125000	77.2464	217.9388
126000	92.7966	219.6782
127000	60.061	221.3946
128000	77.7739	222.8886
129000	34.089	224.3567
130000	82.2311	226.0013
131000	77.6036	227.8124
132000	84.559	229.5039
133000	103.7981	230.8812
134000	88.258	232.5129
135000	-71.921	234.0408
136000	59.3913	235.6575
137000	0.189	236.8523
138000	76.4864	238.7004
139000	68.1923	240.1635
140000	78.9247	241.7527
141000	79.6568	243.5179
142000	-28.0392	244.8926
143000	48.7404	246.4704
144000	43.0747	248.4495
145000	38.2825	250.4081
146000	7.5939	252.034
147000	109.5519	253.7695
148000	39.9011	255.5035
149000	58.4515	257.3
150000	26.8452	259.0964
151000	84.5541	260.6273
152000	57.4812	262.33
153000	90.6456	264.0172
154000	119.8572	266.0636
155000	105.582	267.9225
156000	77.9096	269.633
157000	95.3557	271.4063
158000	83.3102	273.375
159000	115.5685	275.3767
160000	53.2109	277.1659
161000	103.7362	279.4089
162000	16.5567	281.0954
163000	133.1698	283.2616
164000	77.1579	286.3835
165000	-7.4109	288.5009
166000	88.5496	290.5035
167000	10.2107	292.7456
168000	89.654	294.7472
169000	31.7799	296.7987
170000	123.5125	299.0238
171000	-197.0051	300.6016
172000	25.923	302.3911
173000	55.3649	303.7814
174000	78.6277	305.2967
175000	-47.4712	306.6245
176000	40.6166	308.3741
177000	41.8655	310.2955
178000	-0.024	311.9826
179000	43.7657	314.0641
180000	76.4056	315.5325
181000	-4.0155	316.6104
182000	-0.526	318.1256
183000	88.5929	319.844
184000	37.301	321.3436
