time_step	reward_avg	time
1000	-232.2212	0.9217
2000	-305.851	1.7808
3000	-235.9516	2.6088
4000	-209.4751	3.4523
5000	-112.5983	4.2803
6000	-175.2723	5.1082
7000	-161.5043	5.9674
8000	-99.2839	6.7485
9000	-129.0302	7.592
10000	-132.1141	8.4356
11000	-112.8546	9.2791
12000	-117.0379	10.0914
13000	-133.611	10.8413
14000	-145.9041	11.6679
15000	-92.6308	12.4802
16000	-102.62	13.2925
17000	-110.2547	14.1361
18000	-134.4445	15.1046
19000	-164.101	15.9482
20000	-78.3717	16.7917
21000	-93.7163	17.6978
22000	-90.8446	18.6194
23000	-121.6616	19.588
24000	-110.7265	20.5252
25000	-107.7916	21.4157
26000	-28.4173	22.806
27000	-217.1264	23.9151
28000	-98.7183	25.3054
29000	-153.7173	26.2583
30000	-132.7086	27.2581
31000	-26.8052	28.2578
32000	-47.3343	29.2673
33000	-125.9913	30.4946
34000	-198.2914	31.7758
35000	-133.768	33.2221
36000	-282.6929	34.7061
37000	-225.9242	36.5026
38000	-54.266	37.6585
39000	-67.1872	38.9083
40000	-34.681	39.9393
41000	-78.65	41.0015
42000	-18.4009	42.3664
43000	-124.59	43.5693
44000	5.3148	44.819
45000	6.8446	45.975
46000	-60.4397	46.9748
47000	-28.7382	48.2245
48000	17.3701	49.4117
49000	-31.6557	50.6302
50000	-6.4238	51.8486
51000	0.7632	53.4733
52000	42.4512	55.3791
53000	53.4377	57.0662
54000	3.7104	58.6596
55000	-22.3708	60.0499
56000	-123.4298	61.6276
57000	58.4905	63.2835
58000	15.1648	64.6426
59000	19.2454	66.0485
60000	44.6559	67.7669
61000	52.255	69.6727
62000	75.3216	71.4535
63000	38.4755	73.2978
64000	-24.3988	74.6569
65000	92.9284	76.344
66000	37.5595	77.9218
67000	37.9593	79.4527
68000	-129.6965	80.7024
69000	3.257	82.2645
70000	57.2771	83.7954
71000	82.9139	85.3576
72000	63.1519	87.3727
73000	56.6127	89.0455
74000	61.6521	90.5634
75000	26.7108	92.3307
76000	36.8424	94.1449
77000	-91.4594	95.61
78000	31.4547	96.8696
79000	113.5545	98.8084
80000	66.8568	100.7443
81000	51.007	102.2971
82000	91.8824	104.1651
83000	-84.5141	105.8297
84000	11.4326	107.6678
85000	39.6312	109.4411
86000	69.4623	111.1395
87000	28.1729	112.7043
88000	52.0096	114.4557
89000	53.793	116.0833
