time_step	reward_avg	time
1000	-200.0	0.3749
2000	-200.0	0.7811
3000	-200.0	1.156
4000	-200.0	1.5465
5000	-200.0	1.937
6000	-200.0	2.3276
7000	-200.0	2.7181
8000	-200.0	3.093
9000	-200.0	3.4836
10000	-200.0	3.8741
11000	-200.0	4.249
12000	-200.0	4.6395
13000	-200.0	4.9988
14000	-200.0	5.3737
15000	-200.0	5.7643
16000	-200.0	6.1392
17000	-200.0	6.4985
18000	-200.0	6.889
19000	-200.0	7.2796
20000	-200.0	7.6545
21000	-200.0	8.0606
22000	-200.0	8.4512
23000	-200.0	8.8104
24000	-200.0	9.1854
25000	-200.0	9.5915
26000	-200.0	9.982
27000	-200.0	10.3882
28000	-200.0	10.7631
29000	-200.0	11.1536
30000	-200.0	11.5442
31000	-200.0	11.9347
32000	-200.0	12.3096
33000	-200.0	12.6845
34000	-200.0	13.0595
35000	-200.0	13.45
36000	-200.0	13.8406
37000	-200.0	14.2311
38000	-200.0	14.606
39000	-200.0	14.9965
40000	-200.0	15.3871
41000	-200.0	15.7619
42000	-200.0	16.1681
43000	-200.0	16.5633
44000	-200.0	16.9694
45000	-200.0	17.36
46000	-200.0	17.7349
47000	-200.0	18.1567
48000	-200.0	18.5316
49000	-200.0	18.9065
50000	-200.0	19.3126
51000	-200.0	19.6876
52000	-200.0	20.0937
53000	-200.0	20.4843
54000	-200.0	20.8748
55000	-200.0	21.2653
56000	-200.0	21.6402
57000	-200.0	22.0152
58000	-200.0	22.3744
59000	-200.0	22.7806
60000	-200.0	23.1711
61000	-200.0	23.5929
62000	-200.0	23.9678
63000	-200.0	24.3427
64000	-200.0	24.7333
65000	-200.0	25.0925
66000	-200.0	25.5161
67000	-200.0	25.9728
68000	-200.0	26.4206
69000	-200.0	26.8136
70000	-200.0	27.2122
71000	-200.0	27.5852
72000	-200.0	27.9757
73000	-200.0	28.3644
74000	-200.0	28.7203
75000	-200.0	29.1109
76000	-200.0	29.5014
77000	-200.0	29.8919
78000	-200.0	30.2825
79000	-200.0	30.673
80000	-200.0	31.0479
81000	-200.0	31.4385
82000	-200.0	31.8603
83000	-200.0	32.2351
84000	-200.0	32.6101
85000	-200.0	33.0162
86000	-200.0	33.4068
87000	-200.0	33.7817
88000	-200.0	34.1566
89000	-200.0	34.5627
90000	-200.0	34.9377
91000	-200.0	35.3126
92000	-200.0	35.7187
93000	-200.0	36.1092
94000	-200.0	36.4842
95000	-200.0	36.8903
96000	-200.0	37.2808
97000	-200.0	37.6714
98000	-200.0	38.0932
99000	-200.0	38.4837
100000	-200.0	38.8743
101000	-200.0	39.2648
102000	-200.0	39.6397
103000	-200.0	39.999
104000	-200.0	40.3739
105000	-200.0	40.7488
106000	-200.0	41.1393
107000	-200.0	41.5455
108000	-200.0	41.9204
109000	-200.0	42.3422
110000	-200.0	42.7171
111000	-200.0	43.1233
112000	-200.0	43.4981
113000	-200.0	43.8887
114000	-200.0	44.2948
115000	-200.0	44.6854
116000	-200.0	45.0603
117000	-200.0	45.4508
118000	-200.0	45.8413
119000	-200.0	46.2475
120000	-200.0	46.6537
121000	-200.0	47.0442
122000	-200.0	47.4402
123000	-200.0	47.8152
124000	-200.0	48.2057
125000	-200.0	48.5962
126000	-200.0	49.0024
127000	-200.0	49.3616
128000	-200.0	49.7522
129000	-200.0	50.1115
130000	-200.0	50.502
131000	-200.0	50.8925
132000	-200.0	51.2675
133000	-200.0	51.6736
134000	-200.0	52.0641
135000	-200.0	52.4703
136000	-200.0	52.8608
137000	-200.0	53.2357
138000	-200.0	53.6107
139000	-200.0	54.0012
140000	-200.0	54.3761
141000	-200.0	54.7667
142000	-200.0	55.1572
143000	-200.0	55.5321
144000	-200.0	55.9382
145000	-200.0	56.3132
146000	-200.0	56.7037
147000	-200.0	57.063
148000	-200.0	57.4379
149000	-200.0	57.8284
150000	-200.0	58.219
151000	-200.0	58.6251
152000	-200.0	59.0313
153000	-200.0	59.4218
154000	-200.0	59.7811
155000	-200.0	60.1872
156000	-200.0	60.5622
157000	-200.0	60.9527
158000	-200.0	61.3588
159000	-200.0	61.7494
160000	-200.0	62.1087
161000	-200.0	62.4992
162000	-200.0	62.921
163000	-200.0	63.2959
164000	-200.0	63.6864
165000	-200.0	64.077
166000	-200.0	64.4675
167000	-200.0	64.8737
168000	-200.0	65.2798
169000	-200.0	65.686
170000	-200.0	66.0453
171000	-200.0	66.4358
172000	-200.0	66.8264
173000	-200.0	67.2169
174000	-200.0	67.623
175000	-200.0	67.9979
176000	-200.0	68.3728
177000	-200.0	68.7634
178000	-200.0	69.1227
179000	-200.0	69.4976
180000	-200.0	69.8725
181000	-200.0	70.2786
182000	-200.0	70.6535
183000	-200.0	71.0441
184000	-200.0	71.4502
185000	-200.0	71.8252
186000	-200.0	72.2001
187000	-200.0	72.5906
188000	-200.0	72.9811
189000	-200.0	73.3717
190000	-200.0	73.7466
191000	-200.0	74.1371
192000	-200.0	74.5276
193000	-200.0	74.9026
194000	-200.0	75.2775
195000	-200.0	75.6836
196000	-200.0	76.0742
197000	-200.0	76.4491
198000	-200.0	76.824
199000	-200.0	77.2301
200000	-200.0	77.5894
201000	-200.0	77.98
202000	-200.0	78.3549
203000	-200.0	78.7314
204000	-200.0	79.1375
205000	-200.0	79.5437
206000	-200.0	79.9186
207000	-200.0	80.3091
208000	-200.0	80.7153
209000	-200.0	81.0902
210000	-200.0	81.4651
211000	-200.0	81.8557
212000	-200.0	82.2462
213000	-200.0	82.6211
214000	-200.0	82.996
215000	-200.0	83.3865
216000	-200.0	83.7927
217000	-200.0	84.1988
218000	-200.0	84.5738
219000	-200.0	84.9643
220000	-200.0	85.3421
221000	-200.0	85.7301
222000	-200.0	86.1021
223000	-200.0	86.496
224000	-200.0	86.887
225000	-200.0	87.2809
226000	-200.0	87.6719
227000	-200.0	88.0479
228000	-200.0	88.4179
229000	-200.0	88.8059
230000	-200.0	89.1978
231000	-200.0	89.5558
232000	-200.0	89.9229
233000	-200.0	90.2949
234000	-200.0	90.6908
235000	-200.0	91.0479
236000	-200.0	91.4268
237000	-200.0	91.7999
238000	-200.0	92.1888
239000	-200.0	92.5788
240000	-200.0	92.9617
241000	-200.0	93.3597
242000	-200.0	93.7516
243000	-200.0	94.1386
244000	-200.0	94.5345
245000	-200.0	94.9175
246000	-200.0	95.2875
247000	-200.0	95.6635
248000	-200.0	96.0425
249000	-200.0	96.4045
250000	-200.0	96.7855
251000	-200.0	97.1506
252000	-200.0	97.5385
253000	-200.0	97.9424
254000	-200.0	98.3334
255000	-200.0	98.7024
256000	-200.0	99.0784
257000	-200.0	99.4714
258000	-200.0	99.8503
259000	-200.0	100.2423
260000	-200.0	100.6263
261000	-200.0	101.0132
262000	-200.0	101.3952
263000	-200.0	101.7702
264000	-200.0	102.1502
265000	-200.0	102.5382
266000	-200.0	102.9112
267000	-200.0	103.2911
268000	-200.0	103.6681
269000	-200.0	104.0571
270000	-200.0	104.4481
271000	-200.0	104.835
272000	-200.0	105.226
273000	-200.0	105.586
274000	-200.0	105.979
275000	-200.0	106.351
276000	-200.0	106.7579
277000	-200.0	107.1219
278000	-200.0	107.4989
279000	-200.0	107.8839
280000	-200.0	108.2808
281000	-200.0	108.6548
282000	-200.0	109.0308
283000	-200.0	109.4267
284000	-200.0	109.8187
285000	-200.0	110.2067
286000	-200.0	110.6076
287000	-200.0	110.9856
288000	-200.0	111.3805
289000	-200.0	111.7884
290000	-200.0	112.1943
291000	-200.0	112.5913
292000	-200.0	112.9703
293000	-200.0	113.3662
294000	-200.0	113.7432
295000	-200.0	114.1292
296000	-200.0	114.5102
297000	-200.0	114.8742
298000	-200.0	115.2602
299000	-200.0	115.6421
300000	-200.0	116.0301
301000	-200.0	116.4061
302000	-200.0	116.7621
303000	-200.0	117.1421
304000	-200.0	117.554
305000	-200.0	117.949
306000	-200.0	118.315
307000	-200.0	118.7047
308000	-200.0	119.0639
309000	-200.0	119.4545
310000	-200.0	119.845
311000	-200.0	120.2355
312000	-200.0	120.6104
313000	-200.0	121.0166
314000	-200.0	121.4071
315000	-200.0	121.7977
316000	-200.0	122.1882
317000	-200.0	122.5787
318000	-200.0	122.9536
319000	-200.0	123.3286
320000	-200.0	123.7347
321000	-200.0	124.094
322000	-200.0	124.4845
323000	-200.0	124.8751
324000	-200.0	125.2812
325000	-200.0	125.6561
326000	-200.0	126.0311
327000	-200.0	126.4372
328000	-200.0	126.8277
329000	-200.0	127.2339
330000	-200.0	127.6088
331000	-200.0	127.9993
332000	-200.0	128.3586
333000	-200.0	128.7336
334000	-200.0	129.1241
335000	-200.0	129.5302
336000	-200.0	129.8895
337000	-200.0	130.2644
338000	-200.0	130.6706
339000	-200.0	131.0455
340000	-200.0	131.436
341000	-200.0	131.8422
342000	-200.0	132.2327
343000	-200.0	132.6076
344000	-200.0	132.9982
345000	-200.0	133.3887
346000	-200.0	133.7792
347000	-200.0	134.1698
348000	-200.0	134.5603
349000	-200.0	134.9665
350000	-200.0	135.3414
351000	-200.0	135.7319
352000	-200.0	136.1069
353000	-200.0	136.4974
354000	-200.0	136.9035
355000	-200.0	137.2941
356000	-200.0	137.7002
357000	-200.0	138.1064
358000	-200.0	138.4969
359000	-200.0	138.8562
360000	-200.0	139.2311
361000	-200.0	139.6217
362000	-200.0	140.0278
363000	-200.0	140.4359
364000	-200.0	140.8421
365000	-200.0	141.2326
366000	-200.0	141.6076
367000	-200.0	142.0293
368000	-200.0	142.4043
369000	-200.0	142.7791
370000	-200.0	143.1697
371000	-200.0	143.529
372000	-200.0	143.9039
373000	-200.0	144.31
374000	-200.0	144.7006
375000	-200.0	145.1223
376000	-200.0	145.5328
377000	-200.0	146.0364
378000	-200.0	146.4205
379000	-200.0	146.8088
380000	-200.0	147.1993
381000	-200.0	147.5586
382000	-200.0	147.9491
383000	-200.0	148.3427
384000	-200.0	148.7176
385000	-200.0	149.0925
386000	-200.0	149.4674
387000	-200.0	149.858
388000	-200.0	150.2328
389000	-200.0	150.639
390000	-200.0	151.0295
391000	-200.0	151.4201
392000	-200.0	151.8419
393000	-200.0	152.2168
394000	-200.0	152.6113
395000	-200.0	153.0019
396000	-200.0	153.3768
397000	-200.0	153.7986
398000	-200.0	154.1891
399000	-200.0	154.564
400000	-200.0	154.9545
401000	-200.0	155.3919
402000	-200.0	155.7825
403000	-200.0	156.173
404000	-200.0	156.5635
405000	-200.0	156.9384
406000	-200.0	157.3446
407000	-200.0	157.7195
408000	-200.0	158.1257
409000	-200.0	158.5162
410000	-200.0	158.8755
411000	-200.0	159.2504
412000	-200.0	159.6253
413000	-200.0	160.0002
414000	-200.0	160.3908
415000	-200.0	160.7813
416000	-200.0	161.1718
417000	-200.0	161.5468
418000	-200.0	161.9373
419000	-200.0	162.3122
420000	-200.0	162.7183
421000	-200.0	163.0932
422000	-200.0	163.4838
423000	-200.0	163.8743
424000	-200.0	164.2336
425000	-200.0	164.6241
426000	-200.0	164.999
427000	-200.0	165.4052
428000	-200.0	165.8114
429000	-200.0	166.2019
430000	-200.0	166.5768
431000	-200.0	166.983
432000	-200.0	167.3735
433000	-200.0	167.7328
434000	-200.0	168.1077
435000	-200.0	168.5139
436000	-200.0	168.9044
437000	-200.0	169.2637
438000	-200.0	169.6698
439000	-200.0	170.0447
440000	-200.0	170.4353
441000	-200.0	170.8258
442000	-200.0	171.232
443000	-200.0	171.6081
444000	-200.0	171.9986
445000	-200.0	172.3891
446000	-200.0	172.7953
447000	-200.0	173.1858
448000	-200.0	173.6076
449000	-200.0	173.9825
450000	-200.0	174.3574
451000	-200.0	174.7636
452000	-200.0	175.1385
453000	-200.0	175.5134
454000	-200.0	175.9039
455000	-200.0	176.2945
456000	-200.0	176.7006
457000	-200.0	177.0755
458000	-200.0	177.4661
