time_step	reward_avg	time
1000	-200.0	0.3749
2000	-200.0	0.781
3000	-200.0	1.1872
4000	-200.0	1.5777
5000	-200.0	1.9683
6000	-200.0	2.3432
7000	-200.0	2.7493
8000	-200.0	3.1399
9000	-200.0	3.5304
10000	-200.0	3.8897
11000	-200.0	4.2958
12000	-200.0	4.6864
13000	-200.0	5.0769
14000	-200.0	5.4831
15000	-200.0	5.8736
16000	-200.0	6.2485
17000	-200.0	6.6547
18000	-200.0	7.0608
19000	-200.0	7.4514
20000	-200.0	7.8575
21000	-200.0	8.2637
22000	-200.0	8.6542
23000	-200.0	9.0447
24000	-200.0	9.4353
25000	-200.0	9.8415
26000	-200.0	10.2632
27000	-200.0	10.6537
28000	-200.0	11.0287
29000	-200.0	11.4192
30000	-200.0	11.7785
31000	-200.0	12.1534
32000	-200.0	12.5752
33000	-200.0	12.9657
34000	-200.0	13.3406
35000	-200.0	13.7155
36000	-200.0	14.1061
37000	-200.0	14.4966
38000	-200.0	14.8871
39000	-200.0	15.2933
40000	-200.0	15.6682
41000	-200.0	16.0744
42000	-200.0	16.4805
43000	-200.0	16.8711
44000	-200.0	17.2616
45000	-200.0	17.6365
46000	-200.0	18.0114
47000	-200.0	18.402
48000	-200.0	18.8081
49000	-200.0	19.2142
50000	-200.0	19.5892
51000	-200.0	20.011
52000	-200.0	20.3858
53000	-200.0	20.7764
54000	-200.0	21.1357
55000	-200.0	21.5106
56000	-200.0	21.9011
57000	-200.0	22.3073
58000	-200.0	22.6978
59000	-200.0	23.104
60000	-200.0	23.4789
61000	-200.0	23.8694
62000	-200.0	24.2443
63000	-200.0	24.6505
64000	-200.0	25.0518
65000	-200.0	25.4966
66000	-200.0	25.9262
67000	-200.0	26.3165
68000	-200.0	26.707
69000	-200.0	27.1141
70000	-200.0	27.5202
71000	-200.0	27.8795
72000	-200.0	28.2594
73000	-200.0	28.6358
74000	-200.0	29.0263
75000	-200.0	29.4012
76000	-200.0	29.7917
77000	-200.0	30.1979
78000	-200.0	30.5728
79000	-200.0	30.9634
80000	-200.0	31.3695
81000	-200.0	31.7757
82000	-200.0	32.1506
83000	-200.0	32.5568
84000	-200.0	32.9316
85000	-200.0	33.3066
86000	-200.0	33.7283
87000	-200.0	34.1032
88000	-200.0	34.4938
89000	-200.0	34.8843
90000	-200.0	35.2748
91000	-200.0	35.6498
92000	-200.0	36.0715
93000	-200.0	36.4464
94000	-200.0	36.8526
95000	-200.0	37.2431
96000	-200.0	37.6337
97000	-200.0	38.0398
98000	-200.0	38.446
99000	-200.0	38.8209
100000	-200.0	39.2114
101000	-200.0	39.602
102000	-200.0	40.0081
103000	-200.0	40.3674
104000	-200.0	40.7423
105000	-200.0	41.1485
106000	-200.0	41.5234
107000	-200.0	41.8827
108000	-200.0	42.2888
109000	-200.0	42.695
110000	-200.0	43.1011
111000	-200.0	43.4917
112000	-200.0	43.8822
113000	-200.0	44.3196
114000	-200.0	44.7258
115000	-200.0	45.1475
116000	-200.0	45.5225
117000	-200.0	45.9286
118000	-200.0	46.3816
119000	-200.0	46.8346
120000	-200.0	47.2252
121000	-200.0	47.6313
122000	-200.0	48.0219
123000	-200.0	48.3812
124000	-200.0	48.7873
125000	-200.0	49.1622
126000	-200.0	49.5684
127000	-200.0	49.9589
128000	-200.0	50.3339
129000	-200.0	50.7244
130000	-200.0	51.1149
131000	-200.0	51.5054
132000	-200.0	51.9116
133000	-200.0	52.2865
134000	-200.0	52.6614
135000	-200.0	53.0207
136000	-200.0	53.4269
137000	-200.0	53.8018
138000	-200.0	54.1923
139000	-200.0	54.5828
140000	-200.0	54.989
141000	-200.0	55.3795
142000	-200.0	55.7545
143000	-200.0	56.1606
144000	-200.0	56.5667
145000	-200.0	56.9416
146000	-200.0	57.3322
147000	-200.0	57.7383
148000	-200.0	58.1133
149000	-200.0	58.5038
150000	-200.0	58.8943
151000	-200.0	59.2692
152000	-200.0	59.6754
153000	-200.0	60.0503
154000	-200.0	60.4408
155000	-200.0	60.8313
156000	-200.0	61.2375
157000	-200.0	61.628
158000	-200.0	62.0186
159000	-200.0	62.456
160000	-200.0	62.8309
161000	-200.0	63.2214
162000	-200.0	63.612
163000	-200.0	63.9869
164000	-200.0	64.4086
165000	-200.0	64.7992
166000	-200.0	65.2053
167000	-200.0	65.5958
168000	-200.0	66.002
169000	-200.0	66.3926
170000	-200.0	66.7831
171000	-200.0	67.1736
172000	-200.0	67.5641
173000	-200.0	67.9547
174000	-200.0	68.3296
175000	-200.0	68.7357
176000	-200.0	69.095
177000	-200.0	69.5012
178000	-200.0	69.8761
179000	-200.0	70.2823
180000	-200.0	70.6884
181000	-200.0	71.0946
182000	-200.0	71.4695
183000	-200.0	71.86
184000	-200.0	72.2349
185000	-200.0	72.6567
186000	-200.0	73.0473
187000	-200.0	73.4222
188000	-200.0	73.8283
189000	-200.0	74.2188
190000	-200.0	74.6094
191000	-200.0	74.9999
192000	-200.0	75.3748
193000	-200.0	75.7654
194000	-200.0	76.1403
195000	-200.0	76.5308
196000	-200.0	76.9213
197000	-200.0	77.2962
198000	-200.0	77.7024
199000	-200.0	78.1086
200000	-200.0	78.5147
201000	-200.0	78.8896
202000	-200.0	79.2645
203000	-200.0	79.6707
204000	-200.0	80.0456
205000	-200.0	80.4205
206000	-200.0	80.7955
207000	-200.0	81.186
208000	-200.0	81.5765
209000	-200.0	81.9514
210000	-200.0	82.3576
211000	-200.0	82.7481
212000	-200.0	83.123
213000	-200.0	83.4979
214000	-200.0	83.9041
215000	-200.0	84.3102
216000	-200.0	84.7008
217000	-200.0	85.0961
218000	-200.0	85.5748
219000	-200.0	86.0061
220000	-200.0	86.4122
221000	-200.0	86.7871
222000	-200.0	87.1731
223000	-200.0	87.5729
224000	-200.0	87.9791
225000	-200.0	88.345
226000	-200.0	88.7387
227000	-200.0	89.1292
228000	-200.0	89.5198
229000	-200.0	89.8946
230000	-200.0	90.2696
231000	-200.0	90.6601
232000	-200.0	91.035
233000	-200.0	91.4255
234000	-200.0	91.8161
235000	-200.0	92.2066
236000	-200.0	92.5815
237000	-200.0	92.9877
238000	-200.0	93.3938
239000	-200.0	93.7844
240000	-200.0	94.1905
241000	-200.0	94.5967
242000	-200.0	94.9872
243000	-200.0	95.3934
244000	-200.0	95.7995
245000	-200.0	96.2057
246000	-200.0	96.5962
247000	-200.0	96.9867
248000	-200.0	97.4085
249000	-200.0	97.8147
250000	-200.0	98.2052
251000	-200.0	98.6114
252000	-200.0	99.0019
253000	-200.0	99.408
254000	-200.0	99.783
255000	-200.0	100.1735
256000	-200.0	100.564
257000	-200.0	100.9702
258000	-200.0	101.3451
259000	-200.0	101.7669
260000	-200.0	102.1418
261000	-200.0	102.5167
262000	-200.0	102.9072
263000	-200.0	103.2822
264000	-200.0	103.6883
265000	-200.0	104.0788
266000	-200.0	104.485
267000	-200.0	104.8599
268000	-200.0	105.2505
269000	-200.0	105.641
270000	-200.0	106.0003
271000	-200.0	106.4064
272000	-200.0	106.7813
273000	-200.0	107.1562
274000	-200.0	107.5468
275000	-200.0	107.9529
276000	-200.0	108.3591
277000	-200.0	108.7652
278000	-200.0	109.1714
279000	-200.0	109.5619
280000	-200.0	109.9368
281000	-200.0	110.3274
282000	-200.0	110.7336
283000	-200.0	111.1241
284000	-200.0	111.5146
285000	-200.0	111.952
286000	-200.0	112.3581
287000	-200.0	112.7643
288000	-200.0	113.1392
289000	-200.0	113.5454
290000	-200.0	113.9359
291000	-200.0	114.3577
292000	-200.0	114.7638
293000	-200.0	115.1544
294000	-200.0	115.5449
295000	-200.0	115.9511
296000	-200.0	116.3572
297000	-200.0	116.7478
298000	-200.0	117.1383
299000	-200.0	117.4976
300000	-200.0	117.8881
301000	-200.0	118.2352
302000	-200.0	118.6102
303000	-200.0	118.9851
304000	-200.0	119.3756
305000	-200.0	119.7505
306000	-200.0	120.1254
307000	-200.0	120.516
308000	-200.0	120.9221
309000	-200.0	121.3283
310000	-200.0	121.7188
311000	-200.0	122.1094
312000	-200.0	122.4842
313000	-200.0	122.8748
314000	-200.0	123.2653
315000	-200.0	123.6402
316000	-200.0	124.0464
317000	-200.0	124.4213
318000	-200.0	124.8274
319000	-200.0	125.2024
320000	-200.0	125.5929
321000	-200.0	126.0147
322000	-200.0	126.3896
323000	-200.0	126.7957
324000	-200.0	127.1863
325000	-200.0	127.5925
326000	-200.0	127.983
327000	-200.0	128.3735
328000	-200.0	128.7484
329000	-200.0	129.1702
330000	-200.0	129.5607
331000	-200.0	129.9669
332000	-200.0	130.3731
333000	-200.0	130.7792
334000	-200.0	131.1697
