time_step	reward_avg	time
1000	-200.0	0.4218
2000	-200.0	0.7967
3000	-200.0	1.1716
4000	-200.0	1.5621
5000	-200.0	1.9214
6000	-200.0	2.312
7000	-200.0	2.7025
8000	-200.0	3.093
9000	-200.0	3.4679
10000	-200.0	3.8429
11000	-200.0	4.2334
12000	-200.0	4.6239
13000	-200.0	5.0145
14000	-200.0	5.4206
15000	-200.0	5.8112
16000	-200.0	6.1704
17000	-200.0	6.561
18000	-200.0	6.9671
19000	-200.0	7.3733
20000	-200.0	7.7482
21000	-200.0	8.1388
22000	-200.0	8.5293
23000	-200.0	8.9198
24000	-200.0	9.2947
25000	-200.0	9.6853
26000	-200.0	10.0914
27000	-200.0	10.4819
28000	-200.0	10.8412
29000	-200.0	11.2161
30000	-200.0	11.6223
31000	-200.0	12.0128
32000	-200.0	12.3877
33000	-200.0	12.7783
34000	-200.0	13.1688
35000	-200.0	13.5593
36000	-200.0	13.9186
37000	-200.0	14.3268
38000	-200.0	14.7017
39000	-200.0	15.0766
40000	-200.0	15.4827
41000	-200.0	15.9045
42000	-200.0	16.2951
43000	-200.0	16.6856
44000	-200.0	17.0605
45000	-200.0	17.4198
46000	-200.0	17.8259
47000	-200.0	18.2008
48000	-200.0	18.6226
49000	-200.0	18.9976
50000	-200.0	19.3881
51000	-200.0	19.763
52000	-200.0	20.1535
53000	-200.0	20.5284
54000	-200.0	20.9033
55000	-200.0	21.2782
56000	-200.0	21.6688
57000	-200.0	22.0437
58000	-200.0	22.4186
59000	-200.0	22.7779
60000	-200.0	23.1528
61000	-200.0	23.5434
62000	-200.0	23.9339
63000	-200.0	24.3244
64000	-200.0	24.7306
65000	-200.0	25.0918
66000	-200.0	25.6084
67000	-200.0	26.0261
68000	-200.0	26.3961
69000	-200.0	26.8023
70000	-200.0	27.1743
71000	-200.0	27.5805
72000	-200.0	27.9656
73000	-200.0	28.353
74000	-200.0	28.7279
75000	-200.0	29.0872
76000	-200.0	29.4778
77000	-200.0	29.8839
78000	-200.0	30.2901
79000	-200.0	30.6962
80000	-200.0	31.0868
81000	-200.0	31.4617
82000	-200.0	31.8522
83000	-200.0	32.2584
84000	-200.0	32.6645
85000	-200.0	33.0394
86000	-200.0	33.4456
87000	-200.0	33.8361
88000	-200.0	34.2266
89000	-200.0	34.6015
90000	-200.0	35.0077
91000	-200.0	35.4295
92000	-200.0	35.7888
93000	-200.0	36.1637
94000	-200.0	36.5543
95000	-200.0	36.9448
96000	-200.0	37.3509
97000	-200.0	37.7571
98000	-200.0	38.132
99000	-200.0	38.5381
100000	-200.0	38.913
101000	-200.0	39.288
102000	-200.0	39.6629
103000	-200.0	40.0534
