time_step	reward_avg	time
1000	-200.0	0.3593
2000	-200.0	0.7498
3000	-200.0	1.1404
4000	-200.0	1.5309
5000	-200.0	1.8902
6000	-200.0	2.2807
7000	-200.0	2.6869
8000	-200.0	3.0757
9000	-200.0	3.4557
10000	-200.0	3.8462
11000	-200.0	4.2368
12000	-200.0	4.6273
13000	-200.0	5.0022
14000	-200.0	5.3771
15000	-200.0	5.7676
16000	-200.0	6.1582
17000	-200.0	6.5331
18000	-200.0	6.9393
19000	-200.0	7.3298
20000	-200.0	7.7203
21000	-200.0	8.0952
22000	-200.0	8.5014
23000	-200.0	8.8919
24000	-200.0	9.2668
25000	-200.0	9.6574
26000	-200.0	10.0479
27000	-200.0	10.4228
28000	-200.0	10.8133
29000	-200.0	11.2039
30000	-200.0	11.5944
31000	-200.0	11.9693
32000	-200.0	12.3442
33000	-200.0	12.7348
34000	-200.0	13.1253
35000	-200.0	13.5158
36000	-200.0	13.9064
37000	-200.0	14.2813
38000	-200.0	14.6718
39000	-200.0	15.0936
40000	-200.0	15.4685
41000	-200.0	15.8591
42000	-200.0	16.2496
43000	-200.0	16.6245
44000	-200.0	17.015
45000	-200.0	17.4055
46000	-200.0	17.7961
47000	-200.0	18.1554
48000	-200.0	18.5303
49000	-200.0	18.9208
50000	-200.0	19.2957
51000	-200.0	19.6863
52000	-200.0	20.0612
53000	-200.0	20.4361
54000	-200.0	20.8422
55000	-200.0	21.2484
56000	-200.0	21.639
57000	-200.0	22.0295
58000	-200.0	22.42
59000	-200.0	22.8106
60000	-200.0	23.2011
61000	-200.0	23.5916
62000	-200.0	24.0134
63000	-200.0	24.4039
64000	-200.0	24.7788
65000	-200.0	25.2022
66000	-200.0	25.676
67000	-200.0	26.0669
68000	-200.0	26.4428
69000	-200.0	26.8334
70000	-200.0	27.2051
71000	-200.0	27.5956
72000	-200.0	27.9964
73000	-200.0	28.3648
74000	-200.0	28.7397
75000	-200.0	29.1146
76000	-200.0	29.5052
77000	-200.0	29.927
78000	-200.0	30.3175
79000	-200.0	30.6924
80000	-200.0	31.083
81000	-200.0	31.5203
82000	-200.0	31.8953
83000	-200.0	32.2858
84000	-200.0	32.6607
85000	-200.0	33.0669
86000	-200.0	33.473
87000	-200.0	33.8635
88000	-200.0	34.2457
89000	-200.0	34.6675
90000	-200.0	35.0581
91000	-200.0	35.4486
92000	-200.0	35.8391
93000	-200.0	36.2297
94000	-200.0	36.6046
95000	-200.0	36.9795
96000	-200.0	37.37
97000	-200.0	37.7605
98000	-200.0	38.1355
99000	-200.0	38.526
100000	-200.0	38.9166
101000	-200.0	39.3071
102000	-200.0	39.7132
103000	-200.0	40.1038
104000	-200.0	40.4943
105000	-200.0	40.8536
106000	-200.0	41.2441
107000	-200.0	41.619
108000	-200.0	42.0096
109000	-200.0	42.4157
110000	-200.0	42.7906
111000	-200.0	43.1655
112000	-200.0	43.5717
113000	-200.0	43.9466
114000	-200.0	44.3215
115000	-200.0	44.6808
116000	-200.0	45.0713
117000	-200.0	45.4462
118000	-200.0	45.8212
119000	-200.0	46.2117
120000	-200.0	46.5866
121000	-200.0	46.9771
122000	-200.0	47.3521
123000	-200.0	47.7426
124000	-200.0	48.1175
125000	-200.0	48.508
126000	-200.0	48.8986
127000	-200.0	49.2891
128000	-200.0	49.6953
129000	-200.0	50.0858
130000	-200.0	50.4919
131000	-200.0	50.8669
132000	-200.0	51.273
133000	-200.0	51.6792
134000	-200.0	52.0697
135000	-200.0	52.4759
136000	-200.0	52.8508
137000	-200.0	53.2257
138000	-200.0	53.6318
139000	-200.0	54.0224
140000	-200.0	54.4129
141000	-200.0	54.8034
142000	-200.0	55.194
143000	-200.0	55.5845
144000	-200.0	55.9751
145000	-200.0	56.35
146000	-200.0	56.7405
147000	-200.0	57.1466
148000	-200.0	57.5216
149000	-200.0	57.9121
150000	-200.0	58.287
151000	-200.0	58.6775
152000	-200.0	59.0525
153000	-200.0	59.4274
154000	-200.0	59.8335
155000	-200.0	60.2397
156000	-200.0	60.6459
157000	-200.0	61.0364
158000	-200.0	61.4113
159000	-200.0	61.8018
160000	-200.0	62.1923
161000	-200.0	62.5673
162000	-200.0	62.9734
163000	-200.0	63.3796
164000	-200.0	63.7701
165000	-200.0	64.1606
166000	-200.0	64.5668
167000	-200.0	64.9573
168000	-200.0	65.3428
169000	-200.0	65.7489
170000	-200.0	66.1238
171000	-200.0	66.5143
172000	-200.0	66.9049
173000	-200.0	67.2798
174000	-200.0	67.6703
175000	-200.0	68.0452
176000	-200.0	68.4201
177000	-200.0	68.8107
178000	-200.0	69.2012
179000	-200.0	69.5917
180000	-200.0	69.9823
181000	-200.0	70.3885
182000	-200.0	70.779
183000	-200.0	71.1539
184000	-200.0	71.5444
185000	-200.0	71.935
186000	-200.0	72.3099
187000	-200.0	72.716
188000	-200.0	73.1066
189000	-200.0	73.4971
190000	-200.0	73.872
191000	-200.0	74.2625
192000	-200.0	74.6687
193000	-200.0	75.0748
194000	-200.0	75.481
195000	-200.0	75.8716
196000	-200.0	76.2308
197000	-200.0	76.6214
198000	-200.0	77.0275
199000	-200.0	77.418
200000	-200.0	77.793
201000	-200.0	78.1835
202000	-200.0	78.574
203000	-200.0	78.9646
204000	-200.0	79.3551
205000	-200.0	79.7457
206000	-200.0	80.1205
207000	-200.0	80.5111
208000	-200.0	80.9016
209000	-200.0	81.3078
210000	-200.0	81.6983
211000	-200.0	82.1045
212000	-200.0	82.495
213000	-200.0	82.8543
214000	-200.0	83.2292
215000	-200.0	83.6041
216000	-200.0	83.979
217000	-200.0	84.3539
218000	-200.0	84.7445
219000	-200.0	85.1406
220000	-200.0	85.6443
221000	-200.0	86.0294
222000	-200.0	86.4091
223000	-200.0	86.784
224000	-200.0	87.1669
225000	-200.0	87.5574
226000	-200.0	87.9486
227000	-200.0	88.3107
228000	-200.0	88.7013
229000	-200.0	89.0762
230000	-200.0	89.498
231000	-200.0	89.8885
232000	-200.0	90.2946
233000	-200.0	90.7008
234000	-200.0	91.0757
235000	-200.0	91.4506
236000	-200.0	91.8256
237000	-200.0	92.2161
238000	-200.0	92.6223
239000	-200.0	93.0128
240000	-200.0	93.3877
241000	-200.0	93.7782
242000	-200.0	94.1844
243000	-200.0	94.5437
244000	-200.0	94.9342
245000	-200.0	95.3247
246000	-200.0	95.6997
247000	-200.0	96.091
248000	-200.0	96.4972
249000	-200.0	96.8721
250000	-200.0	97.2628
251000	-200.0	97.6375
252000	-200.0	98.0281
253000	-200.0	98.403
254000	-200.0	98.7779
255000	-200.0	99.1528
256000	-200.0	99.5277
257000	-200.0	99.887
258000	-200.0	100.2932
259000	-200.0	100.6837
260000	-200.0	101.0586
261000	-200.0	101.4492
262000	-200.0	101.8241
263000	-200.0	102.2459
264000	-200.0	102.652
265000	-200.0	103.0425
266000	-200.0	103.4331
267000	-200.0	103.8236
268000	-200.0	104.1985
269000	-200.0	104.6047
270000	-200.0	105.0108
271000	-200.0	105.417
272000	-200.0	105.7919
273000	-200.0	106.198
274000	-200.0	106.6042
275000	-200.0	106.9791
276000	-200.0	107.3696
277000	-200.0	107.7445
278000	-200.0	108.1351
279000	-200.0	108.5257
280000	-200.0	108.9318
281000	-200.0	109.3223
282000	-200.0	109.6972
283000	-200.0	110.0878
284000	-200.0	110.4939
285000	-200.0	110.8844
286000	-200.0	111.275
287000	-200.0	111.6812
288000	-200.0	112.0717
289000	-200.0	112.4466
290000	-200.0	112.8371
291000	-200.0	113.212
292000	-200.0	113.587
293000	-200.0	113.9931
294000	-200.0	114.3993
295000	-200.0	114.7742
296000	-200.0	115.1647
297000	-200.0	115.5553
298000	-200.0	115.9145
299000	-200.0	116.3051
300000	-200.0	116.68
301000	-200.0	117.0549
302000	-200.0	117.4454
303000	-200.0	117.8672
304000	-200.0	118.2577
305000	-200.0	118.6326
306000	-200.0	119.0388
307000	-200.0	119.4293
308000	-200.0	119.8355
309000	-200.0	120.226
310000	-200.0	120.6478
311000	-200.0	121.0383
312000	-200.0	121.4289
313000	-200.0	121.8506
314000	-200.0	122.2255
315000	-200.0	122.6161
316000	-200.0	123.0066
317000	-200.0	123.3815
318000	-200.0	123.7877
319000	-200.0	124.1626
320000	-200.0	124.5375
321000	-200.0	124.9281
322000	-200.0	125.3342
323000	-200.0	125.7247
324000	-200.0	126.1465
325000	-200.0	126.5214
326000	-200.0	126.9276
327000	-200.0	127.325
328000	-200.0	127.7156
329000	-200.0	128.0905
330000	-200.0	128.481
331000	-200.0	128.8559
332000	-200.0	129.2465
333000	-200.0	129.6214
334000	-200.0	129.9963
335000	-200.0	130.3712
336000	-200.0	130.793
337000	-200.0	131.1679
338000	-200.0	131.5584
339000	-200.0	131.9489
340000	-200.0	132.3395
341000	-200.0	132.7456
342000	-200.0	133.1362
343000	-200.0	133.5423
344000	-200.0	133.9797
345000	-200.0	134.339
346000	-200.0	134.7296
347000	-200.0	135.1201
348000	-200.0	135.5106
349000	-200.0	135.8855
350000	-200.0	136.2917
351000	-200.0	136.6822
352000	-200.0	137.0728
353000	-200.0	137.4789
354000	-200.0	137.8538
355000	-200.0	138.2443
356000	-200.0	138.6349
357000	-200.0	139.0098
358000	-200.0	139.4003
359000	-200.0	139.8065
360000	-200.0	140.197
361000	-200.0	140.5875
362000	-200.0	140.9781
363000	-200.0	141.353
364000	-200.0	141.7435
365000	-200.0	142.1184
366000	-200.0	142.5246
367000	-200.0	142.8995
368000	-200.0	143.29
369000	-200.0	143.665
370000	-200.0	144.0555
371000	-200.0	144.4773
372000	-200.0	144.8678
373000	-200.0	145.3236
374000	-200.0	145.7647
375000	-200.0	146.1689
376000	-200.0	146.5438
377000	-200.0	146.9556
378000	-200.0	147.3522
379000	-200.0	147.7271
380000	-200.0	148.1435
381000	-200.0	148.5335
382000	-200.0	148.9552
383000	-200.0	149.3458
384000	-200.0	149.7051
385000	-200.0	150.08
386000	-200.0	150.4705
387000	-200.0	150.861
388000	-200.0	151.2672
389000	-200.0	151.6734
390000	-200.0	152.0639
391000	-200.0	152.4544
392000	-200.0	152.845
393000	-200.0	153.2199
394000	-200.0	153.5948
395000	-200.0	154.0009
396000	-200.0	154.3758
397000	-200.0	154.7508
398000	-200.0	155.1413
399000	-200.0	155.5474
400000	-200.0	155.938
401000	-200.0	156.3285
402000	-200.0	156.7347
403000	-200.0	157.1252
404000	-200.0	157.5314
405000	-200.0	157.9063
406000	-200.0	158.279
407000	-200.0	158.6695
408000	-200.0	159.06
409000	-200.0	159.435
410000	-200.0	159.8411
411000	-200.0	160.2473
412000	-200.0	160.6378
413000	-200.0	161.0596
414000	-200.0	161.4345
415000	-200.0	161.8094
416000	-200.0	162.1999
417000	-200.0	162.5592
418000	-200.0	162.9341
419000	-200.0	163.3247
420000	-200.0	163.7308
421000	-200.0	164.1214
422000	-200.0	164.4963
423000	-200.0	164.8712
424000	-200.0	165.2617
425000	-200.0	165.6523
426000	-200.0	166.0272
427000	-200.0	166.4177
428000	-200.0	166.7926
429000	-200.0	167.1988
430000	-200.0	167.5893
431000	-200.0	167.9642
432000	-200.0	168.3547
433000	-200.0	168.7453
434000	-200.0	169.1358
435000	-200.0	169.5107
436000	-200.0	169.9012
437000	-200.0	170.3074
438000	-200.0	170.698
439000	-200.0	171.0729
440000	-200.0	171.4478
441000	-200.0	171.8383
442000	-200.0	172.2132
443000	-200.0	172.5725
444000	-200.0	172.963
445000	-200.0	173.3536
446000	-200.0	173.7441
447000	-200.0	174.1347
448000	-200.0	174.5408
449000	-200.0	174.9313
450000	-200.0	175.3219
451000	-200.0	175.7124
452000	-200.0	176.0873
453000	-200.0	176.4778
454000	-200.0	176.8684
455000	-200.0	177.2433
456000	-200.0	177.6494
457000	-200.0	178.04
458000	-200.0	178.4305
459000	-200.0	178.8054
460000	-200.0	179.1803
461000	-200.0	179.5709
462000	-200.0	179.9771
463000	-200.0	180.3363
464000	-200.0	180.7112
465000	-200.0	181.1018
466000	-200.0	181.4767
467000	-200.0	181.836
468000	-200.0	182.2109
469000	-200.0	182.6014
470000	-200.0	182.992
471000	-200.0	183.3512
472000	-200.0	183.7418
473000	-200.0	184.1323
474000	-200.0	184.5385
475000	-200.0	184.9134
476000	-200.0	185.2883
477000	-200.0	185.6788
478000	-200.0	186.0694
479000	-200.0	186.4599
480000	-200.0	186.866
481000	-200.0	187.2722
482000	-200.0	187.694
483000	-200.0	188.0845
484000	-200.0	188.4438
485000	-200.0	188.85
486000	-200.0	189.2637
487000	-200.0	189.6387
488000	-200.0	189.9979
489000	-200.0	190.3729
490000	-200.0	190.7634
491000	-200.0	191.1695
492000	-200.0	191.5445
493000	-200.0	191.9194
494000	-200.0	192.3099
495000	-200.0	192.7004
496000	-200.0	193.091
497000	-200.0	193.4815
498000	-200.0	193.8877
499000	-200.0	194.2782
500000	-200.0	194.6531
501000	-200.0	195.0436
502000	-200.0	195.4498
503000	-200.0	195.8404
504000	-200.0	196.2309
505000	-200.0	196.6058
506000	-200.0	196.9807
507000	-200.0	197.3713
508000	-200.0	197.7774
509000	-200.0	198.1679
510000	-200.0	198.5585
511000	-200.0	198.949
512000	-200.0	199.3395
513000	-200.0	199.7613
514000	-200.0	200.1362
515000	-200.0	200.5424
516000	-200.0	200.9173
517000	-200.0	201.3078
518000	-200.0	201.6827
519000	-200.0	202.0733
520000	-200.0	202.4794
521000	-200.0	202.87
522000	-200.0	203.2605
523000	-200.0	203.6666
524000	-200.0	204.0416
525000	-200.0	204.4633
526000	-200.0	204.8539
527000	-200.0	205.2274
528000	-200.0	205.6254
529000	-200.0	206.0193
530000	-200.0	206.4003
531000	-200.0	206.7982
532000	-200.0	207.1922
533000	-200.0	207.5792
534000	-200.0	207.9631
535000	-200.0	208.3541
536000	-200.0	208.75
537000	-200.0	209.138
538000	-200.0	209.517
539000	-200.0	209.9
540000	-200.0	210.2809
541000	-200.0	210.6569
542000	-200.0	211.0648
543000	-200.0	211.4727
544000	-200.0	211.8448
545000	-200.0	212.2268
546000	-200.0	212.6267
547000	-200.0	213.0057
548000	-200.0	213.3887
549000	-200.0	213.7567
550000	-200.0	214.1286
551000	-200.0	214.5146
552000	-200.0	214.8976
553000	-200.0	215.2936
554000	-200.0	215.6696
555000	-200.0	216.0575
556000	-200.0	216.4365
557000	-200.0	216.8404
558000	-200.0	217.2473
559000	-200.0	217.6303
560000	-200.0	217.9993
561000	-200.0	218.3803
562000	-200.0	218.7643
563000	-200.0	219.1343
564000	-200.0	219.5063
565000	-200.0	219.8932
566000	-200.0	220.2493
567000	-200.0	220.6293
568000	-200.0	221.0023
569000	-200.0	221.3863
570000	-200.0	221.7692
571000	-200.0	222.1502
572000	-200.0	222.5402
573000	-200.0	222.9301
574000	-200.0	223.3301
575000	-200.0	223.7031
576000	-200.0	224.0721
577000	-200.0	224.4381
578000	-200.0	224.8051
579000	-200.0	225.1871
580000	-200.0	225.587
581000	-200.0	225.969
582000	-200.0	226.345
583000	-200.0	226.717
584000	-200.0	227.092
585000	-200.0	227.483
586000	-200.0	227.858
587000	-200.0	228.232
588000	-200.0	228.6159
589000	-200.0	228.99
590000	-200.0	229.3749
591000	-200.0	229.7639
592000	-200.0	230.1469
593000	-200.0	230.5238
594000	-200.0	230.9038
595000	-200.0	231.2858
596000	-200.0	231.6808
597000	-200.0	232.0797
598000	-200.0	232.4497
599000	-200.0	232.8267
600000	-200.0	233.2037
601000	-200.0	233.5886
602000	-200.0	233.9646
603000	-200.0	234.3516
604000	-200.0	234.7236
605000	-200.0	235.1066
606000	-200.0	235.4866
607000	-200.0	235.8775
608000	-200.0	236.2695
609000	-200.0	236.6435
610000	-200.0	237.0325
611000	-200.0	237.4264
612000	-200.0	237.8134
613000	-200.0	238.2053
614000	-200.0	238.5727
615000	-200.0	238.9632
616000	-200.0	239.3538
617000	-200.0	239.7443
618000	-200.0	240.1192
619000	-200.0	240.5253
620000	-200.0	240.9003
621000	-200.0	241.2908
622000	-200.0	241.6657
623000	-200.0	242.0562
624000	-200.0	242.4468
625000	-200.0	242.8529
626000	-200.0	243.2591
627000	-200.0	243.6496
628000	-200.0	244.0558
629000	-200.0	244.4463
630000	-200.0	244.8212
631000	-200.0	245.1961
632000	-200.0	245.5711
633000	-200.0	245.9459
634000	-200.0	246.3521
635000	-200.0	246.7583
636000	-200.0	247.1488
637000	-200.0	247.5393
638000	-200.0	247.9299
639000	-200.0	248.2891
640000	-200.0	248.6797
641000	-200.0	249.0859
642000	-200.0	249.4451
643000	-200.0	249.8357
644000	-200.0	250.2418
645000	-200.0	250.6324
646000	-200.0	251.0073
647000	-200.0	251.4068
648000	-200.0	251.7973
649000	-200.0	252.1722
650000	-200.0	252.594
651000	-200.0	252.9689
652000	-200.0	253.3594
653000	-200.0	253.7656
654000	-200.0	254.1405
655000	-200.0	254.5311
656000	-200.0	254.9372
657000	-200.0	255.3121
