time_step	reward_avg	time
1000	-200.0	0.3593
2000	-200.0	0.7654
3000	-200.0	1.1403
4000	-200.0	1.5309
5000	-200.0	1.9214
6000	-200.0	2.3432
7000	-200.0	2.7494
8000	-200.0	3.1555
9000	-200.0	3.546
10000	-200.0	3.9678
11000	-200.0	4.3583
12000	-200.0	4.7645
13000	-200.0	5.1394
14000	-200.0	5.5456
15000	-200.0	5.9517
16000	-200.0	6.3423
17000	-200.0	6.7328
18000	-200.0	7.1233
19000	-200.0	7.5139
20000	-200.0	7.9044
21000	-200.0	8.2949
22000	-200.0	8.6854
23000	-200.0	9.076
24000	-200.0	9.4821
25000	-200.0	9.8727
26000	-200.0	10.2632
27000	-200.0	10.6381
28000	-200.0	11.013
29000	-200.0	11.4348
30000	-200.0	11.8253
31000	-200.0	12.2159
32000	-200.0	12.5908
33000	-200.0	12.9813
34000	-200.0	13.3563
35000	-200.0	13.7468
36000	-200.0	14.1529
37000	-200.0	14.5591
38000	-200.0	14.934
39000	-200.0	15.3245
40000	-200.0	15.7151
41000	-200.0	16.1056
42000	-200.0	16.5117
43000	-200.0	16.9179
44000	-200.0	17.324
45000	-200.0	17.7302
46000	-200.0	18.1207
47000	-200.0	18.5113
48000	-200.0	18.9018
49000	-200.0	19.308
50000	-200.0	19.7141
51000	-200.0	20.1047
52000	-200.0	20.5108
53000	-200.0	20.9013
54000	-200.0	21.2919
55000	-200.0	21.698
56000	-200.0	22.1042
57000	-200.0	22.4947
58000	-200.0	22.9009
59000	-200.0	23.2914
60000	-200.0	23.682
61000	-200.0	24.0412
62000	-200.0	24.4161
63000	-200.0	24.7897
64000	-200.0	25.1637
65000	-200.0	25.5456
66000	-200.0	25.9376
67000	-200.0	26.3286
68000	-200.0	26.6926
69000	-200.0	27.1075
70000	-200.0	27.4834
71000	-200.0	27.8764
72000	-200.0	28.2435
73000	-200.0	28.6394
74000	-200.0	29.0313
75000	-200.0	29.4143
76000	-200.0	29.8092
77000	-200.0	30.1862
78000	-200.0	30.5692
79000	-200.0	30.9492
80000	-200.0	31.3421
81000	-200.0	31.7251
82000	-200.0	32.1111
83000	-200.0	32.512
84000	-200.0	32.886
85000	-200.0	33.266
86000	-200.0	33.636
87000	-200.0	34.015
88000	-200.0	34.408
89000	-200.0	34.8109
90000	-200.0	35.1919
91000	-200.0	35.5639
92000	-200.0	35.9389
93000	-200.0	36.3129
94000	-200.0	36.6949
95000	-200.0	37.0718
96000	-200.0	37.4678
97000	-200.0	37.8508
98000	-200.0	38.2507
99000	-200.0	38.6366
100000	-200.0	39.0156
101000	-200.0	39.4016
102000	-200.0	39.7926
103000	-200.0	40.1646
104000	-200.0	40.5555
105000	-200.0	40.9225
106000	-200.0	41.3006
107000	-200.0	41.6915
108000	-200.0	42.0804
109000	-200.0	42.4724
110000	-200.0	42.8444
111000	-200.0	43.2244
112000	-200.0	43.6054
113000	-200.0	44.0113
114000	-200.0	44.4043
115000	-200.0	44.7693
116000	-200.0	45.1472
117000	-200.0	45.5202
118000	-200.0	45.8883
119000	-200.0	46.2593
120000	-200.0	46.6343
121000	-200.0	47.0342
122000	-200.0	47.4142
