time_step	reward_avg	time
1000	-200.0	0.3749
2000	-200.0	0.7498
3000	-200.0	1.1248
4000	-200.0	1.5153
5000	-200.0	1.8902
6000	-200.0	2.2651
7000	-200.0	2.6244
8000	-200.0	3.0149
9000	-200.0	3.4055
10000	-200.0	3.796
11000	-200.0	4.1865
12000	-200.0	4.5927
13000	-200.0	4.952
14000	-200.0	5.3425
15000	-200.0	5.7174
16000	-200.0	6.1079
17000	-200.0	6.4829
18000	-200.0	6.8734
19000	-200.0	7.2639
20000	-200.0	7.6388
21000	-200.0	8.045
22000	-200.0	8.4199
23000	-200.0	8.7948
24000	-200.0	9.2166
25000	-200.0	9.5915
26000	-200.0	9.9977
27000	-200.0	10.3726
28000	-200.0	10.7475
29000	-200.0	11.1224
30000	-200.0	11.5442
31000	-200.0	11.966
32000	-200.0	12.3409
33000	-200.0	12.7471
34000	-200.0	13.1063
35000	-200.0	13.5125
36000	-200.0	13.903
37000	-200.0	14.2708
38000	-200.0	14.6457
39000	-200.0	15.0363
40000	-200.0	15.4424
41000	-200.0	15.833
42000	-200.0	16.2235
43000	-200.0	16.614
44000	-200.0	17.0045
45000	-200.0	17.4107
46000	-200.0	17.8012
47000	-200.0	18.1761
48000	-200.0	18.5823
49000	-200.0	18.9728
50000	-200.0	19.379
51000	-200.0	19.7851
52000	-200.0	20.1601
53000	-200.0	20.5506
54000	-200.0	20.9568
55000	-200.0	21.3317
56000	-200.0	21.7222
57000	-200.0	22.1127
58000	-200.0	22.5189
59000	-200.0	22.9407
60000	-200.0	23.3468
61000	-200.0	23.7373
62000	-200.0	24.1435
63000	-200.0	24.534
64000	-200.0	24.9673
65000	-200.0	25.46
66000	-200.0	25.8524
67000	-200.0	26.2188
68000	-200.0	26.5938
69000	-200.0	26.9903
70000	-200.0	27.3808
71000	-200.0	27.7893
72000	-200.0	28.1611
73000	-200.0	28.5205
74000	-200.0	28.9266
75000	-200.0	29.3171
76000	-200.0	29.7077
77000	-200.0	30.0826
78000	-200.0	30.4731
79000	-200.0	30.8324
80000	-200.0	31.2229
81000	-200.0	31.6135
82000	-200.0	32.004
83000	-200.0	32.3945
84000	-200.0	32.7851
85000	-200.0	33.1444
86000	-200.0	33.5349
87000	-200.0	33.941
88000	-200.0	34.316
89000	-200.0	34.6909
90000	-200.0	35.0658
91000	-200.0	35.4876
92000	-200.0	35.8781
93000	-200.0	36.253
94000	-200.0	36.6592
95000	-200.0	37.0497
96000	-200.0	37.4246
97000	-200.0	37.8308
98000	-200.0	38.2057
99000	-200.0	38.565
100000	-200.0	38.9243
101000	-200.0	39.3148
102000	-200.0	39.7053
