time_step	reward_avg	time
2000	-75.8368	1.7189
4000	-46.0221	5.2885
6000	-38.1353	7.2181
8000	-71.1314	10.2707
10000	-58.2189	12.1982
12000	-64.9191	16.6536
14000	-87.4619	18.7449
16000	-39.126	22.1029
18000	-37.6635	23.948
20000	-60.0977	26.5573
22000	-42.9789	28.2747
24000	-40.7619	30.9324
26000	-74.5123	32.691
28000	-40.5337	35.3126
30000	-70.1175	37.0526
32000	-63.2068	39.6747
34000	-43.5572	41.4119
36000	-38.9886	44.1899
38000	-65.5762	45.9271
40000	-48.158	49.1276
42000	-44.4034	50.9588
44000	-40.0741	54.5494
46000	-34.9602	56.552
48000	-108.67	59.7312
50000	-40.6861	61.4995
52000	-43.523	64.249
54000	-74.546	66.0978
56000	-36.7294	68.9517
58000	-32.6443	70.7001
60000	-35.351	73.8035
62000	-38.1847	75.6798
64000	-38.0221	79.5111
66000	-58.6665	81.4554
68000	-59.6397	84.3501
70000	-33.7419	86.2031
72000	-78.4051	89.0743
74000	-89.9828	90.9384
76000	-58.3454	93.9264
78000	-40.8902	95.883
80000	-40.1897	99.5608
82000	-34.4049	101.4834
84000	-34.9127	105.0946
86000	-56.0278	107.0502
88000	-55.3633	110.1903
90000	-29.9623	112.0601
92000	-36.5333	114.9783
94000	-31.0302	116.862
96000	-36.5352	119.5671
98000	-31.9272	121.3072
100000	-60.8566	124.5627
102000	-33.5605	126.3785
104000	-55.0631	130.0477
106000	-32.3419	131.8395
108000	-25.8513	135.2752
110000	-92.0939	137.1669
112000	-34.0262	141.1505
114000	-70.9427	143.0316
116000	-28.2522	146.1428
118000	-50.6143	148.0671
120000	-27.6786	151.3772
122000	-25.0766	153.3537
124000	-19.4593	156.899
126000	-65.1149	158.7996
128000	-23.6152	161.8156
130000	-22.8007	163.6531
132000	-76.1103	166.4977
134000	-22.281	168.2668
136000	-33.389	170.8699
138000	-24.6898	172.8153
140000	-19.0104	175.6931
142000	-19.1893	177.4468
144000	-24.4189	180.1118
146000	-66.4138	181.9995
148000	-11.3599	185.0913
150000	-22.1298	186.9003
152000	-63.0169	190.3859
154000	-54.8772	192.3399
156000	-14.3515	196.626
158000	-21.1416	198.5833
160000	-82.9665	201.7331
162000	-16.8499	203.6128
164000	-15.7757	206.3658
166000	-59.9501	208.1346
168000	-45.0246	210.8275
170000	-12.2142	212.597
172000	-16.9702	215.2332
174000	-9.1254	217.1593
176000	-17.5867	221.1629
178000	-48.7944	223.8933
180000	-16.7023	229.8596
182000	-11.859	233.1711
184000	-13.2598	237.4607
186000	-10.8936	239.5319
188000	-10.1375	244.0165
190000	-13.8478	246.008
192000	-2.5465	249.7123
194000	1.2746	251.8191
196000	-5.55	257.6235
198000	-3.9873	260.4569
200000	-16.7377	264.0593
202000	-11.0866	265.8818
204000	-8.3891	269.4757
206000	-36.2026	271.3211
208000	-36.1096	275.3898
210000	-7.4928	278.6375
212000	-75.2625	286.1815
214000	-6.3263	288.1841
216000	-17.9411	291.5182
218000	-57.9489	293.971
220000	-11.951	298.1515
222000	-0.2802	300.0286
224000	-6.5998	304.8452
226000	-14.0859	307.1197
228000	-6.5992	311.0919
230000	-7.508	313.1024
232000	-8.9096	315.9283
234000	-14.7894	318.1555
236000	-11.1369	323.1429
238000	-0.1219	325.6133
240000	-10.6122	329.2955
242000	4.8693	331.508
244000	1.5948	334.8115
246000	-29.3722	336.818
248000	15.3685	341.1308
250000	18.6885	343.1542
252000	3.0077	346.8348
254000	2.053	348.6406
256000	4.732	353.1258
258000	8.5552	355.3098
260000	11.9421	359.2061
262000	-5.0224	361.2056
264000	-24.8621	364.8612
266000	-29.6553	366.7247
268000	13.8951	369.8498
270000	-39.976	371.7765
272000	16.3463	374.9126
274000	-70.8692	376.8451
276000	4.9918	379.9666
278000	-29.1599	382.4513
280000	9.1077	385.5474
282000	5.0559	387.8182
284000	15.2806	392.28
286000	7.4777	394.4843
288000	7.5086	398.5808
290000	-25.8447	401.0877
292000	7.3977	405.3432
294000	12.6536	407.112
296000	-23.2591	410.2458
298000	8.4336	412.0151
300000	-16.4266	414.7033
302000	-55.3957	416.4979
304000	10.8296	419.6033
306000	10.0864	421.4838
308000	17.602	424.1855
310000	-59.2729	426.28
312000	19.7214	429.8862
314000	12.2656	432.1077
316000	21.5331	435.9015
318000	-15.4569	438.304
320000	24.4528	441.9149
322000	22.2347	443.809
324000	-12.6659	446.5025
326000	14.25	448.3614
328000	-38.3087	451.078
330000	22.7761	452.9332
332000	14.0248	456.5319
334000	-27.389	458.5751
336000	16.3021	461.8827
338000	25.186	464.4468
340000	21.9574	468.1354
342000	14.1745	470.1437
344000	21.3984	473.5753
346000	34.4909	475.431
348000	-46.7198	478.4097
350000	20.9827	480.6576
352000	4.9019	483.971
354000	14.1809	485.6864
356000	13.8525	489.3209
358000	12.7393	491.2605
