time_step	reward_avg	time
1000	-94.2519	1.0154
2000	-98.2697	2.0152
3000	-60.7992	2.9368
4000	-47.6817	3.8585
5000	-68.3385	4.7958
6000	-78.6369	5.6706
7000	-86.2069	6.5766
8000	-107.5125	7.4358
9000	-52.7263	8.3731
10000	-90.3401	9.3103
11000	-46.2502	10.2476
12000	-65.7597	11.1849
13000	-58.1061	12.1847
14000	-14.7893	13.122
15000	-70.1255	14.1374
16000	-51.2931	15.0834
17000	-45.889	16.1145
18000	-15.9246	17.0049
19000	-18.93	17.989
20000	-71.7097	18.9576
21000	-16.7795	19.8948
22000	-19.032	20.879
23000	-18.325	21.8631
24000	-50.3454	22.8473
25000	-16.4025	23.7846
26000	-20.7335	24.7531
27000	-18.046	25.6591
28000	-63.9032	26.6433
29000	-18.7461	27.5649
30000	-23.4053	28.5178
31000	-19.8395	29.4864
32000	-21.4735	30.5174
33000	-18.8729	31.4859
34000	-45.6111	32.4388
35000	-23.3175	33.3761
36000	-49.6291	34.3602
37000	-22.3497	35.3288
38000	-62.6771	36.2264
39000	-48.211	37.1489
40000	-49.2604	38.0295
41000	-21.7848	38.9062
42000	-20.6954	39.8377
43000	-18.6707	40.7683
44000	-54.5866	41.7037
45000	-17.4397	42.5944
46000	-18.3072	43.481
47000	-54.9865	44.3906
48000	-22.2603	45.2952
49000	-21.6508	46.2037
50000	-21.5956	47.0864
51000	-61.3387	47.969
52000	-23.3211	48.8297
53000	-21.1985	49.7263
54000	-19.7349	50.59
55000	-27.8611	51.4637
56000	-50.6223	52.3453
57000	-18.7973	53.2639
58000	-21.5663	54.1335
59000	-18.099	55.077
60000	-15.9931	55.9577
61000	-47.1328	56.8543
62000	-18.7667	57.7369
63000	-16.9208	58.6255
64000	-16.044	59.56
65000	-11.6481	60.3978
66000	-18.8146	61.2685
67000	-49.1094	62.1222
68000	-18.2541	62.9899
69000	-19.2918	63.844
70000	-53.1556	64.7344
71000	-25.6545	65.6248
72000	-22.3561	66.5621
73000	-14.6419	67.515
74000	-21.5149	68.3898
75000	-16.1219	69.2802
76000	-23.0371	70.2019
77000	-18.2815	71.0923
78000	-46.2442	72.0608
79000	-19.6346	73.0294
80000	-15.7355	73.9979
81000	-15.2376	74.9352
82000	-23.3759	75.8881
83000	-98.0209	76.841
84000	-45.9556	77.8334
85000	-12.3134	78.6925
86000	-13.9093	79.7236
87000	-12.2789	80.6296
88000	-13.9127	81.5356
89000	-12.6475	82.4729
90000	-7.8392	83.3946
91000	-9.8174	84.2538
92000	-62.3479	85.1754
93000	-10.8052	86.0658
94000	-5.541	86.9719
95000	-60.9509	87.9716
96000	-11.1416	88.8621
97000	-12.6077	89.7994
98000	-41.788	90.7991
99000	-8.9139	91.7364
100000	-8.6544	92.7049
101000	-4.7676	93.6266
102000	-0.7266	94.517
103000	-4.8184	95.6123
104000	-7.0732	96.5202
105000	-6.5878	97.431
106000	-4.5708	98.3281
107000	-10.0051	99.2811
108000	-4.1915	100.2496
109000	-6.4528	101.2337
110000	-45.0104	102.1866
111000	-1.8556	103.1395
112000	-11.5179	104.0768
113000	-7.5708	104.9985
114000	-9.2623	105.9201
115000	-8.8578	106.7637
116000	-11.4707	107.7322
117000	-5.5062	108.6365
118000	2.5385	109.5425
119000	-54.0107	110.4954
120000	-5.8748	111.4171
121000	-4.4366	112.3543
122000	-32.9444	113.2291
123000	-1.0922	114.1196
124000	-4.8805	115.0412
125000	-0.8637	115.9941
126000	-52.7868	116.8533
127000	2.2658	117.7906
128000	-1.7529	118.7435
129000	-2.9229	119.6495
130000	-37.0079	120.5712
131000	-1.4165	121.5085
132000	-5.5608	122.4145
133000	-2.9077	123.383
134000	-0.1927	124.3047
135000	-3.9056	125.2576
136000	-6.6981	126.1793
137000	-5.2421	127.0853
138000	-56.3409	128.1007
139000	1.3551	128.9755
140000	-46.6521	129.944
141000	-0.0876	130.8501
142000	0.8231	131.803
143000	-41.8923	132.7246
144000	-1.5638	133.7088
145000	7.3581	134.6617
146000	-37.293	135.599
147000	2.6009	136.63
148000	-5.2353	137.6141
149000	-2.7813	138.5826
150000	-4.8657	139.4933
151000	-34.7666	140.3994
152000	-2.13	141.3523
153000	-5.8912	142.2896
154000	3.4528	143.305
155000	-48.897	144.1954
156000	-2.0462	145.0858
157000	0.8046	146.0075
158000	-44.6938	146.9135
159000	4.3401	147.8976
160000	-0.4493	148.8818
161000	8.4753	149.8034
162000	1.0845	150.7876
163000	11.9168	151.7093
164000	-35.8386	152.6465
165000	-74.5822	153.6463
166000	11.0098	154.5836
167000	3.3524	155.6323
168000	-30.5344	156.5633
169000	4.7232	157.483
170000	-4.0621	158.3702
171000	10.2123	159.3231
172000	-0.5351	160.2135
173000	-34.9849	161.1352
174000	8.6725	162.0256
175000	-48.6222	162.9472
176000	5.4482	163.9001
177000	2.3618	164.7593
178000	-33.7112	165.6654
179000	-3.5575	166.5558
180000	-44.2217	167.4931
181000	11.7828	168.3679
182000	-33.2155	169.2739
183000	5.694	170.1276
184000	-73.8951	171.0337
185000	-32.7848	171.9085
186000	-65.2955	172.7989
187000	15.1091	173.6893
188000	13.086	174.611
189000	-51.7879	175.5326
190000	-29.7916	176.4074
191000	-49.6508	177.3291
192000	-78.8754	178.2507
193000	-37.4877	179.188
194000	-38.4073	180.1097
195000	24.0695	180.9845
196000	21.6632	181.9062
197000	-46.0107	182.8278
198000	14.7938	183.7182
199000	-29.5721	184.6087
200000	15.85	185.5616
201000	24.447	186.4988
202000	23.4037	187.3893
203000	18.1386	188.3734
204000	28.3126	189.2951
205000	20.6079	190.1542
206000	-19.2624	191.1071
207000	-41.0511	192.0757
208000	10.9025	192.9505
209000	-85.752	193.8409
210000	-56.4686	194.7313
211000	33.7052	195.653
212000	-17.7578	196.559
213000	-28.0585	197.4963
214000	30.6364	198.418
215000	27.0285	199.3552
216000	37.3741	200.2457
217000	40.8042	201.261
218000	25.6474	202.1962
219000	26.309	203.1335
220000	-36.1193	204.0864
221000	23.513	204.9925
222000	21.3165	205.9141
223000	26.4262	206.8202
224000	28.7518	207.7418
225000	40.8393	208.6323
226000	-18.3653	209.5383
227000	29.6453	210.4756
228000	29.9216	211.3816
229000	38.5508	212.3033
230000	-49.6009	213.1937
231000	35.0954	214.1466
232000	31.8909	215.0028
233000	40.9972	216.068
234000	27.9112	216.9661
235000	29.7267	217.8967
236000	-39.1559	218.8615
237000	34.3908	219.7206
238000	32.9824	220.6735
239000	-2.5608	221.6421
240000	-19.069	222.5793
241000	35.5598	223.4854
242000	27.9689	224.3914
243000	38.7113	225.235
244000	-30.1581	226.1879
245000	33.18	227.1252
246000	-35.6496	228.0605
247000	39.8498	228.9509
248000	-6.2786	229.8882
249000	-40.6117	230.7786
250000	54.5701	231.6846
251000	-68.8276	232.5751
252000	41.871	233.4099
253000	-23.9813	234.3472
254000	-17.4083	235.2532
255000	31.9078	236.128
256000	27.882	237.1278
257000	-47.0971	238.1119
258000	40.9695	239.0805
259000	-15.4915	240.0802
260000	35.7887	241.08
261000	-53.2439	241.986
262000	40.4818	242.9077
263000	-42.614	243.845
264000	31.3874	244.7979
265000	43.4115	245.7195
266000	35.2082	246.5787
267000	-39.6017	247.5785
268000	44.7868	248.5783
269000	40.2465	249.5312
270000	36.3873	250.4528
271000	26.4169	251.3276
272000	34.688	252.2961
273000	-76.934	253.1709
274000	50.9648	254.0457
275000	-21.3258	254.983
276000	38.2713	255.9203
277000	-60.8266	256.8107
278000	-13.5919	257.7949
279000	-8.8309	258.6853
280000	-96.8557	259.6382
281000	-69.3986	260.5911
282000	-13.1953	261.5284
283000	27.5587	262.4032
284000	32.8375	263.4029
285000	-11.8234	264.2786
286000	-87.7246	265.2159
287000	27.5824	266.1532
288000	-57.1582	267.0748
289000	-66.0237	268.0746
290000	48.6978	269.0275
291000	38.0735	269.9492
292000	-59.8263	270.824
293000	-81.8445	271.7925
294000	-49.6535	272.761
295000	32.1819	273.6671
296000	26.8627	274.6044
297000	-18.6555	275.6817
298000	38.0996	276.5951
299000	15.9965	277.5295
300000	20.7936	278.4835
301000	26.5025	279.4208
302000	42.2718	280.3425
303000	28.7678	281.311
304000	32.9335	282.1702
305000	29.2905	283.0763
306000	39.1302	283.9979
307000	37.6704	284.904
308000	-74.2496	285.7475
309000	36.6557	286.6692
310000	-13.4041	287.5908
311000	26.6742	288.5437
312000	-38.4877	289.4966
313000	-38.557	290.4495
314000	-19.1902	291.34
315000	33.0657	292.3085
316000	31.9586	293.3083
317000	32.4076	294.1987
318000	45.515	295.1644
319000	-9.7868	296.1485
320000	26.9761	297.0233
321000	26.0188	297.9606
322000	41.7214	298.9604
323000	35.8014	299.8352
324000	41.3513	300.71
325000	-47.4141	301.741
326000	32.067	302.6783
327000	24.925	303.5843
328000	38.1022	304.4903
329000	30.6248	305.4589
330000	29.7857	306.4274
331000	30.6087	307.3334
332000	36.6432	308.3332
333000	37.7177	309.3174
334000	-38.4799	310.2078
335000	-2.1394	311.1294
336000	42.5135	312.0511
337000	31.3059	312.9415
338000	28.5877	313.8319
339000	-10.2605	314.7848
340000	33.2237	315.7221
341000	42.5812	316.6282
342000	41.4458	317.6123
343000	36.9913	318.534
344000	-38.7175	319.4244
345000	23.6508	320.3148
346000	38.5599	321.299
347000	34.4731	322.1894
348000	32.7018	323.111
349000	23.0913	324.0171
350000	-13.0074	325.0325
351000	34.2262	325.9385
352000	25.3592	326.8403
353000	33.5718	327.7463
354000	32.7651	328.668
355000	44.3187	329.5584
356000	46.1356	330.5113
357000	41.2905	331.3861
358000	35.0244	332.2765
359000	-12.8107	333.2138
360000	28.4893	334.1667
361000	38.2115	335.0592
362000	36.144	336.1487
363000	33.8856	337.0705
364000	39.4146	337.9724
365000	37.5442	338.8068
366000	39.7317	339.6816
367000	-8.377	340.5564
368000	38.1219	341.4625
369000	38.4595	342.4622
370000	45.4657	343.3995
371000	44.7816	344.3212
372000	35.7015	345.2897
373000	39.2078	346.2114
374000	45.0191	347.1643
375000	37.5946	348.1172
376000	50.5669	349.1013
377000	40.0286	350.0074
378000	39.6058	350.9759
379000	26.6809	351.8976
380000	44.7335	352.8817
381000	37.341	353.7409
382000	42.3399	354.6469
383000	43.2903	355.5217
384000	-59.5387	356.3965
