time_step	reward_avg	time
1000	-66.4743	0.7987
2000	-83.1674	2.2326
3000	-86.7086	3.0541
4000	-52.0786	4.4775
5000	-14.9393	5.2886
6000	-28.1492	6.6918
7000	-21.9007	7.4973
8000	-55.0392	8.8955
9000	-25.5469	9.7008
10000	-29.4881	11.1056
11000	-26.578	11.9136
12000	-16.2447	13.3517
13000	-51.8819	14.1599
14000	-21.0898	15.5725
15000	-18.7186	16.3851
16000	-19.6751	17.788
17000	-20.7062	18.603
18000	-21.5297	20.0096
19000	-62.9445	20.805
20000	-22.025	22.1971
21000	-19.341	23.0041
22000	-21.3529	24.3966
23000	-20.0249	25.209
24000	-73.1596	26.6029
25000	-49.4854	27.4058
26000	-20.8793	28.8111
27000	-47.5719	29.6191
28000	-46.9931	31.0226
29000	-22.3855	31.833
30000	-25.6089	33.2469
31000	-69.9396	34.0558
32000	-26.0806	35.4386
33000	-22.9596	36.2369
34000	-46.6862	37.6414
35000	-78.6386	38.4541
36000	-65.2079	39.8557
37000	-49.9285	40.6904
38000	-21.0522	42.1142
39000	-18.7828	42.9317
40000	-21.2254	44.3502
41000	-50.174	45.1841
42000	-18.3111	46.5973
43000	-18.6949	47.4149
44000	-16.9515	48.8276
45000	-14.9838	49.649
46000	-18.0558	51.0652
47000	-19.4471	51.8969
48000	-21.4107	53.3111
49000	-21.5673	54.1283
50000	-17.0909	55.5423
51000	-18.6061	56.3592
52000	-18.5349	57.7743
53000	-18.3714	58.5938
54000	-20.6244	60.006
55000	-18.2142	60.8237
56000	-24.6941	62.2411
57000	-17.3944	63.0901
58000	-15.0972	64.496
59000	-16.2822	65.3097
60000	-45.3999	66.725
61000	-17.5792	67.5476
62000	-17.7371	68.9521
63000	-16.8087	69.765
64000	-15.0118	71.1684
65000	-18.5715	71.9845
66000	-20.4549	73.3903
67000	-23.8914	74.2071
68000	-16.8901	75.6304
69000	-45.222	76.44
70000	-16.4896	77.8533
71000	-18.1983	78.688
72000	-17.4194	80.0893
73000	-16.2287	80.8963
74000	-15.6599	82.3136
75000	-18.645	83.117
76000	-79.8206	84.5211
77000	-45.894	85.3243
78000	-17.569	86.7183
79000	-16.4228	87.5225
80000	-12.5035	88.9176
81000	-17.4412	89.7162
82000	-60.2436	91.1187
83000	-17.8186	91.933
84000	-16.145	93.3366
85000	-15.836	94.1505
86000	-14.725	95.5506
87000	-43.9938	96.3639
88000	-13.1388	97.7728
89000	-17.5087	98.5831
90000	-15.8588	99.9677
91000	-14.1928	100.781
92000	-16.0234	102.1723
93000	-15.4678	102.979
94000	-16.6714	104.3842
95000	-13.6438	105.1853
96000	-15.9289	106.5815
97000	-19.4131	107.3966
98000	-17.0478	108.786
99000	-15.3803	109.593
100000	-13.0565	111.0204
101000	-13.8113	111.8319
102000	-13.0793	113.2318
103000	-14.2527	114.0315
104000	-13.9928	115.4278
105000	-43.367	116.2335
106000	-13.3952	117.6275
107000	-15.8113	118.4277
108000	-14.1122	119.8192
109000	-14.8111	120.6224
110000	-13.3853	122.0259
111000	-9.1323	122.8497
112000	-12.9005	124.2681
113000	-12.7972	125.0669
114000	-12.8941	126.4604
115000	-12.018	127.2699
116000	-13.5704	128.6696
117000	-12.7889	129.4692
118000	-10.6137	130.8795
119000	-11.5123	131.6856
120000	-11.1551	133.079
121000	-12.0543	133.8822
122000	-11.6734	135.2839
123000	-3.93	136.0832
124000	-14.0443	137.4841
125000	-7.2329	138.2908
126000	-8.9792	139.7071
127000	-13.6025	140.5144
128000	-10.229	141.9227
129000	-8.0015	142.7447
130000	-11.0002	144.1377
131000	-9.7315	144.9366
132000	-9.2693	146.3257
133000	-5.1309	147.1334
134000	-9.2701	148.527
135000	-8.4381	149.3318
136000	-5.9536	150.7278
137000	-4.4822	151.5292
138000	-6.5936	152.9404
139000	-6.8049	153.7517
140000	-10.0529	155.1396
141000	-7.6747	155.9332
142000	-5.4205	157.3224
143000	-4.3319	158.1245
144000	-9.3915	159.5093
145000	-5.5709	160.3058
146000	-5.424	161.6944
147000	-3.2682	162.4896
148000	-5.3284	163.8819
149000	-4.625	164.6791
150000	-2.1074	166.0615
151000	0.7566	166.8625
152000	-6.5695	168.2563
153000	-1.4085	169.0546
154000	-0.1663	170.4459
155000	-1.3211	171.2426
156000	3.2338	172.6322
157000	-1.7836	173.4335
158000	1.4898	174.8284
159000	1.3217	175.6444
160000	5.82	177.0398
161000	3.809	177.8364
162000	2.7841	179.2281
163000	2.6785	180.0221
164000	4.6272	181.4123
165000	4.0695	182.2135
166000	7.2512	183.6276
167000	11.3199	184.4266
168000	8.8277	185.8161
169000	7.3927	186.6062
170000	5.3011	187.9934
171000	4.2992	188.7917
172000	9.233	190.1727
173000	1.704	190.9669
174000	2.51	192.3574
175000	11.1762	193.1508
176000	13.6964	194.5358
177000	1.7094	195.3354
178000	6.5305	196.7342
179000	13.058	197.531
180000	10.7297	198.9242
181000	8.4934	199.7245
182000	11.9167	201.121
183000	12.951	201.9169
184000	9.0778	203.3132
185000	13.7225	204.1116
186000	7.1781	205.5322
187000	10.0836	206.3316
188000	14.3519	207.7627
189000	10.905	208.561
190000	11.0165	209.9385
191000	-30.8687	210.7417
192000	10.0439	212.1334
193000	9.9124	212.9503
194000	8.7867	214.3352
195000	10.2868	215.1389
196000	-47.7173	216.5236
197000	11.257	217.3248
198000	10.0655	218.7519
199000	12.7363	219.551
200000	7.9175	220.945
201000	13.6736	221.745
202000	13.7097	223.1336
203000	15.3022	223.9362
204000	-34.3627	225.3306
205000	18.7404	226.1254
206000	17.3795	227.5199
207000	6.1536	228.3176
208000	7.5778	229.7072
209000	15.3026	230.5057
210000	11.2485	231.8927
211000	20.6028	232.6909
212000	10.3711	234.0937
213000	16.5685	234.8876
214000	13.24	236.2755
215000	16.4778	237.0753
216000	15.478	238.4698
217000	16.6346	239.2624
218000	19.1631	240.6894
219000	22.3694	241.4953
220000	17.7712	242.9191
221000	10.2341	243.7352
222000	-60.3857	245.1281
223000	10.0278	245.9239
224000	15.6543	247.3159
225000	14.5797	248.1088
226000	19.9126	249.498
227000	14.982	250.293
228000	4.959	251.6731
229000	15.3136	252.4742
230000	16.7135	253.8679
231000	19.6498	254.6617
232000	21.296	256.0574
233000	11.5796	256.8526
234000	21.0939	258.253
235000	18.4561	259.0473
236000	16.9673	260.4379
237000	20.513	261.2343
238000	16.674	262.6256
239000	19.7197	263.4284
240000	16.4839	264.8223
241000	22.6263	265.6178
242000	17.9154	267.0073
243000	17.494	267.8014
244000	13.3221	269.2107
245000	21.2158	270.0069
246000	19.5249	271.402
247000	18.7074	272.2025
248000	21.6133	273.643
249000	18.5671	274.4451
250000	15.2675	275.8212
251000	20.8527	276.6132
252000	26.2964	277.9894
253000	18.2765	278.7783
254000	15.8236	280.1591
255000	19.7679	280.9499
256000	19.3897	282.3257
257000	20.8968	283.1208
258000	20.314	284.5001
259000	22.2198	285.2895
260000	19.1966	286.6656
261000	16.9667	287.4672
262000	17.4558	288.8479
263000	18.342	289.6428
264000	15.8266	291.023
265000	-20.2127	291.8186
266000	24.5584	293.2109
267000	17.8827	294.0017
268000	-21.1634	295.387
269000	16.6072	296.1804
270000	19.1221	297.5623
271000	18.7029	298.3525
272000	-18.169	299.7419
