time_step	reward_avg	time
1000	-64.245	1.0424
2000	-28.4539	2.8583
3000	-68.5711	3.8661
4000	-83.1055	5.4011
5000	-77.7486	6.555
6000	-104.1437	8.4831
7000	-21.3203	9.5448
8000	-46.3273	11.0591
9000	-74.0255	11.9832
10000	-49.7246	13.4919
11000	-20.5677	14.3006
12000	-88.7232	15.6376
13000	-22.1022	16.4058
14000	-22.8449	17.7275
15000	-91.8387	18.498
16000	-50.6904	19.7843
17000	-23.0852	20.5429
18000	-19.3049	21.864
19000	-71.348	22.6545
20000	-80.144	23.9707
21000	-51.1753	24.7341
22000	-21.9302	26.043
23000	-46.592	26.8013
24000	-24.1737	28.1387
25000	-24.2642	28.8891
26000	-17.4613	30.1879
27000	-24.6651	30.9399
28000	-23.9729	32.2321
29000	-90.3024	33.0323
30000	-50.5635	34.3273
31000	-49.3424	35.0901
32000	-19.9446	36.3842
33000	-18.7853	37.1684
34000	-64.2949	38.4745
35000	-66.2727	39.233
36000	-75.2861	40.5439
37000	-17.9974	41.303
38000	-11.4983	42.6054
39000	-20.2815	43.3765
40000	-56.4803	44.6831
41000	-60.0913	45.4444
42000	-17.2015	46.7379
43000	-15.7395	47.5079
44000	-15.9806	48.8115
45000	-46.3283	49.5666
46000	-58.6586	50.8567
47000	-17.7124	51.6185
48000	-47.6771	52.9289
49000	-22.3488	53.699
50000	-19.2824	55.0069
51000	-48.2423	55.7638
52000	-15.3634	57.0707
53000	-15.9664	57.8533
54000	-17.0747	59.178
55000	-46.4922	59.9481
56000	-16.6814	61.2644
57000	-60.9518	62.0296
58000	-17.6736	63.3609
59000	-19.1977	64.134
60000	-18.7988	65.4303
61000	-15.1568	66.1962
62000	-46.7285	67.5099
63000	-18.0168	68.2797
64000	-20.5399	69.5805
65000	-18.0003	70.3445
66000	-51.7762	71.6469
67000	-19.6905	72.3983
68000	-17.5158	73.706
69000	-17.0215	74.4829
70000	-16.6102	75.7853
71000	-18.1994	76.5606
72000	-46.9759	77.8727
73000	-20.0578	78.6266
74000	-20.6159	79.9163
75000	-51.4688	80.6767
76000	-18.0207	81.9672
77000	-22.0231	82.7269
78000	-65.9136	84.0561
79000	-59.1834	84.8125
80000	-15.4819	86.1063
81000	-18.49	86.8604
82000	-18.842	88.177
83000	-22.0832	88.9342
84000	-19.5097	90.2366
85000	-26.128	90.9936
86000	-16.6843	92.2883
87000	-47.5853	93.0867
88000	-19.1709	94.3859
89000	-16.6348	95.1641
90000	-53.6805	96.4801
91000	-17.2609	97.2564
92000	-20.1054	98.5771
93000	-19.114	99.3466
94000	-14.3574	100.6641
95000	-18.8106	101.4183
96000	-19.443	102.7147
97000	-19.697	103.4748
98000	-17.0005	104.7863
99000	-17.8222	105.5904
100000	-20.287	106.9072
101000	-16.2577	107.6509
102000	-16.3144	108.955
103000	-19.5351	109.7107
104000	-20.072	110.998
105000	-21.7062	111.7529
106000	-13.8043	113.0486
107000	-17.661	113.8165
108000	-49.2509	115.1494
109000	-47.2474	115.9004
110000	-16.2543	117.2147
111000	-16.861	117.9745
112000	-19.1725	119.2674
113000	-16.067	120.0245
114000	-16.115	121.3305
115000	-13.8319	122.1593
116000	-17.5555	123.5237
117000	-18.7056	124.2749
118000	-60.6323	125.5581
119000	-16.7197	126.3008
120000	-12.9486	127.6031
121000	-47.4344	128.3602
122000	-17.344	129.6537
123000	-15.5995	130.4051
124000	-12.2274	131.6889
125000	-13.5337	132.4357
126000	-47.5399	133.7263
127000	-15.4244	134.494
128000	-13.5531	135.7819
129000	-11.0066	136.5542
130000	-13.9852	137.8419
131000	-10.0344	138.6
132000	-44.7269	139.8983
133000	-11.2578	140.6462
134000	-12.868	141.9274
135000	-13.5058	142.7406
136000	-11.0113	144.0931
137000	-12.7171	144.8564
138000	-12.4289	146.143
139000	-10.0038	146.8933
140000	-11.5787	148.1977
141000	-20.3813	148.9391
142000	-6.941	150.2165
143000	-9.752	150.997
144000	-11.3222	152.2894
145000	-9.3379	153.0773
146000	-12.1893	154.3703
147000	-6.8347	155.1157
148000	-11.8977	156.3921
149000	-7.9803	157.1503
150000	-9.0981	158.4464
151000	-10.9412	159.1835
152000	-11.6192	160.4639
153000	-8.7306	161.2099
154000	-5.4742	162.4958
155000	-39.0423	163.2489
156000	-10.928	164.5312
157000	-11.0747	165.2833
158000	-15.0828	166.5548
159000	-5.601	167.301
160000	-5.5325	168.5828
161000	-3.1429	169.3298
162000	-6.3776	170.6143
163000	-4.0356	171.3531
164000	-7.8002	172.6267
165000	-9.6687	173.3795
166000	-2.2035	174.6965
167000	-39.0053	175.4461
168000	-5.6385	176.7304
169000	-1.7867	177.4833
170000	-3.7794	178.7847
171000	-3.7789	179.5353
172000	1.9694	180.8265
173000	-2.8279	181.5781
174000	-3.4499	182.8815
175000	-7.7124	183.6411
176000	-1.9013	184.9335
177000	-1.2181	185.6759
178000	1.4148	186.9688
179000	-2.3363	187.7099
180000	-6.2087	188.9997
181000	4.7064	189.7307
182000	-7.8274	191.0014
183000	3.5986	191.731
184000	-1.7286	193.0059
185000	3.5103	193.7536
186000	3.6721	195.0533
187000	-1.8792	195.7936
188000	4.7611	197.083
189000	1.2268	197.8258
190000	4.0336	199.1212
191000	3.0461	199.8625
192000	-2.0919	201.1486
193000	7.1392	201.8852
194000	7.7958	203.174
195000	4.7619	203.9241
196000	-1.6636	205.216
197000	-55.1447	205.9549
