time_step	reward_avg	time
1000	-62.2703	0.7405
2000	-32.7928	2.0667
3000	-88.8646	2.8744
4000	-101.2563	4.199
5000	-91.2821	4.9681
6000	-51.5163	6.2858
7000	-78.0668	7.0563
8000	-96.9212	8.3506
9000	-84.2694	9.1202
10000	-80.2025	10.4305
11000	-81.5575	11.2221
12000	-51.7733	12.5158
13000	-72.4185	13.2715
14000	-67.5854	14.5715
15000	-49.3639	15.3252
16000	-30.5163	16.6228
17000	-29.9145	17.3955
18000	-54.1837	18.6934
19000	-34.428	19.4694
20000	-27.7758	20.7548
21000	-29.8912	21.5224
22000	-36.091	22.8148
23000	-55.6888	23.5752
24000	-26.9748	24.8771
25000	-20.8314	25.6476
26000	-51.1856	26.9656
27000	-30.2099	27.7185
28000	-79.2225	29.0036
29000	-27.0709	29.7694
30000	-54.6847	31.0708
31000	-25.7329	31.8246
32000	-24.8646	33.1365
33000	-90.1328	33.9093
34000	-112.6547	35.2111
35000	-32.2093	35.965
36000	-66.8037	37.2531
37000	-70.4187	38.0054
38000	-83.4609	39.3003
39000	-88.4874	40.0691
40000	-88.0994	41.3811
41000	-67.4913	42.144
42000	-36.2635	43.4436
43000	-28.7728	44.2029
44000	-84.2113	45.5072
45000	-72.7361	46.27
46000	-19.638	47.576
47000	-24.0183	48.335
48000	-32.0969	49.6454
49000	-23.0591	50.4038
50000	-29.4582	51.708
51000	-23.7077	52.4686
52000	-77.2968	53.7656
53000	-49.7178	54.524
54000	-20.419	55.8164
55000	-18.9379	56.5828
56000	-21.4749	57.8883
57000	-50.2245	58.6519
58000	-78.4536	59.9465
59000	-24.8677	60.704
60000	-77.3761	61.9983
61000	-25.5081	62.7942
62000	-118.1643	64.0835
63000	-22.7577	64.8502
64000	-66.2953	66.1588
65000	-74.5375	66.928
66000	-67.9117	68.2104
67000	-49.9335	68.9661
68000	-20.4479	70.2709
69000	-25.2208	71.0378
70000	-28.4633	72.3573
71000	-18.6344	73.1103
72000	-54.2872	74.4101
73000	-72.4752	75.1733
74000	-113.4647	76.4641
75000	-48.2326	77.2328
76000	-23.3571	78.5311
77000	-84.9652	79.2956
78000	-27.1193	80.6145
79000	-25.0116	81.3663
80000	-63.7582	82.6744
81000	-27.4406	83.4445
82000	-51.7333	84.7499
83000	-67.6331	85.5244
84000	-30.1405	86.8183
85000	-28.7487	87.5851
86000	-26.6519	88.9217
87000	-31.1947	89.6945
88000	-27.7551	91.0036
89000	-21.1436	91.7657
90000	-23.8295	93.0764
91000	-51.8122	93.857
92000	-23.2533	95.1737
93000	-28.8159	95.9379
94000	-53.6467	97.2492
95000	-20.1426	98.0027
96000	-23.4084	99.2982
97000	-50.2579	100.0741
98000	-66.9726	101.3497
99000	-66.7264	102.1002
100000	-24.8721	103.4148
101000	-18.0202	104.1812
102000	-50.8304	105.4838
103000	-24.5578	106.2422
104000	-24.495	107.5517
105000	-20.477	108.3116
106000	-19.3424	109.615
107000	-19.3852	110.357
108000	-18.5864	111.6535
109000	-53.6781	112.4055
110000	-124.3645	113.693
111000	-51.9913	114.4487
112000	-92.0425	115.7484
113000	-49.9613	116.5103
114000	-53.2553	117.8302
115000	-19.3409	118.5852
116000	-18.8686	119.8865
117000	-51.2023	120.6322
118000	-21.7373	121.9365
119000	-21.649	122.7314
120000	-19.5942	124.0277
121000	-20.2057	124.7972
122000	-17.3643	126.1114
123000	-16.1748	126.8676
124000	-18.852	128.1642
125000	-16.742	128.9258
126000	-18.7555	130.231
127000	-18.2675	130.98
128000	-17.636	132.2603
129000	-69.3724	133.0276
130000	-17.7484	134.3194
131000	-17.9637	135.0843
132000	-18.7938	136.364
133000	-17.9586	137.1231
134000	-15.7689	138.4023
135000	-21.5996	139.1502
136000	-15.7567	140.4618
137000	-17.1856	141.2122
138000	-46.4702	142.5048
139000	-66.2161	143.2509
140000	-55.0094	144.5321
141000	-18.3213	145.2861
142000	-46.3376	146.6009
143000	-47.3847	147.3743
144000	-16.2685	148.6577
145000	-19.0207	149.412
146000	-16.0914	150.7234
147000	-78.191	151.4695
148000	-17.9218	152.7768
149000	-17.5182	153.5349
150000	-15.2336	154.8154
151000	-18.2728	155.5745
152000	-17.1387	156.8577
153000	-18.9148	157.6258
