time_step	reward_avg	time
1000	-97.3706	0.9685
2000	-78.7979	1.937
3000	-86.2977	2.8587
4000	-93.6293	3.796
5000	-54.4131	4.7333
6000	-23.9784	5.6549
7000	-72.0864	6.561
8000	-65.4336	7.5295
9000	-84.4071	8.4824
10000	-80.4612	9.4353
11000	-52.2563	10.3914
12000	-79.5907	11.313
13000	-95.9336	12.2659
14000	-8.0857	13.1407
15000	-53.3588	14.0624
16000	-99.5942	15.1246
17000	-107.212	16.0775
18000	-99.9875	16.9992
19000	-110.67	17.9052
20000	-96.4787	18.905
21000	-69.6564	19.7798
22000	-82.8685	20.8264
23000	-86.7354	21.8418
24000	-21.7142	22.7791
25000	-77.8312	23.7164
26000	-23.8034	24.6537
27000	-52.0361	25.6222
28000	-71.3997	26.6063
29000	-54.4364	27.5436
30000	-24.6311	28.5121
31000	-22.0745	29.4026
32000	-61.3487	30.3086
33000	-73.9664	31.2771
34000	-58.7731	32.2457
35000	-72.6003	33.2298
36000	-84.8036	34.189
37000	-47.9101	35.1085
38000	-66.6071	35.9742
39000	-61.5283	36.8419
40000	-109.5196	37.7455
41000	-86.042	38.6391
42000	-94.2715	39.5547
43000	-70.5058	40.4433
44000	-83.6338	41.3868
45000	-54.0768	42.2734
46000	-75.6636	43.165
47000	-49.5729	44.0676
48000	-85.7172	44.9881
49000	-25.8542	45.8917
50000	-49.1063	46.7644
51000	-19.7798	47.6869
52000	-88.7176	48.5935
53000	-16.7454	49.4791
54000	-49.3452	50.3309
55000	-19.2536	51.1965
56000	-108.1328	52.14
57000	-61.7359	53.0217
58000	-84.1408	53.9093
59000	-77.3837	54.757
60000	-22.2766	55.6048
61000	-25.4522	56.5183
62000	-21.1884	57.4179
63000	-15.4185	58.2846
64000	-109.1904	59.2131
65000	-68.248	60.0479
66000	-22.5231	60.9146
67000	-61.6433	61.7962
68000	-27.7845	62.6878
69000	-61.7494	63.5076
70000	-48.8759	64.4541
71000	-17.9128	65.3445
72000	-87.3177	66.2818
73000	-22.7511	67.2503
74000	-22.9109	68.2345
75000	-45.3346	69.0936
76000	-80.5992	70.0153
77000	-18.4005	70.9838
78000	-21.8342	71.9055
79000	-45.576	72.8892
80000	-23.6025	73.7796
81000	-54.5713	74.7169
82000	-16.2547	75.7011
83000	-14.6065	76.6852
84000	-74.1469	77.6225
85000	-71.781	78.5441
86000	-20.6218	79.4814
87000	-18.9808	80.4343
88000	-55.2062	81.3872
89000	-16.7287	82.4182
90000	-13.8114	83.4961
91000	-16.3832	84.449
92000	-75.0105	85.4175
93000	-61.8343	86.3704
94000	-13.5421	87.3077
95000	-5.9022	88.2294
96000	-37.2226	89.1354
97000	-37.7668	90.0727
98000	-9.4445	91.1037
99000	-69.3103	92.1035
100000	-33.0496	93.072
101000	-14.3756	94.0677
102000	-15.6016	95.1456
103000	-14.1494	96.1224
104000	-12.6288	97.0459
105000	-4.4244	97.9405
106000	-47.8598	98.8466
107000	-4.0616	99.7839
108000	-35.2268	100.7836
109000	-70.4276	101.7365
110000	-105.8197	102.7519
111000	-39.4972	103.7795
112000	-54.0623	104.7012
113000	-58.583	105.6384
114000	-14.6244	106.5601
115000	-46.0446	107.5443
116000	-19.3421	108.5128
117000	-14.1414	109.4344
118000	-11.7326	110.3717
119000	-10.8039	111.3246
120000	-14.9252	112.215
121000	-17.1507	113.1523
122000	-18.4578	114.0896
123000	-16.1913	115.0737
124000	-48.5036	116.2141
125000	-20.1212	117.1826
126000	-19.5255	118.1355
127000	-20.6037	119.0103
128000	-20.2178	119.9164
129000	-47.0756	120.8536
130000	-21.5714	121.7753
131000	-19.9267	122.7438
132000	-19.6516	123.6811
133000	-17.1033	124.634
134000	-15.0323	125.54
135000	-16.2142	126.4617
136000	-60.3901	127.399
137000	-20.2188	128.3363
138000	-61.6726	129.2579
139000	-62.9799	130.2421
140000	-41.9329	131.1481
141000	-18.9426	132.0542
142000	-47.172	133.0227
143000	-15.4708	133.9131
144000	-103.069	134.8959
145000	-15.5111	135.8175
146000	-48.8242	136.7704
147000	-14.6695	137.739
148000	-44.203	138.645
149000	-15.0519	139.5823
150000	-56.8839	140.4571
151000	-11.9283	141.3944
152000	-71.7249	142.3004
153000	-102.4077	143.1752
154000	-41.2162	144.0969
155000	-78.8727	145.0654
156000	-84.9477	145.9871
157000	-41.9091	146.9087
158000	-56.5749	147.7991
159000	-15.4265	148.7364
160000	-9.6666	149.6893
161000	-50.7551	150.6422
162000	-8.1215	151.6263
163000	-102.6989	152.5011
164000	-102.6271	153.4384
165000	-4.881	154.4709
166000	-100.4116	155.4089
167000	-0.1677	156.2902
168000	-11.5095	157.1825
169000	-4.9578	158.0731
170000	-26.3208	158.9635
171000	-43.3201	159.9164
172000	-93.7405	160.8381
173000	-102.4227	161.7129
174000	11.5781	162.7126
175000	-44.6702	163.7124
176000	-37.0606	164.634
177000	8.4011	165.5698
178000	-23.574	166.4758
179000	-53.8481	167.4287
180000	-23.7646	168.3347
181000	-94.2481	169.272
182000	18.5433	170.1936
183000	-26.4526	171.1934
184000	-68.23	172.1463
185000	-38.8518	173.0836
186000	-28.3829	174.0365
187000	17.4827	175.005
188000	-75.6664	175.9423
189000	-68.7845	176.8327
190000	-75.8235	177.7544
191000	-43.9626	178.7229
192000	-64.2201	179.6602
193000	8.7757	180.6287
194000	5.0059	181.5972
195000	-36.1563	182.5033
196000	1.4701	183.3937
197000	2.4643	184.3622
198000	-33.955	185.3464
199000	-36.728	186.2993
200000	-2.7058	187.2522
201000	5.9021	188.1582
202000	9.0035	189.0486
203000	14.5549	190.064
204000	-44.3733	190.9232
205000	4.4489	191.8917
206000	2.3958	192.7821
207000	5.949	193.6725
208000	11.5589	194.563
209000	-27.3776	195.5002
210000	-33.2218	196.4052
211000	7.8503	197.3581
212000	19.1726	198.2954
213000	11.4161	199.2483
214000	14.4481	200.1387
215000	26.0065	201.0916
216000	-74.277	201.982
217000	25.2523	202.8412
218000	21.933	203.7941
219000	-19.034	204.7626
220000	-45.3031	205.6843
221000	12.8294	206.606
222000	-21.6097	207.4964
223000	-96.5081	208.4024
224000	-20.5148	209.3084
225000	-33.723	210.2301
226000	24.0807	211.1986
227000	-21.2172	212.1359
228000	7.5641	213.042
229000	9.0706	213.9891
230000	14.5179	214.9216
231000	11.9399	215.8012
232000	14.3069	216.6899
233000	8.1326	217.6054
234000	15.9159	218.493
235000	-68.2338	219.4136
236000	26.9342	220.2763
237000	-18.4671	221.1918
238000	25.5855	222.0445
239000	-54.1532	222.9142
240000	-8.3724	223.758
241000	-50.4678	224.5987
242000	36.6444	225.4544
243000	-21.079	226.364
244000	-81.9015	227.2107
245000	-9.1627	228.0415
246000	-82.3821	228.8992
247000	-38.4864	229.744
248000	-25.3426	230.6256
249000	-22.6553	231.5043
250000	-12.0654	232.3989
251000	-42.4752	233.3114
252000	25.1223	234.1881
253000	-21.1325	235.1076
254000	-24.0073	235.9803
255000	22.5301	236.8719
256000	37.2322	237.7566
257000	31.0186	238.6581
258000	20.4045	239.5468
259000	-17.4515	240.3815
260000	20.2621	241.2742
261000	-49.2055	242.1997
262000	-22.3232	243.0983
263000	-10.2198	243.9571
264000	-69.4491	244.8787
265000	37.5304	245.8785
266000	38.7319	246.8002
267000	30.7041	247.7062
268000	24.9363	248.6122
269000	24.6508	249.5026
270000	-40.6341	250.4243
271000	-80.7742	251.3147
272000	-26.7875	252.2208
273000	-54.3744	253.158
274000	-8.2059	254.0953
275000	-27.0386	255.017
276000	-70.3137	255.923
277000	-42.7169	256.8291
278000	-20.1991	257.7663
279000	17.7169	258.6842
280000	11.8232	259.6527
281000	-10.2133	260.59
282000	-11.5304	261.5117
283000	-68.9546	262.4802
284000	-79.5743	263.4175
285000	-5.1793	264.3547
286000	-47.1924	265.292
287000	-17.4188	266.2293
288000	-40.3318	267.1197
289000	-16.4156	268.1507
290000	-21.1547	269.0255
291000	-47.2064	270.0097
292000	41.5294	270.9157
293000	-38.8722	271.8842
294000	22.2906	272.8371
295000	-14.3377	273.7119
296000	25.6797	274.8053
297000	28.3284	275.6945
298000	-20.0542	276.6393
299000	-48.4965	277.5378
300000	-21.6577	278.4126
301000	43.1047	279.3656
302000	37.233	280.2716
303000	-44.8973	281.2714
304000	30.2398	282.1618
305000	-34.6984	283.1615
306000	28.9715	284.052
307000	-4.5757	284.9736
308000	-22.1948	285.9109
309000	35.9249	286.8326
310000	40.3358	287.7698
311000	-19.7085	288.6915
312000	-36.9757	289.5943
313000	29.7676	290.5003
314000	29.6821	291.3907
315000	27.3773	292.2343
316000	29.9613	293.1872
317000	29.6992	294.0932
318000	23.0303	294.9993
319000	30.0674	295.9053
320000	-10.323	296.8738
321000	26.3526	297.7799
322000	30.2512	298.7172
323000	38.6918	299.6544
324000	-9.5723	300.5292
325000	-28.6507	301.4978
326000	-30.1101	302.4819
327000	-17.3207	303.4817
328000	34.9604	304.3877
329000	33.0904	305.3094
330000	34.2654	306.2467
331000	34.3126	307.1683
332000	28.6614	308.09
333000	-34.0078	309.0273
334000	39.2372	309.9645
335000	40.0059	310.855
336000	29.8898	311.7922
337000	-3.5994	312.7139
338000	-44.217	313.5887
339000	-38.4279	314.5572
340000	-18.0958	315.5101
341000	-31.8403	316.4786
342000	-5.7514	317.4315
343000	-66.0885	318.4157
344000	-33.9022	319.3998
345000	-56.2772	320.3218
346000	-65.4367	321.2903
347000	-27.5813	322.2432
348000	-102.326	323.2274
349000	-58.0632	324.1646
350000	-45.3451	325.0707
351000	-35.3901	326.0236
352000	33.3147	326.9296
353000	-42.4422	327.9606
354000	-52.3697	328.9135
355000	-68.54	329.7883
356000	-34.2221	330.6787
357000	20.5654	331.6473
358000	-61.0989	332.5689
359000	-74.5402	333.5531
360000	30.928	334.4924
361000	24.1084	335.3541
362000	-70.6873	336.2178
363000	30.6319	337.0895
364000	-37.6765	338.003
365000	-63.679	338.9016
366000	-15.7345	339.8162
367000	-21.3809	340.7377
368000	25.0929	341.6064
369000	25.2419	342.484
370000	21.9497	343.3766
371000	21.2627	344.2912
372000	21.8528	345.1709
373000	30.128	346.0036
374000	-37.9048	346.9062
375000	-46.3345	347.8377
376000	23.4052	348.7393
377000	-20.1224	349.6359
378000	31.1217	350.5545
379000	-53.2984	351.484
380000	-18.797	352.3746
381000	22.3593	353.2243
382000	-11.9184	354.1648
383000	32.0184	355.0734
384000	29.7429	355.978
385000	-31.1563	356.8636
386000	-53.0537	357.7642
387000	33.6506	358.6269
388000	-47.6118	359.4926
389000	-5.4158	360.3393
390000	-55.9016	361.221
391000	-32.9584	362.0996
392000	33.3382	362.9793
393000	30.2236	363.8439
394000	29.0046	364.7488
395000	27.6282	365.6548
396000	32.4609	366.6077
397000	33.1492	367.5606
398000	-31.6145	368.5135
399000	-32.6981	369.3258
400000	-36.689	370.2475
401000	39.7186	371.1535
402000	40.1402	372.0439
403000	31.8305	372.9656
404000	33.4132	373.9185
405000	39.6258	374.9026
406000	36.9092	375.8243
407000	38.4379	376.746
408000	-15.5778	377.7145
409000	42.8673	378.6049
410000	34.2421	379.5266
411000	-15.8644	380.417
412000	-33.5072	381.323
413000	-57.5958	382.2555
414000	42.8039	383.1772
415000	38.8542	384.0832
416000	49.1637	385.0674
417000	40.5932	385.989
418000	31.8815	386.8951
419000	41.5287	387.8636
420000	-5.3691	388.8477
421000	42.243	389.7538
422000	-68.2166	390.7223
423000	-14.5737	391.6908
424000	42.0336	392.6437
425000	-32.4443	393.5029
426000	-35.8689	394.6683
427000	-39.9243	395.5903
428000	-30.1648	396.5251
429000	-6.0257	397.4403
430000	-29.7375	398.3932
431000	-32.5745	399.2836
432000	-55.6313	400.2365
433000	43.1978	401.1894
434000	40.9647	402.111
435000	-29.1175	402.9702
436000	37.4443	403.8919
437000	-37.3577	404.8292
438000	-41.6958	405.7664
439000	-80.2354	406.6725
440000	-83.1004	407.6254
441000	-51.1427	408.5783
442000	-96.4755	409.5624
443000	-80.5487	410.4216
444000	40.2746	411.3589
445000	-4.9098	412.3118
446000	34.044	413.2417
447000	-27.747	414.1946
448000	39.3636	415.1631
449000	41.1501	416.116
450000	-57.9803	417.1001
451000	33.5621	417.9749
452000	40.14	418.9122
453000	-56.1755	419.8339
454000	44.3042	420.7555
455000	38.6552	421.7553
456000	-0.2928	422.7238
457000	-31.1315	423.6299
458000	36.1787	424.5047
459000	37.9723	425.3795
460000	-4.4301	426.2699
461000	-6.8746	427.2072
462000	40.0886	428.1601
463000	36.9277	429.0661
464000	39.1155	430.019
465000	42.4066	430.9407
466000	39.2359	431.8467
467000	23.6007	432.7371
468000	37.4353	433.7056
469000	37.4861	434.6117
470000	-35.794	435.5177
471000	37.0612	436.4394
472000	38.9166	437.361
473000	41.5267	438.2983
474000	42.1737	439.1887
475000	38.4377	440.2197
476000	43.979	441.0945
477000	36.6887	441.9693
478000	-3.9631	442.8129
479000	36.5427	443.7658
480000	34.0663	444.705
481000	15.7509	445.5798
482000	29.681	446.5639
483000	32.1566	447.4699
484000	29.9435	448.376
485000	34.6066	449.2508
486000	41.0626	450.1724
487000	25.1237	451.0941
488000	-34.603	452.0158
489000	42.9761	452.9218
490000	-79.7628	453.8747
491000	37.2522	454.7508
492000	47.1927	455.6195
493000	-9.7084	456.5041
494000	34.3049	457.3429
495000	-4.1697	458.2156
496000	-4.384	459.1142
497000	45.156	459.9878
498000	-43.7483	460.8874
499000	46.7589	461.7501
500000	43.8644	462.6418
501000	34.7569	463.5004
502000	-23.9012	464.3611
503000	42.2691	465.2638
504000	0.546	466.1643
505000	34.3463	467.043
506000	-3.5287	467.8927
507000	42.4166	468.7524
508000	-16.4479	469.5952
509000	43.8504	470.4549
510000	-17.1245	471.3096
511000	46.9886	472.257
512000	41.9993	473.1267
513000	42.6278	473.9665
514000	42.8812	474.882
515000	-26.9005	475.7687
516000	46.6795	476.6174
517000	45.4967	477.517
518000	46.3837	478.3518
519000	-52.7747	479.2643
520000	-2.5091	480.1699
521000	-34.7737	481.0695
522000	42.5989	481.9711
523000	46.6638	482.8268
524000	52.3442	483.7174
525000	-45.7225	484.6309
526000	53.9583	485.6776
527000	-51.791	486.6305
528000	-45.0356	487.5365
529000	-61.3775	488.4894
530000	39.0525	489.3798
531000	27.9688	490.239
532000	43.7127	491.1763
533000	-86.5504	492.1448
534000	-22.0023	493.0665
535000	29.3948	494.0662
536000	-42.5487	494.9566
537000	28.8765	495.8314
538000	37.4195	496.6906
539000	38.4035	497.581
540000	32.5523	498.4715
541000	-7.7329	499.3462
542000	13.0728	500.2679
543000	37.0344	501.2208
544000	37.3971	502.1112
545000	40.4523	503.0173
546000	28.7551	503.9233
547000	43.882	504.8606
548000	44.6164	505.8135
549000	38.356	506.7122
550000	-65.149	507.712
551000	-12.1937	508.618
552000	-28.5374	509.5397
553000	-5.4594	510.4145
554000	43.5124	511.3205
555000	40.0707	512.2422
556000	39.7691	513.1639
557000	42.2846	514.051
558000	-1.9094	515.1022
559000	47.495	516.0471
560000	38.9079	517.0009
561000	-37.3715	517.8899
562000	35.1187	518.7803
563000	40.143	519.6707
564000	34.9849	520.6236
565000	44.5297	521.5609
566000	35.855	522.4826
567000	31.2301	523.4511
568000	33.3838	524.3884
569000	31.2071	525.2632
570000	44.0392	526.2473
571000	39.385	527.169
572000	38.9538	528.1844
573000	33.1148	529.1529
574000	41.167	530.0589
575000	41.6017	530.9806
576000	34.1748	531.8866
577000	36.6796	532.7458
578000	44.4108	533.6362
579000	41.0265	534.5579
580000	36.1251	535.5264
581000	30.8134	536.4481
582000	33.8843	537.3412
583000	27.911	538.2628
584000	37.9706	539.0908
585000	41.3607	540.0749
586000	43.9412	540.9966
587000	-3.3995	541.887
588000	-8.2005	542.793
589000	41.7903	543.7147
590000	-7.5043	544.6676
591000	44.6762	545.6361
592000	42.6957	546.5734
593000	-27.1141	547.5419
594000	-5.9394	548.4479
595000	38.793	549.4009
596000	39.0914	550.3225
597000	42.7221	551.2286
598000	38.0874	552.1502
599000	32.5801	553.0562
600000	48.6442	553.9467
601000	40.5948	554.8527
602000	45.3539	555.7587
603000	37.8852	556.6335
604000	40.729	557.5083
605000	6.9735	558.3988
606000	49.8665	559.3048
607000	49.5748	560.2421
608000	42.1958	561.1481
609000	-23.7324	562.1323
610000	46.9041	563.0695
611000	45.6832	563.9912
612000	45.9826	564.9597
613000	3.0036	565.9126
614000	45.2343	566.8343
615000	44.3048	567.7716
616000	41.7855	568.7058
617000	48.6823	569.6743
618000	46.236	570.6428
619000	-43.7955	571.5489
620000	43.1757	572.5174
621000	46.2106	573.4391
622000	45.0187	574.5153
623000	46.3026	575.4585
