time_step	reward_avg	time
1000	-104.6962	1.0623
2000	-57.3953	1.937
3000	-96.2266	2.9212
4000	-91.3042	3.8429
5000	-112.5075	4.7958
6000	-111.154	5.7643
7000	-69.4256	6.7172
8000	-82.5738	7.6857
9000	-21.406	8.6074
10000	-82.6856	9.6228
11000	-59.6531	10.5132
12000	-19.4914	11.4817
13000	-23.6703	12.4034
14000	-48.2098	13.3875
15000	-51.1162	14.3248
16000	-64.7874	15.2621
17000	-17.0816	16.2306
18000	-17.4142	17.1679
19000	-17.7708	18.1208
20000	-48.5512	19.0112
21000	-20.3401	19.9797
22000	-18.5685	20.9795
23000	-17.5656	21.9168
24000	-63.0593	22.854
25000	-43.0428	23.7288
26000	-44.0784	24.7286
27000	-19.2215	25.6815
28000	-45.7509	26.6188
29000	-61.7844	27.5717
30000	-17.0815	28.5069
31000	-63.3951	29.4598
32000	-19.261	30.3659
33000	-18.6254	31.4125
34000	-19.954	32.3186
35000	-19.2158	33.2871
36000	-23.7171	34.3777
37000	-16.514	35.3409
38000	-21.8988	36.2928
39000	-47.9067	37.2285
40000	-48.2326	38.1501
41000	-15.6339	39.0561
42000	-18.511	39.9622
43000	-23.5494	40.8526
44000	-18.2592	41.7743
45000	-63.6293	42.7584
46000	-22.1084	43.7113
47000	-19.7153	44.6017
48000	-32.337	45.539
49000	-63.8031	46.4919
50000	-18.2298	47.4917
51000	-20.2465	48.3821
52000	-44.8437	49.2881
53000	-60.4557	50.2567
54000	-79.9073	51.2252
55000	-75.6234	52.1625
56000	-47.2066	53.0373
57000	-45.2529	54.0058
58000	-16.731	54.9587
59000	-44.347	55.9428
60000	-18.3111	56.8957
61000	-23.6638	57.8799
62000	-19.3485	58.7703
63000	-21.9624	59.6724
64000	-19.6647	60.5628
65000	-16.5147	61.4533
66000	-14.8221	62.4062
67000	-23.0763	63.2966
68000	-23.401	64.2182
69000	-20.3178	65.2024
70000	-19.2165	66.1553
71000	-15.8751	67.0769
72000	-15.1371	67.9517
73000	-19.8181	68.8734
74000	-14.1828	69.8263
75000	-21.7775	70.8105
76000	-16.1329	71.7321
77000	-22.3306	72.685
78000	-16.9444	73.591
79000	-14.9075	74.5283
80000	-14.9136	75.5281
81000	-43.5713	76.4498
82000	-9.4873	77.3714
83000	-16.7612	78.2931
84000	-16.0942	79.2304
85000	-17.1711	80.0895
86000	-19.3964	81.0581
87000	-17.8135	81.9797
88000	-30.0527	82.8701
89000	-19.8566	83.7762
90000	-84.9518	84.6666
91000	-25.9432	85.6351
92000	-25.4725	86.6193
93000	-15.0877	87.6034
94000	-67.6335	88.5251
95000	-50.8735	89.4467
96000	-24.2712	90.4021
97000	-14.3715	91.3081
