time_step	reward_avg	time
1000	-64.2966	0.811
2000	-63.2194	2.3076
3000	-74.5373	3.1334
4000	-25.103	4.5347
5000	-67.1608	5.3495
6000	-21.0128	6.7625
7000	-78.9626	7.5776
8000	-51.3742	8.9874
9000	-24.6144	9.7912
10000	-21.1896	11.1931
11000	-61.5904	12.0348
12000	-19.661	13.4628
13000	-51.4454	14.2777
14000	-21.1892	15.6817
15000	-65.7168	16.5029
16000	-24.1332	17.8954
17000	-22.5672	18.7264
18000	-22.8095	20.1328
19000	-52.8885	20.9444
20000	-20.0879	22.351
21000	-19.9758	23.1609
22000	-19.5965	24.5673
23000	-32.4259	25.3749
24000	-36.6531	26.7696
25000	-27.3393	27.5781
26000	-19.5674	28.976
27000	-22.668	29.7814
28000	-48.9804	31.1898
29000	-23.6794	32.0281
30000	-23.1024	33.4346
31000	-16.5865	34.2467
32000	-22.7241	35.6421
33000	-16.5788	36.4528
34000	-50.6403	37.8487
35000	-17.3838	38.6588
36000	-64.5743	40.0392
37000	-20.6596	40.8521
38000	-50.7988	42.2667
39000	-20.6799	43.087
40000	-22.363	44.4902
41000	-19.2922	45.3037
42000	-23.8867	46.7066
43000	-22.312	47.5274
44000	-19.1694	48.9229
45000	-22.4672	49.7413
46000	-22.2883	51.1444
47000	-24.1892	51.9777
48000	-49.9459	53.3913
49000	-17.6267	54.2017
50000	-21.0538	55.6068
51000	-20.7007	56.4154
52000	-17.9745	57.8228
53000	-49.2664	58.6364
54000	-18.9548	60.0497
55000	-17.9762	60.8661
56000	-14.1753	62.2971
57000	-17.0366	63.1243
58000	-19.5769	64.5356
59000	-22.3756	65.3422
60000	-21.5001	66.7514
61000	-17.1113	67.5644
62000	-17.8939	68.9585
63000	-20.4001	69.7636
64000	-16.6753	71.1679
65000	-14.8362	71.9641
66000	-14.3553	73.3631
67000	-11.6011	74.1617
68000	-17.8382	75.5612
69000	-18.9147	76.3567
70000	-15.5489	77.7504
71000	-11.5249	78.5747
72000	-12.8948	79.974
73000	-16.6275	80.7823
74000	-11.1576	82.1814
75000	-15.1691	82.9807
76000	-10.7159	84.4028
77000	-42.9146	85.2143
78000	-5.3589	86.6062
79000	-11.8545	87.407
80000	-10.3547	88.8027
81000	-8.9884	89.6085
82000	-7.5705	90.999
83000	-9.1288	91.8007
84000	-9.7972	93.2328
85000	-9.7205	94.0326
86000	-6.9873	95.3995
87000	-7.235	96.1968
88000	-10.4882	97.5812
89000	-4.2843	98.3878
90000	-1.6646	99.7842
91000	-6.7686	100.5846
92000	1.0905	101.9652
93000	-2.267	102.7619
94000	0.527	104.1505
95000	-5.0219	104.9523
96000	-1.8176	106.3325
97000	-2.9567	107.1297
98000	-6.3635	108.5042
99000	-4.7931	109.2982
100000	-6.9338	110.6866
101000	-0.5174	111.4827
102000	-4.7038	112.8691
103000	-2.9847	113.6634
104000	-3.8889	115.0468
105000	2.3207	115.8605
106000	2.1092	117.2433
107000	3.0336	118.0434
108000	2.5381	119.4372
109000	2.8762	120.2283
110000	2.9528	121.6172
111000	-5.0993	122.4467
112000	2.8955	123.8472
113000	6.9301	124.6388
114000	4.5676	126.0109
115000	5.9306	126.8029
116000	-3.524	128.1771
117000	8.3336	128.98
118000	8.5365	130.361
119000	-1.2234	131.1616
120000	4.6697	132.5336
121000	3.5093	133.3282
122000	-0.2748	134.7148
123000	0.9111	135.512
124000	3.7452	136.9095
125000	7.3389	137.7065
126000	-46.1343	139.1004
127000	10.3144	139.9004
128000	2.9096	141.3005
129000	2.7195	142.098
130000	5.1561	143.4952
131000	4.9006	144.2919
132000	2.8692	145.6771
133000	4.5665	146.4693
134000	-0.3451	147.8554
135000	3.0276	148.6686
136000	4.7601	150.0475
137000	4.4891	150.8448
138000	8.4274	152.2502
139000	-4.6955	153.0619
140000	0.1702	154.458
141000	5.7921	155.2485
142000	7.1954	156.6317
143000	7.1675	157.4332
144000	-6.338	158.8226
145000	-0.1828	159.6135
146000	6.0019	160.9883
147000	7.6221	161.7799
148000	3.6616	163.1613
149000	5.0269	163.956
150000	6.2327	165.3377
151000	12.4901	166.1333
152000	11.5114	167.5181
153000	9.2656	168.3099
154000	6.5728	169.6992
155000	8.7051	170.4953
156000	12.8099	171.8728
