time_step	reward_avg	time
1000	-90.13	0.8797
2000	-53.2527	1.7574
3000	-51.0385	2.6699
4000	-79.9521	3.5406
5000	-23.3032	4.4917
6000	-65.4588	5.4603
7000	-21.9688	6.4444
8000	-20.1595	7.3817
9000	-20.3368	8.2722
10000	-47.6611	9.2876
11000	-60.4969	10.2249
12000	-20.0287	11.1934
13000	-84.8941	12.1463
14000	-14.356	13.0993
15000	-18.4169	14.0366
16000	-64.8041	15.0051
17000	-18.9442	15.9268
18000	-20.7392	16.8953
19000	-15.2135	17.817
20000	-14.1418	18.7782
21000	-72.091	19.7624
22000	-17.2533	20.6528
23000	-20.9634	21.5745
24000	-18.877	22.4962
25000	-19.3446	23.4647
26000	-47.0074	24.4489
27000	-55.6282	25.6049
28000	-47.6947	26.589
29000	-15.5059	27.6045
30000	-51.2734	28.6667
31000	-60.0814	29.6197
32000	-14.6664	30.5726
33000	-18.2288	31.5567
34000	-15.8363	32.4941
35000	-77.9185	33.5398
36000	-16.5866	34.5774
37000	-14.7824	35.4941
38000	-52.1806	36.4816
39000	-57.9661	37.4283
40000	-91.5385	38.35
41000	-21.3982	39.3342
42000	-62.9968	40.209
43000	-88.3301	41.1932
44000	-65.6234	42.1773
45000	-21.3722	43.0834
46000	-47.2668	44.0519
47000	-16.9834	44.958
48000	-17.752	45.8641
49000	-52.8295	46.8014
50000	-64.0729	47.7699
51000	-23.9623	48.7072
52000	-44.7688	49.6352
53000	-47.9928	50.5881
54000	-19.7585	51.541
55000	-61.4413	52.4783
56000	-61.3856	53.4156
57000	-80.935	54.3685
58000	-48.3745	55.2746
59000	-24.8439	56.2275
60000	-26.4212	57.1805
61000	-29.0614	58.0709
62000	-26.9158	58.9613
63000	-23.0162	59.9299
64000	-51.3339	60.8828
65000	-24.7021	61.8045
66000	-52.2821	62.773
67000	-20.7267	63.6947
68000	-28.0524	64.632
69000	-27.6517	65.5537
70000	-24.9015	66.4597
71000	-25.703	67.3971
72000	-29.0648	68.3187
73000	-25.4122	69.3498
74000	-27.3802	70.2871
75000	-25.3577	71.1775
76000	-21.5395	72.1461
77000	-31.5705	73.0834
78000	-22.2447	74.0519
79000	-20.0209	74.9736
80000	-25.2605	75.989
81000	-23.8842	76.9888
82000	-25.1264	77.8949
83000	-18.3893	78.879
84000	-63.7942	79.7851
85000	-23.6656	80.7083
86000	-21.0288	81.7394
87000	-17.2873	82.6923
88000	-62.1552	83.7077
89000	-17.7536	84.7075
90000	-19.8774	85.6604
91000	-18.5152	86.5977
92000	-18.192	87.5975
93000	-18.7932	88.5504
94000	-18.0939	89.5034
95000	-45.8355	90.4875
96000	-19.3838	91.4717
97000	-23.6499	92.3778
98000	-19.0909	93.337
99000	-22.5377	94.3625
100000	-19.6557	95.2891
101000	-17.8054	96.2222
102000	-18.917	97.1737
103000	-18.472	98.0485
104000	-21.0867	98.9702
105000	-21.0805	100.0012
106000	-22.9332	100.9542
107000	-19.5184	101.8915
108000	-17.5374	102.86
109000	-19.1399	103.8754
110000	-46.1915	104.7659
111000	-22.0002	105.6407
112000	-18.6068	106.5936
113000	-18.7046	107.5153
114000	-18.0624	108.4526
115000	-16.2763	109.4055
116000	-20.2248	110.374
117000	-18.8055	111.4019
118000	-17.6412	112.3861
119000	-16.4548	113.2922
120000	-20.4803	114.2451
121000	-14.2123	115.1668
122000	-18.1392	116.1197
123000	-19.5396	117.0883
124000	-22.6632	118.1505
125000	-18.35	119.1191
126000	-9.2472	120.0408
127000	-22.1764	120.9937
128000	-42.8385	121.9778
129000	-16.4242	123.0089
130000	-15.9932	124.0399
131000	-67.7509	125.0397
132000	-18.1483	125.9614
133000	-17.9515	126.9143
134000	-19.7685	127.9453
135000	-15.3592	128.9451
136000	-15.6777	129.9293
137000	-22.9917	130.8354
138000	-19.1349	131.8039
139000	-45.0163	132.8037
140000	-12.3054	133.7722
141000	-16.5352	134.7408
142000	-19.6043	135.6781
143000	-76.8475	136.631
144000	-112.6308	137.5214
145000	-52.2648	138.4744
146000	-14.2851	139.4117
147000	-19.3204	140.349
148000	-64.1797	141.2082
149000	-48.7762	142.1455
150000	-27.6887	143.0585
151000	-24.0477	143.9958
152000	-23.58	144.9487
153000	-77.8247	145.886
154000	-77.3281	146.7921
155000	-13.6751	147.7138
156000	-21.377	148.6823
157000	-75.3472	149.6196
158000	-15.5667	150.4944
159000	-15.69	151.463
160000	-41.8743	152.3378
161000	-62.686	153.2992
162000	-61.8269	154.1918
163000	-45.7435	155.0356
164000	-14.9279	155.9581
165000	-47.5686	156.8358
166000	-59.1379	157.6866
167000	-13.9208	158.5852
168000	-15.3722	159.4968
169000	-10.588	160.3525
170000	-19.4714	161.2461
171000	-11.5119	162.1428
172000	-42.7535	163.0613
173000	-13.4894	163.9809
174000	-15.041	164.8705
175000	-14.6398	165.7871
176000	-12.2544	166.6807
177000	-10.7738	167.5803
178000	-79.1735	168.454
179000	-61.9277	169.3606
180000	-11.5789	170.3011
181000	-11.9198	171.2486
182000	-60.7672	172.2047
183000	-15.5278	173.1264
184000	-10.6414	174.0302
185000	-14.7165	175.0144
