time_step	reward_avg	time
1000	-89.9854	0.8183
2000	-68.2958	2.2816
3000	-100.1747	3.1179
4000	-55.4064	4.5184
5000	-18.7325	5.325
6000	-23.5584	6.7293
7000	-85.969	7.5434
8000	-100.1352	8.9478
9000	-81.6622	9.7524
10000	-22.8061	11.1645
11000	-100.5483	11.9917
12000	-21.3361	13.387
13000	-25.5217	14.1908
14000	-19.3162	15.5844
15000	-69.7255	16.3978
16000	-91.1161	17.8018
17000	-51.6736	18.6376
18000	-27.4053	20.0517
19000	-25.853	20.8625
20000	-88.3237	22.2749
21000	-65.8769	23.0887
22000	-23.6682	24.4866
23000	-87.2774	25.3079
24000	-75.6841	26.7158
25000	-81.5168	27.5312
26000	-54.0273	28.9293
27000	-29.6659	29.7442
28000	-95.4811	31.1718
29000	-65.3642	32.0189
30000	-46.003	33.4059
31000	-58.3963	34.2151
32000	-60.9087	35.6282
33000	-27.236	36.4367
34000	-23.41	37.8339
35000	-55.2962	38.6412
36000	-47.2523	40.0427
37000	-79.0397	40.8661
38000	-95.6649	42.2699
39000	-55.7618	43.0841
40000	-86.8516	44.4831
41000	-70.4012	45.2879
42000	-30.8295	46.6933
43000	-75.3914	47.4956
44000	-64.4041	48.9029
45000	-24.9214	49.7265
46000	-78.0473	51.1368
47000	-26.7826	51.945
48000	-90.2973	53.34
49000	-57.6707	54.1503
50000	-30.6705	55.5479
51000	-30.8159	56.3514
52000	-75.704	57.7522
53000	-56.8502	58.5649
54000	-72.4775	59.9601
55000	-69.9013	60.766
56000	-23.5103	62.2009
57000	-67.7912	63.0079
58000	-29.1701	64.4039
59000	-53.246	65.2146
60000	-71.4853	66.6119
61000	-91.3025	67.4169
62000	-22.5123	68.8092
63000	-26.6955	69.6153
64000	-23.5471	71.0353
65000	-24.7043	71.8443
66000	-26.8692	73.2499
67000	-25.5049	74.0707
68000	-25.2702	75.4838
69000	-26.3248	76.2899
70000	-27.0773	77.6968
71000	-56.996	78.5014
72000	-28.3513	79.9099
73000	-27.1467	80.7149
74000	-66.9514	82.1361
75000	-28.8136	82.945
76000	-23.8044	84.3397
77000	-66.1737	85.1419
78000	-25.548	86.5438
79000	-55.8873	87.3544
80000	-57.0996	88.7556
81000	-53.1222	89.5741
82000	-29.0518	90.9889
83000	-28.8609	91.843
84000	-24.559	93.2437
85000	-22.52	94.0653
86000	-26.974	95.4855
87000	-25.9707	96.3109
88000	-91.9714	97.7189
89000	-53.3216	98.5304
