time_step	reward_avg	time
1000	21.1915	0.3551
2000	26.3947	0.7381
3000	35.6667	1.114
4000	35.5172	1.51
5000	37.1481	1.866
6000	40.7083	2.245
7000	54.6667	2.5991
8000	42.1667	2.9391
9000	51.2105	3.2992
10000	75.3077	3.6542
11000	61.7059	3.9933
12000	78.0769	4.3494
13000	56.1111	4.7194
14000	96.7	5.0665
15000	165.3333	5.4125
16000	146.5714	5.7556
17000	106.25	6.1207
18000	143.25	6.5246
19000	152.1667	6.9435
20000	180.0	7.3005
21000	175.0	7.6436
22000	215.2	7.9837
23000	169.4	8.3208
24000	196.4	8.6589
25000	356.6667	8.981
26000	169.3333	9.3121
27000	188.6	9.6752
28000	295.5	9.9993
29000	324.0	10.3304
30000	248.6667	10.6885
31000	283.5	11.0575
32000	292.3333	11.3986
33000	316.75	11.7636
34000	311.3333	12.1087
35000	184.2	12.5001
36000	463.5	12.875
37000	378.3333	13.203
38000	500.0	13.5311
39000	182.4	13.8591
40000	288.75	14.1872
41000	278.3333	14.4997
42000	264.0	14.8433
43000	357.0	15.1714
44000	491.5	15.4838
45000	335.5	15.8274
46000	446.3333	16.1711
47000	367.0	16.5148
48000	451.0	16.8584
49000	475.5	17.1865
50000	328.3333	17.5302
51000	258.0	17.8426
52000	378.5	18.1863
53000	370.3333	18.5299
54000	393.5	18.8736
55000	399.6667	19.2017
56000	283.75	19.5297
57000	246.5	19.8734
58000	313.3333	20.1858
59000	277.6667	20.5139
60000	317.25	20.8263
61000	342.5	21.1387
62000	500.0	21.498
63000	500.0	21.8573
64000	500.0	22.1853
65000	500.0	22.529
66000	500.0	22.8727
67000	500.0	23.2007
68000	500.0	23.5444
69000	428.0	23.8725
70000	462.5	24.2161
71000	483.0	24.5754
72000	500.0	24.9347
73000	500.0	25.2784
74000	315.0	25.5908
75000	397.0	25.9189
76000	500.0	26.2781
77000	500.0	26.6218
78000	500.0	26.9811
79000	500.0	27.3248
80000	500.0	27.6684
81000	500.0	27.9965
82000	460.0	28.3245
83000	491.5	28.6839
84000	500.0	29.0275
85000	500.0	29.3712
86000	500.0	29.7305
87000	500.0	30.0585
