time_step	reward_avg	time
1000	23.7143	0.3437
2000	27.027	0.703
3000	34.2857	1.0779
4000	31.5152	1.4528
5000	36.2963	1.8277
6000	46.9524	2.1714
7000	50.9	2.5307
8000	57.5882	2.89
9000	74.1538	3.2447
10000	67.0714	3.5728
11000	112.8889	3.9164
12000	80.9231	4.2601
13000	109.5556	4.5881
14000	104.4	4.9474
15000	112.0	5.2755
16000	81.7273	5.6191
17000	126.0	5.9784
18000	130.875	6.3377
19000	133.75	6.6814
20000	142.2857	7.0095
21000	145.3333	7.3219
22000	144.7143	7.6655
23000	216.6	8.0092
24000	184.0	8.3529
25000	179.1667	8.6966
26000	222.5	9.0715
27000	304.6667	9.4151
28000	195.3333	9.7744
29000	162.5	10.1181
30000	176.8333	10.4774
31000	330.3333	10.8211
32000	274.0	11.1647
33000	210.5	11.5084
34000	249.4	11.8521
35000	201.4	12.2114
36000	245.75	12.555
37000	245.0	12.8987
38000	247.25	13.2424
39000	332.0	13.6017
40000	455.5	13.9297
41000	311.0	14.2421
42000	248.75	14.5858
43000	344.0	14.9451
44000	303.6667	15.3044
45000	395.0	15.6481
46000	346.0	15.9917
47000	395.5	16.351
48000	471.6667	16.6947
49000	441.5	17.054
50000	500.0	17.382
51000	244.0	17.7413
52000	235.0	18.0694
53000	200.0	18.3974
54000	268.25	18.7411
55000	271.0	19.0692
56000	281.0	19.3972
57000	281.75	19.7096
58000	425.0	20.0689
59000	500.0	20.4126
60000	329.3333	20.7719
61000	369.3333	21.1155
62000	317.0	21.4592
63000	352.0	21.7873
64000	500.0	22.1309
65000	467.0	22.459
66000	500.0	22.7714
67000	473.5	23.1151
68000	282.75	23.4431
69000	426.5	23.8024
70000	500.0	24.1305
71000	462.5	24.4429
72000	359.0	24.7709
73000	409.5	25.1146
74000	396.0	25.4739
75000	500.0	25.8176
76000	438.0	26.1457
77000	436.3333	26.4737
78000	476.5	26.8173
79000	485.5	27.1454
80000	482.0	27.4578
81000	500.0	27.8015
82000	500.0	28.1295
83000	500.0	28.4888
84000	500.0	28.8325
85000	500.0	29.1762
86000	496.0	29.5198
87000	500.0	29.8479
