time_step	reward_avg	time
1000	24.875	0.328
2000	27.8056	0.6873
3000	31.2812	1.0622
4000	41.5833	1.4059
5000	43.8095	1.7652
6000	57.5556	2.1245
7000	104.0	2.4525
8000	81.8333	2.8274
9000	146.0	3.1711
10000	120.5	3.5304
11000	179.6	3.8741
12000	108.9	4.2071
13000	81.3333	4.5508
14000	148.4286	4.8945
15000	248.75	5.2225
16000	156.5	5.5818
17000	133.7143	5.9351
18000	192.1667	6.2852
19000	157.3333	6.6262
20000	167.3333	6.9783
21000	185.6	7.3224
22000	245.5	7.6794
23000	184.3333	8.0545
24000	199.6	8.3876
25000	170.1667	8.7007
26000	242.6667	9.0218
27000	312.5	9.358
28000	454.5	9.698
29000	273.25	10.0222
30000	309.6667	10.3434
31000	165.0	10.6804
32000	320.25	11.0065
33000	331.6667	11.3337
34000	336.0	11.6488
35000	335.6667	11.9819
36000	466.5	12.3061
37000	256.6667	12.6452
38000	399.0	13.0002
39000	387.0	13.3104
40000	352.75	13.6565
41000	269.0	14.0095
42000	246.25	14.3706
43000	197.6	14.7196
44000	186.0	15.0508
45000	303.3333	15.3649
46000	306.0	15.701
47000	413.6667	16.0321
48000	357.0	16.3602
49000	359.3333	16.7123
50000	303.75	17.0484
51000	397.0	17.3875
52000	380.6667	17.7156
53000	359.5	18.0467
54000	454.0	18.3679
55000	442.0	18.692
56000	500.0	19.0341
57000	417.0	19.3782
58000	408.6667	19.7213
59000	313.5	20.0494
60000	500.0	20.3845
61000	481.0	20.7276
62000	369.5	21.0677
63000	364.0	21.4187
64000	318.3333	21.7319
65000	358.6667	22.0481
66000	312.3333	22.3742
67000	329.0	22.7163
68000	288.5	23.0554
69000	241.75	23.4074
70000	326.3333	23.7525
71000	306.0	24.0707
72000	333.0	24.4228
73000	365.3333	24.7618
74000	363.0	25.1059
75000	237.0	25.4321
76000	293.6667	25.7641
77000	252.0	26.0893
78000	216.8	26.4164
79000	336.5	26.7306
80000	420.0	27.0657
81000	483.0	27.3978
82000	462.5	27.7119
83000	415.0	28.0281
84000	500.0	28.3622
85000	500.0	28.7043
86000	470.3333	29.0294
87000	446.5	29.3376
88000	385.0	29.6777
89000	444.6667	29.9978
