time_step	reward_avg	time
1000	20.5532	0.3561
2000	25.65	0.7111
3000	31.375	1.0642
4000	31.8065	1.4262
5000	40.6	1.7812
6000	45.0	2.1313
7000	45.6957	2.4674
8000	50.0	2.8394
9000	44.8636	3.1715
10000	50.2632	3.5086
11000	63.25	3.8617
12000	72.1429	4.1968
13000	104.0	4.5796
14000	75.1538	4.9389
15000	128.125	5.2669
16000	118.2857	5.6262
17000	165.7143	5.9543
18000	126.4286	6.2979
19000	130.4286	6.626
20000	197.0	6.9853
21000	204.8	7.3133
22000	220.5	7.6726
23000	178.6667	8.0163
24000	164.6667	8.36
25000	296.0	8.7036
26000	235.75	9.0473
27000	333.0	9.3753
28000	197.4	9.7057
29000	207.0	10.0493
30000	303.0	10.3618
31000	382.0	10.6898
32000	245.8	11.0179
33000	224.6667	11.3772
34000	264.6	11.7364
35000	305.0	12.0645
36000	417.6667	12.4082
37000	399.0	12.7362
38000	500.0	13.0643
39000	345.0	13.408
40000	349.6667	13.7672
41000	410.0	14.0953
42000	287.6667	14.4389
43000	267.6667	14.767
44000	412.0	15.095
45000	290.6667	15.4231
46000	500.0	15.7355
47000	328.0	16.0636
48000	231.6	16.3916
49000	171.1667	16.7353
50000	149.2857	17.0946
51000	218.0	17.4383
52000	232.8	17.7819
53000	331.0	18.11
54000	343.0	18.4536
55000	376.6667	18.7973
56000	334.3333	19.1098
57000	290.5	19.4378
58000	500.0	19.7815
59000	280.5	20.0939
60000	416.6667	20.422
61000	500.0	20.7656
62000	450.5	21.1093
63000	385.0	21.4686
64000	403.0	21.8122
65000	500.0	22.1247
66000	498.5	22.4527
67000	500.0	22.7651
68000	386.6667	23.1088
69000	500.0	23.4369
70000	500.0	23.7805
71000	489.0	24.1086
72000	388.5	24.4367
73000	345.0	24.7959
74000	361.3333	25.1396
75000	500.0	25.4676
76000	403.3333	25.7957
77000	319.3333	26.1394
78000	379.3333	26.4831
79000	500.0	26.8111
80000	500.0	27.1548
81000	500.0	27.4828
82000	500.0	27.8265
83000	331.3333	28.1545
84000	363.0	28.5138
85000	430.6667	28.8575
86000	368.5	29.2011
87000	331.3333	29.5448
88000	403.3333	29.8572
