time_step	reward_avg	time
1000	18.3519	0.3593
2000	27.027	0.7186
3000	27.1081	1.0622
4000	32.0333	1.3903
5000	33.5862	1.7652
6000	50.6667	2.1401
7000	41.7083	2.4838
8000	49.45	2.8118
9000	49.2105	3.1399
10000	66.5	3.4835
11000	58.625	3.8428
12000	64.0625	4.1865
13000	92.2727	4.5146
14000	78.75	4.8582
15000	113.75	5.1863
16000	124.6667	5.5299
17000	163.0	5.8859
18000	146.4286	6.3287
19000	211.4	6.6687
20000	149.3333	7.0095
21000	177.3333	7.3689
22000	166.0	7.715
23000	182.0	8.0461
24000	227.0	8.3898
25000	199.0	8.7583
26000	244.25	9.0776
27000	284.25	9.4057
28000	346.6667	9.7337
29000	225.5	10.0874
30000	299.3333	10.3998
31000	257.75	10.7279
32000	298.6667	11.0871
33000	249.6	11.4308
34000	292.6667	11.7589
35000	382.5	12.1025
36000	354.0	12.4462
37000	270.0	12.7899
38000	301.75	13.1336
39000	299.3333	13.4616
40000	351.5	13.7896
41000	429.0	14.1333
42000	379.0	14.477
43000	432.6667	14.8363
44000	492.5	15.1956
45000	408.0	15.508
46000	374.3333	15.836
47000	326.0	16.1641
48000	307.6667	16.4921
49000	275.0	16.8358
50000	418.5	17.1795
51000	226.6	17.5232
52000	435.5	17.8512
53000	430.6667	18.1949
54000	350.0	18.5073
55000	429.0	18.8197
56000	403.0	19.1478
57000	406.0	19.4915
58000	500.0	19.8351
59000	220.25	20.1632
60000	177.6667	20.4912
61000	235.0	20.8193
62000	316.3333	21.163
63000	382.0	21.5066
64000	500.0	21.8347
65000	500.0	22.1783
66000	306.0	22.522
67000	285.75	22.8813
68000	404.0	23.2093
69000	480.0	23.5374
70000	474.0	23.8967
71000	379.6667	24.256
72000	450.0	24.584
73000	279.0	24.9121
74000	500.0	25.2401
75000	298.0	25.5838
76000	456.5	25.9275
77000	500.0	26.2555
78000	387.0	26.5836
79000	500.0	26.9116
80000	446.0	27.2553
81000	372.5	27.5833
82000	340.0	27.927
83000	404.0	28.255
84000	371.3333	28.5987
85000	203.2	28.9424
86000	481.0	29.3017
87000	500.0	29.6298
88000	408.5	30.0046
