time_step	reward_avg	time
1000	19.68	0.341
2000	23.6905	0.6795
3000	29.0882	1.0133
4000	36.3571	1.3432
5000	35.7143	1.6727
6000	44.9545	2.0015
7000	47.9048	2.33
8000	52.6842	2.6542
9000	66.0	2.9764
10000	71.2857	3.3007
11000	93.4545	3.6208
12000	90.7273	3.9401
13000	88.9091	4.2596
14000	186.8	4.5667
15000	160.1667	4.889
16000	185.3333	5.2036
17000	140.1429	5.5163
18000	199.6	5.8288
19000	186.0	6.1444
20000	255.75	6.4585
21000	198.8	6.7661
22000	240.5	7.0732
23000	158.6667	7.3898
24000	266.25	7.7038
25000	369.3333	8.0147
26000	232.25	8.3293
27000	316.6667	8.6338
28000	223.2	8.9481
29000	222.25	9.2619
30000	338.0	9.5704
31000	365.0	9.8803
32000	199.8	10.1966
33000	289.6667	10.526
34000	207.0	10.8404
35000	215.75	11.1465
36000	234.0	11.4614
37000	257.25	11.7704
38000	500.0	12.0831
39000	235.25	12.3954
40000	218.5	12.7091
41000	275.6667	13.0222
42000	395.3333	13.3338
43000	313.6667	13.6447
44000	287.25	13.9587
45000	257.0	14.2716
46000	225.3333	14.5876
47000	235.25	14.9036
48000	316.0	15.2109
49000	292.25	15.5252
50000	453.5	15.8384
51000	334.75	16.1483
52000	383.5	16.4582
53000	441.5	16.7731
54000	436.0	17.0807
55000	459.0	17.3879
56000	314.3333	17.694
57000	256.25	18.0073
58000	327.6667	18.3188
59000	347.0	18.6315
60000	320.25	18.9409
61000	296.25	19.256
62000	290.5	19.5622
63000	478.0	19.8705
64000	440.0	20.1821
65000	390.0	20.4988
66000	433.0	20.8247
67000	328.3333	21.1373
68000	327.0	21.4538
69000	450.0	21.7653
70000	305.75	22.0794
71000	241.25	22.3938
72000	254.25	22.7085
73000	305.0	23.0234
74000	387.6667	23.3373
75000	287.0	23.6531
76000	281.75	23.9658
77000	216.0	24.2835
78000	241.6667	24.5931
79000	333.5	24.9087
80000	500.0	25.2218
81000	354.6667	25.5364
82000	233.3333	25.8439
83000	314.5	26.1575
84000	300.3333	26.4664
85000	363.6667	26.7748
86000	336.6667	27.0874
87000	303.0	27.4005
88000	262.75	27.7114
89000	363.3333	28.0246
90000	500.0	28.3382
91000	500.0	28.6449
92000	397.5	28.9541
93000	369.6667	29.2721
94000	500.0	29.5776
95000	431.0	29.8894
