time_step	reward_avg	time
1000	24.95	0.3281
2000	29.0294	0.8436
3000	34.2414	1.2185
4000	38.5769	1.5778
5000	43.4783	1.9214
6000	56.9375	2.2807
7000	47.4348	2.64
8000	59.625	2.9837
9000	78.7692	3.2961
10000	56.2778	3.6398
11000	76.4615	3.9678
12000	90.4545	4.3427
13000	90.6364	4.6864
14000	88.0909	5.0301
15000	103.4	5.3738
16000	170.8333	5.7218
17000	159.5	6.1597
18000	183.6	6.5388
19000	167.25	6.8776
20000	230.8333	7.2369
21000	173.2	7.5517
22000	236.4	7.8954
23000	205.0	8.2234
24000	223.25	8.5617
25000	257.25	8.893
26000	252.0	9.2054
27000	339.6667	9.5491
28000	417.5	9.8615
29000	286.25	10.2208
30000	269.0	10.5801
31000	344.0	10.9082
32000	290.75	11.2674
33000	238.0	11.6111
34000	194.6	11.9698
35000	275.5	12.2978
36000	249.25	12.6103
37000	224.75	12.9383
38000	355.5	13.282
39000	315.5	13.6569
40000	371.3333	13.9693
41000	459.5	14.313
42000	260.6667	14.6567
43000	296.5	14.9847
44000	243.25	15.344
45000	306.6667	15.6721
46000	278.25	16.0157
47000	264.25	16.375
48000	237.0	16.7187
49000	257.3333	17.0624
50000	386.6667	17.406
51000	279.75	17.7497
52000	299.0	18.1246
53000	500.0	18.4683
54000	446.6667	18.7963
55000	294.3333	19.1088
56000	500.0	19.4368
57000	412.5	19.7805
58000	475.0	20.1242
59000	408.5	20.4678
60000	417.5	20.8115
61000	488.5	21.1552
62000	437.0	21.4988
63000	500.0	21.8113
64000	500.0	22.1393
65000	469.0	22.483
66000	432.0	22.8267
67000	416.0	23.1703
68000	460.3333	23.514
69000	500.0	23.842
70000	500.0	24.1545
71000	500.0	24.4825
72000	500.0	24.8106
73000	360.0	25.1542
74000	478.0	25.4979
75000	500.0	25.8416
76000	500.0	26.1852
77000	467.5	26.5289
78000	447.6667	26.857
79000	412.0	27.2163
80000	398.3333	27.56
81000	301.6667	27.9036
82000	328.0	28.2473
83000	376.6667	28.5753
84000	328.6667	28.9034
85000	331.3333	29.2627
86000	203.75	29.5907
87000	276.3333	29.9344
