time_step	reward_avg	time
1000	20.3061	0.349
2000	23.5476	0.6883
3000	27.2778	1.0247
4000	32.9032	1.3585
5000	31.1875	1.6916
6000	55.8889	2.0165
7000	42.6957	2.3429
8000	58.7647	2.6667
9000	63.8	2.9905
10000	57.8889	3.312
11000	51.25	3.6554
12000	80.75	3.9744
13000	91.0909	4.2941
14000	96.3	4.6137
15000	167.3333	4.9313
16000	131.125	5.2456
17000	189.8	5.5599
18000	165.2	5.8699
19000	190.3333	6.1809
20000	235.25	6.4946
21000	147.6667	6.8084
22000	175.2857	7.126
23000	201.0	7.438
24000	239.25	7.7443
25000	153.8333	8.0597
26000	336.0	8.3724
27000	196.2	8.6845
28000	277.5	8.9992
29000	193.0	9.3152
30000	350.0	9.6271
31000	299.5	9.9403
32000	307.0	10.2503
33000	335.3333	10.563
34000	264.75	10.8751
35000	332.6667	11.1881
36000	321.6667	11.4989
37000	240.8	11.8079
38000	500.0	12.1195
39000	251.0	12.4287
40000	191.4	12.7406
41000	264.75	13.056
42000	175.6	13.3746
43000	223.2	13.6874
44000	287.3333	14.0007
45000	368.3333	14.3063
46000	338.0	14.6192
47000	250.3333	14.931
48000	472.5	15.2434
49000	314.6667	15.5561
50000	429.0	15.8619
51000	415.0	16.1735
52000	500.0	16.4844
53000	500.0	16.7903
54000	331.3333	17.1048
55000	495.5	17.4163
56000	395.6667	17.7286
57000	329.0	18.0374
58000	323.0	18.3438
59000	336.0	18.6578
60000	426.0	18.9825
61000	419.0	19.2943
62000	460.6667	19.6061
63000	500.0	19.9181
64000	482.5	20.224
65000	359.0	20.5333
66000	372.0	20.847
67000	359.6667	21.1602
68000	500.0	21.472
69000	500.0	21.7816
70000	353.6667	22.0952
71000	500.0	22.3998
72000	500.0	22.7108
73000	500.0	23.0226
74000	393.0	23.3274
75000	368.0	23.6392
76000	405.6667	23.9517
77000	500.0	24.2583
78000	500.0	24.5679
79000	500.0	24.8825
80000	148.0	25.1887
81000	500.0	25.4973
82000	500.0	25.805
83000	500.0	26.1158
84000	491.0	26.4261
85000	500.0	26.7414
86000	500.0	27.0686
87000	500.0	27.3745
88000	460.6667	27.6875
89000	500.0	28.002
90000	500.0	28.3099
91000	427.0	28.6193
92000	442.5	28.9354
93000	500.0	29.2404
94000	500.0	29.5513
95000	500.0	29.8627
