time_step	reward_avg	time
1000	18.4815	0.4218
2000	20.2245	0.8279
3000	26.7838	1.1872
4000	31.8065	1.5778
5000	35.069	1.9371
6000	42.087	2.2963
7000	45.1304	2.6244
8000	45.4762	2.9993
9000	43.0417	3.3586
10000	76.0	3.7023
11000	57.3889	4.0459
12000	59.875	4.3896
13000	97.7	4.7333
14000	78.8462	5.1082
15000	78.7692	5.4652
16000	94.5	5.8921
17000	118.7778	6.2474
18000	117.125	6.6077
19000	142.4286	6.9358
20000	151.1667	7.2769
21000	186.1667	7.6014
22000	103.1111	7.9451
23000	182.0	8.2833
24000	125.125	8.6255
25000	241.0	8.9536
26000	148.7143	9.3129
27000	110.0	9.6565
28000	162.1667	10.0002
29000	223.5	10.3439
30000	202.6	10.6875
31000	201.6	11.0156
32000	361.6667	11.3436
33000	243.6667	11.6717
34000	345.0	11.9997
35000	358.0	12.3278
36000	264.25	12.7183
37000	212.4	13.1245
38000	199.3333	13.4469
39000	290.25	13.8218
40000	245.6	14.1967
41000	284.3333	14.5404
42000	322.0	14.8997
43000	279.3333	15.2433
44000	468.3333	15.6026
45000	347.3333	15.9463
46000	324.0	16.2743
47000	449.0	16.6024
48000	477.3333	16.9304
49000	271.0	17.2741
50000	331.0	17.6334
51000	444.0	17.9614
52000	500.0	18.3207
53000	445.0	18.6488
54000	434.0	18.9925
55000	415.5	19.3517
56000	488.5	19.6954
57000	353.0	20.0391
58000	298.5	20.3828
59000	439.5	20.7264
60000	371.0	21.0545
61000	500.0	21.3981
62000	500.0	21.7262
63000	369.6667	22.0699
64000	434.3333	22.4135
65000	480.5	22.7728
66000	466.5	23.1009
67000	414.0	23.4133
68000	278.75	23.7726
69000	275.75	24.1319
70000	263.0	24.4912
71000	255.25	24.8505
72000	234.25	25.1942
73000	161.5	25.5534
74000	275.75	25.8659
75000	417.5	26.2252
76000	440.5	26.5688
77000	486.5	26.9125
78000	459.5	27.2562
79000	401.3333	27.5686
80000	368.3333	27.9279
81000	433.5	28.2872
82000	500.0	28.6152
83000	460.0	28.9433
84000	338.3333	29.3026
85000	321.0	29.6306
86000	462.5	29.9587
