time_step	reward_avg	time
1000	-225.9478	0.4217
2000	-234.3631	0.8904
3000	-153.9881	1.3747
4000	-164.5128	1.8277
5000	-183.6383	2.2807
6000	-126.8729	2.7337
7000	-128.9202	3.2024
8000	-180.5463	3.6554
9000	-180.3913	4.124
10000	-126.5035	4.6239
11000	-128.5872	5.0925
12000	-107.834	5.6081
13000	-138.2468	6.0923
14000	-180.5249	6.561
15000	-131.2774	7.0296
16000	-157.7616	7.4982
17000	-139.9587	7.9825
18000	-112.4322	8.5136
19000	-138.3479	9.0136
20000	-139.3218	9.529
21000	-147.5241	10.0133
22000	-100.039	10.5288
23000	-78.668	11.0443
24000	-91.1866	11.5754
25000	-108.0777	12.0753
26000	-74.505	12.544
27000	-52.8229	13.0438
28000	-57.9964	13.5125
29000	-10.883	14.1373
30000	-57.5808	14.6685
31000	-106.0321	15.2465
32000	-37.0462	15.762
33000	-110.5236	16.3243
34000	-175.2919	17.0742
35000	-119.6168	17.699
36000	-60.1698	18.2927
37000	-57.729	18.7926
38000	-0.2478	19.419
39000	-56.3034	20.2156
40000	-79.9734	20.7155
41000	-41.106	21.2154
42000	-60.9657	21.6997
43000	-34.8837	22.1996
44000	10.6087	22.9025
45000	-24.731	23.418
46000	-7.2577	24.1835
47000	-21.0774	24.7927
48000	-9.8694	25.4332
49000	-18.674	25.9331
50000	52.6088	26.886
51000	-17.1305	27.3859
52000	-19.8706	27.9459
53000	-15.7881	28.7173
54000	-42.7369	29.2866
55000	-22.8286	29.7972
56000	-18.1133	30.275
57000	-29.9002	30.7749
58000	-25.6628	31.2876
59000	-6.0816	31.803
60000	-33.6625	32.3342
61000	-24.2045	32.834
62000	11.5964	33.3496
63000	-12.5235	33.9275
64000	-63.0769	34.7555
65000	13.7916	35.5366
66000	98.8862	36.5051
67000	46.3401	37.3955
68000	89.425	38.3015
69000	-24.9718	38.8483
70000	65.3304	39.6294
71000	6.6827	40.3479
72000	-66.7666	40.9884
73000	39.9365	41.7539
74000	68.1245	42.7068
75000	-42.5448	43.316
76000	-6.8464	43.8472
77000	-10.2054	44.5814
78000	-5.7874	45.3468
79000	12.2645	46.0185
80000	-30.9887	46.7059
81000	-14.0705	47.5026
82000	34.2682	48.3461
83000	-33.9104	49.0959
84000	16.7977	49.9395
85000	63.9742	50.8436
86000	36.738	51.5153
87000	36.6775	52.2339
88000	13.5927	53.0462
89000	-52.6448	53.5618
90000	-33.343	54.0616
91000	-69.6435	54.749
92000	-14.2596	55.4832
93000	-134.4738	56.2642
94000	1.5527	56.9672
95000	-12.435	57.7014
96000	64.2434	58.5762
97000	29.1652	59.2636
98000	90.3607	60.2165
99000	-1.9384	61.0132
100000	-107.9587	61.6849
101000	88.5955	62.6221
102000	94.2411	63.5126
103000	47.841	64.2155
104000	15.9904	64.9341
105000	78.393	65.7152
106000	-2.1399	66.6525
107000	-22.3054	67.4335
108000	-72.9137	68.2302
109000	53.4514	69.1675
110000	-12.8785	69.9174
111000	44.1596	70.7765
112000	100.5619	71.667
113000	13.3978	72.4324
114000	82.5445	73.3384
115000	55.4193	74.1976
116000	51.2716	74.9474
117000	119.6955	75.8222
118000	-24.1832	76.6658
119000	55.0121	77.4
120000	85.5944	78.1811
121000	86.4317	78.8997
122000	20.4493	79.6651
123000	52.0176	80.3368
124000	-3.815	81.2232
125000	79.6352	82.0668
126000	44.3588	82.8166
127000	36.6813	83.504
128000	135.9004	84.3475
129000	26.0573	85.0192
130000	6.3229	85.5503
131000	3.2677	86.0503
132000	53.9917	86.7063
133000	60.3598	87.3156
134000	18.3142	87.8779
135000	46.2592	88.6158
136000	60.6256	89.3
137000	158.8187	90.2455
138000	69.6763	90.9805
139000	34.3919	91.7076
140000	7.5082	92.3998
141000	15.6498	93.1448
142000	11.1975	93.7701
143000	52.6453	94.3795
144000	14.8335	95.2252
145000	53.3481	96.0002
146000	25.0066	96.7611
147000	84.1721	97.6119
148000	109.1085	98.5812
149000	59.3453	99.4699
150000	109.7367	100.3745
151000	59.2296	101.2671
152000	124.433	102.2485
153000	59.578	103.153
154000	62.4811	103.8761
155000	133.6032	104.7927
156000	127.1533	105.6514
157000	103.832	106.547
158000	58.4459	107.3628
159000	13.5028	107.8665
160000	93.4531	108.6873
161000	143.3464	109.5749
162000	51.0063	110.282
163000	-46.1768	111.0599
164000	108.1496	111.797
165000	32.6212	112.4682
166000	41.2271	113.0935
167000	50.2648	113.9642
168000	102.5312	114.9426
169000	65.3888	115.7135
170000	95.5759	116.5742
171000	61.6978	117.3492
172000	49.3864	118.0852
173000	102.8011	118.9778
174000	110.0156	119.8434
175000	42.2503	120.5776
176000	21.6171	121.2805
177000	52.6584	122.2959
178000	139.1373	123.0926
179000	29.9053	123.858
180000	48.1885	124.686
181000	72.8232	125.5139
182000	71.5259	126.4356
183000	53.3362	127.3572
184000	-146.6899	128.0446
185000	103.952	129.0756
186000	88.723	130.0285
187000	68.4384	131.0126
188000	124.9739	131.9187
189000	143.574	132.7622
190000	-28.0403	133.4808
191000	-0.7778	134.2931
192000	66.2186	135.1055
193000	-24.8121	135.8084
194000	121.2684	136.7457
195000	-89.2303	137.558
196000	-122.7703	138.5266
197000	119.6771	139.3857
198000	133.7378	140.2918
199000	-44.7215	141.0572
200000	114.8334	141.9945
201000	122.4675	142.9162
202000	110.031	143.7563
203000	69.5578	144.5842
204000	32.9094	145.3028
205000	-5.1185	146.0214
206000	104.2625	146.9118
207000	122.6995	147.7554
208000	135.0505	148.7924
209000	125.655	149.6467
210000	123.1231	150.5939
211000	119.0806	151.381
212000	40.1382	152.2558
213000	146.245	153.1462
214000	95.5314	153.9116
215000	139.8093	154.7239
216000	30.0993	155.4581
217000	79.9621	156.2861
218000	51.89	156.8953
219000	20.2534	157.5358
220000	93.8925	158.4106
221000	61.3826	159.1605
222000	145.2644	159.9727
223000	110.7447	160.707
224000	164.8741	161.4099
225000	148.2948	162.2691
226000	107.5759	163.0189
227000	33.504	163.7687
228000	122.892	164.5811
229000	120.5092	165.3465
230000	-50.5239	166.0338
231000	116.8582	166.8774
232000	116.3011	167.7366
233000	96.3456	168.5333
234000	139.2554	169.4393
235000	34.9898	170.1267
236000	80.8871	170.7828
237000	107.1556	171.6107
238000	134.256	172.5011
239000	72.6595	173.1103
240000	68.9259	174.0477
241000	62.2225	174.8441
242000	116.7433	175.672
243000	121.073	176.5156
244000	129.6042	177.281
245000	84.8622	178.1246
246000	65.6006	178.7338
247000	118.8201	179.4368
248000	55.6982	180.0616
249000	32.077	180.6396
250000	98.3966	181.3113
251000	60.1748	181.9831
252000	144.0747	182.8422
253000	52.7171	183.5296
254000	81.7158	184.3419
255000	58.5725	185.123
256000	70.9633	185.8415
257000	85.2627	186.5445
258000	86.3217	187.2943
259000	120.7478	188.1066
260000	78.8414	188.9033
261000	14.1674	189.6219
262000	103.669	190.4499
263000	101.8564	191.309
264000	125.8412	192.2776
265000	-2.085	193.1368
266000	12.9518	193.8241
267000	111.3896	194.652
268000	132.0491	195.5737
269000	87.5282	196.3235
270000	80.0559	197.1046
271000	38.4259	198.0419
272000	128.4568	198.8542
273000	129.2703	199.729
274000	101.6554	200.6194
275000	127.6978	201.463
276000	112.8152	202.3378
277000	-68.4461	203.1501
278000	44.6894	203.978
279000	-53.9959	204.9309
280000	79.8895	205.805
281000	31.6321	206.5079
282000	58.9706	207.3827
