time_step	reward_avg	time
1000	-192.8432	0.4374
2000	-119.1245	0.906
3000	-156.5659	1.3903
4000	-137.5499	1.8746
5000	-169.4669	2.3432
6000	-189.578	2.8118
7000	-141.5115	3.3117
8000	-146.4361	3.796
9000	-192.5175	4.2959
10000	-164.2044	4.7489
11000	-122.6525	5.2175
12000	-104.4602	5.6829
13000	-138.4309	6.1672
14000	-140.4303	6.6202
15000	-127.8381	7.1045
16000	-100.1573	7.5575
17000	-129.7252	8.0418
18000	-144.461	8.5416
19000	-131.3609	9.0103
20000	-86.9334	9.4633
21000	-133.3411	9.9319
22000	-93.4339	10.4631
23000	-113.8297	10.9473
24000	-114.4487	11.4316
25000	-82.8154	11.9159
26000	-100.4121	12.4157
27000	-92.9767	12.8844
28000	-92.8115	13.3843
29000	-71.3761	13.8842
30000	-113.2048	14.3684
31000	-86.6552	14.8683
32000	-130.0614	15.337
33000	-85.9055	15.8056
34000	-93.7278	16.2898
35000	-71.6512	16.7741
36000	-58.5957	17.2584
37000	-61.3124	17.7583
38000	-64.5727	18.2581
39000	-46.8063	18.7581
40000	-50.5364	19.2579
41000	-63.4072	19.7578
42000	-85.2586	20.2421
43000	-46.4457	20.742
44000	-64.4931	21.4137
45000	-58.8205	22.1166
46000	-48.9262	22.679
47000	-39.1259	23.3663
48000	-28.2673	23.8819
49000	-12.044	24.5848
50000	-60.7919	25.1628
51000	-1.1829	25.9126
52000	-31.2736	26.4594
53000	-7.5235	27.1967
54000	-23.9427	27.7811
55000	-6.7818	28.6119
56000	-22.5144	29.3651
57000	94.6533	30.1911
58000	52.9347	31.0485
59000	-17.9573	31.8139
60000	20.1956	32.6887
61000	43.6471	33.4855
62000	18.8403	34.329
63000	21.1136	35.0944
64000	-7.1657	35.8755
65000	-74.472	36.6036
66000	45.5382	37.3378
67000	56.3384	38.0095
68000	-4.4617	38.6968
69000	39.7583	39.5404
70000	-0.6731	40.1809
71000	-25.0052	40.837
72000	-25.8701	41.3681
73000	-58.3433	41.9773
74000	-8.6191	42.7428
75000	11.365	43.6176
76000	37.2341	44.3518
77000	-13.3232	45.2109
78000	-12.8335	45.9295
79000	-46.4101	46.7575
80000	112.9039	47.6791
81000	37.7934	48.6164
82000	21.7219	49.1788
83000	27.6388	50.0067
84000	26.8063	50.8347
85000	14.9443	51.7875
86000	-98.2373	52.4124
87000	61.7583	53.3809
88000	17.3779	53.9589
89000	43.6788	54.7088
90000	32.7192	55.5211
91000	69.9418	56.3646
92000	21.5325	57.0519
93000	21.5481	57.9424
94000	39.0116	58.7391
95000	66.0134	59.6763
96000	85.9976	60.7074
97000	61.7002	61.5666
98000	64.9875	62.3945
99000	18.8235	63.2224
100000	75.1326	64.2378
101000	58.3052	65.1907
102000	-40.7213	66.1905
103000	48.9974	66.9559
104000	68.1956	67.8243
105000	98.2146	68.7928
106000	34.6751	69.777
107000	3.6588	70.6049
108000	56.0486	71.386
109000	36.5336	72.2295
110000	53.5067	73.0262
111000	35.731	73.901
112000	37.4112	74.807
113000	47.0722	75.6194
114000	72.2514	76.5254
115000	-82.4617	77.3377
116000	48.5596	78.1657
117000	82.3484	79.1967
118000	76.6699	80.134
119000	48.6616	80.8994
120000	9.9876	81.6024
121000	9.7005	82.3053
122000	48.043	83.0239
123000	10.7287	83.7112
124000	-36.6048	84.4455
125000	52.5821	85.3983
126000	9.5713	86.0857
127000	41.0154	86.8043
128000	59.9428	87.8021
129000	30.2364	88.4915
130000	44.8701	89.4217
131000	-20.6681	90.1229
132000	87.3529	91.0112
133000	96.4118	91.8235
134000	62.5992	92.6358
135000	125.1236	93.6044
136000	52.1357	94.3074
137000	34.7691	95.0884
138000	119.8334	96.0101
139000	-8.6293	96.8536
140000	41.9969	97.6972
141000	1.4426	98.2283
142000	60.8418	98.8966
143000	53.746	99.6933
144000	19.166	100.4119
145000	76.9234	101.2086
146000	10.1693	101.8804
147000	18.4753	102.5989
148000	95.4288	103.4737
149000	71.8426	104.2704
150000	27.4156	104.8953
151000	18.3082	105.4108
152000	16.5824	106.02
153000	0.5428	106.5511
154000	-20.4466	107.1448
155000	21.6975	107.7852
156000	12.1602	108.332
157000	20.7107	108.8475
158000	13.1221	109.3942
159000	112.4943	110.144
160000	78.699	110.8782
161000	83.5716	111.5812
162000	14.794	112.0811
163000	38.1968	112.6903
164000	136.091	113.5026
165000	52.9641	114.2056
166000	42.5697	114.9242
167000	47.8943	115.6428
168000	89.9281	116.3145
169000	82.261	117.0799
170000	99.1882	117.8454
171000	78.6937	118.5483
172000	71.6664	119.2982
173000	118.7847	120.0949
174000	68.25	120.7822
175000	108.4234	121.5945
176000	83.1024	122.5318
177000	33.9666	123.2191
178000	103.0252	124.1252
179000	58.9358	124.9375
180000	110.0853	125.7654
181000	148.4525	126.6558
182000	73.9091	127.64
183000	39.189	128.4836
184000	67.7284	129.3574
185000	130.0776	130.3416
186000	129.5816	131.2319
187000	97.4893	132.0443
188000	129.9878	132.8566
189000	81.3825	133.497
190000	123.8371	134.4499
191000	136.6541	135.1998
192000	35.7317	136.0746
193000	79.5488	136.9494
194000	118.3987	137.7148
195000	101.1619	138.5896
196000	120.0594	139.4644
197000	130.0167	140.2923
198000	88.2404	141.1984
199000	62.9674	142.0107
200000	144.9147	142.9167
201000	79.1826	143.729
202000	142.3628	144.5101
203000	150.2541	145.3693
204000	105.5501	146.2597
205000	90.8443	147.0777
206000	59.6659	147.9494
207000	65.7045	148.836
208000	75.104	149.6159
209000	34.3131	150.2612
210000	117.8566	151.1409
211000	107.4955	152.0085
212000	87.78	152.7875
213000	127.1079	153.6013
214000	98.713	154.3662
215000	64.6807	155.2469
216000	93.5401	156.0308
217000	133.6356	156.9005
218000	81.8321	157.6385
219000	75.7743	158.3814
220000	95.9821	159.1624
221000	62.3995	159.7717
222000	43.8553	160.4771
223000	153.3882	161.2737
224000	106.0813	162.0235
225000	164.5523	162.8359
226000	137.5934	163.6951
227000	23.0423	164.4917
228000	152.5496	165.3978
229000	81.8804	166.1476
230000	179.7458	166.8974
231000	140.3248	167.7566
232000	94.5688	168.5377
233000	159.45	169.4593
234000	135.0467	170.2873
235000	111.0878	171.2089
236000	100.3848	171.8806
237000	106.2734	172.7086
238000	-30.8578	173.3647
239000	103.6	174.0989
240000	158.3252	174.958
241000	162.2068	175.8016
242000	139.4732	176.6764
243000	106.4225	177.4418
244000	125.3754	178.3479
245000	60.0619	179.0665
246000	145.5684	179.8475
247000	114.4504	180.6755
248000	82.0583	181.5659
249000	127.0854	182.347
250000	92.8891	183.0655
251000	86.8291	183.8466
252000	105.0518	184.6433
253000	83.335	185.4712
254000	-16.2376	186.3304
255000	114.0096	187.1271
256000	64.7997	187.9238
257000	29.5092	188.6892
258000	72.7287	189.5328
259000	47.2756	190.1733
260000	121.2341	191.1262
261000	140.9627	191.886
262000	115.2071	192.7764
263000	101.3116	193.6044
264000	127.7857	194.3542
265000	197.2581	195.0884
266000	77.7907	195.7133
267000	107.6122	196.5412
268000	124.4958	197.4004
269000	156.0941	198.2127
270000	144.5614	199.0875
271000	43.8656	199.7279
272000	121.4627	200.5247
273000	136.5179	201.3838
274000	170.8015	202.3055
275000	152.6497	203.1491
276000	109.4481	203.9457
277000	48.6645	204.6956
278000	138.6263	205.5235
279000	112.5799	206.3358
280000	50.8272	207.2716
281000	137.8638	208.281
282000	134.5901	209.0779
283000	52.1292	209.7434
284000	172.0396	210.607
285000	7.5733	211.2944
286000	77.4215	212.1535
287000	55.6271	212.8565
