time_step	reward_avg	time
1000	-249.9931	0.7967
2000	-138.52	1.609
3000	-97.6664	2.4526
4000	-112.1455	3.2649
5000	-118.7364	4.0616
6000	-79.094	4.8583
7000	-85.1356	5.6237
8000	-78.2582	6.436
9000	-68.7186	7.2327
10000	-164.8852	8.0294
11000	-89.3074	8.8574
12000	-75.3212	9.7165
13000	-77.7868	10.5132
14000	-63.3422	11.3412
15000	-67.0237	12.1379
16000	-46.0712	12.9658
17000	-80.6176	13.7938
18000	-66.206	14.6217
19000	-29.6738	15.434
20000	-16.6701	16.6525
21000	-73.6017	17.5273
22000	-66.3212	18.3396
23000	-39.7256	19.1363
24000	-50.8943	19.9174
25000	-71.448	20.7609
26000	-20.0062	21.995
27000	17.2448	23.1979
28000	-40.2518	24.1664
29000	-8.4768	25.4786
30000	95.3831	27.2438
31000	58.1669	28.5177
32000	-47.9005	30.1111
33000	-0.8029	31.2747
34000	25.738	32.7752
35000	-126.6581	33.6862
36000	-22.9217	35.1078
37000	45.8891	37.0448
38000	79.831	38.7007
39000	-48.4176	39.6536
40000	-91.4064	41.0596
41000	-41.2148	42.4655
42000	30.3053	44.2619
43000	-20.3075	45.871
44000	-46.0117	47.5112
45000	-39.4314	48.9328
46000	-64.0072	50.4168
47000	-106.8341	51.8227
48000	-9.6904	53.213
49000	-76.3978	54.5253
50000	-0.4688	55.8218
51000	16.4452	57.2746
52000	31.8278	58.512
53000	-40.0587	60.0742
54000	67.8812	61.9175
55000	82.1293	63.4797
56000	78.744	64.9325
57000	139.2325	66.5727
58000	66.4472	68.0411
59000	66.0651	69.6501
60000	80.922	71.6028
61000	77.1703	73.2118
62000	12.9753	74.8208
63000	-86.1519	76.3674
64000	71.087	78.117
65000	132.0868	80.054
66000	-21.4887	81.6474
67000	56.0596	83.2408
68000	107.5144	85.0685
69000	61.4748	86.412
70000	103.2499	88.1147
71000	40.0765	89.4425
72000	11.3326	90.7036
73000	28.6554	91.8575
74000	9.8884	93.2777
75000	44.3211	94.8465
76000	63.3042	96.3744
77000	-54.4868	97.7129
78000	68.826	99.4453
79000	84.4059	101.2405
80000	2.9619	102.911
81000	73.2566	104.8778
82000	41.3639	106.5433
83000	6.8395	108.1132
84000	122.9516	109.8645
