time_step	reward_avg	time
1000	-261.2849	0.7811
2000	-342.1193	1.6246
3000	-317.7548	2.5775
4000	-249.7755	3.4055
5000	-155.1402	4.2334
6000	-249.9013	5.1044
7000	-227.6618	5.9636
8000	-203.0056	6.8071
9000	-309.5001	7.6819
10000	-342.8458	8.4786
11000	-113.7835	9.3378
12000	-85.2802	10.197
13000	-107.1195	10.9937
14000	-102.0847	11.806
15000	-174.0356	12.5871
16000	-114.7625	13.3525
17000	-58.6213	14.1492
18000	-84.1797	14.9459
19000	-109.6607	15.727
20000	-102.8564	16.5393
21000	-106.1869	17.4922
22000	-17.0259	18.7263
23000	-56.9953	19.523
24000	-132.3845	20.429
25000	-100.9314	21.3507
26000	-69.1564	22.2099
27000	-29.4631	23.0222
28000	-34.8332	23.897
29000	-47.0164	24.8499
30000	-112.063	25.9278
31000	-99.7469	26.8807
32000	-62.9376	28.0679
33000	-20.1955	29.0365
34000	-37.6784	29.8968
35000	-65.0716	30.8012
36000	-107.4323	31.7294
37000	-79.56	32.869
38000	-82.1408	34.0009
39000	21.1847	35.2975
40000	15.6418	36.6902
41000	-13.7359	38.0336
42000	7.8187	39.7676
43000	29.5811	41.2517
44000	-30.7756	42.7513
45000	-16.5695	44.1573
46000	-70.84	45.6725
47000	-58.8895	46.7817
48000	-47.359	48.1251
49000	30.5288	49.8747
50000	-31.1418	51.2025
51000	68.1269	52.8897
52000	-147.7393	54.4206
53000	-63.8995	55.9515
54000	-195.0	57.9041
55000	-11.6102	59.3101
56000	-15.9747	60.7316
57000	-89.1512	61.8251
58000	-49.7011	63.5122
59000	-69.543	64.7932
60000	48.5995	66.5003
61000	5.7485	67.9219
62000	111.566	69.609
63000	-2.3828	71.1712
64000	70.5174	72.9676
65000	62.1527	74.5298
66000	155.818	76.1544
67000	17.3443	77.2948
68000	-12.7776	78.2165
69000	51.1481	79.3568
70000	19.2039	80.4815
71000	58.1221	81.9968
72000	153.6343	83.4809
73000	81.1413	85.1524
74000	141.6766	86.9332
75000	92.1363	88.4329
76000	44.0966	89.7501
77000	-181.7908	91.1579
78000	-96.2791	92.2192
79000	-136.8621	93.592
80000	28.5093	95.0448
81000	39.681	96.4634
82000	40.0758	97.9162
83000	25.7986	99.0878
84000	12.499	100.0407
85000	137.74	101.8215
86000	-27.294	103.4462
87000	139.3799	105.1958
88000	72.9135	107.0079
89000	63.7523	108.4763
90000	-25.8614	109.8353
91000	-52.5826	111.2881
92000	133.8061	112.8815
93000	-70.5776	113.9438
94000	69.8611	115.4903
95000	22.3917	116.8181
96000	44.0573	118.1147
97000	155.8622	119.8956
98000	43.8657	121.0984
99000	101.0913	122.5825
100000	69.3349	123.8322
101000	121.6284	125.4412
102000	90.1763	126.91
103000	21.0353	128.0972
104000	67.5218	129.55
105000	142.834	131.1434
106000	115.9172	132.565
107000	73.5217	134.0178
108000	117.8878	135.6893
109000	107.7022	137.5326
110000	99.5187	139.0635
111000	148.634	140.5944
112000	26.9367	142.016
113000	124.3552	143.2344
114000	121.6258	144.7497
115000	41.0369	146.1244
116000	115.2701	148.0458
117000	131.2661	149.7588
118000	-12.1588	150.9306
119000	109.656	152.3868
120000	-4.9121	153.3033
121000	75.1507	154.6168
122000	53.8611	155.7927
123000	81.5263	157.178
124000	95.5063	158.5839
125000	87.8517	160.1304
126000	161.018	161.8019
127000	93.7625	163.1922
128000	29.484	164.5825
129000	-2.3697	165.801
130000	57.4976	167.41
131000	2.2657	168.7534
132000	58.5379	170.3
133000	117.8057	172.0496
134000	117.5516	173.8617
135000	119.7272	175.7206
136000	82.7681	177.0016
137000	56.9385	178.1888
138000	-0.1715	179.3448
139000	169.5498	180.8913
140000	74.7754	182.3597
141000	110.1346	183.7188
142000	110.0542	185.2809
143000	148.6578	186.8587
144000	-84.5637	188.2646
145000	108.6582	189.7324
146000	-38.5945	191.4351
147000	14.8601	192.9348
148000	59.2557	194.5282
149000	99.3702	196.0747
150000	73.229	197.6212
151000	49.0543	199.4333
152000	106.5416	201.3704
153000	105.8298	202.9013
154000	98.4927	204.4009
155000	113.0	205.9006
156000	73.1804	207.3534
157000	1.6185	209.1186
158000	185.9306	211.0154
159000	70.7237	212.5306
160000	86.3863	214.3761
161000	161.706	215.8757
162000	98.0125	217.2036
163000	151.8975	218.9219
164000	145.4725	220.7183
165000	68.8014	221.9993
166000	143.7261	223.6083
167000	97.2354	224.8561
168000	162.1835	226.4963
169000	35.9499	227.7304
170000	105.5814	229.355
171000	79.4803	230.5579
172000	-63.7909	231.8076
173000	185.4223	233.0261
174000	60.3499	234.307
175000	80.3186	235.5099
176000	124.0622	237.0564
177000	67.5456	238.5873
178000	99.5927	240.1026
179000	59.789	241.4148
180000	158.6729	243.2738
181000	162.5813	244.6016
182000	157.254	246.1169
183000	156.0904	247.804
184000	129.5647	249.4599
185000	143.6923	250.8696
186000	185.4738	252.3774
187000	155.5023	253.877
188000	156.5184	255.5485
189000	141.9847	257.2356
190000	146.2273	258.9071
191000	138.2233	260.4693
192000	138.7792	262.0783
193000	110.9946	263.4061
194000	150.634	265.0464
195000	157.0546	266.3586
196000	158.5438	267.8582
197000	159.6571	269.2017
198000	81.8331	270.5639
199000	125.2576	272.0057
200000	153.6935	273.4653
201000	111.9114	274.9024
202000	142.7158	276.5427
203000	143.0097	277.8393
204000	144.8481	279.4795
205000	142.643	281.0261
206000	78.6628	282.5501
207000	121.6131	284.206
208000	153.0904	285.7056
209000	172.888	287.096
210000	166.7695	288.7831
211000	135.8334	290.4077
212000	141.2161	291.923
213000	126.1427	293.2977
214000	148.9882	294.8286
215000	66.9836	296.5626
216000	163.1042	298.3434
217000	142.6049	299.9212
218000	143.3776	301.6552
219000	160.1729	303.3891
220000	167.8918	304.8576
221000	110.718	306.3104
222000	147.7326	308.0912
223000	145.6719	309.8252
224000	135.8305	311.5123
225000	174.9614	312.8938
226000	162.9067	314.2217
227000	109.1301	315.737
228000	168.3236	317.2991
229000	179.8603	318.7675
230000	159.4483	320.439
231000	154.5424	321.9543
232000	175.1571	323.2353
233000	149.5745	324.8755
234000	159.4949	326.5158
235000	83.6883	327.7499
236000	154.1039	328.9371
237000	162.6954	330.5158
238000	169.8325	331.8349
239000	150.6046	333.4124
240000	148.6641	334.8495
241000	124.8875	336.068
242000	170.5158	337.3177
243000	144.7681	338.5987
244000	150.8172	340.0359
245000	155.7092	341.4262
246000	148.5455	343.0352
247000	139.4073	344.7245
248000	126.3148	346.4898
249000	131.5205	348.3487
250000	159.9025	349.8952
251000	153.169	351.2231
252000	156.5154	352.4259
253000	158.5801	354.2068
254000	163.8937	355.7064
255000	154.4404	357.4248
256000	156.1894	358.9869
257000	147.4561	360.471
258000	94.8233	361.7363
259000	156.4335	363.1735
260000	175.8531	364.6107
261000	175.8956	365.9541
262000	89.8659	367.3757
263000	165.2082	368.8441
264000	158.7006	370.0625
265000	137.2481	371.5466
266000	83.6164	372.89
267000	87.3113	374.4678
268000	138.4903	375.951
269000	88.0382	377.3882
270000	113.6563	379.1065
271000	191.7812	380.4031
272000	77.2148	381.8091
273000	156.0068	383.2306
274000	184.9781	384.8396
275000	166.6241	386.1987
276000	148.0141	387.714
277000	159.7441	389.3699
278000	158.5526	390.6193
279000	157.3411	392.232
280000	149.0796	393.5225
281000	172.0323	394.8879
282000	132.8389	396.1046
283000	132.2073	397.456
284000	159.4982	398.6997
285000	114.4398	400.2155
286000	131.1322	401.5434
287000	165.9572	402.8399
288000	213.1171	404.1678
289000	148.5162	405.5268
290000	152.4862	406.8195
291000	137.6557	408.3816
292000	107.6358	409.8032
293000	99.2454	411.006
294000	125.6255	412.5213
295000	135.0363	414.0835
296000	86.9374	415.3644
297000	170.7914	416.8797
298000	159.0761	418.4106
299000	167.0874	419.8322
300000	154.8296	421.3943
301000	174.7393	422.9096
302000	159.7999	424.5655
303000	177.8366	425.987
304000	166.7051	427.4086
305000	211.6003	429.0176
306000	114.8972	430.4548
307000	156.3493	432.1263
308000	154.6284	433.7196
309000	91.3293	434.7194
310000	195.6549	436.2347
311000	180.3072	437.5742
312000	170.1309	439.1051
313000	102.7023	440.5423
314000	124.2414	441.8077
315000	195.1592	443.2292
316000	158.2582	444.9788
317000	142.2254	446.541
318000	118.5299	448.15
319000	136.6751	449.8401
320000	175.8561	451.7346
321000	129.9877	453.4331
322000	164.4779	455.0577
323000	173.3905	456.6066
324000	163.4538	458.1062
325000	140.1803	459.4965
326000	178.3687	461.0431
327000	114.4415	462.2615
328000	160.6028	463.6987
329000	173.9483	465.2296
330000	155.1111	466.8855
331000	140.3537	468.5265
332000	162.7635	470.2136
333000	159.6418	471.8382
334000	153.4566	473.3379
335000	176.9139	474.572
336000	116.9727	475.7436
337000	98.2646	477.1495
338000	190.0654	478.6023
339000	165.6614	480.0707
340000	168.0242	481.5548
341000	168.0243	482.992
342000	179.7993	484.4135
343000	161.8664	486.0538
344000	121.9723	487.3503
345000	167.1597	488.7875
346000	182.2066	490.0998
347000	168.6407	491.4744
348000	136.6783	492.6148
349000	185.4693	493.9426
350000	135.2696	495.0517
351000	163.1177	496.5826
352000	97.8383	497.9573
353000	151.0391	499.5329
354000	120.3644	500.8138
355000	146.1281	502.6259
356000	116.33	504.2193
357000	132.6514	505.7033
358000	150.5933	507.4529
359000	173.1579	509.14
360000	166.3716	510.8564
361000	171.8274	512.2234
362000	78.4628	513.8351
363000	161.9506	515.4597
364000	152.0419	517.0219
365000	108.2219	518.256
366000	147.5814	519.7869
367000	224.461	521.2397
368000	179.0403	522.833
369000	160.4226	524.3796
