time_step	reward_avg	time
1000	-200.0	0.4062
2000	-200.0	0.7811
3000	-200.0	1.1716
4000	-200.0	1.5778
5000	-200.0	1.9839
6000	-200.0	2.3744
7000	-200.0	2.7337
8000	-200.0	3.1087
9000	-200.0	3.4836
10000	-200.0	3.8741
11000	-200.0	4.2646
12000	-200.0	4.6552
13000	-200.0	5.0457
14000	-200.0	5.4569
15000	-200.0	5.8474
16000	-200.0	6.2067
17000	-200.0	6.5973
18000	-200.0	6.9722
19000	-200.0	7.3627
20000	-200.0	7.7533
21000	-200.0	8.1438
22000	-200.0	8.5343
23000	-200.0	8.9092
24000	-200.0	9.331
25000	-200.0	9.7059
26000	-200.0	10.0808
27000	-200.0	10.4557
28000	-200.0	10.8619
29000	-200.0	11.2524
30000	-200.0	11.6274
31000	-200.0	12.0179
32000	-200.0	12.424
33000	-200.0	12.8302
34000	-200.0	13.2207
35000	-200.0	13.6269
36000	-200.0	14.033
37000	-200.0	14.4079
38000	-200.0	14.7985
39000	-200.0	15.2202
40000	-200.0	15.5951
41000	-200.0	15.9857
42000	-200.0	16.3762
43000	-200.0	16.7511
44000	-200.0	17.126
45000	-200.0	17.5166
46000	-200.0	17.9071
47000	-200.0	18.2508
48000	-200.0	18.6257
49000	-200.0	19.0006
50000	-200.0	19.3755
51000	-200.0	19.7504
52000	-200.0	20.1566
53000	-200.0	20.5315
54000	-200.0	20.922
55000	-200.0	21.2969
56000	-200.0	21.6562
57000	-200.0	22.0624
58000	-200.0	22.4685
59000	-200.0	22.8591
60000	-200.0	23.234
61000	-200.0	23.5933
62000	-200.0	23.9838
63000	-200.0	24.3743
64000	-200.0	24.7336
65000	-200.0	25.1536
66000	-200.0	25.6034
67000	-200.0	26.0524
68000	-200.0	26.4588
69000	-200.0	26.865
70000	-200.0	27.2391
71000	-200.0	27.6296
72000	-200.0	28.0045
73000	-200.0	28.4299
74000	-200.0	28.7946
75000	-200.0	29.1696
76000	-200.0	29.5445
77000	-200.0	29.935
78000	-200.0	30.3255
79000	-200.0	30.7005
80000	-200.0	31.091
81000	-200.0	31.4659
82000	-200.0	31.8721
83000	-200.0	32.2782
84000	-200.0	32.6687
85000	-200.0	33.0749
86000	-200.0	33.4654
87000	-200.0	33.856
88000	-200.0	34.2621
89000	-200.0	34.637
90000	-200.0	35.0432
91000	-200.0	35.4337
92000	-200.0	35.8399
93000	-200.0	36.2304
94000	-200.0	36.6083
95000	-200.0	36.9988
96000	-200.0	37.405
97000	-200.0	37.7955
98000	-200.0	38.2017
99000	-200.0	38.5453
100000	-200.0	38.9358
101000	-200.0	39.3108
102000	-200.0	39.7013
103000	-200.0	40.0762
104000	-200.0	40.4668
105000	-200.0	40.8573
106000	-200.0	41.2322
107000	-200.0	41.6071
108000	-200.0	41.9976
109000	-200.0	42.3882
110000	-200.0	42.7631
111000	-200.0	43.138
112000	-200.0	43.5285
113000	-200.0	43.9034
114000	-200.0	44.2783
115000	-200.0	44.6845
116000	-200.0	45.075
117000	-200.0	45.4656
118000	-200.0	45.8717
119000	-200.0	46.2623
120000	-200.0	46.6372
121000	-200.0	46.9965
122000	-200.0	47.3714
123000	-200.0	47.7619
124000	-200.0	48.1681
125000	-200.0	48.5742
126000	-200.0	48.9491
127000	-200.0	49.3397
128000	-200.0	49.7302
129000	-200.0	50.1207
130000	-200.0	50.5269
131000	-200.0	50.9018
132000	-200.0	51.2923
133000	-200.0	51.6829
134000	-200.0	52.0578
135000	-200.0	52.4483
136000	-200.0	52.8389
137000	-200.0	53.2138
138000	-200.0	53.6043
139000	-200.0	54.0104
140000	-200.0	54.3854
141000	-200.0	54.7447
142000	-200.0	55.1196
143000	-200.0	55.4945
144000	-200.0	55.885
145000	-200.0	56.2912
146000	-200.0	56.6973
147000	-200.0	57.0722
148000	-200.0	57.4471
149000	-200.0	57.8377
150000	-200.0	58.2126
151000	-200.0	58.6187
152000	-200.0	59.0093
153000	-200.0	59.3998
154000	-200.0	59.7903
155000	-200.0	60.1809
156000	-200.0	60.5714
157000	-200.0	60.9619
158000	-200.0	61.3369
159000	-200.0	61.7274
160000	-200.0	62.1492
161000	-200.0	62.5085
162000	-200.0	62.899
163000	-200.0	63.2583
164000	-200.0	63.6801
165000	-200.0	64.055
166000	-200.0	64.4455
167000	-200.0	64.8361
168000	-200.0	65.2422
169000	-200.0	65.6327
170000	-200.0	66.0076
171000	-200.0	66.3826
172000	-200.0	66.7731
173000	-200.0	67.1792
174000	-200.0	67.5574
175000	-200.0	67.9479
176000	-200.0	68.3385
177000	-200.0	68.729
178000	-200.0	69.1195
179000	-200.0	69.5101
180000	-200.0	69.9318
181000	-200.0	70.3224
182000	-200.0	70.7285
183000	-200.0	71.1347
184000	-200.0	71.5252
185000	-200.0	71.9314
186000	-200.0	72.3219
187000	-200.0	72.6968
188000	-200.0	73.0873
189000	-200.0	73.4779
190000	-200.0	73.8684
191000	-200.0	74.2433
192000	-200.0	74.6339
193000	-200.0	75.0244
194000	-200.0	75.4462
195000	-200.0	75.8055
196000	-200.0	76.196
197000	-200.0	76.5865
198000	-200.0	76.9614
199000	-200.0	77.352
200000	-200.0	77.7269
201000	-200.0	78.133
202000	-200.0	78.508
203000	-200.0	78.8985
204000	-200.0	79.3203
205000	-200.0	79.6952
206000	-200.0	80.0701
207000	-200.0	80.4606
208000	-200.0	80.8512
209000	-200.0	81.2261
210000	-200.0	81.6322
211000	-200.0	81.9915
212000	-200.0	82.382
213000	-200.0	82.757
214000	-200.0	83.1475
215000	-200.0	83.5381
216000	-200.0	83.9442
217000	-200.0	84.3347
218000	-200.0	84.7409
219000	-200.0	85.139
220000	-200.0	85.524
221000	-200.0	85.9179
222000	-200.0	86.2939
223000	-200.0	86.6879
224000	-200.0	87.0589
225000	-200.0	87.4379
226000	-200.0	87.8198
227000	-200.0	88.2049
228000	-200.0	88.5958
229000	-200.0	88.9847
230000	-200.0	89.3687
231000	-200.0	89.7567
232000	-200.0	90.1367
233000	-200.0	90.5146
234000	-200.0	90.9016
235000	-200.0	91.3045
236000	-200.0	91.6765
237000	-200.0	92.0585
238000	-200.0	92.4375
239000	-200.0	92.8235
240000	-200.0	93.2214
241000	-200.0	93.5974
242000	-200.0	93.9804
243000	-200.0	94.3783
244000	-200.0	94.7753
245000	-200.0	95.1473
246000	-200.0	95.5273
247000	-200.0	95.9112
248000	-200.0	96.2992
249000	-200.0	96.6722
250000	-200.0	97.0452
251000	-200.0	97.4352
252000	-200.0	97.8131
253000	-200.0	98.2071
254000	-200.0	98.5941
255000	-200.0	98.97
256000	-200.0	99.354
257000	-200.0	99.7141
258000	-200.0	100.108
259000	-200.0	100.492
260000	-200.0	100.871
261000	-200.0	101.258
262000	-200.0	101.6359
263000	-200.0	102.0179
264000	-200.0	102.3949
265000	-200.0	102.7908
266000	-200.0	103.1499
267000	-200.0	103.5209
268000	-200.0	103.8979
269000	-200.0	104.2948
270000	-200.0	104.6688
271000	-200.0	105.0448
272000	-200.0	105.4188
273000	-200.0	105.8088
274000	-200.0	106.2027
275000	-200.0	106.5847
276000	-200.0	106.9587
277000	-200.0	107.3357
278000	-200.0	107.7217
279000	-200.0	108.1156
280000	-200.0	108.5046
281000	-200.0	108.8786
282000	-200.0	109.2685
283000	-200.0	109.6525
284000	-200.0	110.0375
285000	-200.0	110.4175
286000	-200.0	110.7964
287000	-200.0	111.1764
288000	-200.0	111.5514
289000	-200.0	111.9174
290000	-200.0	112.2904
291000	-200.0	112.6635
292000	-200.0	113.0265
293000	-200.0	113.4075
294000	-200.0	113.7805
295000	-200.0	114.1605
296000	-200.0	114.5215
297000	-200.0	114.9055
298000	-200.0	115.2805
299000	-200.0	115.6754
300000	-200.0	116.0484
301000	-200.0	116.4414
302000	-200.0	116.8313
303000	-200.0	117.2223
304000	-200.0	117.5873
305000	-200.0	117.9773
306000	-200.0	118.3537
307000	-200.0	118.7286
308000	-200.0	119.1035
309000	-200.0	119.5096
310000	-200.0	119.9314
311000	-200.0	120.3376
312000	-200.0	120.7125
313000	-200.0	121.0718
314000	-200.0	121.4623
315000	-200.0	121.8528
316000	-200.0	122.2278
317000	-200.0	122.6183
318000	-200.0	123.0244
319000	-200.0	123.3994
320000	-200.0	123.8211
321000	-200.0	124.2117
322000	-200.0	124.6022
323000	-200.0	124.9927
324000	-200.0	125.3833
325000	-200.0	125.7738
326000	-200.0	126.18
327000	-200.0	126.5705
328000	-200.0	126.9298
329000	-200.0	127.3359
330000	-200.0	127.6952
331000	-200.0	128.0858
332000	-200.0	128.4763
333000	-200.0	128.8825
334000	-200.0	129.273
335000	-200.0	129.6687
336000	-200.0	130.0436
337000	-200.0	130.4029
338000	-200.0	130.8246
339000	-200.0	131.2152
340000	-200.0	131.5901
341000	-200.0	131.9806
342000	-200.0	132.3399
343000	-200.0	132.7461
344000	-200.0	133.121
345000	-200.0	133.5115
346000	-200.0	133.8708
347000	-200.0	134.2457
348000	-200.0	134.6363
349000	-200.0	135.0112
350000	-200.0	135.4017
351000	-200.0	135.7766
352000	-200.0	136.1515
353000	-200.0	136.5264
354000	-200.0	136.917
355000	-200.0	137.3075
356000	-200.0	137.6824
357000	-200.0	138.0729
358000	-200.0	138.4635
359000	-200.0	138.8541
360000	-200.0	139.2289
361000	-200.0	139.6195
362000	-200.0	140.01
363000	-200.0	140.4318
364000	-200.0	140.8067
365000	-200.0	141.1973
366000	-200.0	141.5878
367000	-200.0	141.9939
368000	-200.0	142.3844
369000	-200.0	142.7906
370000	-200.0	143.1655
371000	-200.0	143.556
372000	-200.0	143.931
373000	-200.0	144.3059
374000	-200.0	144.6964
375000	-200.0	145.0713
376000	-200.0	145.5125
377000	-200.0	146.0101
378000	-200.0	146.3949
379000	-200.0	146.7669
380000	-200.0	147.1714
381000	-200.0	147.5381
382000	-200.0	147.9286
383000	-200.0	148.3115
384000	-200.0	148.7015
385000	-200.0	149.092
386000	-200.0	149.467
387000	-200.0	149.8731
388000	-200.0	150.2636
389000	-200.0	150.6409
390000	-200.0	151.0315
391000	-200.0	151.4064
392000	-200.0	151.7813
393000	-200.0	152.1562
