time_step	reward_avg	time
1000	-200.0	0.3905
2000	-200.0	0.781
3000	-200.0	1.1716
4000	-200.0	1.5777
5000	-200.0	1.9527
6000	-200.0	2.3119
7000	-200.0	2.6869
8000	-200.0	3.093
9000	-200.0	3.4991
10000	-200.0	3.8897
11000	-200.0	4.2802
12000	-200.0	4.6708
13000	-200.0	5.0354
14000	-200.0	5.4415
15000	-200.0	5.8477
16000	-200.0	6.2226
17000	-200.0	6.5975
18000	-200.0	6.9724
19000	-200.0	7.3786
20000	-200.0	7.7691
21000	-200.0	8.1597
22000	-200.0	8.5502
23000	-200.0	8.9564
24000	-200.0	9.3157
25000	-200.0	9.6749
26000	-200.0	10.0342
27000	-200.0	10.3935
28000	-200.0	10.784
29000	-200.0	11.1746
30000	-200.0	11.5495
31000	-200.0	11.9088
32000	-200.0	12.2993
33000	-200.0	12.6586
34000	-200.0	13.0648
35000	-200.0	13.4709
36000	-200.0	13.8615
37000	-200.0	14.252
38000	-200.0	14.6581
39000	-200.0	15.0487
40000	-200.0	15.4549
41000	-200.0	15.8454
42000	-200.0	16.2203
43000	-200.0	16.6108
44000	-200.0	17.0014
45000	-200.0	17.3763
46000	-200.0	17.7355
47000	-200.0	18.0948
48000	-200.0	18.4854
49000	-200.0	18.8447
50000	-200.0	19.2352
51000	-200.0	19.6257
52000	-200.0	19.985
53000	-200.0	20.4068
54000	-200.0	20.7973
55000	-200.0	21.1879
56000	-200.0	21.594
57000	-200.0	21.969
58000	-200.0	22.3907
59000	-200.0	22.7969
60000	-200.0	23.1718
61000	-200.0	23.5623
62000	-200.0	23.9529
63000	-200.0	24.3434
64000	-200.0	24.7496
65000	-200.0	25.2151
66000	-200.0	25.6796
67000	-200.0	26.0955
68000	-200.0	26.4777
69000	-200.0	26.8804
70000	-200.0	27.2491
71000	-200.0	27.6396
72000	-200.0	28.0313
73000	-200.0	28.3974
74000	-200.0	28.7723
75000	-200.0	29.1316
76000	-200.0	29.5222
77000	-200.0	29.897
78000	-200.0	30.272
79000	-200.0	30.6625
80000	-200.0	31.053
81000	-200.0	31.4592
82000	-200.0	31.8653
83000	-200.0	32.2559
84000	-200.0	32.6464
85000	-200.0	33.0213
86000	-200.0	33.4118
87000	-200.0	33.8024
88000	-200.0	34.1929
89000	-200.0	34.5991
90000	-200.0	34.974
91000	-200.0	35.3645
92000	-200.0	35.755
93000	-200.0	36.1435
94000	-200.0	36.534
95000	-200.0	36.9402
96000	-200.0	37.3307
97000	-200.0	37.7056
98000	-200.0	38.1117
99000	-200.0	38.5023
100000	-200.0	38.8928
101000	-200.0	39.2677
102000	-200.0	39.6583
103000	-200.0	40.0488
104000	-200.0	40.4393
105000	-200.0	40.8142
106000	-200.0	41.2204
107000	-200.0	41.6109
108000	-200.0	42.0015
109000	-200.0	42.3764
110000	-200.0	42.7825
111000	-200.0	43.1887
112000	-200.0	43.5636
113000	-200.0	43.9541
114000	-200.0	44.329
115000	-200.0	44.7196
116000	-200.0	45.1257
117000	-200.0	45.5163
118000	-200.0	45.8756
119000	-200.0	46.2817
120000	-200.0	46.6722
121000	-200.0	47.0941
122000	-200.0	47.5158
123000	-200.0	47.9219
124000	-200.0	48.3125
125000	-200.0	48.6718
126000	-200.0	49.0779
127000	-200.0	49.4685
128000	-200.0	49.859
129000	-200.0	50.2652
130000	-200.0	50.6401
131000	-200.0	51.015
132000	-200.0	51.3899
133000	-200.0	51.7804
134000	-200.0	52.171
135000	-200.0	52.5771
136000	-200.0	52.9989
137000	-200.0	53.3895
138000	-200.0	53.7643
139000	-200.0	54.1705
140000	-200.0	54.561
141000	-200.0	54.9672
142000	-200.0	55.3733
143000	-200.0	55.7795
144000	-200.0	56.1544
145000	-200.0	56.545
146000	-200.0	56.9355
147000	-200.0	57.3104
148000	-200.0	57.7009
149000	-200.0	58.0602
150000	-200.0	58.4351
151000	-200.0	58.8257
152000	-200.0	59.2006
153000	-200.0	59.5755
154000	-200.0	59.966
155000	-200.0	60.3566
156000	-200.0	60.7471
157000	-200.0	61.1376
158000	-200.0	61.5281
159000	-200.0	61.9343
160000	-200.0	62.3405
161000	-200.0	62.7154
162000	-200.0	63.0903
163000	-200.0	63.4496
164000	-200.0	63.8245
165000	-200.0	64.1994
166000	-200.0	64.5899
167000	-200.0	64.9961
168000	-200.0	65.4179
169000	-200.0	65.824
170000	-200.0	66.2302
171000	-200.0	66.6363
172000	-200.0	67.0383
173000	-200.0	67.4445
174000	-200.0	67.8662
175000	-200.0	68.2724
176000	-200.0	68.6473
177000	-200.0	69.0222
178000	-200.0	69.4284
179000	-200.0	69.8189
180000	-200.0	70.2094
181000	-200.0	70.6
182000	-200.0	70.9905
183000	-200.0	71.3654
184000	-200.0	71.7403
185000	-200.0	72.1309
186000	-200.0	72.5058
187000	-200.0	72.8807
188000	-200.0	73.2712
189000	-200.0	73.6774
190000	-200.0	74.0836
191000	-200.0	74.4741
192000	-200.0	74.849
193000	-200.0	75.2395
194000	-200.0	75.6457
195000	-200.0	76.0206
196000	-200.0	76.4111
197000	-200.0	76.8016
198000	-200.0	77.1922
199000	-200.0	77.5671
200000	-200.0	77.942
201000	-200.0	78.3482
202000	-200.0	78.7543
203000	-200.0	79.1449
204000	-200.0	79.551
205000	-200.0	79.9572
206000	-200.0	80.3321
207000	-200.0	80.707
208000	-200.0	81.0819
209000	-200.0	81.4881
210000	-200.0	81.863
211000	-200.0	82.2535
212000	-200.0	82.6597
213000	-200.0	83.0502
214000	-200.0	83.4407
215000	-200.0	83.8156
216000	-200.0	84.2062
217000	-200.0	84.5967
218000	-200.0	85.0221
219000	-200.0	85.3981
220000	-200.0	85.786
221000	-200.0	86.1531
222000	-200.0	86.55
223000	-200.0	86.938
224000	-200.0	87.315
225000	-200.0	87.68
226000	-200.0	88.079
227000	-200.0	88.4469
228000	-200.0	88.81
229000	-200.0	89.18
230000	-200.0	89.559
231000	-200.0	89.9569
232000	-200.0	90.3519
233000	-200.0	90.7169
234000	-200.0	91.1099
235000	-200.0	91.5028
236000	-200.0	91.8877
237000	-200.0	92.2657
238000	-200.0	92.6527
239000	-200.0	93.0257
240000	-200.0	93.3967
241000	-200.0	93.7867
242000	-200.0	94.1637
243000	-200.0	94.5327
244000	-200.0	94.9236
245000	-200.0	95.2997
246000	-200.0	95.7434
247000	-200.0	96.1414
248000	-200.0	96.5204
249000	-200.0	96.9083
250000	-200.0	97.2843
251000	-200.0	97.6613
252000	-200.0	98.0413
253000	-200.0	98.4233
254000	-200.0	98.8112
255000	-200.0	99.1842
256000	-200.0	99.5543
257000	-200.0	99.9382
258000	-200.0	100.3122
259000	-200.0	100.6743
260000	-200.0	101.0702
261000	-200.0	101.4282
262000	-200.0	101.8112
263000	-200.0	102.1842
264000	-200.0	102.5622
265000	-200.0	102.9681
266000	-200.0	103.3521
267000	-200.0	103.7341
268000	-200.0	104.127
269000	-200.0	104.502
270000	-200.0	104.88
271000	-200.0	105.254
272000	-200.0	105.623
273000	-200.0	105.9951
274000	-200.0	106.374
275000	-200.0	106.767
276000	-200.0	107.131
277000	-200.0	107.5319
278000	-200.0	107.9059
279000	-200.0	108.2939
280000	-200.0	108.6739
281000	-200.0	109.0638
282000	-200.0	109.4269
283000	-200.0	109.8078
284000	-200.0	110.1948
285000	-200.0	110.5738
286000	-200.0	110.9618
287000	-200.0	111.3358
288000	-200.0	111.7208
289000	-200.0	112.1107
290000	-200.0	112.5116
291000	-200.0	112.8806
292000	-200.0	113.2736
293000	-200.0	113.6536
294000	-200.0	114.0216
295000	-200.0	114.4066
296000	-200.0	114.7995
297000	-200.0	115.1905
298000	-200.0	115.5704
299000	-200.0	115.9445
300000	-200.0	116.3344
301000	-200.0	116.7463
302000	-200.0	117.1383
303000	-200.0	117.5123
304000	-200.0	117.9132
305000	-200.0	118.2732
306000	-200.0	118.6545
307000	-200.0	119.0451
308000	-200.0	119.42
309000	-200.0	119.7793
310000	-200.0	120.1854
311000	-200.0	120.5604
312000	-200.0	120.9353
313000	-200.0	121.3414
314000	-200.0	121.7163
315000	-200.0	122.0912
316000	-200.0	122.4818
317000	-200.0	122.8723
318000	-200.0	123.2629
319000	-200.0	123.6377
320000	-200.0	124.0127
321000	-200.0	124.4032
322000	-200.0	124.7937
323000	-200.0	125.1843
324000	-200.0	125.5436
325000	-200.0	125.9341
326000	-200.0	126.3246
327000	-200.0	126.7308
328000	-200.0	127.1526
329000	-200.0	127.5431
330000	-200.0	127.918
331000	-200.0	128.3086
332000	-200.0	128.7147
333000	-200.0	129.1052
334000	-200.0	129.4898
335000	-200.0	129.8803
336000	-200.0	130.2865
337000	-200.0	130.6613
338000	-200.0	131.0519
339000	-200.0	131.4737
340000	-200.0	131.8642
341000	-200.0	132.2547
342000	-200.0	132.6296
343000	-200.0	133.0046
344000	-200.0	133.4107
345000	-200.0	133.77
346000	-200.0	134.1605
347000	-200.0	134.5354
348000	-200.0	134.9572
349000	-200.0	135.3634
350000	-200.0	135.7539
351000	-200.0	136.1288
352000	-200.0	136.5194
353000	-200.0	136.9099
354000	-200.0	137.2848
355000	-200.0	137.6753
356000	-200.0	138.0815
357000	-200.0	138.472
358000	-200.0	138.8469
359000	-200.0	139.2218
360000	-200.0	139.5968
361000	-200.0	139.9873
362000	-200.0	140.3778
363000	-200.0	140.7371
364000	-200.0	141.1433
365000	-200.0	141.5182
366000	-200.0	141.9244
367000	-200.0	142.2837
368000	-200.0	142.6742
369000	-200.0	143.0491
370000	-200.0	143.4552
371000	-200.0	143.8301
372000	-200.0	144.2051
373000	-200.0	144.6112
374000	-200.0	145.0266
375000	-200.0	145.4844
376000	-200.0	145.8993
377000	-200.0	146.3026
378000	-200.0	146.6899
379000	-200.0	147.0716
380000	-200.0	147.4778
381000	-200.0	147.8562
382000	-200.0	148.2101
383000	-200.0	148.6163
384000	-200.0	148.9912
385000	-200.0	149.3817
386000	-200.0	149.7567
387000	-200.0	150.1159
388000	-200.0	150.4909
389000	-200.0	150.897
390000	-200.0	151.2719
391000	-200.0	151.6468
392000	-200.0	152.0373
393000	-200.0	152.4435
394000	-200.0	152.8341
395000	-200.0	153.2246
396000	-200.0	153.6308
397000	-200.0	154.0213
398000	-200.0	154.4118
399000	-200.0	154.8179
400000	-200.0	155.2241
401000	-200.0	155.6303
402000	-200.0	156.0208
403000	-200.0	156.427
404000	-200.0	156.8175
405000	-200.0	157.1924
406000	-200.0	157.5829
407000	-200.0	157.9735
408000	-200.0	158.3796
409000	-200.0	158.7858
410000	-200.0	159.1607
411000	-200.0	159.5668
412000	-200.0	159.9886
413000	-200.0	160.4055
414000	-200.0	160.796
415000	-200.0	161.2022
416000	-200.0	161.5615
417000	-200.0	161.9676
418000	-200.0	162.3738
419000	-200.0	162.7487
420000	-200.0	163.1548
421000	-200.0	163.5141
422000	-200.0	163.9047
423000	-200.0	164.264
424000	-200.0	164.6232
425000	-200.0	164.9982
426000	-200.0	165.3731
427000	-200.0	165.7792
428000	-200.0	166.1697
429000	-200.0	166.5759
430000	-200.0	166.9508
431000	-200.0	167.3257
432000	-200.0	167.7163
433000	-200.0	168.0912
434000	-200.0	168.4661
435000	-200.0	168.8566
436000	-200.0	169.2471
437000	-200.0	169.6377
438000	-200.0	170.0282
439000	-200.0	170.4344
440000	-200.0	170.8093
441000	-200.0	171.1842
442000	-200.0	171.5903
443000	-200.0	171.9653
444000	-200.0	172.3558
445000	-200.0	172.7463
446000	-200.0	173.1525
447000	-200.0	173.543
448000	-200.0	173.9492
449000	-200.0	174.3397
450000	-200.0	174.7146
451000	-200.0	175.0739
452000	-200.0	175.4644
453000	-200.0	175.8706
454000	-200.0	176.2768
455000	-200.0	176.6673
456000	-200.0	177.0422
457000	-200.0	177.4484
458000	-200.0	177.8389
459000	-200.0	178.2138
460000	-200.0	178.5887
461000	-200.0	178.9636
462000	-200.0	179.3542
463000	-200.0	179.7447
464000	-200.0	180.1352
465000	-200.0	180.5258
466000	-200.0	180.9319
467000	-200.0	181.3068
468000	-200.0	181.713
469000	-200.0	182.1348
470000	-200.0	182.5253
471000	-200.0	182.9002
472000	-200.0	183.3064
473000	-200.0	183.6969
474000	-200.0	184.0874
475000	-200.0	184.478
476000	-200.0	184.8685
477000	-200.0	185.2434
478000	-200.0	185.6496
479000	-200.0	186.0245
480000	-200.0	186.415
481000	-200.0	186.8055
482000	-200.0	187.1648
483000	-200.0	187.5554
484000	-200.0	187.9928
485000	-200.0	188.3833
486000	-200.0	188.7739
487000	-200.0	189.18
488000	-200.0	189.5549
489000	-200.0	189.9611
490000	-200.0	190.3516
491000	-200.0	190.7265
492000	-200.0	191.1204
493000	-200.0	191.5265
494000	-200.0	191.917
495000	-200.0	192.292
496000	-200.0	192.6669
497000	-200.0	193.0574
498000	-200.0	193.4323
499000	-200.0	193.8072
500000	-200.0	194.1977
501000	-200.0	194.557
502000	-200.0	194.9632
503000	-200.0	195.3693
504000	-200.0	195.7599
505000	-200.0	196.1192
506000	-200.0	196.5253
507000	-200.0	196.9002
508000	-200.0	197.2752
509000	-200.0	197.6501
510000	-200.0	198.025
511000	-200.0	198.4468
512000	-200.0	198.8217
513000	-200.0	199.1966
514000	-200.0	199.5871
515000	-200.0	199.9777
516000	-200.0	200.3682
517000	-200.0	200.7431
518000	-200.0	201.1337
519000	-200.0	201.5398
520000	-200.0	201.9459
521000	-200.0	202.3365
522000	-200.0	202.727
523000	-200.0	203.1175
524000	-200.0	203.5081
525000	-200.0	203.8986
526000	-200.0	204.2892
