time_step	reward_avg	time
4000	-35.8654	1.6513
8000	-35.6496	3.4355
12000	-36.3687	5.0431
16000	-35.4088	6.8475
20000	-35.4874	8.4373
24000	-30.5451	10.2485
28000	-29.8666	11.8552
32000	-30.2892	13.6589
36000	-29.7065	15.2606
40000	-29.8804	17.0906
44000	-24.6529	18.6959
48000	-25.2995	20.5088
52000	-25.5468	22.0971
56000	-24.9269	23.9005
60000	-27.2274	25.4931
64000	-19.702	27.2979
68000	-20.857	28.8954
72000	-20.7058	30.7257
76000	-21.5048	32.3221
80000	-20.4741	34.1285
84000	-16.4872	35.7233
88000	-16.1255	37.5213
92000	-16.4668	39.1107
96000	-16.6735	40.8999
100000	-15.97	42.5023
104000	-11.6439	44.3223
108000	-13.2036	45.9155
112000	-12.941	47.7267
116000	-12.1145	49.317
120000	-12.168	51.1468
124000	-9.3344	52.7466
128000	-8.9897	54.5401
132000	-9.0586	56.1537
136000	-8.9628	57.9336
140000	-9.26	59.5317
144000	-6.5444	61.3382
148000	-6.1972	62.9442
152000	-6.3805	64.7483
156000	-5.9134	66.3746
160000	-6.1655	68.1812
164000	-4.0958	69.8038
168000	-4.2129	71.6187
172000	-3.9109	73.2194
176000	-4.0691	75.0191
180000	-4.1246	76.6089
184000	-2.4459	78.4013
188000	-2.4534	80.0085
192000	-2.3301	81.8378
196000	-2.6772	83.4385
200000	-2.51	85.2379
204000	-1.2118	86.844
208000	-1.132	88.6499
212000	-1.0772	90.2525
216000	-1.0898	92.0613
220000	-1.0265	93.6567
224000	-1.0817	95.4681
228000	-1.0185	97.0675
232000	-1.0403	98.8624
236000	-0.9894	100.4647
240000	-0.9832	102.2744
244000	-1.0101	103.8728
248000	-0.9685	105.6716
252000	-0.9962	107.2629
256000	-0.9759	109.0756
260000	-1.0522	110.6875
264000	-0.9941	112.4964
268000	-0.9736	114.0986
272000	-1.0076	115.8981
276000	-1.0304	117.4866
280000	-0.9925	119.2923
284000	-1.0636	120.909
288000	-0.9834	122.7064
292000	-1.0053	124.3013
296000	-0.9843	126.1198
300000	-0.9836	127.7545
304000	-1.0059	129.5572
308000	-1.0248	131.1521
312000	-1.0259	132.9586
316000	-1.0342	134.5775
320000	-0.979	136.3678
324000	-0.9818	137.9733
328000	-1.009	139.7736
332000	-0.998	141.4018
336000	-0.9739	143.2186
340000	-1.0378	144.8079
344000	-1.0077	146.6344
348000	-0.9621	148.2296
352000	-0.9868	150.0245
356000	-0.9873	151.632
360000	-1.0177	153.4235
364000	-1.02	155.032
368000	-1.0267	156.8441
372000	-1.0023	158.4544
376000	-1.0497	160.2784
380000	-1.0003	161.876
384000	-0.9595	163.7085
388000	-0.9994	165.3218
392000	-1.0255	167.1581
396000	-0.9879	168.7676
400000	-1.0015	170.572
404000	-0.9935	172.1723
408000	-1.0051	174.0054
412000	-1.0221	175.5984
416000	-1.0246	177.4059
420000	-0.9994	179.009
424000	-1.0081	180.8105
428000	-0.9813	182.4137
432000	-0.9834	184.218
436000	-1.0021	185.8426
440000	-0.9972	187.6515
444000	-0.9793	189.2566
448000	-1.0042	191.0477
452000	-1.0077	192.6449
456000	-1.0042	194.4406
460000	-0.9768	196.0392
464000	-1.0041	197.8387
468000	-1.03	199.4638
472000	-1.0132	201.2883
476000	-1.0233	202.8739
480000	-0.9985	204.6769
484000	-0.9968	206.2686
488000	-0.9886	208.0662
492000	-0.9874	209.6712
496000	-0.9955	211.4982
500000	-0.9973	213.1239
504000	-1.033	214.9379
508000	-1.0044	216.5457
512000	-1.0451	218.3655
516000	-1.0037	219.9745
520000	-1.0068	221.7732
524000	-0.9893	223.3662
528000	-1.0027	225.1995
532000	-1.0075	226.805
536000	-0.9758	228.6203
540000	-1.0038	230.2343
544000	-1.049	232.0498
548000	-0.9916	233.6512
552000	-0.9863	235.4459
556000	-0.9896	237.0516
560000	-1.0156	238.8725
564000	-1.0261	240.472
568000	-1.0342	242.2912
572000	-0.9971	243.8939
576000	-1.0145	245.7044
580000	-1.0	247.3004
584000	-0.999	249.1067
588000	-1.0307	250.7385
592000	-0.994	252.5368
596000	-0.9898	254.1284
600000	-1.0214	255.9341
604000	-1.0222	257.5464
608000	-1.026	259.3552
612000	-1.0094	260.9751
616000	-0.9804	262.7936
620000	-0.9916	264.4039
624000	-1.0205	266.2082
628000	-0.9553	267.7992
632000	-0.9818	269.6057
636000	-0.9712	271.2017
640000	-0.9794	273.004
644000	-0.9629	274.5975
648000	-1.0126	276.404
652000	-0.9918	278.0088
656000	-1.0044	279.8109
660000	-1.0068	281.4175
664000	-0.9852	283.2174
668000	-1.0203	284.808
672000	-0.9897	286.613
676000	-0.9771	288.2162
680000	-1.013	290.0405
684000	-0.9839	291.6495
688000	-1.0089	293.4463
692000	-1.0255	295.0525
696000	-0.9892	296.8641
700000	-1.0389	298.4695
704000	-1.0166	300.28
