time_step	reward_avg	time
4000	-36.8665	1.6174
8000	-36.3563	3.4104
12000	-37.5982	4.9989
16000	-37.0205	6.7908
20000	-35.7096	8.4011
24000	-30.8192	10.2119
28000	-31.1004	11.7926
32000	-30.1151	13.5977
36000	-31.7341	15.1952
40000	-30.6017	17.001
44000	-25.1508	18.6095
48000	-25.8088	20.4071
52000	-24.118	22.0239
56000	-24.6858	23.822
60000	-25.0967	25.4113
64000	-20.5898	27.2106
68000	-20.293	28.8041
72000	-21.0894	30.6154
76000	-20.7407	32.2086
80000	-20.3953	34.0353
84000	-16.2338	35.6387
88000	-16.1877	37.4392
92000	-16.4855	39.0362
96000	-16.4087	40.8222
100000	-16.0674	42.4298
104000	-12.343	44.2328
108000	-12.7064	45.8306
112000	-12.4146	47.6648
116000	-12.5867	49.2818
120000	-12.0567	51.0849
124000	-9.147	52.676
128000	-9.0927	54.4596
132000	-8.9665	56.0558
136000	-9.031	57.8454
140000	-9.2382	59.4572
144000	-6.5126	61.2996
148000	-6.3	62.903
152000	-6.2558	64.7083
156000	-6.1829	66.3048
160000	-6.2732	68.1001
164000	-4.3444	69.6893
168000	-4.1395	71.4931
172000	-4.0802	73.1114
176000	-4.091	74.9149
180000	-4.0307	76.5117
184000	-2.3905	78.3169
188000	-2.2451	79.9381
192000	-2.208	81.7455
196000	-2.2656	83.356
200000	-2.2015	85.1877
204000	-1.0739	86.8204
208000	-0.9931	88.6407
212000	-1.0678	90.2395
216000	-1.0418	92.0426
220000	-1.0302	93.6375
224000	-1.0029	95.4341
228000	-1.0252	97.029
232000	-0.9763	98.8421
236000	-0.9771	100.4479
240000	-1.0355	102.2582
244000	-1.0177	103.859
248000	-1.0043	105.6627
252000	-1.0113	107.2629
256000	-1.0168	109.0938
260000	-1.0699	110.6874
264000	-0.9964	112.507
268000	-1.0313	114.1091
272000	-0.9928	115.9
276000	-1.0302	117.5034
280000	-1.0062	119.3142
284000	-0.9949	120.9195
288000	-0.9843	122.7253
292000	-1.0142	124.3261
296000	-1.0422	126.1628
300000	-1.0162	127.755
304000	-1.0123	129.5645
308000	-1.0373	131.155
312000	-1.0384	132.9592
316000	-1.0695	134.5591
320000	-1.0295	136.3729
324000	-1.0208	137.9941
328000	-1.029	139.8163
332000	-0.9696	141.4288
336000	-1.0136	143.2267
340000	-0.9641	144.826
344000	-1.0021	146.6333
348000	-1.0012	148.2265
352000	-1.0327	150.0159
356000	-1.0032	151.6326
360000	-0.9994	153.4295
364000	-0.9784	155.0308
368000	-1.046	156.8381
372000	-1.0315	158.4397
376000	-1.0006	160.2509
380000	-0.9708	161.8444
384000	-1.011	163.679
388000	-0.9898	165.2743
392000	-0.9707	167.0757
396000	-1.044	168.6806
400000	-1.0227	170.4833
404000	-1.0209	172.0982
408000	-0.9801	173.8919
412000	-0.9984	175.4882
416000	-1.0158	177.3015
420000	-1.0284	178.9248
424000	-0.964	180.718
428000	-1.0367	182.3333
432000	-1.0072	184.1414
436000	-0.9979	185.7391
440000	-0.9836	187.5525
444000	-1.041	189.1469
448000	-0.99	190.9638
452000	-1.0414	192.5573
456000	-1.0031	194.3587
460000	-1.0188	195.962
464000	-0.9648	197.7626
468000	-0.9937	199.386
472000	-1.0404	201.1958
476000	-1.0271	202.8056
480000	-0.9709	204.6218
484000	-0.9796	206.2018
488000	-0.9815	207.9992
492000	-0.9671	209.5948
496000	-0.9763	211.388
500000	-0.9924	212.9967
504000	-1.0712	214.8025
508000	-1.0296	216.4172
512000	-1.0073	218.223
516000	-1.005	219.8219
520000	-0.9896	221.6328
524000	-0.9954	223.2324
528000	-1.0404	225.0254
532000	-1.0195	226.6269
536000	-1.026	228.443
540000	-1.0274	230.0469
544000	-1.0384	231.8479
548000	-1.0123	233.4421
552000	-1.0514	235.2462
556000	-0.9804	236.8413
560000	-0.9802	238.6651
564000	-0.998	240.2902
568000	-0.9922	242.1216
572000	-1.0226	243.7264
576000	-1.0129	245.5337
580000	-0.9733	247.13
584000	-0.963	248.9402
588000	-0.9925	250.5325
592000	-0.9685	252.3276
596000	-0.9895	253.9217
600000	-1.006	255.7393
604000	-1.0285	257.3302
608000	-1.0033	259.1389
612000	-0.9981	260.7474
616000	-1.0124	262.5575
620000	-1.0137	264.1482
624000	-1.0238	265.9455
628000	-1.0224	267.5562
632000	-0.9847	269.3616
636000	-0.9756	270.9672
640000	-0.9881	272.7617
644000	-1.0154	274.3554
648000	-1.0235	276.1607
652000	-1.0486	277.7597
656000	-1.0007	279.5513
660000	-1.0513	281.1587
664000	-0.9742	282.9742
668000	-1.0006	284.5913
672000	-1.0101	286.4091
676000	-0.9751	288.0203
680000	-0.9993	289.8425
684000	-1.0248	291.437
688000	-1.004	293.2562
692000	-1.0047	294.8635
696000	-0.9848	296.6731
700000	-1.0043	298.2802
704000	-1.0123	300.0953
