time_step	reward_avg	time
4000	-36.0213	1.5945
8000	-35.9246	3.3858
12000	-35.1313	4.9811
16000	-35.6739	6.7608
20000	-35.8873	8.359
24000	-30.6512	10.1446
28000	-30.5632	11.7504
32000	-30.7725	13.5717
36000	-31.6045	15.1497
40000	-31.4138	16.9547
44000	-25.3834	18.5506
48000	-24.8988	20.3481
52000	-24.2529	21.9526
56000	-24.8997	23.7641
60000	-25.6063	25.3919
64000	-20.4757	27.1976
68000	-20.4164	28.7969
72000	-20.8918	30.5975
76000	-20.3588	32.1919
80000	-20.2827	33.9875
84000	-16.1756	35.5852
88000	-15.8859	37.379
92000	-15.6005	38.9988
96000	-16.4006	40.8001
100000	-15.7938	42.404
104000	-12.7292	44.2044
108000	-12.8133	45.8077
112000	-12.054	47.6122
116000	-12.1368	49.2152
120000	-11.9281	51.0455
124000	-9.1324	52.6447
128000	-9.0472	54.4506
132000	-9.1376	56.0477
136000	-9.2889	57.8469
140000	-8.9716	59.45
144000	-6.3334	61.2682
148000	-6.154	62.8561
152000	-6.3229	64.6807
156000	-6.1725	66.2865
160000	-6.1532	68.0917
164000	-4.0202	69.7079
168000	-4.084	71.5267
172000	-4.0843	73.1391
176000	-4.0266	74.9531
180000	-4.0252	76.5663
184000	-2.3325	78.364
188000	-2.2515	79.9596
192000	-2.2354	81.7551
196000	-2.2678	83.3556
200000	-2.2827	85.161
204000	-1.1368	86.753
208000	-1.0771	88.5442
212000	-1.0501	90.1637
216000	-1.0399	91.9658
220000	-0.9909	93.5606
224000	-1.0253	95.3585
228000	-1.0377	96.947
232000	-1.0122	98.7561
236000	-1.0562	100.3538
240000	-1.0008	102.1691
244000	-1.0316	103.7833
248000	-0.9987	105.5908
252000	-1.0055	107.2144
256000	-1.0082	109.0179
260000	-1.032	110.6139
264000	-1.0059	112.4092
268000	-1.0005	114.0091
272000	-0.9784	115.8265
276000	-1.0011	117.4326
280000	-0.9831	119.2267
284000	-1.0334	120.8315
288000	-1.0241	122.6377
292000	-0.9629	124.2339
296000	-0.991	126.0284
300000	-1.0389	127.6135
304000	-0.9952	129.4329
308000	-0.9959	131.0333
312000	-0.9917	132.8245
316000	-1.0265	134.4307
320000	-1.0398	136.2467
324000	-0.9799	137.8527
328000	-1.0344	139.6604
332000	-1.0222	141.2752
336000	-0.9778	143.0756
340000	-1.0103	144.6732
344000	-1.0161	146.4661
348000	-1.0014	148.0586
352000	-0.9813	149.859
356000	-1.0155	151.4554
360000	-0.9553	153.2642
364000	-0.98	154.8896
368000	-1.0153	156.6944
372000	-1.0265	158.2995
376000	-0.9552	160.1068
380000	-0.9852	161.7166
384000	-0.9465	163.5297
388000	-1.0262	165.1222
392000	-1.0454	166.9299
396000	-1.0295	168.5428
400000	-0.9832	170.3272
404000	-0.997	171.9179
408000	-0.9564	173.708
412000	-1.0117	175.3189
416000	-0.9772	177.1263
420000	-0.9532	178.7194
424000	-0.9577	180.54
428000	-0.9963	182.1363
432000	-0.9672	183.9245
436000	-1.0213	185.5181
440000	-1.0347	187.3253
444000	-1.0113	188.9209
448000	-1.0212	190.7156
452000	-0.9902	192.3137
456000	-0.9966	194.1337
460000	-1.0324	195.7362
464000	-1.0072	197.5591
468000	-1.0349	199.1579
472000	-0.9939	200.9604
476000	-1.0113	202.5641
480000	-1.0069	204.3671
484000	-1.0163	205.9782
488000	-0.9842	207.7701
492000	-1.0039	209.3818
496000	-1.0439	211.1786
500000	-0.9815	212.7782
504000	-0.9781	214.5739
508000	-0.9724	216.1702
512000	-0.9906	217.9608
516000	-0.9811	219.5768
520000	-1.009	221.3642
524000	-0.9994	223.0124
528000	-1.0384	224.8338
532000	-1.0216	226.4614
536000	-1.0245	228.262
540000	-1.0322	229.8555
544000	-0.9619	231.6702
548000	-1.0094	233.2945
552000	-1.0015	235.0876
556000	-0.979	236.6933
560000	-0.9772	238.4985
564000	-1.0271	240.0973
568000	-1.015	241.8895
572000	-0.9931	243.493
576000	-1.0216	245.3248
580000	-1.0198	246.9348
584000	-1.0142	248.7541
588000	-0.9964	250.3561
592000	-1.0189	252.1622
596000	-0.9814	253.78
600000	-1.0475	255.5935
604000	-0.9815	257.2112
608000	-0.9907	259.03
612000	-0.995	260.6206
616000	-0.9707	262.4453
620000	-1.0102	264.0548
624000	-0.9762	265.8707
628000	-0.9711	267.4956
632000	-0.99	269.2954
636000	-1.0491	270.9109
640000	-1.0029	272.7099
644000	-1.0086	274.2949
648000	-1.0333	276.1074
652000	-1.011	277.7067
656000	-1.0171	279.5088
660000	-1.0119	281.0952
664000	-1.0575	282.8908
668000	-1.0478	284.512
672000	-0.9879	286.3135
676000	-1.0044	287.9335
680000	-0.9858	289.7357
684000	-0.9943	291.3331
688000	-0.9719	293.1355
692000	-1.051	294.7419
696000	-0.9989	296.5394
700000	-1.0322	298.157
704000	-0.984	299.9602
