time_step	reward_avg	time
4000	-37.7689	1.6146
8000	-37.1083	3.4339
12000	-37.1285	5.0202
16000	-35.866	6.8257
20000	-35.9752	8.4023
24000	-30.2832	10.2069
28000	-30.5239	11.8089
32000	-31.3769	13.6024
36000	-30.1074	15.2031
40000	-30.6103	17.0458
44000	-25.9259	18.6475
48000	-24.8472	20.4549
52000	-25.0287	22.0512
56000	-25.2238	23.8584
60000	-24.0319	25.455
64000	-20.2366	27.2588
68000	-20.9484	28.8773
72000	-20.093	30.6737
76000	-20.5167	32.2828
80000	-20.7377	34.0712
84000	-16.361	35.6662
88000	-15.7932	37.4745
92000	-15.72	39.0849
96000	-15.7246	40.8942
100000	-16.2589	42.5224
104000	-12.9658	44.3261
108000	-12.1809	45.9493
112000	-12.0251	47.7558
116000	-12.3691	49.3636
120000	-12.811	51.1715
124000	-9.3262	52.7674
128000	-8.7779	54.5684
132000	-9.0788	56.1999
136000	-9.2057	58.0021
140000	-8.7177	59.6072
144000	-6.2624	61.412
148000	-6.3841	63.0059
152000	-6.1753	64.8158
156000	-6.0096	66.414
160000	-6.3255	68.2302
164000	-4.0962	69.8274
168000	-4.0388	71.6365
172000	-4.0175	73.2357
176000	-4.0155	75.0336
180000	-4.1264	76.6403
184000	-2.2768	78.4537
188000	-2.3121	80.0431
192000	-2.2433	81.8654
196000	-2.262	83.4658
200000	-2.2067	85.2609
204000	-1.0892	86.8697
208000	-1.0109	88.6682
212000	-1.0367	90.2737
216000	-1.0359	92.0758
220000	-1.0342	93.6968
224000	-1.021	95.5025
228000	-1.0633	97.1117
232000	-0.9764	98.93
236000	-1.0081	100.5317
240000	-1.0057	102.337
244000	-1.0122	103.9347
248000	-0.9802	105.7527
252000	-1.0302	107.3736
256000	-0.9787	109.1802
260000	-0.9321	110.777
264000	-1.0142	112.5821
268000	-1.0289	114.1917
272000	-0.9817	116.0061
276000	-1.051	117.6151
280000	-1.0096	119.4198
284000	-1.0174	121.0335
288000	-1.0528	122.8445
292000	-0.9785	124.4439
296000	-1.0314	126.2386
300000	-1.0142	127.8358
304000	-0.9919	129.6311
308000	-1.0189	131.2366
312000	-0.9857	133.0654
316000	-0.9975	134.6716
320000	-1.0136	136.481
324000	-1.022	138.0987
328000	-0.9743	139.9026
332000	-1.0065	141.4921
336000	-1.0115	143.2901
340000	-0.9927	144.889
344000	-1.0069	146.7188
348000	-0.9771	148.3178
352000	-0.9613	150.119
356000	-0.9855	151.717
360000	-1.0159	153.5408
364000	-0.9831	155.1416
368000	-1.0538	156.9404
372000	-0.9952	158.5694
376000	-0.9535	160.3857
380000	-0.9851	161.9972
384000	-1.0351	163.8137
388000	-1.0179	165.4122
392000	-1.0158	167.2198
396000	-1.039	168.8229
400000	-1.0126	170.6237
404000	-0.9981	172.2684
408000	-0.9924	174.0845
412000	-0.9543	175.6992
416000	-0.9694	177.5413
420000	-0.972	179.1436
424000	-0.9832	180.9549
428000	-0.9731	182.5515
432000	-1.0169	184.3521
436000	-1.0069	185.9695
440000	-0.9709	187.7584
444000	-0.9761	189.3662
448000	-1.0075	191.1603
452000	-1.0086	192.7711
456000	-0.9944	194.5556
460000	-1.0209	196.1742
464000	-1.0622	197.998
468000	-0.9816	199.6077
472000	-0.9903	201.3988
476000	-1.0292	203.0003
480000	-0.9764	204.8108
484000	-1.0337	206.4005
488000	-1.0304	208.2055
492000	-1.0151	209.7959
496000	-0.9997	211.6245
500000	-1.0071	213.2303
504000	-1.0129	215.0429
508000	-0.9704	216.6605
512000	-1.0458	218.4757
516000	-0.9933	220.0806
520000	-0.9967	221.8998
524000	-1.0126	223.4999
528000	-0.98	225.3002
532000	-0.9837	226.92
536000	-0.9928	228.7122
540000	-0.9979	230.3209
544000	-1.0026	232.1289
548000	-1.0253	233.7362
552000	-1.0151	235.5413
556000	-1.0627	237.1983
560000	-0.9864	239.0298
564000	-0.9869	240.6449
568000	-0.9756	242.466
572000	-1.0292	244.0999
576000	-0.9912	245.9478
580000	-1.0167	247.5675
584000	-1.0124	249.3729
588000	-1.0005	251.0094
592000	-1.0388	252.8214
596000	-0.9968	254.4245
600000	-0.9934	256.2321
604000	-1.0054	257.8384
608000	-0.9685	259.6457
612000	-1.0258	261.251
616000	-1.0367	263.0981
620000	-1.0015	264.7013
624000	-0.9863	266.4984
628000	-0.9925	268.0995
632000	-1.0272	269.9015
636000	-1.041	271.497
640000	-1.0311	273.2951
644000	-1.0135	274.8906
648000	-1.0223	276.7122
652000	-0.9934	278.3171
656000	-1.0189	280.1105
660000	-0.9586	281.7149
664000	-0.988	283.5185
668000	-1.0095	285.1101
672000	-0.9852	286.9458
676000	-0.99	288.5639
680000	-0.983	290.3658
684000	-0.9946	291.9653
688000	-1.0291	293.7623
692000	-0.9635	295.3682
696000	-0.9797	297.1747
700000	-0.9981	298.7786
