time_step	reward_avg	time
4000	-38.7995	1.6158
8000	-39.0185	3.4096
12000	-36.3771	5.0001
16000	-37.7141	6.7958
20000	-37.5018	8.3841
24000	-31.2348	10.1886
28000	-29.4565	11.8043
32000	-29.2779	13.6151
36000	-29.7122	15.2264
40000	-30.2525	17.0297
44000	-25.0489	18.6171
48000	-25.9865	20.4081
52000	-25.177	21.9967
56000	-25.1462	23.7981
60000	-25.6432	25.4
64000	-20.5388	27.2398
68000	-20.0182	28.8574
72000	-20.4402	30.713
76000	-19.6723	32.3527
80000	-19.625	34.2043
84000	-16.0608	35.8214
88000	-16.7076	37.6476
92000	-16.8175	39.2419
96000	-16.3064	41.09
100000	-16.3528	42.7331
104000	-12.4387	44.5821
108000	-12.4624	46.2185
112000	-12.5893	48.0289
116000	-12.3969	49.6412
120000	-12.2166	51.4713
124000	-9.79	53.0732
128000	-9.1498	54.8836
132000	-9.1247	56.495
136000	-9.2387	58.3016
140000	-9.2356	59.9191
144000	-6.2164	61.7315
148000	-6.3284	63.3423
152000	-6.2015	65.1521
156000	-6.3305	66.7544
160000	-6.1022	68.5676
164000	-4.0138	70.171
168000	-4.0804	71.9733
172000	-3.9905	73.5598
176000	-4.0994	75.3546
180000	-4.0391	76.9629
184000	-2.3499	78.8019
188000	-2.2248	80.4083
192000	-2.3129	82.214
196000	-2.3167	83.8148
200000	-2.313	85.6288
204000	-1.1048	87.2277
208000	-1.0163	89.0643
212000	-1.0642	90.6671
216000	-1.0956	92.4672
220000	-1.0586	94.0743
224000	-1.0376	95.8662
228000	-0.9959	97.4732
232000	-1.0448	99.2675
236000	-1.0444	100.8688
240000	-1.0294	102.6934
244000	-1.019	104.3122
248000	-1.0245	106.1122
252000	-1.043	107.7046
256000	-0.9864	109.5037
260000	-1.0056	111.1101
264000	-1.0737	112.9176
268000	-1.0151	114.5218
272000	-0.9708	116.3443
276000	-0.9945	117.946
280000	-0.988	119.7466
284000	-1.0269	121.3434
288000	-0.9541	123.1576
292000	-0.9941	124.7598
296000	-1.0259	126.568
300000	-1.0047	128.1916
304000	-0.9986	130.0356
308000	-1.0108	131.6335
312000	-0.9859	133.4315
316000	-1.0059	135.048
320000	-1.0037	136.8361
324000	-1.0228	138.4299
328000	-1.0356	140.2315
332000	-1.0165	141.851
336000	-1.0026	143.6508
340000	-1.0107	145.2451
344000	-0.9743	147.0515
348000	-0.9821	148.646
352000	-0.9787	150.4458
356000	-0.9751	152.0472
360000	-1.0568	153.8716
364000	-1.0018	155.4815
368000	-1.012	157.2827
372000	-0.9856	158.8832
376000	-0.9706	160.6842
380000	-1.0394	162.299
384000	-0.9468	164.1302
388000	-0.9568	165.7268
392000	-0.9837	167.5754
396000	-0.9998	169.1782
400000	-1.0085	170.9799
404000	-1.0049	172.5695
408000	-1.0262	174.3613
412000	-0.9889	175.9672
416000	-0.9917	177.74
420000	-0.998	179.3376
424000	-0.9914	181.1601
428000	-1.0122	182.758
432000	-1.0168	184.5603
436000	-1.0259	186.1453
440000	-0.9918	187.9421
444000	-0.9814	189.5453
448000	-1.0284	191.3435
452000	-0.9745	192.9614
456000	-0.9746	194.7976
460000	-1.0055	196.4106
464000	-1.0004	198.2319
468000	-1.006	199.8296
472000	-1.0597	201.6353
476000	-1.0308	203.2367
480000	-0.998	205.0482
484000	-1.0056	206.6607
488000	-1.0197	208.4689
492000	-0.9913	210.0726
496000	-0.9852	211.8852
500000	-0.9933	213.4929
504000	-1.0157	215.2968
508000	-1.0354	216.8903
512000	-1.0603	218.7142
516000	-1.0097	220.308
520000	-1.0075	222.1233
524000	-1.0156	223.7224
528000	-1.0158	225.5233
532000	-1.0374	227.1104
536000	-1.0239	228.9127
540000	-1.028	230.4945
544000	-1.0361	232.3044
548000	-0.9999	233.907
552000	-0.9907	235.7146
556000	-1.0237	237.3136
560000	-0.9758	239.1253
564000	-1.0097	240.7214
568000	-0.991	242.5189
572000	-1.0047	244.1146
576000	-1.0435	245.9196
580000	-1.0102	247.5244
584000	-0.996	249.3276
588000	-0.9939	250.9258
592000	-1.0156	252.726
596000	-1.0185	254.336
600000	-1.0116	256.1401
604000	-1.0387	257.7574
608000	-0.9838	259.5531
612000	-0.9832	261.1535
616000	-1.0063	262.956
620000	-1.0222	264.5593
624000	-0.9848	266.3553
628000	-1.0184	267.9483
632000	-1.0241	269.7522
636000	-0.9987	271.3733
640000	-0.9993	273.1825
644000	-1.0311	274.7875
648000	-1.0071	276.5775
652000	-0.9938	278.1792
656000	-0.9946	279.9853
660000	-0.9989	281.5676
664000	-1.0168	283.3885
668000	-1.0173	284.9857
672000	-1.0137	286.7839
676000	-1.0517	288.3854
680000	-0.9879	290.1822
684000	-0.9864	291.7743
688000	-1.032	293.5871
692000	-0.9908	295.1904
696000	-1.0185	297.0276
700000	-0.9768	298.6265
704000	-1.0289	300.4148
