time_step	reward_avg	time
4000	-38.2521	1.6377
8000	-36.4018	3.461
12000	-37.8058	5.0605
16000	-37.6501	6.8604
20000	-37.0515	8.4634
24000	-32.5613	10.2821
28000	-31.486	11.8646
32000	-31.9935	13.6802
36000	-30.3816	15.2787
40000	-31.2817	17.0712
44000	-25.5207	18.6619
48000	-26.1752	20.4509
52000	-26.014	22.0591
56000	-25.9094	23.8735
60000	-25.4809	25.4699
64000	-20.5189	27.2691
68000	-21.0031	28.8774
72000	-19.9883	30.6582
76000	-21.0201	32.2466
80000	-19.5556	34.0419
84000	-16.0398	35.6385
88000	-15.9327	37.4472
92000	-16.1683	39.0729
96000	-16.1748	40.9253
100000	-15.837	42.5245
104000	-12.5163	44.3433
108000	-12.4972	45.9405
112000	-12.6527	47.7324
116000	-12.177	49.3362
120000	-12.2588	51.1263
124000	-9.3847	52.7401
128000	-9.4215	54.5758
132000	-9.2829	56.1725
136000	-8.9412	57.9919
140000	-9.8239	59.5986
144000	-6.816	61.4005
148000	-6.8434	62.9998
152000	-6.7045	64.806
156000	-6.9742	66.4003
160000	-6.8805	68.2191
164000	-4.5015	69.8229
168000	-4.4911	71.6217
172000	-4.2841	73.2312
176000	-4.3851	75.0127
180000	-4.362	76.6143
184000	-2.787	78.4128
188000	-2.5454	80.0282
192000	-2.5596	81.8261
196000	-2.4277	83.8147
200000	-2.4225	85.6186
204000	-1.1707	87.2154
208000	-1.1295	89.0135
212000	-1.0726	90.6102
216000	-1.0415	92.4156
220000	-1.0517	94.0357
224000	-1.065	95.8338
228000	-1.0663	97.4298
232000	-1.0829	99.2493
236000	-1.1026	100.8677
240000	-1.0874	102.6776
244000	-1.0673	104.3012
248000	-1.0597	106.1307
252000	-1.042	107.7195
256000	-1.0088	109.5082
260000	-1.0243	111.1043
264000	-0.9714	112.9049
268000	-0.9941	114.5092
272000	-0.9597	116.3234
276000	-1.0185	117.9172
280000	-1.0169	119.7345
284000	-0.9899	121.324
288000	-0.9788	123.1233
292000	-0.9724	124.7305
296000	-0.9696	126.5215
300000	-0.9926	128.1223
304000	-1.0322	129.9285
308000	-1.0478	131.5376
312000	-1.0182	133.3841
316000	-0.9968	134.9705
320000	-0.9897	136.7791
324000	-0.9845	138.3865
328000	-1.0097	140.1777
332000	-1.0512	141.7559
336000	-0.9896	143.5511
340000	-0.99	145.1716
344000	-0.9905	146.9724
348000	-0.9754	148.5762
352000	-1.0335	150.3683
356000	-0.9798	151.971
360000	-1.0306	153.7818
364000	-0.9788	155.3783
368000	-1.0144	157.1797
372000	-1.0206	158.7891
376000	-0.9978	160.5848
380000	-0.9814	162.1943
384000	-1.0048	164.0139
388000	-1.0118	165.6413
392000	-0.9868	167.4705
396000	-0.9902	169.0748
400000	-0.999	170.9
404000	-1.0311	172.4892
408000	-1.0033	174.3278
412000	-1.013	175.9131
416000	-1.0087	177.7097
420000	-0.9959	179.301
424000	-1.0022	181.0927
428000	-0.9861	182.7068
432000	-0.9934	184.537
436000	-0.9963	186.1467
440000	-0.9819	187.946
444000	-0.9443	189.5547
448000	-0.981	191.3571
452000	-0.9875	192.9531
456000	-1.0204	194.7619
460000	-0.9917	196.3687
464000	-0.9932	198.2086
468000	-0.9805	199.8182
472000	-0.9752	201.6254
476000	-0.982	203.2312
480000	-0.985	205.0397
484000	-0.9893	206.6473
488000	-1.0222	208.4432
492000	-1.0212	210.066
496000	-1.0198	211.8646
500000	-1.0022	213.4642
504000	-1.022	215.2635
508000	-1.0096	216.8558
512000	-1.0065	218.6419
516000	-0.9985	220.2384
520000	-1.0674	222.0234
524000	-0.9915	223.6502
528000	-1.0152	225.4422
532000	-1.0084	227.039
536000	-0.9751	228.8538
540000	-1.0457	230.4476
544000	-0.9893	232.2492
548000	-1.0519	233.8473
552000	-0.9829	235.6579
556000	-1.041	237.2689
560000	-1.0188	239.0746
564000	-1.0245	240.6703
568000	-1.0376	242.473
572000	-0.9731	244.0803
576000	-0.9776	245.8875
580000	-1.0202	247.4846
584000	-0.9945	249.3101
588000	-1.0455	250.9028
592000	-0.9895	252.7082
596000	-1.0354	254.3149
600000	-1.0029	256.1173
604000	-1.0145	257.719
608000	-1.0257	259.5097
612000	-1.0024	261.1166
616000	-1.0284	262.9234
620000	-0.9683	264.526
624000	-0.9931	266.3343
628000	-0.955	267.9256
632000	-0.996	269.7232
636000	-1.0225	271.3127
640000	-1.0152	273.1031
644000	-0.9787	274.7206
648000	-1.0341	276.5115
652000	-0.9765	278.1212
656000	-1.0168	279.9212
660000	-1.0159	281.5145
664000	-1.0055	283.3197
668000	-1.0148	284.9133
672000	-1.0241	286.7109
676000	-0.9842	288.3467
680000	-1.0132	290.1571
684000	-0.976	291.7723
688000	-0.9933	293.5764
692000	-0.9765	295.1823
696000	-1.0263	296.9893
700000	-1.0061	298.5933
704000	-0.9854	300.4267
