time_step	reward_avg	time
4000	-39.9089	1.6117
8000	-39.2351	3.4073
12000	-40.3348	5.0075
16000	-38.992	6.8307
20000	-38.9265	8.4339
24000	-33.5931	10.2307
28000	-31.8916	11.8386
32000	-30.878	13.6357
36000	-31.1708	15.2183
40000	-31.1195	17.0244
44000	-25.6508	18.6081
48000	-25.921	20.4203
52000	-24.6918	22.0171
56000	-25.0691	23.8069
60000	-26.5446	25.3863
64000	-21.3956	27.1917
68000	-20.9606	28.7881
72000	-21.0133	30.5841
76000	-19.8653	32.1938
80000	-20.2891	33.9871
84000	-16.4397	35.5822
88000	-15.9634	37.378
92000	-16.2232	38.9716
96000	-16.0786	40.7721
100000	-16.6509	42.3826
104000	-12.0882	44.1967
108000	-12.1786	45.8154
112000	-12.5715	47.6148
116000	-12.1392	49.2082
120000	-12.9578	51.0052
124000	-8.922	52.6039
128000	-9.1961	54.3893
132000	-8.9476	55.9963
136000	-9.1992	57.7939
140000	-9.1615	59.4115
144000	-6.5524	61.231
148000	-6.3235	62.828
152000	-6.3418	64.626
156000	-6.2665	66.2126
160000	-6.4723	68.0066
164000	-4.2347	69.6055
168000	-4.0846	71.4279
172000	-4.0009	73.0373
176000	-4.1597	74.8438
180000	-4.0655	76.4387
184000	-2.3974	78.2365
188000	-2.2608	79.8303
192000	-2.2029	81.6196
196000	-2.2635	83.2203
200000	-2.2956	85.025
204000	-1.0656	86.6359
208000	-1.0345	88.4258
212000	-1.0096	90.0314
216000	-1.0289	91.8392
220000	-0.986	93.4471
224000	-1.0118	95.2807
228000	-1.0178	96.9131
232000	-1.0002	98.7136
236000	-0.9767	100.3208
240000	-1.0216	102.131
244000	-0.9955	103.729
248000	-0.9825	105.5198
252000	-1.0443	107.1199
256000	-0.988	108.9151
260000	-0.9957	110.55
264000	-0.9852	112.3549
268000	-0.9994	113.9609
272000	-0.9903	115.7537
276000	-1.0187	117.3358
280000	-1.0313	119.1467
284000	-1.0176	120.7334
288000	-1.0224	122.5368
292000	-1.0208	124.1338
296000	-1.0311	125.92
300000	-1.0292	127.5345
304000	-0.988	129.3425
308000	-0.9951	130.9668
312000	-1.0061	132.804
316000	-1.0035	134.413
320000	-0.9842	136.2453
324000	-1.0174	137.8423
328000	-1.024	139.6481
332000	-0.99	141.2462
336000	-1.0263	143.0599
340000	-1.0135	144.6553
344000	-0.9964	146.4543
348000	-0.9654	148.0475
352000	-0.9735	149.8719
356000	-1.0079	151.469
360000	-0.9824	153.268
364000	-1.0147	154.8577
368000	-1.0523	156.6777
372000	-1.0049	158.2749
376000	-0.9973	160.0769
380000	-1.0341	161.6926
384000	-1.0167	163.5008
388000	-1.0002	165.0935
392000	-0.9995	166.8861
396000	-1.0206	168.4774
400000	-1.0582	170.2765
404000	-0.9727	171.8705
408000	-1.0363	173.6769
412000	-0.9681	175.2802
416000	-1.0151	177.0808
420000	-0.9959	178.6726
424000	-1.0104	180.4723
428000	-1.0422	182.0819
432000	-1.0183	183.8935
436000	-0.967	185.5214
440000	-1.0381	187.3416
444000	-1.0309	188.9754
448000	-1.0033	190.7736
452000	-1.032	192.3958
456000	-0.9961	194.1908
460000	-0.9699	195.7908
464000	-1.0047	197.6017
468000	-1.0006	199.1907
472000	-1.0033	201.0139
476000	-1.0455	202.6095
480000	-1.0515	204.3993
484000	-1.0054	205.9968
488000	-1.0129	207.8006
492000	-1.0379	209.4079
496000	-0.9468	211.2092
500000	-1.007	212.8048
504000	-0.9681	214.6353
508000	-1.0046	216.2348
512000	-1.0468	218.0286
516000	-0.9828	219.6185
520000	-1.0424	221.4086
524000	-0.9835	223.0286
528000	-0.9895	224.8349
532000	-0.9956	226.4534
536000	-1.0083	228.248
540000	-0.9489	229.8325
544000	-1.0138	231.6401
548000	-1.0067	233.2341
552000	-0.9987	235.0346
556000	-1.0265	236.631
560000	-1.0263	238.429
564000	-1.0219	240.043
568000	-0.9791	241.8618
572000	-1.0591	243.4632
576000	-1.0194	245.2649
580000	-1.0311	246.8745
584000	-1.0286	248.6828
588000	-0.994	250.3475
592000	-0.9878	252.1822
596000	-1.0267	253.8083
600000	-0.9969	255.6074
604000	-0.9962	257.2052
608000	-0.9887	259.0094
612000	-1.0082	260.6137
616000	-0.964	262.4105
620000	-1.0042	264.0074
624000	-1.0228	265.832
628000	-0.9423	267.4343
632000	-0.9694	269.2354
636000	-1.0238	270.8173
640000	-0.9873	272.6294
644000	-0.9862	274.2154
648000	-1.0182	276.0054
652000	-1.0131	277.6046
656000	-1.0105	279.4138
660000	-1.0119	281.0174
664000	-1.0173	282.8623
668000	-1.0248	284.4615
672000	-0.988	286.257
676000	-0.9625	287.8544
680000	-1.0108	289.6523
684000	-0.9984	291.2702
688000	-1.0304	293.0859
692000	-1.0127	294.6943
696000	-0.9947	296.5049
700000	-1.0264	298.1115
704000	-0.9881	299.9104
