time_step	reward_avg	time
4000	-37.4406	1.6224
8000	-37.0587	3.4278
12000	-36.6896	5.0248
16000	-37.7862	6.8366
20000	-37.8065	8.4365
24000	-30.1882	10.2316
28000	-32.2679	11.8416
32000	-32.213	13.6321
36000	-31.1177	15.2194
40000	-30.8943	17.0091
44000	-24.7834	18.5979
48000	-24.5984	20.4007
52000	-25.2977	22.0139
56000	-25.5573	23.8245
60000	-24.4215	25.4155
64000	-20.5921	27.1991
68000	-19.6345	28.7935
72000	-20.2864	30.5886
76000	-20.4005	32.1806
80000	-19.5558	33.9784
84000	-15.8606	35.5614
88000	-15.782	37.3773
92000	-16.3488	38.9643
96000	-16.1941	40.769
100000	-16.1596	42.3826
104000	-12.3106	44.1772
108000	-12.2712	45.7763
112000	-12.3655	47.5752
116000	-12.3176	49.1926
120000	-12.3415	50.9969
124000	-9.3783	52.6038
128000	-9.3207	54.4184
132000	-9.2134	56.01
136000	-8.9179	57.8083
140000	-8.9983	59.409
144000	-6.3209	61.2108
148000	-6.3957	62.8109
152000	-6.4859	64.6062
156000	-6.4079	66.2075
160000	-6.4518	68.0304
164000	-4.188	69.6488
168000	-4.0078	71.4739
172000	-3.9511	73.0648
176000	-4.0949	74.8692
180000	-4.07	76.4707
184000	-2.3656	78.2631
188000	-2.2592	79.8451
192000	-2.2563	81.637
196000	-2.2231	83.2438
200000	-2.2994	85.0554
204000	-1.0512	86.656
208000	-1.0183	88.4847
212000	-1.0612	90.0671
216000	-1.1023	91.8622
220000	-1.0669	93.4398
224000	-0.98	95.2335
228000	-1.0025	96.8402
232000	-1.0081	98.6337
236000	-1.0229	100.2347
240000	-1.0189	102.1038
244000	-1.0346	103.709
248000	-1.0247	105.5131
252000	-1.0052	107.1236
256000	-0.9949	108.9408
260000	-0.9907	110.5438
264000	-0.9995	112.3491
268000	-0.9749	113.9553
272000	-0.9893	115.7485
276000	-1.0194	117.3582
280000	-1.0003	119.1442
284000	-1.0202	120.7502
288000	-0.9793	122.5489
292000	-0.9767	124.151
296000	-1.0554	125.9556
300000	-0.9909	127.559
304000	-1.0065	129.3646
308000	-1.0267	130.9453
312000	-1.0233	132.7542
316000	-0.9915	134.3395
320000	-0.9651	136.1127
324000	-0.9637	137.7087
328000	-0.9656	139.5024
332000	-0.9554	141.1252
336000	-1.0292	142.9255
340000	-1.0543	144.5122
344000	-1.0191	146.3052
348000	-0.9987	147.9042
352000	-0.9872	149.6959
356000	-1.0265	151.3047
360000	-0.9839	153.122
364000	-0.9836	154.717
368000	-1.0271	156.5216
372000	-0.9749	158.1321
376000	-1.0489	159.939
380000	-0.9979	161.5467
384000	-1.0082	163.3526
388000	-1.0166	164.9462
392000	-0.9866	166.774
396000	-1.0165	168.3756
400000	-1.0267	170.1587
404000	-1.0211	171.7758
408000	-1.0126	173.5839
412000	-0.9869	175.2105
416000	-0.9691	177.0199
420000	-0.9672	178.644
424000	-0.9939	180.4413
428000	-0.9895	182.0323
432000	-1.0234	183.829
436000	-1.0077	185.408
440000	-0.957	187.1911
444000	-0.9874	188.7928
448000	-1.006	190.5842
452000	-0.9775	192.2302
456000	-0.9994	194.0406
460000	-1.0114	195.6351
464000	-1.042	197.4426
468000	-0.9853	199.0355
472000	-1.0159	200.8246
476000	-1.0052	202.4197
480000	-1.0546	204.208
484000	-1.0563	205.8209
488000	-0.9756	207.6188
492000	-0.9903	209.234
496000	-1.0086	211.0445
500000	-0.9774	212.6393
504000	-1.0173	214.4529
508000	-1.0222	216.047
512000	-0.998	217.876
516000	-0.9917	219.4755
520000	-1.0375	221.2686
524000	-1.0253	222.8731
528000	-1.0334	224.6651
532000	-0.9938	226.2698
536000	-1.0459	228.0556
540000	-0.9967	229.6512
544000	-1.0205	231.4752
548000	-1.0241	233.0719
552000	-0.9587	234.8699
556000	-0.9747	236.4609
560000	-0.9866	238.269
564000	-0.9926	239.8821
568000	-0.9734	241.6909
572000	-0.9904	243.3142
576000	-1.0173	245.1094
580000	-0.988	246.7158
584000	-1.0044	248.5236
588000	-1.0127	250.1217
592000	-1.0145	251.9389
596000	-1.021	253.5407
600000	-0.9934	255.3318
604000	-0.9745	256.9424
608000	-1.049	258.7305
612000	-0.9597	260.3357
616000	-0.9659	262.1306
620000	-1.0274	263.7269
624000	-0.9894	265.5305
628000	-0.9698	267.1304
632000	-0.9835	268.9342
636000	-1.0032	270.54
640000	-1.0119	272.347
644000	-0.975	273.9404
648000	-1.0338	275.7523
652000	-0.9883	277.3517
656000	-0.9903	279.132
660000	-1.0105	280.7485
664000	-1.0146	282.5737
668000	-0.9992	284.1682
672000	-0.9968	285.9757
676000	-1.0046	287.565
680000	-1.017	289.3615
684000	-1.0287	290.9554
688000	-1.0187	292.7426
692000	-0.9915	294.3433
696000	-1.0081	296.1457
700000	-1.0122	297.7437
704000	-0.9905	299.5303
