time_step	reward_avg	time
4000	5.7662	2.7386
8000	6.3416	5.7517
12000	9.3042	8.4652
16000	7.5715	11.4847
20000	14.2738	14.1641
24000	13.951	17.1263
28000	22.6713	19.7899
32000	21.6158	22.7422
36000	37.5194	25.4284
40000	30.8747	28.3727
44000	50.493	31.0098
48000	47.1402	33.9424
52000	45.9202	36.5782
56000	62.9426	39.4792
60000	105.9348	42.1306
64000	98.7033	45.0705
68000	96.8602	47.7482
72000	108.6019	50.7726
76000	141.6611	53.5415
80000	156.5415	56.5811
84000	134.7937	59.3505
88000	141.8137	62.3848
92000	155.0812	65.1377
96000	149.1857	68.1581
100000	143.2861	70.9009
104000	181.5883	73.9229
108000	167.2541	76.6609
112000	197.9969	79.6813
116000	174.2657	82.4519
120000	167.3007	85.5171
124000	202.1803	88.1859
128000	203.864	91.1297
132000	199.5029	93.8017
136000	206.5437	96.7588
140000	264.3897	99.4331
144000	213.9189	102.3319
148000	228.2868	104.9508
152000	282.2083	107.8202
156000	273.7259	110.4316
160000	260.5096	113.3118
164000	214.7889	115.9271
168000	294.6822	118.813
172000	243.4347	121.405
176000	297.7218	124.2878
180000	316.5122	126.8986
184000	257.042	129.7927
188000	300.3307	132.4141
192000	314.6934	135.3223
196000	242.0487	137.9408
200000	294.7832	140.8776
204000	267.7671	143.5343
208000	275.5742	146.4779
212000	283.1216	149.1315
216000	278.1804	152.0464
220000	288.1548	154.6761
224000	281.671	157.6053
228000	265.0724	160.2782
232000	324.3333	163.2005
236000	274.372	165.8461
240000	309.4068	168.7685
244000	297.203	171.419
248000	284.3227	174.3325
252000	258.4999	176.9864
256000	305.6569	179.9186
260000	301.7624	182.58
264000	255.7903	185.5005
268000	302.4164	188.1574
272000	289.5145	191.0998
276000	272.1851	193.7156
280000	321.9607	196.6286
284000	287.6161	199.2735
288000	298.9678	202.2142
292000	279.0364	204.8988
296000	283.864	207.8128
300000	283.575	210.4568
304000	302.1345	213.3799
308000	292.2048	216.0315
312000	282.978	218.9573
316000	274.1659	221.6165
320000	279.367	224.5541
324000	291.5721	227.2187
328000	282.0601	230.1476
332000	297.143	232.8294
336000	256.3076	235.7922
340000	298.6978	238.4489
344000	276.0261	241.3923
348000	292.4754	244.0392
352000	296.044	246.9974
356000	277.5322	249.6565
360000	285.7489	252.5871
364000	272.3039	255.2727
368000	283.3981	258.2197
372000	264.9785	260.8798
376000	274.185	263.8166
380000	277.0647	266.5339
384000	286.4248	269.482
388000	277.8103	272.1276
392000	281.9054	275.0495
396000	305.6075	277.6862
400000	277.086	280.6116
404000	267.9073	283.2687
408000	265.9738	286.2021
412000	275.9276	288.9061
416000	280.5923	291.8532
420000	271.2004	294.5539
424000	276.2987	297.5063
428000	274.0024	300.175
432000	283.0626	303.1311
436000	281.1806	305.8222
440000	272.8577	308.7707
444000	276.6614	311.4656
448000	278.6231	314.4135
452000	271.1493	317.1076
456000	274.3277	320.0686
460000	271.3013	322.7501
464000	277.6459	325.7197
468000	263.7116	328.3994
472000	270.0509	331.3759
476000	261.1323	334.0381
480000	265.1309	336.9763
484000	258.8382	339.6576
488000	267.4171	342.5938
492000	261.7325	345.2792
496000	262.5173	348.2502
500000	271.6701	350.9264
504000	263.0051	353.9054
508000	275.2258	356.5954
512000	270.2473	359.5384
516000	284.5639	362.2138
520000	269.0231	365.1485
524000	271.5593	367.8179
528000	268.2658	370.7456
